v_pan,timestamp,shipping_method,dim_sy,paymethod,sku_product_code,d_187,timestamp_2,catstat,measprice,x_960,cardExpiryDate,currency_name,card_verification_value
XXXX-XXXX-XXXX-5410,2022-11-30T00:00:00Z,Economy,55004,Debit Card,WMJ-9946,2022-03-18,2019-08-26 18:41:48,pending,4513.41,"$79,919.55",01/26,British Pound,152
6011-2181-5997-0629,2019-10-06T00:00:00Z,Standard,13272,Wire Transfer,FES-9849,2020-12-22,2022-05-08 03:03:25,rejected,1536.74,"$36,083.21",05/30,Swiss Franc,3103
5417-1467-7418-6256,2022-12-31T00:00:00Z,Standard,34510,ACH,MFG-2009,2019-09-12,2019-02-22T11:51:34Z,completed,5536.46,84079.79,07/28,Japanese Yen,741
6011-0898-9921-7223,2019-06-01T00:00:00Z,Standard,55492,Credit Card,ZLZ-3422,2024-09-03,2022-06-24 02:05:24,cancelled,8566.38,51969.05,01/30,Swiss Franc,1622
XXXX-XXXX-XXXX-9702,2019-08-13T00:00:00Z,Same Day,79777,Cash,SBX-6431,2025-09-29,2021-01-24 15:58:17,active,3379.31,"$79,365.30",08/30,US Dollar,247
XXXX-XXXX-XXXX-5082,2025-12-16T00:00:00Z,Same Day,52872,Debit Card,UNO-3846,2020-02-29,2021-01-08 01:29:03,completed,2740.49,82350.71,11/24,US Dollar,579
XXXX-XXXX-XXXX-1406,2024-06-01T00:00:00Z,Express,29012,Cash,FFQ-9409,2018-03-24,2018-08-05 20:11:38,completed,2524.64,"$80,508.65",12/29,British Pound,6574
5748-9691-0858-9944,2023-05-28T00:00:00Z,Standard,44077,Wire Transfer,QWG-5895,2020-02-11,2020-09-25 07:57:03,approved,6605.63,68075.73,11/27,British Pound,6660
5538-7584-2824-1724,2024-04-08T00:00:00Z,Express,89091,Wire Transfer,RFF-6031,2022-09-19,2023-06-09 18:18:29,rejected,537.71,63439.85,10/24,Japanese Yen,816
3760-2235-6972-5217,2019-12-26T00:00:00Z,Overnight,83165,Credit Card,AHT-3762,2024-06-18,2020-08-26T02:08:39Z,approved,4034.52,"$96,532.79",01/28,Euro,0583
4033-5421-6894-2104,2023-02-11T00:00:00Z,Economy,68195,PayPal,NLR-3192,2021-11-04,2025-06-25 06:10:58,approved,192.22,22432.52,04/29,US Dollar,150
6011-4890-9010-0167,2024-02-20T00:00:00Z,Overnight,62180,Cash,DSQ-5933,2022-09-20,2019-11-17 08:39:38,approved,8306.69,10491.87,02/26,US Dollar,739
XXXX-XXXX-XXXX-7530,2018-12-31T00:00:00Z,Standard,75255,Cash,MYU-2229,2026-02-11,2019-05-21T07:29:18Z,active,998.98,"$17,470.59",05/26,British Pound,1100
5255-7941-5521-6674,2025-09-26T00:00:00Z,Freight,55278,Cash,XED-1960,2019-10-15,2019-07-19 15:51:36,pending,6113.61,77916.53,11/30,Euro,7167
4145-0899-3588-9163,2025-06-11T00:00:00Z,Economy,84070,ACH,DVX-1894,2018-02-17,2020-09-28 15:54:31,inactive,7514.54,"$32,063.72",05/24,Swiss Franc,866
XXXX-XXXX-XXXX-0166,2024-02-28T00:00:00Z,Standard,11913,Check,PQH-9328,2024-04-22,2021-11-22 14:21:23,completed,8443.32,33197.59,10/27,British Pound,1130
XXXX-XXXX-XXXX-6149,2019-05-10T00:00:00Z,Freight,28257,ACH,VEI-7790,2018-07-10,2019-08-15T21:37:32Z,rejected,44.36,73621.52,07/30,Swiss Franc,8292
5169-9586-6934-6547,2019-07-20T00:00:00Z,Freight,78974,Cash,XNV-9975,2021-07-09,2026-11-07 06:13:39,cancelled,9211.99,13267.61,03/28,Swiss Franc,1587
XXXX-XXXX-XXXX-2003,2026-10-23T00:00:00Z,Express,37567,Cash,GVR-5835,2020-04-15,2026-01-12 14:06:39,completed,7424.37,"$56,127.27",12/26,US Dollar,6658
4043-9735-9893-3472,2018-11-02T00:00:00Z,Express,22779,Cash,NJL-5329,2019-06-17,2020-10-28T08:00:21Z,pending,400.36,92862.85,11/28,British Pound,9851
3783-2818-2688-6153,2025-06-10T00:00:00Z,Overnight,43393,Wire Transfer,HYQ-8780,2024-04-18,2018-02-22 11:28:15,completed,9589.0,"$68,255.29",02/27,British Pound,0858
6011-7043-5811-2880,2020-05-13T00:00:00Z,Economy,82511,Check,FRV-4368,2024-01-12,2024-11-27T02:47:43Z,rejected,7168.96,"$3,789.11",03/30,British Pound,934
6011-6766-5061-8091,2024-07-26T00:00:00Z,Standard,91866,Check,BYC-5937,2024-10-20,2019-05-25 14:24:25,active,4740.39,"$53,347.00",07/30,Swiss Franc,2450
XXXX-XXXX-XXXX-5368,2020-01-24T00:00:00Z,Express,80856,Check,GCR-1891,2026-06-04,2026-08-21 17:04:18,failed,982.92,"$72,559.06",06/26,Euro,149
XXXX-XXXX-XXXX-5562,2020-10-05T00:00:00Z,Express,93349,Cash,QHJ-6432,2023-05-20,2025-08-12T09:31:35Z,inactive,8418.08,"$85,871.43",09/25,British Pound,108
4996-9308-4887-2563,2024-08-12T00:00:00Z,Economy,38141,Debit Card,MNK-9227,2018-02-13,2021-10-22T05:48:32Z,pending,1792.26,94871.20,03/29,Japanese Yen,0373
4453-0385-6770-0518,2021-01-25T00:00:00Z,Economy,34513,PayPal,OEQ-6985,2024-08-04,2019-09-09 12:58:14,cancelled,8172.54,34503.56,10/24,Swiss Franc,723
4843-2225-9136-5177,2024-08-16T00:00:00Z,Express,84837,Check,KGD-3639,2019-07-06,2026-01-19T04:03:10Z,pending,5166.88,40545.92,11/24,British Pound,379
6011-7236-9292-9842,2021-11-04T00:00:00Z,Freight,78188,PayPal,BJD-1271,2020-04-08,2026-09-22 13:52:09,pending,4759.21,"$61,475.00",09/28,US Dollar,729
XXXX-XXXX-XXXX-9916,2023-05-09T00:00:00Z,Express,10986,Wire Transfer,POG-1089,2025-12-14,2018-10-17T03:33:00Z,completed,6877.97,"$31,590.51",03/27,Swiss Franc,4869
3794-6368-8725-8874,2024-06-24T00:00:00Z,Overnight,92470,ACH,TWR-4764,2023-01-04,2020-02-07T16:25:50Z,active,1608.21,"$96,457.03",02/30,Euro,9611
3735-1906-6984-9027,2020-04-06T00:00:00Z,Economy,67915,Wire Transfer,FUN-4795,2024-11-24,2020-11-02T11:15:41Z,pending,869.33,"$27,594.05",11/27,Japanese Yen,801
