iso_country_code,fact_blood_type,COUNTRY,postalCode,port_harbor_38,territory,field_exr,LONGITUDE,p_658,isoCountryCode,measlon,RETENTION_POLICY,score_index,timeZone,TIME_ZONE,d_coun,nation,customer_country,location_text_info,adr_line,p_abbr,address_line_v2,address_line,col_396,dim_130,LANDMARK_POI,continent,created_at,addressLine,RANK_RATING,geographic_coordinates,lon,location_text,disname,user_region_state_province,attr_635,geographicCoordinates,tz,margin,x_tax,rmta95,cron_schedule,col_brz,region_state_province_v2,KEYWORDS,user_airport,country_30,MAPPING_TRANSFORM,CONTINENT,country_raw,TITLE_PREFIX,user_longitude,col_293,attr_602,longitude_38,src_global_trade_item_number,continent_2,d_ssm,p_trans,tz_2,locationText,bnk_identification_number,landmark,country,license_terms_v2,ward,LOCATION_TEXT,addrline,src_distance,meta_pm,city_town_30,street,continent_3,col_cou,meta_nh,city_town_data,severity_level,dim_687,isocc,flight,val_252,col_lan,ppb,customer_district_borough,GEOGRAPHIC_COORDINATES,template_pattern,coords,x_fips,COUNTRY_2,subdomain,urlPiiContext,lhd6,airport_raw,adr_line_2,customer_time_zone,user_iata_code,threshold_limit_14,airport,age_14,longitude_v2,arw56,loctxt,country_2,iso_alpha_2,employee_rec,PORT_HARBOR,fact_landmark_poi,cityTown,field_cxs,landmark_poi_data,region_state_province,data_lineage,time_zone_30,field_dox,decimal_float_v2,latitude_info,time_zone_val,meta_601,bvbesn62,regionStateProvince,lat,CARD_EXPIRY_DATE,v_wj,customer_iso_country_code,REGION_STATE_PROVINCE,AIRPORT,dim_geographic_coordinates,iso_country_cd,CITY_TOWN,customer_default_value,qfee71,pmkng90,TENANT_IDENTIFIER,city,c_yc,district_borough_22,country_38,passport_num,createdat,port,src_continent,timeZone_2,dtype
CA,AB-,United Kingdom,BW9 6SG,Busan,NC,Big Ben,-54.566862,Hamburg,MX,-83.685846,30 days,5.27,America/New_York,UTC,Mexico,Canada,Germany,"Denver, Spain",8744 Oak Ave,GHKME,3296 Oak Ave,2131 Cedar Ln,Africa,3d6c6d5a-1657-4603-ab08-56b7ca357cf9,Eiffel Tower,Africa,2022-10-23 03:46:20,9228 Park Blvd,18,"45.395881, -40.700217",-44.894065,"London, Sweden",COVID-19,PA,Toronto,"32.370794, -30.129134",PST,Market-based,31-6107748,OH,"21 16 * * 0,6",Q3 2025,NY,"cloud, monitoring, reporting, analytics, scalability",SFO,Israel,input -> target_col,Africa,France,Mrs.,17.820389,5856 Maple Dr,NRT,-161.864294,7341552084350,Asia,BR,Bonjour,CET,"Seattle, India",601119095,Central Park,Norway,BSD-3-Clause,East Side,"Sydney, India",762 Cedar Ln,5926.0,michael.clark,Paris,1555 Main St,Africa,United States,Hamburg,San Francisco,Low,ADV-S620K3E5DC,JP,EQ5598,Rotterdam,Golden Gate Bridge,128.86,South Bay,"-13.048924, -88.881435",Dear {{customer}},"-6.815879, 129.887347",47684,Netherlands,company.net,https://example.com/users/b2ddd85d/profile,4579 Cedar Ln,LHR,7339 Pine Rd,Europe/London,VBL,min=5304,SIN,92,58.848288,Atlanta,"Seattle, France",Spain,MX,EMP-96976,Rotterdam,Big Ben,San Francisco,Central Park,Statue of Liberty,CA,staging.users -> exports,JST,2495 Oak Ave,4552.7763,-45.744739,America/New_York,LAX,EST,TX,"-66.125398, -24.352175",04/27,approved,JP,TX,ORD,"-25.918993, 75.565778",IN,Miami,'',Germany,Netherlands,tenant-014,Seattle,EWHKG4PFDCRHOMKHF2CX,South Bay,United Kingdom,B77348788,2023-06-15T16:33:32Z,Singapore,Europe,EST,delete
GB,O-,Italy,DC2 7MU,Shanghai,CA,Golden Gate Bridge,-146.650277,Busan,IN,51.51575,7 years,0.63,UTC,UTC,Netherlands,Brazil,Switzerland,"Portland, Netherlands",2373 Oak Ave,NPT,2660 Main St,9284 Maple Dr,Africa,8e860ef8-9010-4697-b9a1-e7a10093c084,Statue of Liberty,South America,2019-09-05T17:01:19Z,5581 Pine Rd,51,"77.548966, -146.487873",81.878989,"Chicago, Italy",Diabetes Mellitus,GA,Chicago,"17.753115, -82.195252",Europe/London,Value pricing,34-8264112,MA,32 17 * * 1-5,Q3 2023,IL,"security, data, reporting",JFK,Switzerland,source_col -> field_b,Africa,Australia,Rev.,116.501242,8166 Elm St,LHR,133.492138,4417711640398,Asia,AU,Bonjour,PST,"Sydney, Japan",3729040,Central Park,India,GPL-3.0,East Side,"Sydney, United Kingdom",9183 Pine Rd,6307.3,richard.anderson,San Francisco,8793 Oak Ave,Oceania,Singapore,Port of LA,Denver,Critical,ADV-1R4REZCC3V,US,DL899,Singapore,Eiffel Tower,179.35,Midtown,"-86.116567, 94.656739",Hello {{name}},"-27.610576, 138.322979",15957,Australia,acme.org,https://example.com/users/1ead44e7/profile,395 Park Blvd,SIN,6042 Elm St,Europe/London,OJQ,max=45,SFO,46,114.301857,Austin,"London, Netherlands",Sweden,FR,EMP-48896,Singapore,Statue of Liberty,Denver,Eiffel Tower,Golden Gate Bridge,CA,staging.orders -> reports,Europe/London,3777 Maple Dr,4489.5044,76.694384,EST,LAX,EST,IL,"25.792984, -127.705296",12/25,approved,AU,CA,LHR,"66.074695, -128.221832",IN,Toronto,'',Australia,South Korea,tenant-034,Seattle,42TR2OAEXJ89Q8XMAOCM,East Side,India,E46529171,2024-03-08T20:51:39Z,Port of LA,Asia,UTC,insert
BR,A-,Spain,96578,Shanghai,CA,Big Ben,17.475671,Port of LA,MX,17.87775,7 days,5.1,PST,PST,Singapore,Japan,United Kingdom,"London, Singapore",9638 Cedar Ln,AAZ,4272 Park Blvd,3740 Oak Ave,Africa,88680f03-f08f-4c7a-8408-3bc939ee3a5c,Eiffel Tower,South America,2020-09-04T02:47:16Z,9149 Cedar Ln,13,"-53.687814, -107.994734",-42.479201,"Paris, Australia",COVID-19,OH,Toronto,"-56.308224, -82.330915",PST,Market-based,60-9270683,CO,5 6 * * 1-5,Q4 2025,WA,"security, performance, compliance, data",SIN,Italy,source_col -> field_b,Africa,Italy,Rev.,107.425868,9292 Oak Ave,JFK,-146.824863,2694460526365,South America,MX,Guten Tag,America/New_York,"Paris, Canada",548529,Central Park,Singapore,CC BY 4.0,East Side,"Paris, United Kingdom",8157 Oak Ave,4228.5,james.young,Portland,30 Park Blvd,Africa,Sweden,Shanghai,Sydney,High,ADV-N4KXDZS6VB,JP,KJ5769,Port of LA,Golden Gate Bridge,870.28,South Bay,"-30.417725, -152.183817",Hello {{name}},"-84.208989, -80.39815",46548,Brazil,data.io,https://example.com/users/3464faae/profile,7850 Oak Ave,SIN,5467 Maple Dr,PST,ZIR,warn=40,LAX,115,103.596985,Boston,"New York, Switzerland",South Korea,FR,EMP-80138,Busan,Big Ben,Chicago,Central Park,Golden Gate Bridge,NC,staging.events -> analytics,Europe/London,868 Oak Ave,8016.8806,-27.65576,JST,JFK,EST,PA,"-54.097232, -106.839813",01/27,approved,US,NC,CDG,"-47.962276, -22.780611",MX,Chicago,null,United Kingdom,South Korea,tenant-030,London,BBPUAOLZUHUJWQEAXXKT,South Bay,Australia,B17509664,2019-04-13 01:54:35,Shanghai,Europe,EST,insert
JP,A-,Brazil,22601,Port of LA,PA,Central Park,-169.333569,Singapore,AU,-35.129673,1 year,0.53,America/New_York,UTC,Germany,Singapore,India,"Los Angeles, Australia",1714 Park Blvd,MLW,6975 Elm St,8964 Main St,Africa,4696c8f9-10a5-4902-bd20-c11c9d8cedf9,Golden Gate Bridge,Oceania,2024-11-01T19:31:14Z,2087 Maple Dr,7,"-4.653195, 22.092736",86.642104,"Denver, Netherlands",Diabetes Mellitus,CA,Dallas,"-40.661634, 42.516767",JST,Premium,62-3172217,MA,"16 11 * * 0,6",Q4 2022,CO,"integration, scalability, reporting, automation, data",SFO,Switzerland,input -> field_b,North America,France,Dr.,-61.453751,5564 Park Blvd,ORD,82.573485,5968891950826,South America,CA,Hola,America/New_York,"Berlin, Norway",583410,Eiffel Tower,Mexico,CC BY 4.0,Downtown,"Dallas, Norway",2180 Elm St,4141.6,mary.clark,Toronto,43 Main St,Africa,Israel,Rotterdam,Sydney,Info,ADV-2VLRT9GQ7P,JP,CW8409,Hamburg,Golden Gate Bridge,919.96,West End,"-72.133558, 1.230986",Dear {{customer}},"16.415039, 13.930311",56384,India,acme.org,https://example.com/users/6e08b6b9/profile,3922 Cedar Ln,ORD,2849 Main St,CET,IDM,max=5784,SIN,24,141.977458,Chicago,"Berlin, Spain",Norway,BR,EMP-75094,Singapore,Statue of Liberty,Houston,Golden Gate Bridge,Big Ben,CA,raw.users -> exports,EST,245 Cedar Ln,8068.0098,81.21779,JST,ORD,America/New_York,GA,"87.241268, -81.226994",02/25,active,BR,MA,NRT,"-57.00655, -0.039724",CA,Seattle,'',Sweden,Netherlands,tenant-036,Phoenix,HV0N37TFRYXWS4IRJHB2,Downtown,Brazil,G78126802,2022-09-07 04:25:32,Busan,Oceania,UTC,insert
IN,O+,India,92454,Shanghai,WA,Golden Gate Bridge,-124.139892,Rotterdam,GB,-176.16986,7 days,0.96,CET,Europe/London,France,Italy,Singapore,"Los Angeles, Switzerland",2094 Oak Ave,GBVF,9193 Main St,1228 Elm St,Europe,802cdd86-6d29-4242-93eb-c7ebd4f0ed33,Central Park,Africa,2024-09-17 23:45:10,8738 Elm St,92,"-1.17427, -49.936405",81.443042,"Portland, Sweden",Influenza,CA,Chicago,"-28.41705, 104.835613",EST,Premium,72-8571362,FL,"39 15 * * 0,6",Q4 2025,PA,"integration, performance, analytics",CDG,Italy,input -> target_col,North America,Sweden,Ms.,-43.879752,7136 Elm St,ORD,-98.48345,7096011916637,Oceania,MX,Hola,PST,"Boston, Germany",48720,Statue of Liberty,Canada,MIT,West End,"Los Angeles, South Korea",1921 Oak Ave,9019.7,amy.williams,Paris,4058 Park Blvd,Europe,Canada,Shanghai,Atlanta,Critical,ADV-GBXLIUW6O4,JP,PZ5455,Singapore,Big Ben,147.98,East Side,"38.266382, 128.89745",Hello {{name}},"-13.032864, 66.768239",22959,Spain,data.io,https://example.com/users/3a3663d5/profile,9300 Maple Dr,SFO,2685 Cedar Ln,Europe/London,JHM,crit=451,SFO,39,-1.742998,Phoenix,"London, United Kingdom",Mexico,IN,EMP-61498,Port of LA,Big Ben,Phoenix,Central Park,Eiffel Tower,NC,curated.users -> exports,Europe/London,7557 Oak Ave,5344.2922,6.354746,UTC,SIN,EST,GA,"-42.947145, -120.510057",07/30,failed,FR,PA,NRT,"-88.481356, -60.666507",CA,Chicago,0,Spain,France,tenant-020,Phoenix,AMYWPJ7QKUROHQQQDDXH,North Shore,Spain,O32640479,2020-10-03 23:28:14,Singapore,South America,CET,snapshot
DE,AB-,United States,18423,Shanghai,WA,Golden Gate Bridge,69.854378,Hamburg,CA,16.478239,7 days,8.32,PST,PST,Sweden,United States,France,"New York, Norway",2687 Maple Dr,BIVWA,6959 Maple Dr,5540 Cedar Ln,Europe,fad63071-4a8e-4e10-9aae-cc9d2be103c1,Central Park,Europe,2024-01-22 09:51:50,3432 Pine Rd,64,"70.610015, -90.315727",-101.506537,"Toronto, Singapore",Malaria,GA,Dallas,"31.587944, -137.763191",Europe/London,Value pricing,45-1270968,FL,"40 8 * * 0,6",Q3 2021,OH,"reporting, data",CDG,Singapore,field_a -> target_col,South America,United States,Hon.,-70.921779,6848 Maple Dr,JFK,-113.401091,2562845339376,Asia,FR,Hola,CET,"Phoenix, Italy",601126960,Eiffel Tower,Israel,BSD-3-Clause,Downtown,"Paris, Canada",3452 Maple Dr,4923.8,amy.young,Phoenix,4643 Maple Dr,Antarctica,Brazil,Singapore,Tokyo,Critical,ADV-XMOBU2AIPR,IN,XX5900,Shanghai,Statue of Liberty,459.32,Downtown,"20.787538, 101.925499",{{date}} - {{event}},"-37.753901, -121.235993",50341,South Korea,company.net,https://example.com/users/90a37a5e/profile,1709 Pine Rd,CDG,8679 Cedar Ln,Europe/London,SYB,min=5331,SFO,61,-2.737671,Chicago,"Atlanta, United Kingdom",France,MX,EMP-38810,Port of LA,Golden Gate Bridge,Boston,Big Ben,Golden Gate Bridge,CO,raw.users -> analytics,JST,4263 Main St,8882.0207,17.382689,CET,CDG,JST,PA,"55.602085, 150.923242",02/28,cancelled,DE,IL,SFO,"-34.277057, 150.292681",AU,Boston,0,Italy,France,tenant-021,Atlanta,0MX0NAIOOCMY9CSYB8H8,West End,Germany,Z92765419,2024-12-28T04:54:50Z,Singapore,Africa,UTC,update
FR,B-,Singapore,82586,Shanghai,TX,Golden Gate Bridge,-119.449248,Busan,BR,65.084278,7 days,3.32,America/New_York,America/New_York,India,Italy,Australia,"Sydney, France",4289 Oak Ave,JMFA,9990 Pine Rd,743 Park Blvd,North America,40831e1d-169e-4b3a-aafd-9c6ad659aab7,Statue of Liberty,Africa,2023-07-03 12:23:09,8257 Oak Ave,89,"45.848952, 78.693977",-91.204248,"Sydney, United Kingdom",Malaria,GA,Atlanta,"-20.4797, 67.223495",JST,Penetration,80-1745993,MA,27 9 * * *,Q3 2025,CA,"reporting, analytics, cloud",CDG,Netherlands,source_col -> field_b,North America,Japan,Prof.,63.802398,1331 Pine Rd,CDG,36.592987,2118029133228,Oceania,FR,Namaste,UTC,"Berlin, Norway",3702044,Statue of Liberty,Singapore,MIT,West End,"Seattle, United States",2042 Main St,5148.1,sophia.white,London,8196 Park Blvd,South America,Brazil,Rotterdam,Toronto,Medium,ADV-1CMBFSH36V,JP,ZB766,Hamburg,Central Park,511.12,West End,"-75.591537, 133.934274",Hello {{name}},"-44.134461, -145.951345",01606,United States,company.net,https://example.com/users/e7058948/profile,1240 Maple Dr,CDG,3895 Oak Ave,CET,ZYF,min=1609,NRT,28,-90.87194,Atlanta,"London, Israel",South Korea,CA,EMP-89937,Singapore,Eiffel Tower,San Francisco,Golden Gate Bridge,Central Park,IL,curated.events -> analytics,JST,9404 Pine Rd,2221.1001,59.198991,CET,CDG,America/New_York,TX,"31.698247, -174.375023",02/30,active,DE,NY,NRT,"27.024399, -48.44301",IN,New York,false,Norway,France,tenant-009,Seattle,A2FAY8HT2T3ROK76MR9C,East Side,South Korea,C77464633,2021-02-24T11:21:38Z,Shanghai,Asia,JST,delete
US,AB+,Mexico,55117,Hamburg,TX,Eiffel Tower,-109.199833,Singapore,FR,-157.92928,7 years,8.38,CET,Europe/London,Netherlands,Spain,Norway,"Phoenix, Spain",1114 Pine Rd,ZV,3496 Maple Dr,5327 Cedar Ln,North America,ff9bf5c7-f152-41dc-9bfa-742525c77bec,Golden Gate Bridge,Africa,2020-12-01 09:49:06,7992 Pine Rd,17,"-71.721398, -158.331023",122.400572,"Houston, Switzerland",Tuberculosis,GA,Denver,"47.550193, -39.821384",JST,Market-based,94-5328758,OH,46 17 * * 1-5,Q3 2021,PA,"scalability, reporting, performance",ORD,Switzerland,field_a -> output,Oceania,Australia,Rev.,5.167588,8099 Pine Rd,JFK,144.698359,1117467749963,Africa,FR,Konnichiwa,JST,"Seattle, France",501586,Big Ben,Mexico,Proprietary,Midtown,"London, Italy",9653 Oak Ave,6896.2,emily.garcia,Dallas,3836 Main St,North America,Germany,Busan,Portland,Medium,ADV-TVL9JZGQ4N,AU,NN7054,Singapore,Big Ben,865.34,Midtown,"-12.786099, 46.382349",Order #{{id}},"36.248766, 18.501151",02867,Switzerland,data.io,https://example.com/users/dd219d43/profile,9298 Cedar Ln,LHR,3064 Elm St,EST,OZE,crit=2432,SIN,40,-83.510033,Boston,"Phoenix, Brazil",United States,BR,EMP-74215,Port of LA,Big Ben,Los Angeles,Eiffel Tower,Central Park,GA,raw.events -> reports,JST,9058 Oak Ave,6874.4966,81.46436,JST,ORD,America/New_York,CA,"24.261664, 69.770116",02/29,approved,AU,WA,JFK,"-78.967327, 45.24986",FR,Los Angeles,1,Germany,Brazil,tenant-042,Berlin,Y0O4QYSW4UUYCCKN9DFT,North Shore,France,O24761220,2023-12-03 16:16:38,Busan,Asia,CET,delete
AU,B+,Netherlands,30682,Singapore,NY,Golden Gate Bridge,-157.185515,Rotterdam,CA,-135.177602,7 years,2.31,America/New_York,PST,Netherlands,Netherlands,Netherlands,"Paris, Mexico",8229 Cedar Ln,YH,9955 Elm St,4982 Park Blvd,North America,6dd6f377-0783-41e2-a836-20911f994612,Central Park,South America,2024-12-19T20:53:00Z,7168 Park Blvd,3,"11.899396, -172.475649",-46.877862,"Seattle, United States",Diabetes Mellitus,GA,Toronto,"58.030552, 1.929168",Europe/London,Value pricing,80-2395472,NY,49 3 * * 1-5,Q1 2022,IL,"compliance, automation, integration, data, scalability",SIN,India,input -> target_col,North America,Spain,Dr.,-39.04107,204 Maple Dr,JFK,-73.239409,2006852649536,Antarctica,IN,Guten Tag,JST,"Sydney, Canada",56272,Statue of Liberty,United States,BSD-3-Clause,West End,"London, Switzerland",6269 Park Blvd,3546.0,emily.thomas,Denver,5435 Main St,South America,United States,Port of LA,Chicago,Medium,ADV-RY1WGVEELD,US,PA2545,Rotterdam,Statue of Liberty,55.81,West End,"-52.452749, -48.334841",Dear {{customer}},"-13.283285, 64.568736",11901,United Kingdom,service.cloud,https://example.com/users/b431b670/profile,3226 Main St,LAX,5946 Elm St,CET,VCJ,max=719,JFK,87,19.653355,Sydney,"Portland, Brazil",India,MX,EMP-55873,Port of LA,Big Ben,Berlin,Central Park,Statue of Liberty,CO,staging.users -> analytics,Europe/London,7131 Main St,3563.1732,53.9327,EST,CDG,JST,PA,"86.495432, 62.245778",06/27,rejected,DE,CA,ORD,"31.76387, -55.249629",MX,New York,'',Japan,Brazil,tenant-028,Berlin,WGH735JNWHY8LOHAQV0Z,North Shore,Canada,V85027768,2022-03-22 20:08:33,Hamburg,South America,CET,insert
DE,AB-,France,41268,Shanghai,IL,Golden Gate Bridge,-34.137317,Busan,JP,-99.473591,7 years,0.54,CET,UTC,Canada,South Korea,France,"Paris, Germany",2708 Pine Rd,SX,1190 Maple Dr,1603 Oak Ave,Asia,f1f92a5b-797d-4d2c-a3ad-be0395cd4a49,Central Park,Europe,2024-06-11 01:27:49,531 Cedar Ln,34,"58.406208, 162.413895",121.500403,"Boston, Singapore",Malaria,WA,Chicago,"-38.167445, 104.46374",UTC,Value pricing,30-9716600,IL,57 1 * * *,Q4 2020,CA,"monitoring, automation, compliance, security, cloud",SFO,Singapore,source_col -> target_col,South America,Canada,Hon.,10.418223,3318 Park Blvd,SFO,-152.410324,5530036981477,Asia,GB,Konnichiwa,PST,"Miami, Germany",601102310,Golden Gate Bridge,Japan,MIT,Downtown,"Austin, Germany",8618 Pine Rd,346.6,lucas.miller,Chicago,5959 Main St,Antarctica,India,Hamburg,Los Angeles,Info,ADV-Q8WAHL0236,FR,DQ2432,Hamburg,Central Park,802.28,South Bay,"-41.613106, -54.940151",Hello {{name}},"-33.441984, -109.163883",01476,Italy,data.io,https://example.com/users/b46a1255/profile,8238 Elm St,LAX,16 Cedar Ln,America/New_York,CRQ,max=9434,CDG,94,-113.729788,Boston,"Miami, Germany",Germany,BR,EMP-94769,Port of LA,Eiffel Tower,Austin,Central Park,Eiffel Tower,NC,raw.orders -> analytics,JST,4598 Maple Dr,7340.185,-66.127363,UTC,NRT,JST,NC,"25.368893, 148.780988",04/29,completed,MX,PA,ORD,"-65.016852, -139.354307",CA,Seattle,false,Brazil,Germany,tenant-026,Atlanta,EBJ6VSBER6JMNIWTBI14,Midtown,Brazil,E85670153,2019-01-24 11:24:46,Port of LA,Oceania,PST,update
