tenant_ident,RANK_RATING,EVENT_NAME,MARKET_VALUE,channel,paymentMethod,x_334,measangle,age,PASSWORD_HASH,cryptocurrency_address_raw,TEMPERATURE,xfigju40,uptime_availability_6,TYPE_CLASS,latitude_6,EXCHANGE_RATE,retentionPolicy,DISTANCE,PERCENTAGE,d_exch,population,flowRate,d_380,v_mg,frequency,legal_entity_identifier,src_histogram_bin,flag,revenue_sales_6,tenant_identifier_data,kbnud29,dim_scor,measlen,measconc,categ,BUDGET_ALLOCATION,tradesec,gtin,dateval,meastemp,BRAND_NAME,meta_tbbg,PH_LEVEL,val_570,attr_ignx,photo,frequency_2,flight_number,dim_weigh,measdist,customer_longitude,f_dy,v_450,SKU_PRODUCT_CODE,APPROVAL_STATUS,atm,pohsjo94,proximity,period_interval_6,count,COUNT,last_name_field,col_258,product_name,c_828,HUMIDITY,col_677,fact_column_field_name,ARTWORK_CREATIVE_WORK,SOUND_LEVEL,DENSITY,measvolt,user_record_type_discriminator,landmark,databaseConnectionString,latencyResponseTime,orlkd11,defval,routing_number,awardName,measdens,f_52,BANDWIDTH_DATA_RATE,user_biography,upstream,val_406,attr_271,percent,budget,insert_time,measdb,longitude_6,PRODUCT_NAME,ELEVATION_ALTITUDE,sbsoqc35,PHONE_FORMAT_PATTERN,score_index_22,MEAN_AVERAGE,bearing,x_ipho,gtin_2,segment,length,p_614,f_180,v_passp,measarea,age_2,measph,FREQUENCY,cpuUsage,rjuxzp45,noise,meashum
tenant-026,41,Data Conference 2024,"$614,681,323",Social Media,PayPal,Stadium,57.73,91,$2b$12$BeMqZTXBAQM1HCX5VQN9I02Jsa1sVarmQtdIT8GcxcgdEU3EZypmO,0xb2f2085bfec709f23b0d8a82d3da78fe02374be5,21.0,Dune,97.8748,Free,48.988524,132.1557,1 year,7160.2,61.49%,131.9517,1225906,285.6,711 shares @ $77.57,8.6,1468.7,XLEX9J6CVH4LA6M75BPW,8.88,pending,"$7,130,777",tenant-002,207.4,9.73,436.1,174.23,Hardware,"$687,399",[CONFIDENTIAL] Formula #316,5167924591405,2018-10-16,12.6,SmartChoice,27 18 * * 1-5,6.34,1715,4.76,photo_7020563d.jpg,3279.89,YY1159,696.64,8525.5,114.082858,397.6,2.6185,WXV-7313,Rejected,815.1,1283.7,731.8,Q1 2024,52055,88047,Williams,"$495,912,532",VaultKeeper,"$3,955,196",51.7,ProSeries,email,The Persistence of Memory,75.2,7.705,383.8,insert,Golden Gate Bridge,postgresql://user:****@db-staging.internal:5432/main,3422,16.4,0,798962218,Best Paper,5.093,14198.5,6876,Richard is a VP Engineering with 25 years of experience.,raw.users -> exports,CloudGuard,16.28,521.22,"$3,444,164",2025-12-24T23:54:39Z,96.3,43.800913,StreamLine ERP,236,96.1192,+44-XXXX-XXXXXX,4.22,-2.9853,207.53,1920x1080,7322664603758,Software,797.14,8507459,^[A-Z]{2}\d{6}$,L29984037,34174.2,120,2.56,3224.97,56.8,32 4 * * 1-5,127.5,76.2
tenant-008,73,Tech Expo 2021,"$871,700,301",Email,ACH,Stadium,237.38,108,$2b$12$Y8XQQlrxuyVeVGgIsTLn2XrlkmU8OL3NJIbGSNNIvPm7Rbu2a0WGl,0xfc3425333774864e461a06f530feee9a43e19c3a,-39.2,To Kill a Mockingbird,97.3748,Trial,23.189802,82.5702,30 days,570.3,38.24%,68.9514,8413747,976.38,2613 shares @ $325.51,22.4,2157.47,UGG9J54TJUWKL0FVOYZ8,71.27,cancelled,"$6,285,416",tenant-050,250.9,9.13,745.46,70.12,Food,"$943,256",[CONFIDENTIAL] Formula #867,5556025823124,2025-05-14,-21.5,ProSeries,57 6 * * *,7.06,1297,6.88,photo_647f1cce.jpg,7126.7,KG5479,199.3,8968.9,112.756204,1065.2,7.1452,ZUU-4507,Approved,1923.5,1475.4,138.0,Q1 2024,41184,48177,Jackson,"$926,238,836",SmartHub X1,"$690,388",86.1,ProSeries,email,The Scream,1.7,5.515,99.6,snapshot,Big Ben,postgresql://user:****@db-staging.internal:5432/analytics,2205,76.7,false,320162577,Gold Medal,19.429,7332.7,2419,James is a Product Manager with 26 years of experience.,curated.users -> analytics,FlexPay Platform,68.31,821.09,"$1,494,793",2021-12-04T09:26:46Z,5.5,-27.497243,Sentinel Monitor,326,96.9657,+44-XXXX-XXXXXX,2.95,-59.9537,232.99,1920x1080,1279173606766,Food,445.89,4610611,[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+,X84988302,99471.4,56,0.74,5426.56,31.8,15 20 * * 1-5,36.5,84.8
tenant-031,97,Data Summit 2021,"$864,193,735",Social Media,Check,Conference Hall,87.76,95,$2b$12$DgpBNndOhiidOoabC7CewyRIPffCZTX8W25Qvc7Bf8fDIWUJwOjVz,0xbf3fc1407cc6c691357c31f5d35045bc867f9924,-22.1,Dune,98.6172,Free,-8.461064,98.8048,7 years,8328.6,2.98%,50.6518,7302071,638.02,2907 shares @ $354.62,233.4,1064.96,N9SE42WFAF0HVJIWKOVZ,74.9,pending,"$98,287",tenant-035,131.3,8.77,184.83,604.61,Services,"$3,053,738",[CONFIDENTIAL] Formula #466,5866483332116,2023-01-11,29.2,ProSeries,4 11 * * *,3.63,813,1.88,photo_7c6873ee.jpg,7057.84,YP2146,71.82,3516.6,131.421598,192.3,9.9425,WSB-4302,Approved,831.0,194.7,3161.0,H2 2023,68072,92292,Johnson,"$168,583,687",NanoCore SDK,"$4,835,801",71.0,EcoLine,amount,The Persistence of Memory,51.5,8.208,265.5,upsert,Central Park,postgresql://user:****@db-prod.internal:5432/analytics,103,186.1,false,894921917,Best Paper,5.63,46181.9,9614,Emily is a VP Engineering with 7 years of experience.,curated.orders -> reports,AuditTrail Plus,5.15,353.49,"$1,797,647",2026-08-19T06:51:59Z,118.3,-58.268379,SmartHub X1,6477,95.9623,+1-XXX-XXX-XXXX,5.72,87.6217,103.2,1920x1080,9833856236713,Hardware,978.82,5490629,[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+,P10822217,40720.3,61,10.43,2290.33,80.1,26 19 * * 1-5,93.3,61.9
tenant-002,70,Global Summit 2024,"$811,841,248",Social Media,PayPal,Stadium,312.83,62,$2b$12$4fLpkfGwvGhymfBEJUOeRWPR1jCJKaoME7xFt0xoHYSELbepxTwNI,0xc1f4a8ea573813a7bd96c5cbd491f2b2caf03894,19.7,Brave New World,98.0167,Standard,-42.007061,22.1485,7 days,6048.8,47.04%,40.0531,2968911,312.9,1479 shares @ $469.44,181.7,2630.73,HCMVWUC22T8O7CMYOQSJ,70.97,pending,"$7,491,917",tenant-048,115.8,4.67,139.26,703.74,Food,"$1,267,035",[CONFIDENTIAL] Formula #233,4578065115046,2026-05-13,39.4,ProSeries,26 20 * * 1-5,13.65,923,2.61,photo_3ba0c18a.jpg,126.63,HW1496,69.67,9803.4,-8.321953,272.8,0.3493,FGZ-1849,Pending,836.0,212.6,2782.7,2020-2025,90466,76044,Clark,"$950,291,111",SmartHub X1,"$1,058,579",65.6,ProSeries,id,The Scream,83.1,19.986,239.5,snapshot,Big Ben,postgresql://user:****@db-prod.internal:5432/main,1234,181.5,null,617886913,Excellence Award,12.006,74551.6,2527,Sophia is a Product Manager with 1 years of experience.,curated.orders -> exports,FlexPay Platform,68.85,306.41,"$1,995,091",2018-10-28T07:03:39Z,120.1,-57.638462,NanoCore SDK,7139,98.8386,+1-XXX-XXX-XXXX,6.26,83.4996,263.01,1280x720,2281158585115,Food,841.04,8674507,^[A-Z]{2}\d{6}$,Y41358797,55019.6,51,1.79,675.31,20.2,0 7 * * 1-5,5.7,99.2
tenant-040,75,Data Summit 2024,"$699,417,009",Email,Credit Card,Stadium,359.46,18,$2b$12$GpP9LOutEKZxsEgqM2XMJ0dVbZAptTEGsjLMITOWd29ZS1YzmclKb,0x331a9d2c04946be360f10a1ac8bec01d29f6a1c3,36.1,1984,98.1897,Standard,-32.699432,34.7698,1 year,67.6,0.71%,16.9389,688130,50.65,60 shares @ $51.14,1.3,1705.09,7VLQRNFLROK7WIYNPVL2,0.42,cancelled,"$603,444",tenant-026,422.1,6.09,566.06,777.8,Electronics,"$2,610,209",[CONFIDENTIAL] Formula #978,7505802750716,2024-02-09,-18.0,TechBrand,"40 11 * * 0,6",2.95,4203,7.01,photo_6f6290ba.jpg,901.8,SP7801,437.35,7967.7,159.928703,40.9,3.4487,NKT-1448,Rejected,142.5,291.4,6039.2,Q1 2024,72686,77137,Thomas,"$631,394,941",SmartHub X1,"$3,227,565",94.6,ValueMax,amount,Water Lilies,35.9,19.367,320.0,insert,Big Ben,postgresql://user:****@db-staging.internal:5432/main,2692,150.0,'',892252197,Employee of the Month,2.784,89362.4,4677,Elizabeth is a Software Engineer with 10 years of experience.,curated.events -> analytics,Widget Pro,9.69,839.58,"$3,926,917",2024-08-22 16:16:38,68.9,-19.044018,DataSync 3000,838,95.8398,+1-XXX-XXX-XXXX,5.28,-63.0444,68.73,1280x720,6489141082063,Services,344.58,7433106,[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+,R46032808,47555.9,40,2.22,7382.72,2.9,49 19 * * *,76.5,11.9
tenant-039,93,Tech Forum 2024,"$180,190,725",Email,Check,Conference Hall,11.55,79,$2b$12$WRAhiuA1BDLChdGULHrup0isrPDIDBHglXwT6Fp9sBpH7tuE2Qqm7,0x1e264c8e9dde06d401256d22229d0362b149bdef,-32.2,To Kill a Mockingbird,98.606,Premium,-48.055677,17.6162,1 year,6260.3,41.06%,51.3888,8246681,510.46,2480 shares @ $335.81,425.6,7032.15,X8O8IQ8RGNWEFVZJVASK,54.16,active,"$4,246,520",tenant-030,18.8,0.18,545.33,260.92,Electronics,"$3,141,254",[CONFIDENTIAL] Formula #525,4922920059556,2026-04-26,40.9,ProSeries,55 5 * * 1-5,12.33,2711,4.9,photo_4ca77beb.jpg,9689.99,TT1480,557.34,1716.3,-97.715545,1567.9,7.8302,LSQ-1247,Rejected,875.6,1405.0,2835.0,Jan-Mar,35840,761,Garcia,"$809,082,768",FlexPay Platform,"$2,060,675",31.2,TechBrand,type,Water Lilies,26.2,1.884,204.2,upsert,Eiffel Tower,postgresql://user:****@db-staging.internal:5432/main,3803,94.3,0,367672057,Excellence Award,17.23,42363.3,6909,Logan is a Software Engineer with 5 years of experience.,staging.orders -> reports,SmartHub X1,99.01,743.29,"$2,797,927",2024-08-03T05:14:09Z,62.1,-65.951413,NanoCore SDK,4004,96.7131,+81-XX-XXXX-XXXX,0.71,86.4972,343.7,3840x2160,3929493311046,Clothing,952.73,5624057,^[A-Z]{2}\d{6}$,U38586842,65451.8,79,0.45,3614.11,64.1,9 5 * * *,129.1,78.1
tenant-045,80,Annual Conference 2022,"$548,332,204",Email,PayPal,Grand Ballroom,297.52,25,$2b$12$pwjBrpmc5JB9e3qfRwtHosexWUJk1tFZgqOZpF5kvACldcWXfeLWD,0xc45723962f8c9640bfecbcc3fbd3c3fd699b9219,-25.8,Dune,98.5686,Enterprise,5.12097,48.4821,7 days,6237.4,85.48%,70.2602,324560,208.73,4304 shares @ $371.31,389.6,3323.91,T877WM8PXIEPWAPTEW59,90.88,cancelled,"$6,437,948",tenant-010,390.1,5.51,176.37,625.13,Software,"$2,957,523",[CONFIDENTIAL] Formula #994,0549163305611,2023-06-10,-30.3,ProSeries,33 7 * * 1-5,0.38,381,6.46,photo_a0b0589f.jpg,2280.58,BI7629,177.57,4616.5,129.918217,411.6,8.0684,SLD-7313,Rejected,354.4,1163.4,7226.4,2020-2025,62671,23072,Wright,"$501,002,101",CloudGuard,"$3,142,182",52.3,TechBrand,status,The Persistence of Memory,89.7,6.649,452.1,delete,Golden Gate Bridge,postgresql://user:****@db-prod.internal:5432/analytics,1097,372.8,CURRENT_TIMESTAMP,973812919,Best Paper,19.248,35775.0,1,William is a CTO with 24 years of experience.,staging.events -> exports,AuditTrail Plus,89.62,642.15,"$2,961,164",2023-07-12T04:02:39Z,17.0,103.583659,NanoCore SDK,1545,97.3028,+1-XXX-XXX-XXXX,1.56,-28.9976,264.87,2560x1440,7081037855317,Hardware,49.19,5411293,[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+,D30787300,65986.6,23,9.33,7809.3,68.4,"21 10 * * 0,6",122.7,32.0
tenant-044,41,Data Expo 2022,"$755,753,867",Social Media,ACH,Amphitheater,131.46,119,$2b$12$NECJp15IE9IdRWzO73KSSz3Cfpd3SpPS70LtILAMBYop7GxJRxn7B,0x3f7446e0da4c848f07af00b7994e1445302f2265,31.1,1984,96.8318,Trial,70.697032,85.3723,indefinite,9940.4,38.24%,26.1727,2230873,479.96,4671 shares @ $270.84,130.1,6294.03,JVLB8GTBP1PI77FWAT12,84.01,active,"$1,308,195",tenant-022,32.0,1.34,115.57,41.86,Services,"$1,207,952",[CONFIDENTIAL] Formula #155,8528754880147,2019-04-02,-21.3,TechBrand,9 8 * * *,0.83,1710,9.78,photo_37d87d9d.jpg,7589.54,IX8684,829.05,9036.5,-95.385662,295.4,7.8301,AHA-7922,In Review,1317.6,715.6,644.8,H2 2023,59770,72070,King,"$192,394,296",AuditTrail Plus,"$1,956,965",27.9,SmartChoice,name,The Scream,74.4,1.667,206.3,upsert,Eiffel Tower,postgresql://user:****@db-staging.internal:5432/analytics,663,376.4,1,757147091,Excellence Award,18.9,95863.5,1541,Jennifer is a Sales Rep with 28 years of experience.,staging.users -> analytics,Sentinel Monitor,76.35,909.43,"$828,505",2019-12-15T08:46:35Z,50.2,-140.949305,Sentinel Monitor,7222,98.2193,+1-XXX-XXX-XXXX,3.32,68.9975,336.14,3840x2160,3741128712162,Services,281.56,7770603,^[A-Z]{2}\d{6}$,A96395381,82181.3,106,11.55,9946.18,66.3,"42 15 * * 0,6",83.6,51.7
tenant-012,20,Tech Conference 2022,"$384,986,511",Mobile,Check,Amphitheater,168.49,36,$2b$12$InjyqZceauDsz1JdLNSJ6VtXvrMSfJBIngWg4JCi5MUiYzSZoMhUE,0xd99ac8895ec01682a1512c9603dd1e044bab1652,-15.4,The Great Gatsby,99.0041,Premium,-79.239653,40.9323,30 days,7236.0,89.81%,46.7999,1546850,837.3,163 shares @ $311.0,360.5,1453.12,XMJVYA7X5WWX4C0ZK1UO,54.64,completed,"$4,231,781",tenant-015,117.9,5.17,836.9,157.65,Software,"$381,889",[CONFIDENTIAL] Formula #300,3818634735575,2025-05-26,-12.7,SmartChoice,16 0 * * 1-5,11.14,1612,4.9,photo_a41b045d.jpg,7991.77,YU297,523.32,4269.9,73.157809,616.8,9.1457,PLR-6292,Approved,1603.1,250.1,6889.3,H2 2023,29982,16761,Martinez,"$936,977,823",DataSync 3000,"$2,490,528",52.8,ValueMax,created_at,The Persistence of Memory,100.7,16.806,248.4,snapshot,Eiffel Tower,postgresql://user:****@db-prod.internal:5432/analytics,746,156.7,1,407156084,Employee of the Month,10.962,63829.9,1807,Robert is a Designer with 29 years of experience.,staging.events -> reports,NanoCore SDK,50.6,37.38,"$3,065,037",2022-06-24 13:28:47,71.2,68.67063,FlexPay Platform,249,99.6368,+44-XXXX-XXXXXX,5.79,-26.2727,47.25,1920x1080,2864062527671,Hardware,904.26,345091,^[A-Z]{2}\d{6}$,L34281989,4706.6,20,3.55,368.29,12.1,12 23 * * 1-5,68.0,20.9
tenant-021,8,Data Conference 2020,"$453,934,775",Web,Credit Card,Conference Hall,71.34,88,$2b$12$VqIQo44rO8EqjDLq078ucAAvjaVDHgKb72bycnFyHNoOxKEJDJt3a,0x4c1b3564a5db7a839aded005909ab573401e7bb5,-0.8,To Kill a Mockingbird,97.3052,Standard,-31.199308,25.8461,1 year,5978.2,86.77%,42.23,7863706,341.64,649 shares @ $270.42,112.9,4834.84,DN97AQ39OJURPOXUP1AG,21.79,completed,"$4,234,588",tenant-014,464.1,6.18,672.36,216.77,Hardware,"$1,398,736",[CONFIDENTIAL] Formula #273,1961052907528,2025-07-08,-18.9,ValueMax,50 22 * * 1-5,4.6,1961,3.76,photo_cc9ae357.jpg,9825.67,MS2260,654.65,6436.6,-137.819692,141.7,2.2368,PXZ-6176,In Review,693.7,956.0,3988.7,Jan-Mar,90979,89308,Jones,"$74,845,141",StreamLine ERP,"$4,875,968",6.9,ProSeries,type,Water Lilies,65.2,19.568,347.9,delete,Eiffel Tower,postgresql://user:****@db-staging.internal:5432/analytics,3456,52.9,false,011039393,Excellence Award,10.813,79474.6,6710,Emma is a Designer with 21 years of experience.,staging.orders -> reports,FlexPay Platform,14.13,253.16,"$4,923,515",2018-06-08 19:02:27,124.9,-169.811055,AuditTrail Plus,6993,95.2095,+44-XXXX-XXXXXX,3.78,54.4505,42.08,1920x1080,4516141020121,Clothing,847.77,9378631,^\d{3}-\d{2}-\d{4}$,X15654260,55366.3,71,8.1,6673.82,7.5,7 16 * * 1-5,124.7,77.2
