endDate,social_media_handle_field,date_time,BROWSER_USER_AGENT,month_name,meta_pif,QUARTER,dim_date_time,source,artwork_creative_work_info,dim_date,qiqrcm91,f_374,yearval,TIME_OF_DAY,routing_num,timeval,periodval,numericRange,issn,dt_time,calendar_year,medicalProcedure,CRON_SCHEDULE,customer_year,work_permit_14,var_cjh,INSURANCE_ID,STORAGE_SIZE,gnlw47,qtrval,field_day_,cronval,customer_month,field_465,var_268,raw_device_type,dev_type,chrome,year_30,span,fact_period_interval,axuhmd96,typecls,src_channel,investment_account,device_type_field,anzbw57,phonefmt,year_data,year,raw_browser_user_agent,book_title_6,grade,var_lyf,weight_mass,p_hash,startdt,encoding,period_interval_30,date_time_2,channel_46,var_476,month,fact_score_index,hh_mm,cron,dateTime,q2,c_month,channel_val,MONTH,geographic_nm,effective_date,URL_PII_CONTEXT,raw_quarter,d_day,internal_communication_22,device_type,lon,channel,decimal_float_data,histogramBin,ztw73,browser_user_agent_38,score_index_54,customer_start_date,p_cont,dim_cron_schedule,period_interval_val,quarter_46,monthval,fact_retention_policy,flight_number_val,val_uht,mfmso86,until,middle_nm,modified_by_30,channel_2,f_we,month_number,kqvvdu6,quarter_info,DATE_TIME,c_sm,measstor,CHANNEL,dow,DEVICE_TYPE,c_567,field_92,start_dte,quarter,speed_velocity_14
2018-08-06,@jamesdavis247,2019-01-08T00:00:00Z,Firefox,August,Saturday,Q4 2023,2021-12-29T00:00:00Z,In-Store,Water Lilies,2019-05-11,2021-08-21,IoT,2021,18:24:33,834774623,06:26:33,H2 2023,46-90,4684-5974,2023-06-23T00:00:00Z,2022,X-Ray Chest,0 4 * * *,1990,WP-MX-703490,3.16,INS-388571,78379,2018-04-11T00:00:00Z,Q2 2025,Wednesday,20 21 * * 1-5,September,Avro,Brave,Smart TV,Mobile,Opera,2004,FY 2025,2020-2025,2026-04-17,Standard,Web,INV-841831,Tablet,July,+81-XX-XXXX-XXXX,2011,2022,Edge,The Great Gatsby,9.83,April,679.05,07db9c2371bb2266adcc8813c5feb72db5c7e7869d2c2e1b12c4252afe529326,2020-10-18,UTF-16,2020-2025,2026-02-08T00:00:00Z,Social Media,2019-03-03,April,1.18,09:19:28,"40 15 * * 0,6",2018-09-04T00:00:00Z,Q2 2022,August,Chat,August,Australia,2018-07-11,https://example.com/users/6af548fe/profile,Q4 2024,Friday,[INTERNAL] Q3 strategy review pending board approval,Smart TV,150.184319,In-Store,1888.1091,83.82,Desktop,Firefox,4.14,2022-02-25,Article,31 21 * * 1-5,H2 2023,Q3 2023,May,indefinite,GG4616,false,Chrome,2021-10-24,M,lucas.jackson,Web,Salesforce,August,9.45,Q1 2022,2026-11-02T00:00:00Z,failed,917766,Mobile,Wednesday,IoT,2023-09-13,3.12.59,2018-06-15,Q3 2025,220.7
2026-09-10,@robertmoore562,2018-04-19T00:00:00Z,Safari,March,Friday,Q3 2020,2024-01-21T00:00:00Z,Email,The Scream,2018-06-22,2025-05-10,Desktop,1994,14:32:19,180092343,16:26:42,2020-2025,25-77,5629-4387,2021-11-29T00:00:00Z,2002,MRI Brain,54 1 * * 1-5,2004,WP-AU-920798,1.45,INS-446165,750418,2026-04-16T00:00:00Z,Q1 2023,Tuesday,41 8 * * *,March,XML,Chrome,Smart TV,Wearable,Safari,2014,FY 2025,2020-2025,2018-02-16,Standard,Email,INV-156318,IoT,April,+81-XX-XXXX-XXXX,2019,2008,Firefox,To Kill a Mockingbird,5.32,October,180.7,d29067752a826ebc6ba7b2738b4a4cae8f1f1628861f27b0a7d1e395cbc39bdf,2022-01-20,Latin-1,Jan-Mar,2023-02-15T00:00:00Z,Phone,2026-07-29,September,4.15,18:44:48,"8 12 * * 0,6",2020-07-19T00:00:00Z,Q4 2021,May,Phone,August,Israel,2023-09-13,https://example.com/users/9d462016/profile,Q2 2024,Wednesday,[INTERNAL] Q4 strategy review pending board approval,Mobile,124.027558,Chat,-329.2907,92.48,IoT,Chrome,6.62,2021-07-17,Podcast,17 11 * * *,H2 2023,Q4 2020,June,indefinite,GM5224,NO,Edge,2022-10-13,M,olivia.davis,Phone,Workday,October,6.84,Q2 2021,2020-11-25T00:00:00Z,rejected,92126,Social Media,Friday,IoT,2026-01-17,4.9.49,2024-03-22,Q3 2026,74.7
2018-02-05,@noahmartin314,2020-12-06T00:00:00Z,Brave,November,Thursday,Q2 2022,2023-04-28T00:00:00Z,Web,Starry Night,2022-10-24,2023-01-09,Tablet,2011,10:29:27,263554983,01:34:13,FY 2025,32-88,3627-3435,2020-06-22T00:00:00Z,2026,MRI Brain,52 19 * * 1-5,2024,WP-IN-914501,5.67,INS-581273,588764,2018-05-19T00:00:00Z,Q2 2021,Friday,"23 7 * * 0,6",July,CSV,Chrome,Mobile,IoT,Edge,1992,Jan-Mar,FY 2025,2026-09-11,Trial,Email,INV-774771,Tablet,March,+1-XXX-XXX-XXXX,2008,2005,Chrome,The Great Gatsby,0.67,July,678.3,e8f04d75a88182d849fe5c66e1390ccff7cf8ae657fb4ba3daa4c7b7bad87861,2022-04-26,UTF-16,Jan-Mar,2025-12-26T00:00:00Z,Chat,2018-11-25,February,3.51,18:54:20,38 1 * * 1-5,2025-01-06T00:00:00Z,Q1 2022,December,Web,August,United States,2024-12-13,https://example.com/users/45715861/profile,Q3 2021,Saturday,[INTERNAL] Q2 strategy review pending board approval,Mobile,3.703907,Web,4820.5227,80.25,IoT,Firefox,8.7,2019-08-20,Article,26 3 * * 1-5,2020-2025,Q2 2020,March,30 days,RS5390,NO,Chrome,2025-06-17,B,amy.brown,Chat,Workday,September,5.03,Q2 2024,2018-03-01T00:00:00Z,completed,121251,Mobile,Saturday,Desktop,2019-12-14,1.20.46,2025-09-10,Q3 2022,106.0
2022-03-25,@davidking732,2021-06-05T00:00:00Z,Chrome,December,Monday,Q3 2026,2025-06-05T00:00:00Z,Web,The Scream,2022-02-17,2026-12-05,Tablet,1998,18:12:03,013570468,20:46:38,H2 2023,21-64,9472-4477,2026-11-16T00:00:00Z,1991,Blood Draw,41 19 * * *,2000,WP-IN-223420,5.84,INS-935493,32613,2019-06-22T00:00:00Z,Q4 2023,Friday,"23 19 * * 0,6",March,Parquet,Edge,Desktop,Mobile,Opera,2025,H2 2023,Q1 2024,2022-11-23,Trial,Email,INV-837536,Wearable,December,+81-XX-XXXX-XXXX,2009,2020,Firefox,Dune,0.24,August,464.07,de906a0aac059619afa08601314da3a3adc00b60afaaa57dde19fdeb78a021f2,2021-06-08,ISO-8859-1,Q1 2024,2019-03-10T00:00:00Z,Web,2024-01-28,November,8.65,04:56:40,11 11 * * *,2022-12-30T00:00:00Z,Q2 2021,July,Phone,January,Japan,2025-10-21,https://example.com/users/46eb8c5a/profile,Q2 2025,Saturday,[INTERNAL] Q4 strategy review pending board approval,Smart TV,171.892849,Phone,7212.1085,6.31,Mobile,Opera,6.77,2021-01-26,Article,18 8 * * *,Jan-Mar,Q2 2021,January,7 days,XI5955,NO,Edge,2018-11-19,X,logan.johnson,In-Store,Salesforce,May,8.02,Q1 2022,2021-02-08T00:00:00Z,completed,686771,In-Store,Saturday,Tablet,2025-01-06,2.12.21,2021-03-02,Q1 2023,78.4
2020-07-14,@susansmith5,2025-12-18T00:00:00Z,Firefox,September,Monday,Q1 2020,2022-05-17T00:00:00Z,Web,The Persistence of Memory,2022-01-11,2026-11-19,IoT,2003,01:13:22,205032850,10:32:03,FY 2025,18-68,3995-9877,2024-03-25T00:00:00Z,2023,ECG,0 12 * * 1-5,2004,WP-FR-248023,2.47,INS-710579,763920,2026-05-10T00:00:00Z,Q2 2022,Thursday,14 11 * * *,January,Parquet,Brave,Desktop,Tablet,Brave,2020,Jan-Mar,Q1 2024,2018-02-26,Premium,In-Store,INV-396087,IoT,June,+1-XXX-XXX-XXXX,2012,2010,Firefox,To Kill a Mockingbird,2.21,January,570.33,533680fc5abf861c6c0784db50353c94b2e3b33aa45d1f6e0f999d48cf2f8d27,2020-06-04,UTF-8,Q1 2024,2021-10-23T00:00:00Z,Social Media,2021-12-12,December,7.95,20:43:03,12 4 * * *,2021-09-26T00:00:00Z,Q3 2025,April,Social Media,March,Japan,2020-07-21,https://example.com/users/8693e92a/profile,Q3 2024,Saturday,[INTERNAL] Q3 strategy review pending board approval,Mobile,13.980336,Web,9741.9495,73.06,Wearable,Opera,3.14,2025-10-05,Podcast,"25 14 * * 0,6",FY 2025,Q2 2026,November,30 days,GJ3446,YES,Safari,2022-06-17,J,amy.white,Email,Kafka,April,8.1,Q2 2023,2026-05-16T00:00:00Z,active,691906,Web,Saturday,Tablet,2025-10-19,0.10.9,2025-02-15,Q4 2023,178.5
2023-09-13,@sophialee645,2024-12-08T00:00:00Z,Firefox,May,Sunday,Q3 2023,2025-02-22T00:00:00Z,Social Media,The Scream,2018-10-07,2019-06-19,Smart TV,2005,08:04:52,855440160,11:38:01,Jan-Mar,19-62,5826-6579,2021-07-24T00:00:00Z,2015,Colonoscopy,"58 14 * * 0,6",1991,WP-MX-311830,3.95,INS-705851,107019,2022-02-20T00:00:00Z,Q2 2022,Thursday,"47 12 * * 0,6",November,XML,Chrome,Mobile,Wearable,Chrome,2010,FY 2025,Jan-Mar,2023-08-14,Premium,Phone,INV-505970,Mobile,December,+81-XX-XXXX-XXXX,2016,2026,Safari,To Kill a Mockingbird,0.7,April,767.8,c698e3547620da356ac20d8583a994046829aa6d03f47bdb0e9efdaf934c6da2,2024-10-11,Latin-1,FY 2025,2022-03-31T00:00:00Z,Mobile,2022-10-30,February,6.68,03:52:01,4 16 * * *,2018-09-20T00:00:00Z,Q2 2020,October,Phone,April,Japan,2022-02-18,https://example.com/users/edb9a0d5/profile,Q3 2023,Thursday,[INTERNAL] Q1 strategy review pending board approval,IoT,86.790466,Phone,4079.6715,30.42,Desktop,Firefox,6.1,2020-10-15,Article,"57 22 * * 0,6",H2 2023,Q3 2022,August,1 year,NU8822,true,Chrome,2021-10-09,Y,noah.lewis,Phone,SAP,December,2.55,Q1 2026,2023-01-20T00:00:00Z,active,589926,Web,Monday,Wearable,2021-01-20,4.12.73,2019-05-29,Q2 2024,293.4
2022-10-10,@emmaharris798,2020-10-23T00:00:00Z,Firefox,July,Tuesday,Q3 2021,2018-04-04T00:00:00Z,Phone,The Persistence of Memory,2018-06-02,2024-08-07,Mobile,1999,07:44:07,515718577,19:04:18,2020-2025,12-71,3737-4172,2022-01-20T00:00:00Z,1996,Colonoscopy,19 18 * * 1-5,2002,WP-DE-732953,3.99,INS-855467,680176,2021-05-06T00:00:00Z,Q4 2026,Sunday,"14 0 * * 0,6",March,JSON,Edge,Desktop,Tablet,Chrome,1990,FY 2025,2020-2025,2020-01-05,Trial,Chat,INV-241787,Desktop,March,+81-XX-XXXX-XXXX,2020,2013,Firefox,Brave New World,8.84,December,907.09,3839ef297a1bba0e998d7da692b8bbaf8117a504afbca758e01c2a68956954a5,2022-04-23,ISO-8859-1,H2 2023,2026-12-19T00:00:00Z,Web,2019-11-17,April,9.82,07:52:16,"9 3 * * 0,6",2026-09-15T00:00:00Z,Q4 2021,October,Web,September,Germany,2020-06-24,https://example.com/users/80fe672e/profile,Q1 2021,Monday,[INTERNAL] Q4 strategy review pending board approval,Wearable,-118.872128,In-Store,219.9591,18.62,Smart TV,Edge,3.19,2022-10-05,Infographic,59 8 * * *,Q1 2024,Q3 2021,October,7 days,BS5227,NO,Chrome,2019-11-03,I,harper.lewis,Phone,PostgreSQL,October,2.28,Q3 2022,2023-05-23T00:00:00Z,inactive,229239,Phone,Friday,IoT,2023-04-22,3.20.70,2025-07-14,Q1 2020,134.1
2022-02-06,@amymartinez478,2021-07-17T00:00:00Z,Edge,July,Thursday,Q1 2022,2020-09-14T00:00:00Z,Mobile,The Scream,2022-10-18,2022-12-23,Desktop,2016,11:42:22,406956862,19:48:59,H2 2023,16-65,2891-9944,2026-08-03T00:00:00Z,2009,Blood Draw,"41 0 * * 0,6",2010,WP-MX-552020,7.18,INS-918658,791191,2023-10-17T00:00:00Z,Q1 2022,Sunday,"41 9 * * 0,6",December,Avro,Opera,Desktop,Wearable,Brave,2009,Jan-Mar,Q1 2024,2026-07-18,Free,Email,INV-681379,Wearable,December,+1-XXX-XXX-XXXX,2024,2013,Brave,To Kill a Mockingbird,7.21,June,53.69,e9a39c9061dc2fe1a75a79fa6144e234bc0f343f2a111548b48fc59f28b7b540,2023-04-14,Latin-1,Q1 2024,2023-02-13T00:00:00Z,Web,2025-03-27,August,7.2,06:45:19,53 5 * * *,2023-09-05T00:00:00Z,Q2 2023,March,Email,August,Mexico,2025-12-02,https://example.com/users/2f8a489f/profile,Q4 2024,Wednesday,[INTERNAL] Q2 strategy review pending board approval,Desktop,170.866419,Phone,1696.2153,53.32,Mobile,Brave,2.71,2018-11-23,Podcast,30 1 * * *,H2 2023,Q2 2026,January,indefinite,UL9189,NO,Firefox,2024-11-05,W,patricia.harris,Social Media,SAP,February,1.09,Q1 2022,2024-05-20T00:00:00Z,inactive,117972,Social Media,Wednesday,Mobile,2020-09-14,1.10.32,2024-09-30,Q2 2025,50.2
2020-06-18,@amyjohnson63,2023-05-05T00:00:00Z,Edge,October,Thursday,Q4 2021,2026-05-24T00:00:00Z,Chat,Water Lilies,2018-02-09,2024-02-25,IoT,1991,20:47:22,691809430,00:35:29,2020-2025,26-67,3173-9283,2025-06-07T00:00:00Z,2019,Colonoscopy,54 13 * * 1-5,2026,WP-AU-496417,4.66,INS-936146,259010,2026-07-25T00:00:00Z,Q1 2024,Monday,"22 6 * * 0,6",December,JSON,Firefox,Desktop,IoT,Brave,1992,H2 2023,H2 2023,2025-11-29,Premium,Email,INV-335844,Desktop,September,+1-XXX-XXX-XXXX,1996,2009,Chrome,1984,4.26,August,888.58,61d0d13ac9eda1d5ce09e31cf04a373efcb9043671dc1b81d1848e11e13c3c95,2022-01-11,UTF-16,FY 2025,2025-09-26T00:00:00Z,In-Store,2026-07-16,January,5.61,15:39:23,55 21 * * 1-5,2021-04-04T00:00:00Z,Q2 2022,February,Social Media,September,Australia,2019-05-07,https://example.com/users/ccb041e6/profile,Q4 2022,Wednesday,[INTERNAL] Q4 strategy review pending board approval,Desktop,-21.930735,Web,-127.1965,21.23,IoT,Firefox,0.46,2025-07-12,Article,"1 10 * * 0,6",Q1 2024,Q1 2022,January,7 years,VX4466,true,Brave,2025-04-02,M,logan.brown,Phone,Snowflake,September,3.72,Q1 2023,2024-12-03T00:00:00Z,pending,984266,Mobile,Thursday,Tablet,2018-03-17,1.17.10,2020-12-18,Q4 2024,177.5
2020-10-06,@patriciayoung522,2026-01-29T00:00:00Z,Chrome,June,Tuesday,Q4 2025,2026-06-18T00:00:00Z,Web,Starry Night,2023-06-14,2023-11-01,Desktop,2019,19:10:48,745210817,03:54:09,Q1 2024,50-79,6322-4090,2023-03-13T00:00:00Z,2019,X-Ray Chest,"41 10 * * 0,6",2022,WP-US-991426,3.46,INS-261807,305728,2026-05-25T00:00:00Z,Q4 2022,Monday,4 17 * * 1-5,August,CSV,Opera,Desktop,Desktop,Edge,2023,FY 2025,2020-2025,2021-07-08,Enterprise,Social Media,INV-729268,Wearable,November,+1-XXX-XXX-XXXX,2012,2020,Chrome,The Great Gatsby,7.99,May,47.84,cb3d30cecedbaf8976cdc13a4ade0d2cd2b31f217379f10d4578a002fef55084,2018-08-28,Latin-1,FY 2025,2023-09-19T00:00:00Z,Phone,2018-03-20,July,4.57,16:53:48,23 7 * * *,2021-01-30T00:00:00Z,Q1 2025,May,Chat,October,Spain,2021-07-02,https://example.com/users/3725ec85/profile,Q4 2021,Wednesday,[INTERNAL] Q1 strategy review pending board approval,Mobile,-7.249505,Web,3897.8775,54.5,Wearable,Chrome,5.45,2025-10-11,Infographic,57 0 * * 1-5,H2 2023,Q1 2024,March,indefinite,SP1294,true,Brave,2026-06-05,V,james.taylor,Web,PostgreSQL,May,9.05,Q2 2023,2025-04-24T00:00:00Z,rejected,152562,Social Media,Sunday,Desktop,2020-02-06,2.19.48,2022-08-04,Q1 2024,174.5
