YEAR,meta_glo,customer_date,fact_start_date,BINARY_VALUE,browser_user_agent_6,rank,enddt,start_dte,wpavx87,val_cron,correlation,dowval,v_433,createdAt,score_index_14,day_of_week,c_cur,ejz70,yearval,comment_note_data,CRON_SCHEDULE,f_848,start_date_v2,p_scor,rowcnt,score_index,record_count,RESOLUTION,srcsys,area,col_tbuw,dte,employeeId,x_hk,hostname,fjaiw54,RELATIONSHIP_TYPE,month_name,bodytext,filterPredicate,raw_period_interval,f_rblb,wab15,birthPlace,dim_month,scientificName,device_type,boolean_enumeration,customer_end_date,browser_user_agent_data,dt_time,airport,schedule_plan,field_542,end_dte,review,digitalCertificate,field_kel,c_28,start_date,deviceType,tjdm50,meta_uu,scoreIndex,d_start,CAPTION,roleJobTitle,raw_channel,end_date_data,PARTITION_KEY,field_gn,quarter,schemaTableName,raw_day_of_week,date,passportNumber,fax_number,channel_6,vintage,browser_user_agent,pvdh92,date_2,date_time_val,award_name,etlbatch,sentiment,RECORD_IDENTIFIER,dvbs28,fact_year,day_of_week_6,ingestion_time,field_cron,d_month,end_date,quarter_2,date_time,clock_time,qvo90,DATE,wyda41,x_982,v_time,month,col_oats,apiKeyToken,ipAddress
2012,5.59,2019-07-28,2019-03-17,0,Brave,9.56,2025-07-23,2020-03-15,0.65,11 17 * * 1-5,-0.2277,Monday,active,2025-09-19T21:06:50Z,6.29,Thursday,32.66,NC4877040,2025,Updated per client request.,50 13 * * 1-5,Not recommended.,2025-11-19,7.93,8468,7.13,6952,1280x720,PostgreSQL,43754.2,7328,2024-05-05,EMP72190,Major finding: data retention,db-8.staging.example.net,Swiss Franc,Sibling,May,The system tracks customer interactions.  The service monitors compliance records.,date != 'active',Q1 2024,2023-10-29,data.io,Phoenix,November,Fe2O3,Tablet,Enabled,2025-05-30,Opera,2022-11-01T00:00:00Z,CDG,Monthly on 1st,Admin,2020-12-01,Excellent service.,"-----BEGIN CERTIFICATE-----
7ztemRDV5b6+VckXJD5KnWD7wCzJC2h0ZPHGDtA3+zgnwsuPL08MKh2KlnSymJAg
-----END CERTIFICATE-----",2025-08-06,Chat,2023-05-10,Tablet,683,Rev.,5.14,2026-01-26,Figure 5: Comparison,Sales Rep,Social Media,2023-11-27,tenant=acme,robert_miller,Q1 2021,sales.orders,Saturday,2019-06-05,G27240386,+1-895-596-3593,Chat,1993,Opera,2020-09-27,2019-03-12,2025-10-21T00:00:00Z,Innovation Award,batch-20200823-12,Negative,8182641,May,2003,Thursday,2019-07-26 17:26:25,7 8 * * 1-5,March,2022-05-12,Q1 2020,2025-04-28T00:00:00Z,13:06:20,Ibuprofen,2018-12-28,2020-12-15T00:00:00Z,Web,06:36:59,September,07:10:41,sk_usoji7WpHKx9LEhD8UpwWHkV88zeMyYs,237.33.23.143
2003,0.3,2024-04-18,2023-09-24,1,Firefox,0.45,2023-02-06,2025-09-23,5.67,33 0 * * 1-5,-0.699,Tuesday,cancelled,2018-06-20T18:08:37Z,1.6,Thursday,75.69,IL6398148,2011,Resolved — no further action.,11 17 * * 1-5,Average experience.,2022-09-16,9.46,13792,2.52,97681,2560x1440,SAP,8171.9,9480,2025-08-17,EMP44223,Observation: backup schedule,web-4.staging.example.net,Japanese Yen,Peer,August,The customer account tracks compliance records.  The customer account manages transaction histories.,date < '2024',Jan-Mar,2019-03-03,example.com,London,February,H2O,IoT,Inactive,2020-12-23,Brave,2018-09-26T00:00:00Z,LAX,Weekly on Monday,Guest,2024-06-21,Average experience.,"-----BEGIN CERTIFICATE-----
mi2IKg5OsjlM5JUo3/alESLYbfOmvLOCvMWimGpUAfjjiJRk5MliAy2mebANE8VE
-----END CERTIFICATE-----",2025-01-05,Email,2020-01-27,Mobile,611,Dr.,0.03,2025-12-05,Figure 1: Overview,Data Analyst,Web,2023-09-17,region=acme,david_lewis,Q3 2022,sales.orders,Monday,2023-09-08,J77387714,+1-236-774-5149,Phone,2008,Opera,2023-05-17,2019-09-14,2020-10-26T00:00:00Z,Employee of the Month,batch-20261002-56,Negative,6715228,April,1995,Friday,2026-12-25 10:25:23,21 3 * * 1-5,August,2026-09-24,Q3 2021,2018-06-30T00:00:00Z,03:22:56,Metformin,2021-07-08,2020-01-05T00:00:00Z,In-Store,18:05:41,August,22:20:06,sk_JHyYuYadovYiqqt0b0GHJBeDipQdNFEq,210.130.19.96
2008,7.82,2023-08-13,2021-12-22,1,Edge,7.02,2019-12-20,2025-11-18,5.58,42 2 * * 1-5,0.5537,Friday,completed,2018-12-05 20:14:04,7.26,Sunday,82.02,CO4947620,1998,Flagged for review.,"10 19 * * 0,6",Great product!,2024-01-21,5.31,43996,9.32,13239,2560x1440,Workday,83065.4,5484,2021-12-24,EMP49378,Observation: backup schedule,db-9.dev.example.net,British Pound,Parent,April,The customer account monitors compliance records.  The customer account tracks compliance records.,date > 'active',H2 2023,2020-07-18,company.net,London,October,Fe2O3,IoT,Active,2023-03-21,Firefox,2019-03-12T00:00:00Z,CDG,Weekly on Monday,Admin,2023-04-09,Needs improvement.,"-----BEGIN CERTIFICATE-----
bkOhqNvWnXhlLeW+6iv8sT6kUeiLkvJj3BL4QDYo3Q5Ndber8ztvh9g6tY19gSic
-----END CERTIFICATE-----",2025-06-09,In-Store,2021-03-16,Wearable,142,Dr.,9.27,2020-11-27,Figure 16: Timeline,Product Manager,In-Store,2021-07-02,tenant=acme,logan_thompson,Q3 2022,analytics.events,Friday,2025-12-02,S68171289,+1-578-676-9078,Mobile,1990,Edge,2023-04-26,2021-12-16,2018-01-07T00:00:00Z,Best Paper,batch-20240913-85,Negative,2116428,September,1995,Thursday,2021-04-04T07:04:47Z,31 14 * * 1-5,December,2022-08-10,Q1 2023,2018-03-17T00:00:00Z,04:44:13,Ibuprofen,2026-03-27,2026-01-23T00:00:00Z,Phone,00:37:55,March,16:58:05,sk_xXZsmtB9DmmwlYJVE4zQxJU8y1RRXZhh,131.51.35.146
1993,2.24,2019-03-14,2020-09-05,1,Safari,7.75,2025-09-28,2022-11-03,6.25,"36 8 * * 0,6",-0.937,Tuesday,failed,2024-03-04T03:24:59Z,7.76,Monday,77.82,CA9596837,2010,Needs follow-up next quarter.,47 19 * * *,Great product!,2021-03-26,2.34,23599,7.6,33438,1920x1080,SAP,56044.2,3841,2024-01-22,EMP62053,Non-conformance: access control,app-16.prod.example.net,Swiss Franc,Sibling,April,The system represents data processing activities.  The service represents data processing activities.,type = '2024',H2 2023,2024-08-26,acme.org,Miami,May,Fe2O3,IoT,Disabled,2022-01-28,Edge,2024-12-31T00:00:00Z,JFK,Monthly on 1st,Admin,2018-10-07,Average experience.,"-----BEGIN CERTIFICATE-----
jxZC+RxrHEHUneTchujvXkyb2RsSCUdfD2KhIHNiv2gbG/XIO+daXR7cozsvbUGT
-----END CERTIFICATE-----",2022-12-28,Chat,2018-10-10,Smart TV,245,Dr.,6.92,2019-07-10,Figure 12: Timeline,Product Manager,Social Media,2018-10-05,dt=2024-01,linda_harris,Q4 2024,sales.orders,Saturday,2021-04-26,C82671788,+1-261-873-5545,Mobile,2000,Edge,2021-04-12,2021-09-21,2023-06-27T00:00:00Z,Gold Medal,batch-20260415-87,Neutral,4089891,April,1998,Wednesday,2021-10-16T04:14:16Z,34 15 * * *,October,2025-05-26,Q2 2023,2018-07-02T00:00:00Z,00:02:56,Amoxicillin,2019-10-28,2025-04-05T00:00:00Z,In-Store,16:09:33,October,03:54:00,sk_25selc2LsJhKWKOvBT6WEzUEssYAjf0J,176.175.128.47
2006,5.59,2026-10-28,2020-05-26,0,Chrome,6.82,2024-05-30,2018-12-25,4.66,11 10 * * 1-5,-0.8903,Wednesday,pending,2024-12-14 11:58:38,2.29,Monday,30.45,FL4897924,2001,Reviewed and approved.,57 9 * * *,Great product!,2026-10-21,9.37,46359,1.91,4488,1280x720,PostgreSQL,81165.8,894,2019-01-06,EMP31546,Major finding: data retention,cache-17.staging.example.net,Euro,Manager,August,This record monitors operational metrics.  The service manages compliance records.  This record tracks customer interactions.,date = 'prod',H2 2023,2018-01-24,data.io,Chicago,November,Homo sapiens,Smart TV,Enabled,2024-04-10,Edge,2024-08-29T00:00:00Z,SIN,Monthly on 1st,Editor,2025-04-30,Not recommended.,"-----BEGIN CERTIFICATE-----
jYshUtFOatg5pcrZYsAuHl0oiEu1J3uwzNp1n2EZDScbbL7u7z0GNP01cl0eqmTa
-----END CERTIFICATE-----",2026-09-05,Chat,2020-05-05,Tablet,0136,Hon.,8.48,2020-08-31,Figure 2: Overview,CTO,In-Store,2022-05-05,tenant=2024-01,aiden_young,Q3 2022,sales.orders,Tuesday,2024-06-20,D97269898,+1-657-758-9385,In-Store,2019,Firefox,2018-12-07,2022-07-28,2018-05-28T00:00:00Z,Excellence Award,batch-20231013-70,Negative,4416944,December,2011,Sunday,2022-06-13T17:37:44Z,16 9 * * *,July,2022-10-15,Q2 2026,2025-10-03T00:00:00Z,13:33:26,Amoxicillin,2024-06-23,2026-08-17T00:00:00Z,Chat,12:23:08,January,04:47:57,sk_9TkNHYFeZ45mPUaqIE0pvdNtdvinuTGM,247.30.19.60
2017,8.92,2021-03-28,2021-07-07,1,Opera,6.21,2022-01-03,2021-11-28,8.8,42 6 * * *,-0.102,Tuesday,rejected,2022-05-21T09:53:35Z,4.17,Sunday,17.31,FL1537221,2016,Flagged for review.,"21 9 * * 0,6",Needs improvement.,2024-05-02,8.61,65567,1.13,47055,3840x2160,SAP,10619.7,5138,2018-08-28,EMP33738,Major finding: data retention,app-20.dev.example.net,Euro,Manager,November,The system represents customer interactions.  The product tracks transaction histories.  The service tracks operational metrics.,status != 'prod',Jan-Mar,2018-08-05,company.net,London,February,NaCl,Tablet,Inactive,2019-02-09,Firefox,2018-04-09T00:00:00Z,SFO,Daily at 2am,Editor,2026-01-15,Needs improvement.,"-----BEGIN CERTIFICATE-----
fdguh5cXuIOET2jvc1ZxLfjDUNUimN+OdULIP6aE78Giuc7sXF8ZSSZYGHrq+PYr
-----END CERTIFICATE-----",2019-05-03,Web,2023-11-23,Tablet,2845,Mrs.,6.74,2021-02-21,Figure 8: Distribution,VP Engineering,Email,2021-10-23,dt=acme,john_anderson,Q4 2020,analytics.events,Thursday,2021-02-23,S27355946,+1-563-491-7230,In-Store,1994,Brave,2022-01-27,2021-08-04,2022-05-21T00:00:00Z,Innovation Award,batch-20200511-18,Mixed,7860856,September,2014,Friday,2024-10-01 16:31:18,31 21 * * 1-5,February,2023-07-03,Q4 2025,2025-10-18T00:00:00Z,05:25:42,Metformin,2018-10-06,2021-05-06T00:00:00Z,Phone,10:34:30,October,09:51:37,sk_DEeDIRgnfTQfVko4hMxjraxVeo6evW1i,74.87.203.122
2007,2.82,2020-12-08,2020-11-09,0,Safari,6.88,2018-07-23,2020-08-24,7.22,7 10 * * 1-5,0.6253,Monday,active,2026-05-19T17:21:10Z,7.81,Thursday,3.76,CA3149187,2015,Reviewed and approved.,54 13 * * 1-5,Not recommended.,2018-02-20,9.16,80283,1.77,29226,1920x1080,Salesforce,39001.3,4683,2023-11-21,EMP77755,Observation: backup schedule,app-6.dev.acme.com,Euro,Parent,April,The product tracks transaction histories.  This record represents customer interactions.  The customer account monitors customer interactions.  The customer account includes operational metrics.,type = '2024',2020-2025,2022-03-21,service.cloud,Sydney,March,Homo sapiens,Desktop,Active,2024-12-07,Safari,2021-08-07T00:00:00Z,CDG,Daily at 2am,Owner,2024-01-01,Not recommended.,"-----BEGIN CERTIFICATE-----
4ng1nZQ3jAKun4f6hqVF5M178HcEjMWsnSDKxVcEbxJPrdrbeDBI8W/ztXkgqrKX
-----END CERTIFICATE-----",2023-01-23,In-Store,2025-06-23,Tablet,5120,Dr.,1.31,2023-08-31,Figure 5: Overview,Product Manager,Email,2021-10-15,region=us-east,john_rodriguez,Q2 2023,public.users,Friday,2018-02-13,O82094551,+1-725-748-6933,Chat,1990,Brave,2018-08-03,2023-07-11,2023-06-08T00:00:00Z,Innovation Award,batch-20190604-72,Negative,REC-186222,September,1992,Monday,2023-04-11T14:06:05Z,32 14 * * 1-5,January,2025-09-04,Q2 2026,2025-10-06T00:00:00Z,13:22:26,Metformin,2021-05-08,2021-02-10T00:00:00Z,Phone,08:55:59,September,01:45:28,sk_JmFjJIUeZau6BLuCthwY8B7omNtcEQdZ,243.30.18.25
2018,3.41,2026-01-20,2020-03-31,1,Edge,3.08,2025-02-05,2021-07-19,7.77,6 11 * * *,0.7818,Monday,active,2024-09-02 07:32:01,6.5,Saturday,41.74,GA4339810,2020,Escalated to management.,5 10 * * 1-5,Great product!,2019-10-03,8.27,4264,5.07,44976,1280x720,Salesforce,64101.3,9000,2024-11-23,EMP75933,Non-conformance: access control,db-3.dev.acme.com,Japanese Yen,Spouse,December,The product manages customer interactions.  This record manages data processing activities.  The service monitors data processing activities.  The service represents operational metrics.,status = '2024',FY 2025,2026-05-31,acme.org,Tokyo,May,C6H12O6,Mobile,Enabled,2023-10-26,Opera,2022-01-12T00:00:00Z,ORD,Daily at 2am,Editor,2026-01-23,Needs improvement.,"-----BEGIN CERTIFICATE-----
zvT7n6olmNtTwhvjQpaWar7m0yYW7vZTco4Kk9n8ibfB46/TMAxbtOvF7MFrtFz3
-----END CERTIFICATE-----",2025-05-13,In-Store,2023-09-14,Mobile,3471,Hon.,2.15,2018-05-01,Figure 18: Comparison,Data Analyst,In-Store,2021-09-29,region=acme,amy_anderson,Q1 2025,analytics.events,Friday,2022-11-28,X13255523,+1-376-652-1597,In-Store,2009,Edge,2025-06-08,2018-01-23,2022-04-08T00:00:00Z,Best Paper,batch-20260825-15,Positive,1150588,September,2023,Monday,2025-12-27T17:57:10Z,9 10 * * *,March,2026-02-14,Q4 2020,2018-02-19T00:00:00Z,11:21:22,Metformin,2019-04-29,2024-08-21T00:00:00Z,Email,00:32:57,March,05:36:22,sk_qtUBvXnVPEcMrqIXstmo84d7FsJAKooa,122.21.187.104
1991,7.53,2025-07-20,2021-07-07,1,Brave,7.86,2021-10-30,2021-05-14,0.38,50 2 * * *,-0.5921,Friday,rejected,2019-12-06 19:52:40,4.16,Friday,85.95,WA4674082,2012,Flagged for review.,50 2 * * *,Average experience.,2020-05-10,2.58,42515,1.15,28762,1920x1080,PostgreSQL,97203.7,9412,2018-01-30,EMP22333,Major finding: data retention,app-8.staging.acme.com,British Pound,Parent,November,The product tracks transaction histories.  The customer account tracks compliance records.  The system includes customer interactions.  This record represents operational metrics.,type IN 'active',FY 2025,2022-05-18,data.io,Dallas,February,C6H12O6,Tablet,Active,2018-03-19,Edge,2021-08-09T00:00:00Z,LAX,Weekly on Monday,Viewer,2022-08-29,Not recommended.,"-----BEGIN CERTIFICATE-----
1w+a3SAnSw+R0S163OEcd95ThsdfR+zJqL+K/KUJdFVmszcQmQPA9VKRxHpdzU8I
-----END CERTIFICATE-----",2020-05-28,Email,2026-08-06,Smart TV,9435,Mr.,1.14,2023-10-24,Figure 20: Distribution,VP Engineering,In-Store,2021-11-25,tenant=acme,oliver_white,Q1 2023,analytics.events,Saturday,2018-05-19,F43574756,+1-505-941-5076,Social Media,1995,Edge,2019-05-12,2023-08-09,2018-10-06T00:00:00Z,Excellence Award,batch-20230319-69,Mixed,8446560,February,2012,Saturday,2025-02-11 22:46:03,"47 10 * * 0,6",January,2024-12-21,Q2 2022,2020-05-09T00:00:00Z,04:25:10,Amoxicillin,2018-10-11,2019-04-26T00:00:00Z,In-Store,19:48:27,July,19:47:43,sk_EgOBDuWd7DbUC0wcNStpSUpLhLEq21Zd,140.105.100.59
2020,5.48,2022-01-29,2025-09-27,0,Brave,6.5,2025-08-26,2023-08-23,6.66,"7 5 * * 0,6",0.9595,Saturday,pending,2019-08-03 02:03:20,2.08,Saturday,93.18,IL2466779,2021,Reviewed and approved.,59 10 * * *,Great product!,2023-06-14,7.12,55163,8.78,12596,3840x2160,PostgreSQL,46540.5,1411,2026-08-29,EMP39367,Observation: backup schedule,app-14.prod.example.net,US Dollar,Sibling,May,The service tracks compliance records.  The service tracks compliance records.,type > '2024',H2 2023,2020-05-08,acme.org,Boston,September,Homo sapiens,Wearable,Enabled,2021-09-06,Firefox,2019-07-22T00:00:00Z,SFO,Weekly on Monday,Viewer,2020-12-06,Not recommended.,"-----BEGIN CERTIFICATE-----
T7/YUy/EZmDpCdV1I5ZdHL0uDsDPDRulmZf+ZRMtAqJG+msFpKNeWFd1dO8Ezyx3
-----END CERTIFICATE-----",2018-10-12,Web,2025-12-24,Tablet,615,Ms.,6.26,2020-09-12,Figure 8: Comparison,CTO,Web,2023-04-22,dt=acme,james_thompson,Q3 2023,public.users,Friday,2020-03-14,M39351157,+1-339-585-8991,Social Media,2026,Edge,2018-01-24,2022-11-14,2019-06-28T00:00:00Z,Excellence Award,batch-20220117-59,Mixed,1161795,March,2004,Saturday,2021-07-19 20:55:28,19 11 * * *,April,2024-02-02,Q2 2026,2025-02-19T00:00:00Z,01:20:55,Lisinopril,2025-03-03,2024-09-11T00:00:00Z,In-Store,04:12:37,June,16:23:14,sk_pAO6Jj0P2RXQUlxbWDLLMxFqEqSOOI4E,117.17.154.13
