workPermit,dim_market_value,raw_passport_number,lab_result_field,val_kkhc,birth_name,x_ejju,maiden_nm,natl,CREATED_AT,WORK_PERMIT,first_name,var_830,genderpii,signature,mname,valrule,v_user,var_996,tax_identifier_raw,status_code,c_sign,social_media_handle_raw,field,ADVERTISER_ID,customer_venue_name,employeeRecord,meashum,bplace,raw_data_format,username,relationshipType,EMAIL_ADDRESS,empid,advid,firstName,meta_rit,recordIdentifier,chat_id,phn_number,screen_name,citizenship,f_180,sex,biography_22,device_advertising_id,meta_yw,date_of_birth_data,title_prefix_raw,attr_221,dim_emp,c_109,socialSecurityNumber,col_birth,col_782,years_old,social_media_handle,dim_soc,c_part,val_aw,x_550,SOCIAL_SECURITY_NUMBER,platformOs,DRIVER_S_LICENSE_NUMBER,duration,raw_birth_place,p_tnpu,e_mail,user_advertiser_id,phone_number_raw,c_mess,fact_browser_cookie,trx_amount,dim_email_address,ethnic_group,raw_username,FIRST_NAME,c_pzfp,bonus_variable_pay_38,d_empl,fpztuf1,measdens,var_303,x_firs,email_domain_data,nullable,meta_976,social,bday_place,messaging_id_14,fullname,p_gr,messaging_id_info,username_14,dln,encoding,dateOfBirth,phone_number,fax_number_raw,marital_status_info,PRESSURE,tax_identifier,median,dim_165,raw_naics_code,birth_place_val,d_fw,src_employee_id,dim_nationality,ethnicity_race_14,eml_address,username_2,maiden_name,maidenName,taxIdentifier,state_id,birth_place,customer_paypal_account
WP-CA-350524,"$391,176,347",C52621117,Glucose: 101.3 K/uL,Asian,Brown,Martinez,Garcia,Sweden,2018-11-26T19:45:18Z,WP-FR-374010,Robert,deprecated,Other,sig_8bd895928c263cfb,U,UNIQUE,sarah.johnson727,Married,67-8114925,active,sig_80c548aad4833aa3,@annalewis634,email,ADV-8WMQTH3C62,Conference Hall,EMP-74187,76.0,Portland,Avro,linda.walker221,Peer,maryjones@outlook.com,EMP85572,ADV-SRX0HL0SJT,Susan,update,103211,james_thompson,555.612.7272,emily.jones527,Switzerland,amy_brown22@acme.org,Other,Michael is a Product Manager with 29 years of experience.,ADV-8HKZ6FJRJ6,Harris,0004-06-1987,Ms.,"9261 Elm St, Dallas, NY 49007",EMP47222,0003-20-1951,664-65-5421,Sydney,95.74%,29,@jenniferrodriguez956,@michaelmoore1,dt=us-east,de,Web,638-97-4805,Chrome OS,CO7169672,71527,Paris,@michaeljohnson898,lucas.martin@outlook.com,ADV-Z2LG3NCVW3,+16798998443,aiden_martinez,_ga=9022477300.3319119,313.01,olivermiller@company.com,Hispanic,logan_jones650,Mason,+1-433-923-4741,"$40,605",EMP-61299,Overnight,7.455,3,Amy,outlook.com,false,574.8,@williamanderson823,Chicago,james_wright,Amy Davis,Asian,susan_martin,aiden_moore128,CO5103244,UTF-8,01-27-1977,515.917.4320,+1-595-544-8807,Widowed,1838.1,60-6189231,-1.5686,oliver_moore706,353563,Paris,Non-binary,EMP42159,Australia,White,oliver.walker34@gmail.com,michael.brown510,Anderson,Garcia,24-9732726,IL1307819,Atlanta,logan.lewis@outlook.com
WP-JP-574473,"$693,762,172",X84617386,Glucose: 265.2 K/uL,Black,Moore,Anderson,King,Spain,2024-11-10 21:44:23,WP-IN-480872,Susan,approved,Other,sig_de6eeae02357ab47,Y,NOT NULL,liam_moore376,Divorced,83-5255139,cancelled,sig_3051b73e36e6173c,@oliviayoung391,email,ADV-6UOZA74EUG,Grand Ballroom,EMP-60758,57.8,Paris,JSON,david_young31,Manager,amymoore@company.com,EMP78824,ADV-6CH5PD8UF5,Mary,snapshot,ID-100699,mary_white,(656) 361-4740,noahlee245,United States,emily_king@company.com,Other,Lucas is a Data Analyst with 27 years of experience.,ADV-VUMQB3D844,Anderson,10/17/1951,Hon.,"7438 Main St, Atlanta, FL 10979",EMP62133,11-16-1987,XXX-XX-7174,Seattle,41.99%,90,@jenniferjackson832,@ethanrobinson300,region=2024-01,de,Phone,221-53-5674,Windows,MA8982012,42722,Chicago,@oliviathompson960,harper_brown@outlook.com,ADV-PRAEQGGQL4,(696) 254-8824,olivia_martinez,_ga=8045427254.3064240,"$44,745.69",james.thompson34@outlook.com,Hispanic,william.williams671,David,+1-456-351-1523,"$44,621",EMP-12111,Standard,13.404,41,Lucas,company.com,NO,140.54,@aidenmoore302,Portland,richard_walker,Liam Davis,Mixed,linda_williams,oliver.young586,NC9026381,Latin-1,08-10-2007,(267) 597-4052,+1-966-372-4478,Married,1221.6,11-8091051,8.9373,logan_rodriguez806,348925,Sydney,Female,EMP56417,Netherlands,Asian,annagarcia@gmail.com,lucaswright923,Smith,Martin,81-1897849,WA5725682,Paris,james.thompson@outlook.com
WP-IN-940627,"$88,149,452",K48820578,WBC: 235.1 g/dL,Hispanic,Smith,King,Jones,United Kingdom,2019-10-21 23:01:33,WP-US-852228,Elizabeth,approved,Male,sig_110faa42aba2b425,W,CHECK (val > 0),emily_miller109,Widowed,60-6958549,rejected,sig_4ef85969eb0563bf,@michaelwalker774,created_at,ADV-6027H35JRP,Amphitheater,EMP-40160,78.1,Atlanta,JSON,sarah_young596,Spouse,olivia_thompson@outlook.com,EMP98218,ADV-I4P8DQGLOV,Amy,upsert,REC-693075,susan_miller,(650) 233-2641,patricia.garcia961,Singapore,lucas.johnson@outlook.com,Male,Logan is a Designer with 5 years of experience.,ADV-97IWJC4KF7,Smith,0003-05-1961,Rev.,"7872 Park Blvd, Boston, TX 36432",EMP11852,0002-27-2010,158-94-1677,Toronto,76.82%,107,@liamharris774,@elizabethjackson384,dt=acme,en,Mobile,XXX-XX-7586,Android,WA4144259,41811,Los Angeles,@emmajones516,patriciataylor@company.com,ADV-067TJF1WR8,783-444-6693,amy_anderson,_ga=0601575649.5266741,89203.99,sarahthompson@example.com,Hispanic,james.martin472,Amy,+1-798-662-3002,"$19,672",EMP-44307,Standard,10.402,77,Michael,outlook.com,false,790.59,@harperanderson999,New York,logan_martinez,Michael Williams,Asian,liam_thompson,harpertaylor333,GA1504404,Latin-1,09-02-1950,+13653431723,+1-596-508-6038,Divorced,1798.0,36-2515013,-64.244,john_king454,380497,Toronto,Female,EMP14556,Sweden,Black,amy.jones@company.com,annalee482,Wright,Garcia,56-7008552,IL1233881,Dallas,susan.garcia@yahoo.com
WP-IN-337171,"$320,246,307",T39170896,Cholesterol: 123.2 mg/dL,Black,Williams,Moore,Lewis,France,2022-01-04T02:27:25Z,WP-MX-697419,John,experimental,Female,sig_c3040c354b9dbe14,W,NOT NULL,susan.wright477,Divorced,53-7541571,pending,sig_40caecf8dbbbfdda,@lucaswright344,name,ADV-IKMGNZR3AN,Convention Center,EMP-42346,4.3,New York,YAML,mary_lewis395,Child,oliviaclark@acme.org,EMP97717,ADV-N3JCYRKQ8Z,Ethan,snapshot,1142102,logan_rodriguez,+19939183671,mason_clark308,Mexico,lucas.rodriguez@outlook.com,Other,Susan is a Data Analyst with 22 years of experience.,ADV-XQAVPF57B0,Thompson,0001-28-1950,Mr.,"5703 Oak Ave, Tokyo, NC 15231",EMP72579,12/13/1949,649-54-6948,Tokyo,93.8%,114,@annamoore222,@johnmoore254,region=us-east,ar,Chat,XXX-XX-8146,iOS,WA7452230,65891,Dallas,@noahyoung952,elizabeth.martinez@example.com,ADV-ROV35SU0E0,481.957.8066,john_thompson,_ga=3946147684.3055836,"$49,753.33",jennifer_davis@yahoo.com,Hispanic,mason.thomas339,David,+1-265-727-7405,"$10,272",EMP-76173,Standard,13.967,82,Emily,gmail.com,YES,830.84,@jessicamiller550,Tokyo,david_young,Sophia Garcia,Mixed,lucas_martin,jenniferwright869,NC6437416,UTF-8,05-09-1958,+18726274563,+1-668-760-9120,Widowed,49.5,56-4927484,68.3512,liamrodriguez304,986797,Berlin,Female,EMP87927,Australia,White,aidenwhite@outlook.com,emily.king986,King,Wright,87-8298619,MA1969912,Miami,james.robinson@yahoo.com
WP-GB-466396,"$216,343,347",Y29495490,WBC: 234.6 mg/dL,Mixed,Miller,White,Brown,France,2022-07-04 02:35:12,WP-MX-606182,Ethan,experimental,Non-binary,sig_4761cb83cb58ae49,Z,CHECK (val > 0),oliviawalker626,Single,44-7299410,active,sig_c96bd5899f2f007b,@davidjohnson72,amount,ADV-A6730307ZK,Conference Hall,EMP-52623,69.7,Miami,Avro,elizabeth_martin621,Child,emily_harris@yahoo.com,EMP45764,ADV-U6EGBDUK7J,Jennifer,delete,USR-911219,william_white,(224) 828-8246,noah.taylor179,Germany,patricia.anderson12@outlook.com,Other,Susan is a VP Engineering with 25 years of experience.,ADV-RR3H4O69TT,Lewis,0002-01-1946,Ms.,"5607 Park Blvd, Seattle, NY 45727",EMP67947,01/25/1940,547-41-7411,Atlanta,42.32%,44,@susanmartinez226,@amylewis175,region=us-east,ar,Chat,854-22-5652,macOS,MA6278701,78035,Miami,@ethanrodriguez570,noah_garcia@acme.org,ADV-EZNIWZM94F,903.614.9711,harper_rodriguez,_ga=8800105326.2846835,98739.91,harper.brown54@example.com,Black,sarah.johnson971,Patricia,+1-579-371-8517,"$47,813",EMP-44825,Same Day,11.024,32,Olivia,yahoo.com,YES,272.28,@lucassmith742,Toronto,emma_jones,John Johnson,Black,anna_wright,emilylewis345,GA8224792,UTF-8,04/02/1946,+15993249464,+1-624-918-6033,Single,1099.2,73-2087870,-87.1528,james_king764,204793,Dallas,Male,EMP44419,Brazil,Other,ethan_walker@yahoo.com,ethan.williams519,Lee,King,98-7172512,NY9969083,Atlanta,james.wright@gmail.com
WP-DE-559917,"$694,065,313",E73119427,Hemoglobin: 81.0 mg/dL,White,Thompson,Lee,Johnson,Mexico,2021-11-06T16:35:59Z,WP-FR-341269,William,approved,Female,sig_b6a28b6d009ba734,C,BETWEEN 1 AND 100,sarah.walker102,Widowed,20-1490696,rejected,sig_1f8774b7b3ba9bd3,@lucasclark689,amount,ADV-0WR8YYYVTN,Stadium,EMP-24474,39.4,Sydney,JSON,william_walker281,Manager,john.robinson79@outlook.com,EMP61777,ADV-14T893O1UJ,Michael,delete,8471452,sophia_garcia,(518) 644-8050,james_rodriguez682,United Kingdom,annalewis@outlook.com,Male,John is a Software Engineer with 28 years of experience.,ADV-E4YU93PU7P,Clark,0001-06-1949,Rev.,"2697 Maple Dr, London, GA 27399",EMP29485,02-01-1953,809-91-5912,Denver,45.92%,110,@sophiagarcia767,@michaelthompson595,tenant=us-east,zh,In-Store,250-74-9427,iOS,MA6949853,1241,Miami,@susanharris289,robert_lewis@outlook.com,ADV-QP0XY2T9H8,315 701 5259,ethan_brown,_ga=4536877039.2211227,"$21,791.55",jamesbrown@yahoo.com,White,susanrobinson969,Amy,+1-767-719-3251,"$36,035",EMP-70387,Standard,6.617,86,Logan,company.com,YES,89.61,@oliviaanderson740,Dallas,mason_young,Mary Taylor,Other,aiden_harris,emma_jackson733,NC2934879,ISO-8859-1,0012-18-1967,608 637 1510,+1-941-403-5660,Divorced,1889.9,46-4541539,-13.7003,oliverlewis115,827767,Dallas,Female,EMP58673,United Kingdom,Mixed,mason.harris@acme.org,oliver_clark629,Lewis,Williams,41-3104054,GA5573128,Los Angeles,emma.martin@gmail.com
WP-AU-976115,"$249,927,712",M83704182,Glucose: 291.2 K/uL,Black,Young,Robinson,Harris,Mexico,2019-06-13T21:27:02Z,WP-AU-395352,Sophia,experimental,Male,sig_376c4e0b71d64293,H,MATCHES '^[A-Z]+',liam_jones732,Divorced,18-9074530,inactive,sig_14c654879ced652a,@ethanjackson561,created_at,ADV-0CAW33MPGS,Convention Center,EMP-19400,50.5,Denver,XML,johnbrown477,Peer,liamwalker74@company.com,EMP91654,ADV-VX710V5J4B,Liam,delete,9060072,emily_williams,205.853.8012,liamlee994,Italy,emily.walker@outlook.com,Other,Jennifer is a Sales Rep with 9 years of experience.,ADV-J0XSCS3HX6,Rodriguez,03-16-1957,Dr.,"1586 Elm St, Dallas, MA 79281",EMP25837,10-17-2005,621-91-4837,Toronto,23.52%,27,@olivermiller838,@patriciagarcia241,tenant=us-east,fr,Social Media,XXX-XX-2887,Android,CA7095816,81817,Houston,@oliviarodriguez681,elizabethtaylor@outlook.com,ADV-55WU3YC11C,+13597195247,liam_brown,_ga=9516910008.7968840,"$26,252.99",emma.moore@yahoo.com,Hispanic,david.moore643,Aiden,+1-878-885-3300,"$3,824",EMP-60279,Economy,9.345,119,John,gmail.com,YES,522.5,@emmamiller793,Denver,lucas_thompson,Linda Johnson,Black,harper_clark,sophia_williams115,OH2726198,UTF-16,10-12-1987,666-466-3534,+1-666-443-8513,Married,426.7,49-6998913,-57.0891,william_martin747,309121,Seattle,Other,EMP94303,Switzerland,White,david_clark@gmail.com,richardlewis733,Moore,Thomas,85-8081251,NY7073815,Miami,robert.robinson@gmail.com
WP-MX-466124,"$592,034,944",F87690021,Cholesterol: 140.5 mg/dL,Mixed,Jones,Walker,Brown,Canada,2019-03-02T05:50:48Z,WP-US-382593,Susan,high-priority,Non-binary,sig_0562525c8f41a453,B,CHECK (val > 0),aidenwright278,Divorced,22-4718030,rejected,sig_6bf6faf8e5b0ffc6,@elizabethanderson220,type,ADV-8OSC92QYGD,Stadium,EMP-80821,39.6,Sydney,CSV,sarah_lewis425,Peer,robert_miller@outlook.com,EMP32176,ADV-MHHZ228NM8,Noah,insert,5041391,patricia_taylor,259.587.6523,aiden_davis109,India,susantaylor46@company.com,Male,Emily is a VP Engineering with 12 years of experience.,ADV-I8SLWC511B,Johnson,06-15-1956,Mrs.,"1720 Pine Rd, Chicago, GA 17257",EMP39376,02/17/1985,373-21-2211,Denver,13.78%,32,@richardwilliams324,@amywright527,tenant=2024-01,ko,Chat,690-45-1431,Android,NC3776349,50511,Boston,@williamgarcia356,oliver.thomas@company.com,ADV-LXVDXJ1GZ3,792.208.6379,emma_rodriguez,_ga=2083890020.1917718,"$21,703.47",william_jackson@outlook.com,Mixed,william.davis114,Amy,+1-267-283-9523,"$19,934",EMP-10701,Express,4.621,40,Emily,yahoo.com,true,363.4,@marymoore575,London,jessica_robinson,Robert M. Wright,Black,john_davis,james_king698,TX2195459,ASCII,05/15/1999,274.452.2008,+1-764-517-5662,Divorced,929.9,24-1278961,64.4236,maryking583,122967,Berlin,Non-binary,EMP11280,Italy,Mixed,emma.harris33@acme.org,emma_white632,Davis,Smith,83-7240808,FL1984187,Berlin,david.robinson@gmail.com
WP-MX-485511,"$306,227,532",D23210317,Glucose: 181.2 g/dL,Black,Taylor,Moore,Johnson,Mexico,2021-12-12T12:17:21Z,WP-AU-747368,Aiden,approved,Other,sig_77f6d63d187eb096,F,UNIQUE,liamyoung94,Single,80-5246084,completed,sig_893519818616d59b,@aidenmartinez672,type,ADV-TACEME9F8S,Grand Ballroom,EMP-66087,20.2,London,XML,sophiataylor83,Manager,masonmartin@acme.org,EMP54519,ADV-W3Y5WJPGKV,Robert,update,4785309,john_johnson,520 709 6447,liam.williams53,France,james.anderson@gmail.com,Female,Amy is a Product Manager with 6 years of experience.,ADV-Z34IPZF43J,Walker,0001-11-1951,Prof.,"1426 Oak Ave, Portland, WA 39038",EMP80881,03-03-1967,886-10-7347,Denver,94.83%,99,@loganjackson279,@jamesrobinson249,tenant=acme,ja,Chat,371-11-7440,macOS,CA6465544,86090,London,@michaelrodriguez978,oliviajohnson95@outlook.com,ADV-NRS4L864UA,(965) 491-9109,michael_miller,_ga=6546468162.2409012,"$71,400.98",emily.jackson@yahoo.com,Black,emilyrodriguez807,Elizabeth,+1-806-829-7572,"$5,181",EMP-54797,Overnight,19.457,42,Richard,gmail.com,true,770.32,@jessicayoung67,Boston,jessica_jones,Olivia Harris,Black,logan_wright,emma.lee709,TX2071134,Latin-1,01-03-1970,352.754.9529,+1-483-687-4590,Single,442.2,97-8735509,-74.4543,michael_robinson124,527258,Tokyo,Non-binary,EMP32244,Sweden,Asian,sarah.davis@acme.org,emmaanderson825,Thomas,Miller,63-2059433,FL7502274,Sydney,amy.brown@gmail.com
WP-MX-555971,"$393,294,847",K83761046,WBC: 274.9 mg/dL,Other,Garcia,Jones,Brown,United Kingdom,2023-07-16 14:22:04,WP-IN-269369,Sarah,stable,Non-binary,sig_3121df65e180533c,E,BETWEEN 1 AND 100,emmamiller533,Single,35-7263488,pending,sig_8a16d94405b43034,@lindayoung591,name,ADV-6D261GO55D,Stadium,EMP-15475,85.9,Atlanta,CSV,logan.wright220,Spouse,emmamiller@yahoo.com,EMP82626,ADV-T7HKFL5MMY,Mary,insert,4008400,ethan_martinez,537.711.5612,david_white228,India,william.rodriguez@acme.org,Non-binary,Olivia is a Software Engineer with 13 years of experience.,ADV-YROJUKCZOR,Anderson,0009-25-1944,Dr.,"1695 Cedar Ln, Sydney, TX 12769",EMP79506,12-17-1964,XXX-XX-5275,Portland,94.23%,110,@susanthomas993,@patriciawalker740,region=2024-01,pt,Chat,488-12-2264,Linux,OH3422312,28108,Denver,@sophiawhite784,mary_smith1@example.com,ADV-5CXYLMT5PB,+18692763773,jennifer_clark,_ga=9460835181.2383740,66141.85,anna_brown65@gmail.com,Mixed,masonjones670,Harper,+1-631-922-3007,"$44,432",EMP-61005,Economy,10.378,119,Aiden,gmail.com,false,775.63,@harpermartinez737,San Francisco,richard_thomas,John Anderson,Mixed,mason_brown,mary_jones377,NC4811186,UTF-8,11-27-1954,270.967.7380,+1-936-590-7965,Married,1084.9,96-4424391,-13.623,john.lee494,476285,Denver,Other,EMP35259,India,White,david_king@outlook.com,lucas_miller471,Jackson,Robinson,57-9251570,NC4341354,Sydney,elizabeth.moore@yahoo.com
