measwt,iata_code,iataCode,IATA_CODE,c_vyup,VEHICLE_IDENTIFICATION_NUMBER,vin,nxx91,x_weig,field_lvci,iata,src_vehicle_identification_number,mpru24,distance,vehicle_identification_nbr,v_838,user_iata_code,iata_cd,distance_2,vehicle_identification_number,fact_geographic_name,CARD_LAST_FOUR,raw_weight_mass,nullable,iata_code_field,f_384,var_764,bonusVariablePay,src_schema_definition,DISTANCE,age,val_192,raw_error_message,iata_code_2,measdist,VEHICLE_IDENTIFICATION_NUMBER_2,cryptocurrency_address,c_895,crd_expiry_date,x_hk,weightMass,meta_157,IATA_CODE_2,cronSchedule,x_dw,customer_latency_response_time,distance_3,iata_2,hostname,WEIGHT_MASS,user_distance,distance_110,loctxt,channel,var_945,COLUMN_FIELD_NAME,ofnpny25,measwt_2,apslkg22,v_711,val_weigh,x_ga,x_72,src_vehicle_identification_number_2,integer_val,vehicle_identification_nbr_2,weight_mass_data,distance_4,vehicle_identification_number_info,first_nm,caption,oyrrp58,customer_iata_code,iata_cd_2,dim_tfey,vehicleIdentificationNumber,dtype,weight_mass,weightMass_2,WEIGHT_MASS_2,val_zp,raw_financial_forecast,dim_image_embedding,naics_code,iata_code_3,area_14,kg,epz9,product_name,version_identifier_field,VEHICLE_IDENTIFICATION_NUMBER_3,rhu71,var_950,attr_wru,legend,IATA_CODE_3,STATUS_CODE,distance_5,colname,vin_2,c_ghl,iata_3,api_key_token,DISTANCE_2,weight_mass_118,val_weigh_2,measdist_2
496.9,MLA,PZR,JRF,5377.3,P93Z1U0E7A5R46FYG,79TKLXSS2HULOZ7B4,I0MWNI1UCJDZ7KEZG,311.92,94.5,PEL,UR4ZEN2HNR3Q3TKDZ,YKM,3177.7,GUJJZV33UAOLGABEM,JUJTXRI2E8QM9KGC4,SUQ,PEI,5848.1,AXKLKGB9MRG86CKGP,Spain,1095,85.94,false,CHF,XMUS5IT7DM4CEHP3I,661.18,"$29,298",CREATE TABLE t (id INT PRIMARY KEY),8858.6,18,774.18,FileNotFoundError: 3301,TTA,5316.0,G9U1XYVKTFLSCRBU8,0xef41a3fe11142546f7c8981cd8eef6b45bd327ed,IMY,11/28,908.56,406.0,6H41Q3KCOO0RQMJN7,QOZ,"57 15 * * 0,6",ZTMZJKRZQ6477SAOL,370,2714.9,YGZ,cache-8.dev.acme.com,684.41,9999.8,925.7,"New York, Canada",In-Store,ZHA,status,7986.4,161.54,68.76,Unisex,654.33,626.1,GET /api/users,2HD3FJ1QPP21HVV7F,786,HKL2NMC5EJBG8KFFW,837.53,4494.5,2BMBTK3KHXNO4Z9D7,Oliver,Figure 19: Comparison,TN72CJMLX5J2KQ8ST,VKF,HIW,CGR,UC2RWS230NMNFFI0A,FLOAT,429.69,342.03,707.48,680.48,Q1 2026: $42M projected,"[0.8474, -0.5461, -0.0099, -0.7914, -0.8478, -1.0095, -0.4414, 0.0003]",986801,YEZ,93651.0,351.46,684.92,FlexPay Platform,4.5.18,FAU12YA4B2LIS3E03,MMZ,[CONFIDENTIAL] Formula #184,0.9635,Figure 9: Timeline,FHE,active,5444.1,created_at,7BN778AXSUDEOR85Q,5JV75S810IZYTT2HV,ZEU,sk_R5x06MtoST8f9i5G6qZDsruSDzspOoAv,5813.3,582.6,962.02,5082.7
672.26,DTA,PXV,PEM,9949.9,7VXYY9I181MQP6CN3,U9KWYXONCNVVAQDUM,WH5JGYYR84ZO6P3K8,797.97,87.0,NKW,5HQK65D60DYDY9DEX,PCI,218.8,3FOP6IYGIZUW0U8CS,G6JZG6QVIPENXT9CG,CYT,QJQ,3762.5,710ANH81N0P20C307,Brazil,2270,798.69,YES,GYR,XCA8GV2Y0E4XY1K34,961.06,"$19,998",message Msg { string id = 1; },9131.6,77,492.12,NullPointerException at line 3974,CZI,1222.5,YUTUM0I2I0UEQ1305,0xc0fe1c5ee801ac069669d384321a5de6ddb30d8f,ZIS,04/28,321.77,516.88,X150HJ5FHM6KKBGDK,MGJ,"13 18 * * 0,6",FXND7Q85019IAUUJG,2602,4408.1,YPZ,api-5.prod.acme.com,296.88,3160.1,96.4,"Houston, Norway",Phone,DWC,amount,9179.7,852.8,255.48,Female,606.31,744.58,npm install,B6IQ8CUMWZ2HSS90B,4649,WZFLWMGUIPUGUDKBB,287.9,4514.7,KJVU1G4KKHNPLR24W,David,Figure 2: Timeline,AED1JYU4W7FP2UE8V,CUW,RCA,PUF,8VXPORD71MSLXTFX2,VARCHAR,481.82,234.88,907.27,287.31,Q2 2025: $36M projected,"[1.1591, -0.2973, -0.2453, -0.2715, -0.2907, 0.2135, 0.5693, 0.4096]",719605,KUD,57958.0,466.99,127.34,Widget Pro,3.2.29,WILDOT3AIS6M8ZEVM,BSB,[CONFIDENTIAL] Formula #568,0.4065,Figure 12: Comparison,DWN,failed,3282.9,name,2DNRY4S99W3QQLALO,ZLVZXXIRVOC967XJQ,AOE,sk_7GXWUf79p4XL7TvH6ptyd2v0mjEGLitG,5709.4,642.78,377.72,3641.8
909.58,BZX,OFY,BRB,376.5,7V0EVF71N3F2HOJ2H,YYZ36BL67FG26KCH8,YTP9AKF9I9GA0UJPM,254.5,15.7,HBP,JXGGX70H513VKDKHD,KTL,7983.0,1PA8E3VELSC0CWX4Q,NGM7BCET2Y0ADJMZA,FSI,YBN,7155.5,K2Y5BW839UOMS3KWV,Mexico,6230,880.45,NO,CXS,L5JQHZEHG41A6WRV1,713.47,"$27,929",message Msg { string id = 1; },3086.0,75,417.05,NullPointerException at line 5654,KLT,3185.3,EXJGDKDXLLF9F6WJH,0xbc57658485df9c7711ab6896506c5331d174d8d2,JWI,12/25,526.97,796.29,K2QLAU4Y9F0L7QE4V,DXK,16 14 * * *,RAVSSLVBJJZOX07RL,2412,5363.6,RXZ,api-13.staging.acme.com,811.54,7826.0,7138.6,"Phoenix, France",Chat,BTK,email,2398.2,517.72,901.89,Unisex,507.44,310.16,kubectl apply,83V68TP2OXII4NKOO,2708,CAHYQOG160BD07ZJ5,270.56,7021.4,ADAXSH8XGM3CE27HX,Noah,Figure 20: Comparison,X7TCAHUCATLBLLN29,CRU,EBO,WAZ,46P7ON3YT0SD2QDRD,INTEGER,893.72,491.55,917.37,930.48,Q2 2026: $52M projected,"[-0.5271, -0.6588, -0.6948, 0.0925, -0.0557, 1.2311, -0.2857, -0.4735]",918344,OFY,68327.1,302.66,444.89,NanoCore SDK,0.0.75,Z77GDT2XSX380W6CL,KFK,[CONFIDENTIAL] Formula #392,0.771,Figure 17: Timeline,COI,pending,4607.8,created_at,R564K2L7LM0DN6AJI,THWI9WIWNAGAPD909,JXF,sk_O7sj1V503rArlmvVQGFF3XVfkvV3sTKs,3370.7,98.57,548.33,9207.8
982.64,LDY,FPE,HPD,6558.6,SLX68K1PCD9AV337L,B2OVBO6X9HVDXMNO4,VVZ6OLZ89FMYYINOQ,577.31,49.5,ZRE,HX59HD37PBJQJ2WC6,GJM,7658.8,L8S1T3B0ALHW0CVEM,JGBIFFZGFCTTQ1KAP,HXR,AMV,980.5,D5JFIVVU252RO8DZT,Norway,3608,165.09,NO,HKB,2G3QOIU5MKCCS6K6G,341.63,"$37,475","{""type"": ""object"", ""properties"": {}}",5323.0,19,435.98,FileNotFoundError: 2936,VBT,986.3,9B6J5MNX3ZPQ13LZ9,0x4c4cbd0d9972da88825381fa69ae7a19858878a2,LVC,07/25,582.09,649.8,F0PHQJK1XN95OATYT,QHV,"49 23 * * 0,6",7FSZ2D9RI0WXP9WVG,4993,23.0,YBJ,cache-9.staging.example.net,930.7,1485.1,8019.7,"Denver, Netherlands",Phone,WWF,amount,9158.5,254.77,837.24,Male,941.65,400.75,POST /api/orders,TINVHJ7PS83C9Q1JO,8164,534M8JA0SH8SQIJF1,358.16,4977.1,U01HVNQNSCYL2LABA,Robert,Figure 1: Distribution,S0HJKYF9B7KH4APPU,XTJ,DRJ,OJR,1MB3DD7EF2HZGE6GM,FLOAT,89.13,295.82,572.93,287.34,Q1 2026: $97M projected,"[0.0993, -0.5657, 0.1577, -0.2317, 0.0194, 0.3162, 0.4466, -0.3652]",812498,AGC,94486.4,7.69,221.09,StreamLine ERP,4.3.98,KIV4RSWWJ5G1H8M2U,JZO,[CONFIDENTIAL] Formula #513,0.587,Figure 19: Overview,FRV,approved,2808.3,email,ZHKWPBE1PKOAAPJ4C,9DCS8C1O5CJ55262T,VWC,sk_TF6DQZHd55dSkOuYAF5OnZHYO4kW7hLR,183.2,113.07,14.34,6266.4
505.14,ASZ,LCQ,BWM,1428.7,1BG537FGDXQZ9MZM6,ZFM6508LF8U41XI8L,SFUGSV6VVNZBGLX41,926.96,13.6,BNT,O6P0V4E9LWNWEEJMS,ZLS,9225.5,3XFK1DCSD4MAEA6L4,YSK3YH0HE2HPFAU97,ZVW,QUC,2.0,IWCB9L80KWK6QFM7C,India,0542,904.15,false,GMZ,68BOSBKV4FGPJ90MM,823.92,"$4,442","{""type"": ""object"", ""properties"": {}}",6741.9,38,308.4,ValueError: invalid literal for int(),XAV,9483.1,CPBO989M3T7WDBULG,0x81e746e47c17bf2a07ae2090351039f8e5a1fda7,VFC,06/27,733.33,748.07,22D8J2L15SIZYSIP6,ZTI,36 17 * * 1-5,FSZ9MSFI40ROVHSVO,4808,8458.5,GWQ,cache-8.dev.acme.com,121.55,1200.6,4656.5,"Austin, Norway",Phone,DZQ,id,3345.2,112.48,686.16,Male,916.27,368.15,docker run,1PDJ75WLBB1SQZRPT,9760,PBKTTVCHT8XHMDX4A,21.72,1167.9,OXXZ6JB7H2O3JAABY,Logan,Figure 11: Overview,YIQERH58QXZJDGBFW,ADJ,QFM,AKG,YVS66RPINM8J8NR2Q,TIMESTAMP,285.34,357.0,74.75,640.87,Q4 2027: $54M projected,"[-1.1238, 0.1299, -0.3454, 0.52, 0.4079, 0.3014, 0.4252, 0.7791]",124345,EGT,84655.0,397.09,339.1,CloudGuard,5.1.71,3UWV0XA23VWHRQ8O7,EYD,[CONFIDENTIAL] Formula #835,0.7965,Figure 16: Timeline,IDV,pending,8670.7,name,75WL48UBTLNFOAENU,TLIUGD7T3D60TAFZS,MWM,sk_Crf8xPqjC88d5ol7xwEVMTUPwkVP82jY,2852.2,211.54,526.61,2140.4
583.93,JVQ,NPT,ERF,9469.8,HY9XC5HNWDUM0WGP1,HHUBK3BYJAAS9RJFT,3O9ITZVOQ4R6ORDLP,389.32,66.2,LEX,PQLNGYJ8SVHNLSQ5Z,CAP,7428.5,4NOO3X2RMVCGKCXO1,F2VO5PR4N54WR2WFJ,MAJ,CEW,3573.4,9A045TXG96TC8G0SB,Canada,5810,774.1,true,ROY,AO5H5QZ479D9OCZ84,728.36,"$19,681","{""type"": ""object"", ""properties"": {}}",4235.5,8,135.14,ValueError: invalid literal for int(),ZXB,6306.7,A065XLLH0RITCXSBQ,0xa13b602607b681ada036596a80a2d466d0ca4f01,MQZ,08/26,490.8,426.23,5HMHQOQIE2H0DTQ7E,JCA,16 3 * * 1-5,AFVVSHEPQJS9YKMDA,1162,1345.2,XDH,web-6.prod.example.net,114.66,6298.1,2916.7,"Denver, Singapore",Mobile,MYO,amount,7320.1,281.91,527.93,Female,402.91,625.57,POST /api/orders,SMVG3LDADUFRBUTB7,8213,9C31NE5E1J49HN7S8,53.45,8530.2,5A2OI9B7L0T0BVJVX,Robert,Figure 9: Distribution,VIQGWTGQLAP4ECE5J,NFO,PXC,WZW,UAEW8H04CZAT1LEHY,TIMESTAMP,615.59,328.73,19.92,867.02,Q2 2024: $37M projected,"[-0.321, 0.3343, -0.1708, 0.0161, -0.1109, 0.1869, -0.9642, 0.0734]",539774,YLL,98944.4,159.87,464.48,Widget Pro,1.16.18,MMXAEMTJ8B5P3FYUJ,MEY,[CONFIDENTIAL] Formula #388,0.0237,Figure 12: Overview,JNQ,rejected,8196.9,created_at,ATGNCYT8WSL2N1345,PKL0XWMXP9JPQFFJI,RMQ,sk_KjWleFqZgoCRLcssMsAj3DmHpO03s8Of,4046.2,664.75,907.43,6769.8
547.03,BFF,SDW,HFQ,1669.6,D4IG7H5AOS5BRWTPZ,7T13WIO6UA6NMMVN7,EH0X45EYCMWKS3FCD,863.06,62.4,IBN,HEKGYCIAK0SOFLKUH,YKV,1243.6,QAYRXG2LI0EPRRAZ1,AMDF7EVZULE5QM24Y,NMU,IDJ,2731.7,9HOSKWMCC1737WMEO,Australia,0708,540.12,false,IDB,YQJXJ17VJBGHYKHF2,448.45,"$22,290","{""type"": ""object"", ""properties"": {}}",173.9,85,343.96,NullPointerException at line 2719,BDB,4352.0,PMYMMY122H63MX1UD,0x4ff024a8c05fca26c1b6e32cdd97dec150ae146b,PYC,08/28,768.73,728.72,TB60AJZBRZ78E0RP0,BHI,33 2 * * *,4B09NBRXZHQ3IQOFW,4693,9706.8,HAI,cache-5.prod.acme.com,625.96,3810.6,2291.8,"Paris, France",Mobile,EES,created_at,9377.4,727.52,300.29,Male,886.75,679.68,npm install,4PC2HUV9XW8DG1YC4,2194,DJOWJPCSAF6DHZCKW,471.79,8265.4,DKZQOGTYRGOWKHNMO,Noah,Figure 20: Overview,Z8DUWXTDY95KYY3I6,YDC,DUU,CIA,8ZOFXWTKFBXA0DEIF,INTEGER,121.56,595.93,309.83,442.72,Q3 2024: $3M projected,"[-0.2178, 0.2403, 0.9956, 0.235, -0.3006, 0.187, 0.6843, 0.3053]",378766,GLM,76305.2,803.07,858.2,SmartHub X1,0.1.65,VXLBO6GAKPE35Y6ZE,AKQ,[CONFIDENTIAL] Formula #487,0.2531,Figure 3: Comparison,IYV,pending,9175.4,status,PESX40XXNKZN205Q3,7TJ6UZB8XR39U00CG,JCT,sk_9sh0uDBhQe71xaOkQaSORUKpAhkv9WUn,3242.8,44.02,805.44,3456.5
163.48,JDF,JPI,CSP,4800.6,SC667EFL0LMW6LGUF,HQ912W1OGF67NJ2OI,WWADJ7Z2RNCFFFBDC,433.85,8.2,BIX,XFW1RCDP8EIQL0QQI,NUU,223.6,BGL4XTLUJMOKM4RE1,K27ZR9FKRTS1FELMT,TGJ,KXB,8783.1,BEYUU1MRX1CPKN1NS,Norway,9322,128.79,NO,EJP,1HGL621QHRFQQJB3A,111.35,"$45,226",CREATE TABLE t (id INT PRIMARY KEY),3268.8,85,287.79,NullPointerException at line 9987,MEA,2298.6,WLKOKVU1PWDNUAATT,0x0ae23dc7f33deed5d9e5dba76a1bad26bd4ad09f,OJS,10/29,384.21,990.01,EIFUQAX7HYZQAJICD,DUM,40 6 * * *,D8ZTOIQ3FEIUY579L,4575,7491.2,DJG,cache-2.dev.example.net,844.22,6412.2,8829.4,"Sydney, Australia",In-Store,FOO,id,5031.7,372.5,192.07,Female,334.3,424.31,docker run,TDDKZ8D4920D9WNYC,7512,F8MJ7EJ91VYRXOAON,381.61,1047.4,7N6FPYQKTNZSFQAFN,Mary,Figure 4: Timeline,9F81IL0F9GDXB7P6C,WHP,YUI,BUP,912LFGHBR2WAJ2QCJ,TIMESTAMP,170.41,170.79,870.7,582.46,Q2 2026: $96M projected,"[0.3097, -0.2829, -0.2652, -0.8398, -0.3298, -0.122, -0.3275, -0.0856]",256484,PHE,93076.6,888.73,682.92,CloudGuard,2.14.43,3AL50U6BFR8YRMNDA,PRF,[CONFIDENTIAL] Formula #565,0.811,Figure 2: Timeline,TVI,approved,8147.8,type,VE1WQQ1Q9QKYTB5DM,1K3PAP6PXMMB9NLDJ,TID,sk_AyEoSe0VY9DkhxBTafwmwBoeiMJvzyuq,4180.9,800.9,826.28,6219.8
982.16,GAD,GOE,SFR,3563.0,K8HM5OAUSFPDKPDIT,TDK3P9Z8UBJ8HLJYZ,M4HJDIJ9ACB8IQ2VU,176.97,13.9,DZZ,AA6AGF99H5X9ABJDB,AKU,6187.6,5JQNSQVEZKVK9MHQQ,4XX8F1P1NH7J07F07,RNT,JZD,7852.5,48OI2PJ7SG1I9IX9O,United States,7688,421.6,true,GEG,1NOMZQKVDBSFKH03D,25.28,"$41,856","{""type"": ""object"", ""properties"": {}}",1784.7,60,413.55,PermissionDenied: insufficient privileges,BQL,9518.4,TVG2PLX3ZRGG6Z7GW,0x41b021424503dec531cd0f641761c7d976105b43,QOW,10/27,307.98,680.61,EKV9JTLOEBRJK5ZK3,YXW,5 20 * * 1-5,8I72Q54VJTYFAS9H1,604,4790.2,EWQ,db-13.staging.acme.com,513.75,7077.8,8051.0,"Los Angeles, Netherlands",Phone,IHR,amount,1668.6,241.53,271.31,Unisex,251.35,636.03,docker run,NRAILYZQTLX4T0VLS,2261,SWRV0OCUWT7QOVHBK,551.62,4506.9,YNISSFREGF2QK2V1R,David,Figure 15: Comparison,Q7N37IKH15A98I9F2,NHR,OGU,TPG,D2IPA9FKIUCZY3GMA,TEXT,105.95,808.63,627.29,71.21,Q2 2027: $33M projected,"[-0.0982, -0.5989, -0.2062, -0.1016, -0.0379, -0.1854, -0.5586, 0.7718]",165360,XLH,47558.9,992.54,925.2,CloudGuard,4.12.76,OALMN06B0XPF79F7V,QCA,[CONFIDENTIAL] Formula #967,0.6987,Figure 5: Comparison,PYW,failed,8950.7,email,85ZOPZUKWXGQEUEVO,7XZBJES6W1E0HHVIF,VMD,sk_i0ha9Mhs9vyuTfavuXPqx8zj8l4pbVXZ,6993.7,476.0,307.56,410.2
970.89,ZWO,JIF,OWK,4380.2,R9ZPWOZHLBH1VB5JH,87SH7Q3CQPQ5UVDPK,6M9CGTMYGCZG8E3CF,342.28,48.4,BNM,JD2UH1AJAMZ9BOBGS,EWB,5824.4,49C2MJ1XUA25Q0ICU,K1ELC38J8MY5E690G,CWX,CIW,8946.7,TQECEXYDSKHQCZRMB,Singapore,7953,335.05,false,UZG,O5Q0PA78V1Y5BVAAN,816.2,"$44,778",CREATE TABLE t (id INT PRIMARY KEY),1747.0,80,178.24,HTTP 503 Service Unavailable,SYJ,8737.6,KCBC6G4WSELJGMB1B,0x153f462db0a5dfe8b6774d2be1fc84afb3932aa2,JIC,11/24,501.65,735.39,Y6RTOQB6FX98NB9LR,FMJ,"41 9 * * 0,6",1GJFK0PSVYCPL3RL6,4920,3817.9,YKW,db-20.staging.acme.com,380.48,8445.2,2305.8,"Seattle, United States",Email,VKY,amount,3580.1,757.45,638.91,Unisex,214.99,430.19,npm install,E6DVNAIXQ3MHD8PYR,9565,GLIZMQ3DRAFV3YT88,831.39,8197.1,WE7MSEE8L1AF0RMQ4,Richard,Figure 10: Overview,X7D343GARGJV82E10,HJV,EAT,LCT,NVGIPF3JZQ88NA1H2,TEXT,948.14,127.69,787.64,404.34,Q2 2027: $94M projected,"[0.1746, -0.1302, 0.1375, -0.0768, 0.3229, -0.5308, -1.29, 0.5763]",649082,KQW,81139.5,825.71,85.01,SmartHub X1,5.19.28,RHEZMAN9YIG154LFL,LHQ,[CONFIDENTIAL] Formula #610,0.5309,Figure 19: Overview,VJX,rejected,2931.2,name,N6R087L5DV614HN10,T3C1Q91TK8ECGK814,UZR,sk_Ovgbi22VvRsebIZVMXPpWiU3nfEqZI7t,4690.6,784.9,0.46,5018.9
