postalcd,corr,subject_line,ise74,decimal_float_raw,energy,lbpoq47,customer_feature_vector,ALLERGY,sciname,MODIFIED_AT,caption,decimal_float,encoding_6,dim_numeric_range,attr_word_,fact_data_lineage,association,feature_vector_6,nullable_flag_v2,feature_vector_field,raw_correlation,word_embedding_6,val_corre,employeeRecord,image_embedding,CRYPTOCURRENCY_ADDRESS,word_embedding_v2,ordinal_position_v2,SSH_KEY,latitude_data,attr_zi,field_featu,DIGITAL_CERTIFICATE,mean,ohccdp37,SONG_TRACK_TITLE,correlation_raw,f_mbto,dim_integer,gender_pii_data,fact_category,src_length,v_ixgu,attr_issn,raw_iso_currency_code,RISK_LEVEL,nullable_flag,v_su
BZ8 4MR,-0.2429,Executive Review 2020,"[-0.4061, 0.1084, -0.3245, 0.3866, 0.1064, -0.0688, -0.0186, -0.482]",4699.5177,24534.1,36.3855,"[0.5716, 0.701, 0.7108, 0.4935, 0.9117, 0.7477, 0.9064, 0.7359]",Latex,E. coli,2020-02-16 04:04:29,Figure 8: Overview,4577.3767,UTF-8,48-64,"[-0.4832, 0.1591, -0.1981, -0.4078, -0.51, -0.5131, 0.3954, 0.9417]",staging.orders -> reports,-0.4164,"[0.1315, 0.8231, 0.0766, 0.0111, 0.8626, 0.8507, 0.4687, 0.4151]",NO,"[0.8516, 0.6364, 0.9999, 0.929, 0.8936, 0.0258, 0.8087, 0.9578]",0.8423,"[0.2016, 1.8663, -0.4475, 0.0655, -0.4075, -0.323, 1.6021, -1.2398]",0.2761,EMP-10404,"[0.4, 0.2936, 0.0085, 0.356, -0.4935, 0.0073, -0.1028, -0.7209]",0xa5c990d7bf43614df0c40786864ddbbc917fb5d7,"[0.1717, -1.6757, 1.2987, -0.1143, 2.5747, -0.1029, -2.357, 1.0139]",99,ssh-rsa psbAW+/Z2tsAVWw3lN6bzJEKL0xQ5eAE5Ug+a7r9T/Ra=,72.498651,64.7703,"[0.3376, 0.4155, 0.3616, 0.5584, 0.1828, 0.9002, 0.1858, 0.2653]","-----BEGIN CERTIFICATE-----
mFmUkbT2hXo1m1mCkUHdcDkdI/DiNW1DPgyRiyoHkDVgAnKC4SKoVB4XndqrPtQJ
-----END CERTIFICATE-----",-63.9353,"[-0.5528, 0.4519, 0.6212, -0.2384, -0.2249, 0.6079, 0.2281, 0.4618]",Imagine,-0.913,21,7694,Non-binary,Hardware,647.64,18-68,1050-2440,AUD,High,NO,"[0.5426, -0.4306, -0.2423, -0.1807, -0.2888, -0.9912, 0.3012, -0.1353]"
UR6 6QT,-0.0909,Executive Review 2023,"[0.4401, -0.1827, -0.224, 0.9466, -0.0064, -0.0498, -0.3716, 0.2195]",8265.8978,68618.5,38.1947,"[0.6718, 0.9696, 0.7985, 0.8062, 0.6233, 0.5968, 0.4181, 0.3642]",Pollen,E. coli,2023-04-04 10:33:36,Figure 9: Timeline,4847.4577,UTF-16,22-74,"[1.3394, -1.5805, -0.1624, -0.0327, 0.2347, -0.259, 0.3202, 1.4094]",raw.users -> reports,0.1588,"[0.3335, 0.9704, 0.5254, 0.3984, 0.1823, 0.4321, 0.6378, 0.2214]",YES,"[0.0907, 0.8697, 0.5142, 0.8155, 0.7502, 0.1106, 0.3106, 0.0135]",-0.8438,"[-1.075, 0.3375, -0.4095, 0.8279, 1.6785, -1.2108, 1.3233, 1.9572]",-0.5981,EMP-17383,"[-0.2277, -0.1532, -0.0751, 0.3729, 0.0893, 0.2161, -0.0257, 0.8235]",0x0675432e9f30cb4bf6ed90c05369d63a94f43d33,"[0.9881, -1.0072, 0.0092, -0.6507, 0.2827, 2.289, -0.2871, 0.3736]",278,ssh-rsa YQlXJlAzEzT1+zvT4mX6aFW0x293bKD4UFQKMF68YMA5=,-36.052201,-90.8815,"[0.7528, 0.2021, 0.8095, 0.6686, 0.0242, 0.0085, 0.689, 0.3388]","-----BEGIN CERTIFICATE-----
9RxSsv7Y+H3F+sFFwJhQNS3D+9NWV1wcyRIliUwsDKPNkV3NQMLa3/jzLKicIB4h
-----END CERTIFICATE-----",-1.936,"[0.2148, 0.3756, -0.2283, 0.6648, 0.1686, -0.2699, -0.1452, 1.3221]",Bohemian Rhapsody,0.9059,747,4723,Female,Electronics,949.59,0-59,1792-3642,AUD,High,false,"[-0.9048, 0.3301, 0.1914, 0.3241, 0.3158, 0.0143, 0.3156, -0.1099]"
24600,-0.2545,Quarterly Review 2026,"[-0.4834, 0.1169, 0.448, -0.3155, -0.4741, 0.583, 0.5551, -0.4994]",1947.4942,42588.0,38.808,"[0.253, 0.1309, 0.5604, 0.6168, 0.8294, 0.3522, 0.7135, 0.8795]",Pollen,H2O,2026-06-20 16:29:03,Figure 18: Timeline,4727.359,ISO-8859-1,50-60,"[1.3757, 0.69, 0.2412, -1.6478, 0.6458, 0.6705, -0.2852, 1.3971]",staging.orders -> exports,-0.9753,"[0.712, 0.8769, 0.7691, 0.0394, 0.8261, 0.7616, 0.9561, 0.7106]",false,"[0.9138, 0.3798, 0.1442, 0.3193, 0.2177, 0.9564, 0.381, 0.6069]",0.1823,"[-0.6225, 0.2627, 0.6647, -1.2895, -0.7904, -0.5086, 1.666, 1.2877]",-0.4531,EMP-64605,"[-0.2298, -0.2144, 0.652, 0.4435, 0.8948, -1.5804, 0.0184, 0.937]",0x220b46ba5e5be7c497d3090a80d9f039734feac1,"[0.2426, 0.9481, -0.1885, -0.9524, -1.0283, 0.1158, 0.3768, 1.0301]",812,ssh-rsa 5hzCzuGCh0uvS6KZg4cFG2XsX13aJ6Ej2iEDxErsN25P=,-60.936195,94.5316,"[0.5184, 0.2884, 0.5222, 0.2095, 0.0376, 0.2577, 0.1833, 0.8653]","-----BEGIN CERTIFICATE-----
NhAgTRC+7tTFNyNT6aswlengmOy+ixEA6ikBGkVeoUo6BgPB7CB9RGyzTVj6/can
-----END CERTIFICATE-----",65.3857,"[0.6173, 0.7237, 0.3169, -0.0272, -0.5451, 0.1049, -0.3072, -0.0399]",Yesterday,0.5809,521,8093,Other,Software,264.92,10-98,3929-6198,EUR,Low,YES,"[0.0053, -0.0792, -0.0168, 0.8104, -0.6747, 0.2511, 0.6713, -0.4695]"
KS5 3NS,0.1021,Technical Review 2020,"[-0.2365, -1.1874, -0.5797, 0.46, 0.4621, 0.482, -0.0366, -0.7981]",3106.6126,33141.9,26.5051,"[0.3808, 0.6068, 0.4262, 0.6498, 0.9826, 0.4176, 0.7127, 0.9174]",Penicillin,H2O,2022-07-25T21:06:42Z,Figure 15: Overview,1344.0599,ISO-8859-1,20-68,"[1.9096, 0.229, -0.8297, 1.4885, -0.9873, 1.6092, 0.4705, 0.2844]",curated.users -> exports,-0.0734,"[0.1192, 0.953, 0.4187, 0.9499, 0.8575, 0.4225, 0.4522, 0.0517]",NO,"[0.9963, 0.881, 0.6447, 0.6552, 0.3793, 0.3908, 0.2529, 0.7174]",0.5539,"[-0.1187, 0.6329, 1.6163, 1.9053, -0.0248, 1.886, 0.0914, -0.6619]",0.1697,EMP-13827,"[-0.1415, -0.0678, -0.3012, -0.027, -0.3651, 0.3208, 1.6235, -0.2332]",0x4dbf59a50dae149d36bc4f26c0f5153ac6655740,"[-0.2068, -2.0214, 0.1903, 0.8894, -0.8934, -0.8448, -2.4006, -0.6383]",78,ssh-rsa fJ3iMCcWggGj94uaiPsgBWBR10IlhIupkf1yxDp6E4NI=,-7.263966,-89.1531,"[0.1431, 0.1484, 0.4026, 0.8375, 0.8929, 0.7149, 0.2567, 0.5363]","-----BEGIN CERTIFICATE-----
0GF9fQlgjyT2EDF+H5gyiFvsZ84MKwfaReK8j3Eg9pcoB8v8CE+SyaSN6an8jEPL
-----END CERTIFICATE-----",61.5002,"[0.1308, -0.2486, 0.1673, 0.0236, 0.3775, 1.1386, -0.5437, -0.2892]",Hotel California,-0.4939,685,1714,Non-binary,Hardware,718.71,47-66,7591-3762,USD,High,NO,"[-0.3653, 0.3499, -0.0599, -0.3834, -0.6061, -0.291, -0.5222, -0.4141]"
99203,0.7796,Quarterly Review 2022,"[-0.0564, 0.5605, 0.6432, 0.3008, -0.5991, 0.0254, 0.8744, 0.5908]",3967.8592,91738.2,7.1918,"[0.4977, 0.4648, 0.386, 0.714, 0.2639, 0.3957, 0.6287, 0.9097]",Shellfish,C6H12O6,2022-09-14 16:03:16,Figure 20: Overview,4662.9213,ASCII,12-100,"[0.6705, -0.5536, 1.3618, -0.3295, -1.2201, 1.1057, 1.0021, -1.4856]",staging.users -> analytics,-0.8663,"[0.1431, 0.1874, 0.554, 0.024, 0.9662, 0.2279, 0.7833, 0.5917]",YES,"[0.6526, 0.5862, 0.9082, 0.6764, 0.3478, 0.522, 0.8826, 0.6891]",-0.603,"[-0.0316, -0.2864, -0.0702, 0.1127, -1.291, 0.5842, -0.6178, -0.4691]",0.8238,EMP-40577,"[0.8565, -0.2339, 0.3887, 0.4817, 0.4058, -0.3968, 0.031, 0.3744]",0xef6fc41cc21c93083371e011a999b1c924c5e276,"[-1.3922, 0.6066, 2.4312, -0.5999, 0.3078, -2.452, -0.7063, 1.4388]",858,ssh-rsa iChkSL41E2PvWr0nrbKEIFHQqHXbvoDVLrEn5uByX1W0=,-3.978943,-99.7458,"[0.0159, 0.9557, 0.6641, 0.5657, 0.0887, 0.505, 0.3738, 0.8855]","-----BEGIN CERTIFICATE-----
dO74dMwoKcaYMTIrKvEFZcoG1h4PgcKYtK5ViULmuA4cVljwiQ1REqe48vYihR2t
-----END CERTIFICATE-----",77.0271,"[-0.2928, 1.0791, -0.233, 0.0487, 0.254, 0.7642, -0.7052, 0.1732]",Stairway to Heaven,0.9247,149,1845,Female,Services,383.85,6-78,3580-4046,JPY,High,NO,"[0.009, -0.0826, 0.3628, 0.6273, 0.6067, 0.5884, 0.2249, -0.2655]"
13270,0.7521,Technical Summary 2024,"[0.7246, -0.9652, 0.3053, -1.0401, -0.6614, 0.0811, 0.0424, 0.5594]",5107.6488,43845.8,30.311,"[0.1607, 0.4235, 0.8986, 0.1996, 0.6898, 0.6711, 0.6947, 0.4516]",Peanuts,H2O,2024-03-06T05:19:30Z,Figure 7: Overview,4956.4432,ASCII,19-67,"[-0.7598, 0.3237, 0.9676, 0.6559, 0.7418, -0.7155, -1.2072, 0.6134]",curated.users -> reports,-0.1756,"[0.9127, 0.8278, 0.326, 0.8891, 0.9651, 0.9767, 0.4556, 0.3139]",YES,"[0.1446, 0.2863, 0.5881, 0.2293, 0.9987, 0.1543, 0.5409, 0.913]",0.8337,"[0.7856, -1.4135, -0.9486, 0.5156, -1.0926, -0.6509, 1.5127, -2.0297]",0.1805,EMP-97142,"[0.2973, -0.4545, -0.8906, 0.1101, -0.1793, 0.5846, 0.1423, 0.2568]",0xa2006303660513a791c5ee2c4abd87a096c353ec,"[0.2105, 0.7898, -0.5926, 1.3821, 0.7865, 0.7698, 0.2598, -1.2638]",689,ssh-rsa vYRNWmCWvipQRD2brx1qeEM1J7/vCo0ztvYLE3f8oFCH=,-41.858421,50.0786,"[0.2828, 0.8277, 0.196, 0.5822, 0.7699, 0.7186, 0.4418, 0.6456]","-----BEGIN CERTIFICATE-----
gziLj4fFS3N6atoGf81UYroZLm+lZG/D66ZWurTP06Wm+tRO4pJl28Re9DQbqu/F
-----END CERTIFICATE-----",62.4848,"[0.3285, -0.1436, 1.2509, 0.3944, -1.029, -0.524, -0.6442, 0.3948]",Imagine,0.9073,512,5244,Male,Food,30.12,7-76,5071-1388,CNY,Low,true,"[0.7474, -0.8679, -0.4002, -0.4372, -0.3967, 0.6733, 0.0918, 0.1683]"
XH7 1GD,-0.4578,Annual Report 2025,"[-0.2544, 0.3364, -0.3279, -0.3325, -0.7904, -0.5423, -0.061, 0.5843]",1097.7113,86147.7,15.1778,"[0.3353, 0.1875, 0.2751, 0.2478, 0.54, 0.5811, 0.5917, 0.5946]",Penicillin,Fe2O3,2021-05-07T10:50:30Z,Figure 17: Timeline,218.0322,ASCII,18-69,"[0.0274, -1.3877, 1.3316, -0.0242, 0.3574, -1.5308, 0.0246, -0.4705]",staging.events -> exports,-0.6307,"[0.8183, 0.8899, 0.755, 0.6261, 0.7463, 0.9032, 0.3895, 0.6771]",YES,"[0.5344, 0.305, 0.9781, 0.5274, 0.485, 0.9029, 0.0091, 0.2255]",0.6929,"[-1.3896, 0.0091, -1.425, 1.0564, -0.7685, -0.6368, -0.3921, 0.611]",0.2353,EMP-12712,"[0.686, 0.2595, 0.6915, -0.1603, -0.3778, -0.6623, 0.7461, -0.7745]",0xf2c1f74861cfd2b760166281501ab2106b8e18ef,"[-0.2559, 0.8575, 1.3782, 0.9442, -1.8702, -1.041, -0.5478, -0.6811]",537,ssh-rsa Sv0xRzWuSo/b7SXAzJhj7MmsI1tNXbGbkzBjVOw4Gogb=,-3.366481,-64.268,"[0.5376, 0.669, 0.7862, 0.6245, 0.3975, 0.1101, 0.4733, 0.1799]","-----BEGIN CERTIFICATE-----
I8CdyQpnizlFdM7j+0VPtVxPNbr9ME/ZETXU6cf6uz+a+XaMEmejJoTNr8v+4X+e
-----END CERTIFICATE-----",82.8243,"[-1.2006, -0.3524, -0.1437, 0.5738, 0.449, 0.2463, -0.0824, 0.4201]",Imagine,-0.2473,435,7270,Male,Services,111.52,44-96,6704-6397,EUR,Negligible,true,"[0.9789, 0.1747, 0.1656, -0.264, -0.7747, 0.8041, -0.3557, 0.2716]"
64784,-0.5839,Executive Report 2020,"[-0.0939, 0.463, 0.0537, -0.3613, 0.1013, -0.4321, 0.7301, 0.1327]",5306.7954,18497.4,33.8823,"[0.657, 0.1173, 0.1385, 0.4709, 0.0158, 0.4711, 0.4323, 0.466]",Penicillin,H2O,2025-05-23T15:00:23Z,Figure 18: Timeline,5600.8342,UTF-8,17-65,"[0.3221, -0.622, 0.5296, -0.9827, -0.1427, 0.1899, 1.1543, -0.8753]",raw.orders -> exports,0.3226,"[0.5377, 0.1628, 0.2851, 0.5577, 0.9062, 0.7966, 0.0038, 0.922]",false,"[0.9704, 0.4726, 0.1695, 0.4639, 0.1845, 0.1767, 0.7141, 0.453]",-0.1208,"[-0.4545, -0.0815, -0.7451, -1.641, -0.315, -0.6819, 0.8985, 0.6211]",-0.7474,EMP-90366,"[0.4731, -0.2287, -0.3229, -0.013, 0.4416, 0.7381, 0.5037, 0.2572]",0xf09b45c15cb890ddfea3adb9a9d38e56ddc82fae,"[-0.505, -1.6662, -0.5411, -0.4991, 0.7873, -0.1103, -0.8644, 0.7548]",30,ssh-rsa LkteBG8fNIHgPs1tm/YPriMlIOaNNhQRu3AlinzbSjxJ=,86.94251,69.6879,"[0.2377, 0.6831, 0.0168, 0.3852, 0.2877, 0.0304, 0.9272, 0.2061]","-----BEGIN CERTIFICATE-----
zDQp+6qXE4xE0UGqu0XpMB1GQ70W+nB9SQDnc47KYb7QYBe/xyLMI43507Fm+OYl
-----END CERTIFICATE-----",81.1279,"[0.3647, 0.5046, 0.0571, 0.3228, -0.4953, 0.3986, 0.2387, 1.06]",Stairway to Heaven,-0.5967,941,2350,Male,Food,963.27,1-68,9655-1603,CNY,Low,NO,"[0.2042, -0.3014, 0.0795, 0.8924, 0.5571, -1.1204, 0.8303, 0.4913]"
35610,-0.7631,Annual Review 2022,"[-0.7091, -0.6712, -0.2812, -0.2438, 0.922, -0.1595, -0.1992, -0.0871]",5237.9038,54186.0,28.098,"[0.2856, 0.5825, 0.672, 0.1797, 0.8466, 0.1769, 0.7149, 0.9574]",Peanuts,NaCl,2019-07-03T04:32:40Z,Figure 7: Timeline,6368.3141,ASCII,21-83,"[1.6936, -1.4662, -0.2269, 0.3359, -1.9829, -0.0062, 0.239, -1.4929]",raw.users -> analytics,0.6857,"[0.5088, 0.4498, 0.282, 0.5856, 0.4014, 0.3305, 0.9851, 0.1867]",YES,"[0.3747, 0.0042, 0.3697, 0.2461, 0.4635, 0.8488, 0.9742, 0.3669]",-0.1024,"[0.3126, 1.168, -0.5862, 0.5888, -1.6918, 0.4619, 0.9351, -0.2998]",0.798,EMP-11585,"[0.6554, 0.4201, 0.1706, 0.2639, -0.0645, -0.1603, 0.9918, -0.4193]",0x99ebb3ef7e62ea51da3f3ed3bd2cca5435aa5070,"[-1.8112, -1.308, 0.3622, 0.7771, -0.7333, 0.6534, 0.0534, 0.3626]",16,ssh-rsa uriAWahXb9wVuy8vdZaT5gFXfpPawr711GTw35HvirOJ=,48.625038,-55.6099,"[0.0134, 0.8806, 0.704, 0.0234, 0.1434, 0.4305, 0.1864, 0.8537]","-----BEGIN CERTIFICATE-----
MyV2zhaVkSbMaZQ3IFlho8E8+raFVSalQf6twi86C0eMRoKQ3UDAm64JqR5y/j33
-----END CERTIFICATE-----",8.5033,"[0.5377, -0.2581, 0.1465, 0.5192, -0.5959, -0.3086, -0.0393, 0.4135]",Imagine,-0.5013,784,3469,Other,Electronics,195.55,21-57,8759-1864,GBP,Critical,true,"[0.3159, -0.6213, 0.6084, 0.0933, -0.5696, 0.7389, 0.0884, -0.8233]"
EE5 8RO,0.0094,Executive Summary 2021,"[-0.7044, 0.9398, 0.3627, -0.5437, 0.0801, 0.535, -0.0783, 0.6005]",110.9976,8307.9,1.3882,"[0.3882, 0.4785, 0.0613, 0.151, 0.2987, 0.1664, 0.6479, 0.4699]",Shellfish,H2O,2019-04-27 23:00:44,Figure 15: Overview,3285.6445,UTF-16,32-58,"[-0.8049, -0.5265, -0.1368, 0.2706, -0.0831, -1.5513, 1.9727, 2.0273]",curated.users -> exports,0.7039,"[0.0707, 0.4482, 0.8643, 0.9249, 0.2544, 0.835, 0.3671, 0.6485]",false,"[0.5919, 0.1435, 0.3872, 0.4204, 0.1717, 0.1103, 0.0368, 0.9562]",0.9409,"[0.4227, -0.4227, 0.2035, 0.4448, 1.2658, 0.7988, -0.0045, 0.1854]",-0.8621,EMP-51396,"[0.338, -0.3431, 0.1456, 0.2506, 1.2086, -0.967, 0.7894, -0.2082]",0xf724d7a7e3c3a3c023a7e37e6de2852a0de7e04b,"[-0.4422, -0.5169, 0.6286, -1.1788, 2.3525, -0.4603, 0.8589, -1.427]",923,ssh-rsa u3V7h0medwqkidbencrT+Bmvk9JqKHtryFveX1WZcbyf=,60.381404,-48.3058,"[0.506, 0.4536, 0.5569, 0.5378, 0.7379, 0.9242, 0.688, 0.6123]","-----BEGIN CERTIFICATE-----
8AiBbWzX1b/a86HprNheJYHms4KaEJ4Va7VF8TncHxKbgUxx+FNDr4CM9IghSBrr
-----END CERTIFICATE-----",-8.2813,"[-0.9568, 0.567, -0.2209, -0.0185, 0.3914, 0.4802, 0.4262, -0.4137]",Stairway to Heaven,0.8778,897,2725,Male,Electronics,904.52,34-51,7407-7472,AUD,Negligible,NO,"[0.0274, 0.0129, 0.6729, -0.3842, 0.7421, -0.4856, -0.186, 0.2325]"
