insurance_id_6,x_bil,p_294,val_520,rutrst65,equity,BANK_IDENTIFICATION_NUMBER,user_bank_account_number,kfgkgn18,ordinalPosition,cd_verification_value,yfhbk81,card_expiry_date_data,investment_account,investmentAccount,val_title,routing_number,lbkx12,v_209,confidenceInterval,yqtph69,paypal_acct,mapping,financial_forecast,etl_batch_id_6,col_inves,fraud_score_6,tenantIdentifier,channel,cryptoaddr,hcr34,magstripe,shipmethod,routingNumber,x_214,val_973,bank_account_number_v2,insurance_id,axpsk17,priceCost,field_388,ts,decimalFloat,col_700,salary,bin,NULLABLE_FLAG,apprvstat,raw_stock_rsu_grant,fraud_score_v2,cred_score,invest,column_field_nm,d_881,card_verification_value,credit_score_field,standard_deviation,p_insur,stock_rsu_grant_14,ahgfh10,dataFormat,stock_rsu_grant_raw,income,INSURANCE_ID,dim_budget_allocation,curname,PRICE_COST,REVENUE_SALES,col_wc,meta_804,credit_score,billingAccount,field_billi,measprice,issuer,fact_distance,rzrk29,c_767,cardVerificationValue,TRANSACTION_AMOUNT,meta_670,col_154,sbkh9,src_bank_identification_number,bonus_variable_pay_field,digital_object_identifier,bank_account_number,user_investment_account,role_job_title_raw,raw_api_key_token,longitude,attr_hhjw,investment_acct,bonus_variable_pay,creditScore,CARD_VERIFICATION_VALUE,PAYMENT_CARD_NUMBER,pctile,cardExpiryDate,v_739,ijr6,datatype,ROUTING_NUMBER,tnz42,rate,uzkumu60,FRAUD_SCORE,insid,src_salary_compensation
INS-388197,BILL-475220,INS-631336,3809,2560x1440,4297 shares @ $162.79,405510,1851422125,3582,324,4665,536,09/26,INV-110626,INV-133139,Executive Report 2025,351092717,4686-6292-8318-5918,Depression,"[12.4, 95.21]",4359-6101-8553-6360,olivia.thomas@yahoo.com,source_col -> output,Q3 2027: $17M projected,batch-20201113-81,INV-521620,92.4,tenant-034,In-Store,0xf46fe7092a729f4bd5d0643c5e8098f76a82302b,901425466647,%B9148463859402448^YOUNG/ROBERT^2809,Express,331774194,09/25,5556.16,638934753040,INS-768980,White,7588.87,72631.57,2018-01-13T23:00:42Z,3384.8827,409,"$74,441",60114780,false,Pending,2183 shares @ $16.52,47.6,801,INV-838284,email,Figure 2: Distribution,170,796,9.3098,INS-164730,2026 shares @ $131.88,3840x2160,YAML,2464 shares @ $419.25,"$246,664",INS-865441,"$4,869,073",Swiss Franc,1855.13,"$7,219,171","$46,040.83",INV-402941,594,BILL-812711,BILL-404842,2811.43,59443,9016.7,"$5,325,591",XXXX-XXXX-XXXX-0013,8101,45175.65,34.8,Peer,In Review,478092,"$16,003",10.2178/x489.45,81971179,INV-443412,Data Analyst,sk_mi9g6c31cZSQIwJ1ATDXqwvbtN7nvOAa,-49.630692,54.1,INV-612028,"$30,366",802,848,4096-3806-5973-1926,89.22,03/24,51.4,%B4959085592984508^WHITE/MARY^2705,TEXT,387274967,46.7898,5607.1,US Dollar,52.1,INS-943945,"$239,023"
INS-218584,BILL-174491,INS-639006,9178,1920x1080,2819 shares @ $487.27,601180880,245316969384,9586,522,239,442,12/25,INV-143151,INV-429478,Quarterly Summary 2020,291662369,3749-3410-9577-6621,Migraine,"[29.35, 80.47]",6011-0108-5315-6247,mary.martin@outlook.com,field_a -> output,Q1 2027: $53M projected,batch-20240905-93,INV-484155,24.2,tenant-021,Email,0xc6c862c5344379b61977c97083a0106186c392ed,834051285530,%B8909468938908527^WALKER/ANNA^2505,Freight,061619560,07/24,4167.53,914481437193,INS-238635,Hispanic,9282.85,76201.97,2025-06-08T12:27:47Z,55.5416,4450,"$145,188",454887,YES,Pending,662 shares @ $468.42,92.5,438,INV-230677,id,Figure 7: Comparison,166,657,35.3069,INS-284429,4905 shares @ $496.94,3840x2160,YAML,4171 shares @ $496.89,"$127,967",INS-938939,"$2,972,141",Japanese Yen,4931.18,"$1,903,723","$55,857.63",INV-831004,431,BILL-817102,BILL-562781,130.92,582505,4216.3,"$2,334,941",3795-0006-2062-4521,1700,14703.13,90.2,Peer,Approved,379986,"$38,839",10.4435/p202.38,90324267,INV-977393,Software Engineer,sk_VUeWsm51kzhk86rkTR3UcEvtV0vW1tVj,-154.270446,8.0,INV-215533,"$41,644",614,2838,4494-1850-9016-7683,30.89,08/27,38.1,%B4096748166204806^MARTIN/JESSICA^2411,TEXT,769203205,64.3611,7077.92,Euro,1.3,INS-352341,"$87,204"
INS-422055,BILL-397670,INS-464224,392,1280x720,2034 shares @ $438.03,495145,87376105,9924,381,7660,571,11/24,INV-494202,INV-931806,Annual Report 2024,563573640,XXXX-XXXX-XXXX-2964,Arthritis,"[15.19, 96.05]",3785-6833-7172-3883,liam.king@gmail.com,source_col -> field_b,Q2 2026: $27M projected,batch-20220816-57,INV-444131,35.6,tenant-012,Mobile,0xf6635a4a63cc212f53d7c39638ddecb14542a3be,34904565,%B3150243327520357^JOHNSON/ETHAN^2802,Freight,254025781,12/24,99.89,0881311743,INS-437102,Asian,3569.7,"$14,969.70",2024-02-20T06:48:02Z,828.8397,5280,"$120,345",582627,false,Pending,4007 shares @ $360.52,79.4,525,INV-533891,amount,Figure 13: Distribution,034,731,29.8966,INS-730409,4806 shares @ $468.46,3840x2160,JSON,2571 shares @ $39.25,"$58,167",INS-849723,"$3,977,198",Swiss Franc,3116.29,"$3,748,710",94055.20,INV-237000,456,BILL-150143,BILL-112888,7696.04,60118679,3502.4,"$9,808,375",XXXX-XXXX-XXXX-4210,927,54014.33,61.6,Spouse,Pending,371652,"$36,786",10.6941/h178.30,0496425266,INV-948496,Data Analyst,sk_POCe6InxJFqr7K1P1puDrxxGXsYxuRkh,150.45152,66.4,INV-556093,"$4,662",571,3793,4420-3396-8452-6493,14.4,06/30,62.2,%B9957308197139985^WHITE/AIDEN^2502,TEXT,722760275,57.744,1846.98,British Pound,94.5,INS-955641,"$132,579"
INS-151468,BILL-191646,INS-213569,4178,1920x1080,3512 shares @ $131.2,3761060,8213173825,6706,889,9217,641,01/29,INV-629761,INV-232603,Technical Analysis 2024,507280465,XXXX-XXXX-XXXX-4417,Type 2 Diabetes,"[32.12, 66.52]",5110-6912-7169-9134,lucas.martinez@outlook.com,input -> output,Q3 2024: $93M projected,batch-20190518-17,INV-830361,87.4,tenant-040,Mobile,0xfd616e1c6894701ba416ac5c7eb2d7fdee9c5bfb,816068324476,%B9750722736312958^HARRIS/JOHN^3012,Express,398379123,11/28,3060.32,16156983,INS-457352,Hispanic,8974.46,5587.59,2026-12-17T23:46:49Z,3227.8013,5428,"$36,045",60116547,false,Pending,3330 shares @ $341.31,87.8,354,INV-462163,id,Figure 20: Distribution,568,503,41.321,INS-654161,2925 shares @ $167.11,3840x2160,CSV,3500 shares @ $121.9,"$55,410",INS-739465,"$2,973,105",Japanese Yen,1848.59,"$3,215,501",98673.46,INV-409206,518,BILL-487125,BILL-363675,9655.12,60117962,4917.3,"$8,140,454",4536-6924-1629-9348,0487,76257.38,29.1,Manager,Rejected,415815,"$34,993",10.9078/n521.8,6102447522,INV-702508,Data Analyst,sk_zUsOplQInOHC6JcOA37ucp24PO573jyU,-166.659745,25.4,INV-501847,"$41,466",819,5274,3742-7453-9738-6022,82.67,08/24,91.7,%B9977509908582545^JACKSON/ETHAN^3006,VARCHAR,431723292,16.4376,2370.8,US Dollar,13.2,INS-336863,"$59,182"
INS-757615,BILL-658964,INS-730702,6698,3840x2160,3548 shares @ $406.21,3793323,9377353979,7164,458,717,574,01/26,INV-804694,INV-786050,Annual Report 2023,326586346,5706-8930-5233-5482,Migraine,"[7.56, 83.53]",4013-1765-9612-8575,harper.brown@gmail.com,field_a -> output,Q4 2025: $63M projected,batch-20190609-37,INV-407770,51.5,tenant-010,Email,0x13bc93fb00f22676044253a4fd1a03bc3711cc45,73389603,%B4093892342209417^CLARK/RICHARD^3011,Standard,077123971,11/26,6989.43,36578534,INS-941771,Black,3109.26,"$34,415.79",2026-03-22 17:32:49,4992.9718,3294,"$169,290",460649,NO,In Review,2491 shares @ $483.6,17.1,605,INV-302620,created_at,Figure 3: Timeline,193,312,18.8951,INS-223964,574 shares @ $65.55,1280x720,Parquet,833 shares @ $290.58,"$115,952",INS-241782,"$3,792,110",British Pound,1409.18,"$2,880,400",55452.70,INV-496468,429,BILL-270544,BILL-728632,773.57,371433,3290.0,"$2,409,244",XXXX-XXXX-XXXX-7391,345,57176.76,23.1,Manager,Rejected,601176906,"$36,300",10.7666/r252.5,195726200540,INV-918001,VP Engineering,sk_97808PN9i3z0K7DFYdxNvtFccWDkSKuQ,-82.9334,91.2,INV-168918,"$33,405",558,159,5685-2715-1886-1973,70.09,06/29,34.6,%B3349139558882222^CLARK/ANNA^2910,JSON,955967682,143.0666,4503.04,Euro,71.7,INS-706115,"$103,042"
INS-699044,BILL-722831,INS-581510,271,3840x2160,950 shares @ $258.89,3737485,414782876575,8352,273,7323,729,08/27,INV-208578,INV-441525,Executive Summary 2023,142964718,XXXX-XXXX-XXXX-8535,Hypertension,"[15.61, 73.45]",6011-3370-7246-8062,patricia.williams@outlook.com,source_col -> field_b,Q1 2026: $50M projected,batch-20190613-75,INV-414438,79.7,tenant-011,Mobile,0xeead984e95da84f6b72dabbf1c9313a9d6cceea9,825828819178,%B0504300639628127^YOUNG/EMMA^2510,Economy,724092277,02/27,5004.84,98735459,INS-272715,White,9753.05,"$53,137.32",2026-04-24T06:19:31Z,2823.9722,609,"$132,402",601140233,NO,Pending,4204 shares @ $450.97,70.2,549,INV-908054,created_at,Figure 13: Comparison,642,822,28.0285,INS-173434,2543 shares @ $170.8,2560x1440,YAML,2140 shares @ $395.83,"$201,089",INS-776151,"$3,967,508",US Dollar,2689.48,"$1,610,663",60224.46,INV-240125,493,BILL-425067,BILL-474313,9212.13,601119566,2311.1,"$1,762,240",XXXX-XXXX-XXXX-8277,057,70936.81,73.3,Spouse,Rejected,601119781,"$20,113",10.1369/t391.28,41357522,INV-269058,Software Engineer,sk_npk6z9EB70vF41hwRCQ3jwvyNnj3QKOR,30.901995,81.1,INV-945251,"$41,275",805,827,5510-9166-6202-6083,44.06,09/26,64.7,%B8944791069757367^ANDERSON/OLIVER^2405,FLOAT,390536881,8.366,8933.33,Euro,18.2,INS-143813,"$52,036"
INS-793275,BILL-491549,INS-441236,2827,1920x1080,2459 shares @ $469.56,3746715,57974196,6745,311,308,618,09/28,INV-357089,INV-938696,Technical Summary 2023,848292302,3717-9473-5960-9438,Type 2 Diabetes,"[0.89, 90.07]",3744-1482-4451-5703,mason.young@outlook.com,field_a -> field_b,Q4 2025: $5M projected,batch-20230321-71,INV-316559,86.9,tenant-045,Mobile,0x934953d1b9c7ef84f99b154802df606290bd6436,01776854,%B9209730725288845^RODRIGUEZ/MARY^2609,Express,775126741,01/29,8469.57,047278419576,INS-950709,Asian,2569.73,84456.18,2022-10-01T04:00:37Z,522.1088,5228,"$195,980",486236,NO,Rejected,1883 shares @ $87.9,55.1,350,INV-611051,email,Figure 15: Comparison,276,565,34.114,INS-216840,556 shares @ $472.63,3840x2160,Avro,4173 shares @ $461.49,"$207,921",INS-996944,"$4,036,610",British Pound,8066.48,"$6,545,339","$63,982.32",INV-825162,306,BILL-894729,BILL-323673,4161.79,58772,7739.0,"$8,794,376",6011-9845-2971-6931,475,"$90,375.46",47.2,Sibling,In Review,601148820,"$11,705",10.3675/r514.47,424154324928,INV-711070,VP Engineering,sk_rqUoHrOI3iHfA1WBBcnho9qjrfLfL64w,-63.059728,14.7,INV-133040,"$41,135",585,1286,3776-7093-1050-9085,95.33,06/26,17.7,%B2007108116121513^DAVIS/LUCAS^2810,BOOLEAN,711634247,68.8445,8487.6,US Dollar,65.4,INS-433903,"$211,998"
INS-889835,BILL-166295,INS-115866,9238,1920x1080,2736 shares @ $66.5,60113150,89600004,5474,81,905,652,08/29,INV-103437,INV-104106,Annual Report 2023,402750197,5524-7912-1403-2318,Asthma,"[8.76, 87.65]",3782-9695-5844-0686,william.rodriguez@gmail.com,input -> field_b,Q2 2027: $100M projected,batch-20251220-18,INV-469180,20.7,tenant-040,Social Media,0xa358b754e328f020f11cc899c0bc6ed98d0c2976,74923267,%B3716519863198317^THOMAS/ETHAN^2410,Standard,938216772,07/27,1692.2,20669887,INS-259888,Mixed,4411.2,31006.66,2024-08-09T15:47:45Z,-656.4097,769,"$48,159",373672,true,Pending,1503 shares @ $238.31,31.0,787,INV-640412,name,Figure 19: Distribution,482,386,35.1648,INS-345072,3339 shares @ $165.78,1920x1080,YAML,4122 shares @ $425.77,"$96,278",INS-608345,"$3,678,299",US Dollar,2371.0,"$8,923,142",67073.66,INV-105388,416,BILL-724460,BILL-157246,3822.88,57291,4288.3,"$9,165,246",5319-1287-6313-0716,4902,24002.85,94.9,Spouse,Rejected,60112891,"$43,989",10.7093/r967.30,909183925701,INV-715131,CTO,sk_lsLLP4Q7PV6mJe1ehRJe1r9UqpHl9tJ0,-84.203153,8.1,INV-369754,"$7,582",780,5860,3789-9418-0338-9473,8.04,08/24,97.7,%B7492470859975295^GARCIA/LIAM^2407,INTEGER,293628859,23.1625,491.18,Swiss Franc,63.9,INS-948342,"$162,907"
INS-972974,BILL-970309,INS-346193,7962,1280x720,4780 shares @ $188.57,46876,21892232,4928,565,440,542,10/26,INV-112061,INV-105675,Executive Summary 2023,416051748,3745-4514-9760-0098,Anxiety,"[15.83, 89.9]",XXXX-XXXX-XXXX-4996,lucas.johnson@yahoo.com,field_a -> output,Q3 2027: $77M projected,batch-20260103-40,INV-715356,97.2,tenant-023,Email,0x85022437594136688f231336be91c72107b58a23,89014530,%B5909721622566832^SMITH/NOAH^2812,Standard,836934359,06/28,8431.56,8314199664,INS-844491,Hispanic,6780.96,"$24,860.57",2023-09-20 06:12:56,977.7508,319,"$238,540",582610,NO,Rejected,3886 shares @ $130.71,29.1,327,INV-681736,name,Figure 2: Overview,7261,845,33.514,INS-731027,1164 shares @ $43.73,1920x1080,Parquet,2310 shares @ $186.06,"$99,667",INS-967818,"$947,730",Japanese Yen,7996.25,"$7,970,796","$97,120.31",INV-324813,680,BILL-995562,BILL-501121,3952.39,601173085,909.8,"$9,678,579",4787-0793-2509-1659,7253,96222.36,75.3,Parent,In Review,55599,"$37,783",10.7020/s605.5,32618708,INV-760530,Software Engineer,sk_4NXMbobS4PbycaUX5sfRwhZR2pKrH883,-113.690009,51.3,INV-812949,"$24,638",752,0286,6011-8834-3365-6213,44.03,01/28,94.8,%B1171643387317227^KING/ETHAN^2907,INTEGER,601633266,66.4447,4814.48,Japanese Yen,69.3,INS-679145,"$61,371"
INS-458032,BILL-200266,INS-102458,3474,3840x2160,3980 shares @ $89.96,56952,861180210723,6723,712,5503,811,07/27,INV-795274,INV-390304,Annual Analysis 2020,792344062,3753-3614-2339-9095,Anxiety,"[15.33, 99.59]",6011-8693-0940-3638,emma.rodriguez@yahoo.com,field_a -> output,Q4 2026: $19M projected,batch-20180801-87,INV-967536,93.8,tenant-030,Mobile,0xb7d2ebf7b5ad496adb3f1aec8d3c1bf7cfa564fb,906634826146,%B7307613117052338^SMITH/JAMES^2706,Same Day,227733750,10/24,1525.65,79484450,INS-605963,Hispanic,3676.16,"$68,123.48",2026-04-25 01:27:44,8535.7147,148,"$126,638",49312,NO,Approved,383 shares @ $434.91,11.4,491,INV-668518,created_at,Figure 10: Comparison,9209,724,33.4279,INS-628240,1971 shares @ $463.54,1280x720,CSV,4506 shares @ $145.59,"$55,324",INS-530264,"$767,913",Japanese Yen,4593.57,"$1,018,791",42561.74,INV-794650,748,BILL-105720,BILL-501793,2271.87,503816,892.2,"$6,568,133",XXXX-XXXX-XXXX-4409,512,46777.27,31.5,Parent,Rejected,510406,"$4,029",10.5270/d524.17,95979442,INV-469627,CTO,sk_7G5aVY75EOCJcd67YK3Cnq1ufEwqj41M,1.501969,59.8,INV-719979,"$5,563",566,363,4973-9431-5592-1775,39.21,06/30,31.2,%B9832173796184781^MILLER/LOGAN^2411,BOOLEAN,644413753,92.87,8591.52,Swiss Franc,2.5,INS-329134,"$50,592"
INS-540834,BILL-418470,INS-302171,4275,1920x1080,4630 shares @ $289.64,601116661,3902398974,1654,48,4491,680,08/30,INV-804029,INV-516082,Technical Report 2025,890739076,6011-2327-8454-1911,Migraine,"[34.18, 95.74]",6011-2938-3362-8762,ethan.jones@gmail.com,field_a -> output,Q4 2027: $90M projected,batch-20230812-69,INV-970057,67.3,tenant-047,Email,0x8fd5c619fd13d93162eef21273105a09388b98bf,427490054212,%B9290047832183098^YOUNG/JAMES^2402,Same Day,246114740,11/27,8704.27,005005577109,INS-534723,Asian,3839.37,65051.01,2019-01-27T20:04:08Z,2036.0404,682,"$161,406",3740973,NO,Approved,3531 shares @ $125.14,33.2,773,INV-100024,created_at,Figure 14: Overview,899,795,28.441,INS-315105,3357 shares @ $182.02,1280x720,YAML,196 shares @ $46.11,"$215,917",INS-325524,"$499,707",Swiss Franc,6105.0,"$3,191,580",28943.11,INV-783259,548,BILL-874566,BILL-464456,408.51,560553,7558.6,"$8,792,278",3739-3158-0160-9934,973,"$60,271.84",44.3,Parent,Pending,60118302,"$19,569",10.5528/s222.35,188145515559,INV-492584,Designer,sk_lQPaEdqk9tM8AWEMNNuzvCNvfkgovhim,150.245121,36.3,INV-591022,"$28,821",384,754,5075-7583-0012-3002,20.35,10/28,50.0,%B5685050188884542^WRIGHT/MASON^2907,VARCHAR,589089624,106.2953,9343.81,US Dollar,26.7,INS-932513,"$200,913"
INS-453188,BILL-759475,INS-455719,0697,1920x1080,176 shares @ $38.59,538321,60009627,2500,751,2989,375,08/24,INV-120588,INV-135977,Annual Report 2020,958765521,4740-6371-3634-8032,Type 2 Diabetes,"[26.98, 84.84]",3764-9180-0241-4685,lucas.rodriguez@yahoo.com,input -> field_b,Q3 2025: $68M projected,batch-20200703-20,INV-644281,70.4,tenant-025,In-Store,0x92759274b79e178112533c717ea033351dbec735,9438213842,%B9636086696353465^SMITH/NOAH^2808,Overnight,886409570,06/24,3746.64,9843736936,INS-860309,White,391.56,"$83,858.07",2025-11-27T00:50:51Z,-513.9824,7468,"$241,999",3797127,true,In Review,2082 shares @ $290.66,10.4,456,INV-429512,status,Figure 18: Comparison,398,713,25.0857,INS-793537,3070 shares @ $473.08,2560x1440,Parquet,901 shares @ $152.43,"$188,426",INS-897984,"$810,999",US Dollar,2415.02,"$1,727,491","$15,246.14",INV-643019,565,BILL-789962,BILL-577686,372.09,583675,5104.6,"$5,033,018",4030-9986-5243-0722,483,"$98,599.41",57.1,Spouse,In Review,46182,"$14,871",10.7733/h892.43,856419567340,INV-157209,CTO,sk_L0JeiTMUqZ48grJnKaV3M9WzNh2Uss9V,28.595448,66.2,INV-181987,"$7,929",609,855,6011-4065-0581-9666,21.74,03/27,83.9,%B4895240271713780^MOORE/JESSICA^2407,TEXT,381891182,78.1677,7046.8,British Pound,44.6,INS-225655,"$129,219"
