duns,elevationAltitude,field_pty,iata_cd,VEHICLE_IDENTIFICATION_NUMBER,p_miaw,iata_code_data,FINANCIAL_FORECAST,iata_code,weight_mass_126,iataCode,v_weig,dim_investment_account,v_516,IATA_CODE,d_iata,open_source,p_vin,var_iata,src_distance,vehicle_id,raw_iata_code,weight_mass,distance_118,dim_vehicle_identification_number,insuranceClaim,continent_info,weightMass,correlation,WEIGHT_MASS,field_909,measwt,vehicle_identification_nbr,vehicle_identification_number_info,vehicle_identification_number,distance_field,distance,val_275,col_941,PRODUCT_NAME,noise,x_mje,date_time,iata_code_data_2,dim_iata,power,VEHICLE_IDENTIFICATION_NUMBER_2,mbbsj54,IATA_CODE_2,f_first,iata,vin,var_empl,v_weigh,dcj30,mkytfh40,attr_key,hashIdentifier,COLOR,bwr92,schema_table_name,CHECKSUM_HASH,iteration,customer_iata_code,vin_2,lybdy77,measmem,ruleConstraint,iata_cd_2,measdist,iata_code_data_3,weight_mass_134,customer_vehicle_identification_number,PARTITION_KEY,iata_code_2,iataCode_2,range,vehicle_identification_no,var_tf,vehicle_identification_number_data,filePath,fact_distance,IATA_CODE_3,hvko52,distance_raw,weight_mass_field,iata_2,bldtype,vehicle_identification_number_2,airport_code,cusip,v_key,c_649,fact_iata_code,iata_cd_3,distance_2,vehicleIdentificationNumber,p_iata,distance_3,FOOD_INGREDIENT_NAME,VEHICLE_IDENTIFICATION_NUMBER_3,medical_procedure_46,weight_mass_2,DISTANCE,f_enc,valrule,iata_code_3,user_social_media_handle,SOFT_DELETE_FLAG,iataCode_3,artwork_creative_work,comment_note_38,weightMass_2,latitude_info,mraru96,IATA_CODE_4
956215204,5182,0FG7GIKT0HZ4EINF2,SMG,6L7JV5T95OJO2IYB4,370.94,AOK,Q1 2027: $58M projected,TTU,506.7,JOV,705.14,INV-108352,Dr.,VKP,AMX,GPL-3.0,7P7YDMPHDD86GNOY4,AMH,7011.5,5ZWF0TDCC9Q1OXEOG,GRY,348.97,738.8,VP5QDTLD7DJXGMHU5,CLM-538911,Oceania,264.11,0.5842,481.42,BVE,457.97,4G4G5M0LZPN60MT01,ZX55HI6S7BPQJJ112,RJ71YOZ8UZ4N3P1O9,9312.7,3024.0,958.74,X2N7YYC0BL4NFLWCF,DataSync 3000,110.8,981.2,2025-09-13T00:00:00Z,CAT,ZIV,10836.9,7PE1MKMV4MJ571ONT,YLU,OXO,Amy,NHM,Q80FU3KZVAR8UMHSV,EMP-54185,492.11,514.9,LPU,"performance, scalability, data, analytics",8ecadff9b92231ceddc6fa95147cb6ba2b2ca6db57cbabe1fb72bc50a17ea5f1,Gray,richard.smith,public.users,4fdacdc0d039624199a13c00975f402bee816ae8c82fa4fd819e3523ed130ff1,0.8.51,ADG,38UCHUHR8P8F6CGBG,6.91,86.5,amount <= 10000,BGL,6126.3,IRY,446.39,NLA46GKRYKG4E8C7G,tenant=2024-01,ETR,GLR,8545.1,RPQR1OI4KF04SE5R4,1171.7,MLNEAU8F6W5ETA764,/var/logs/export_29.yaml,1732.8,MMY,1470.7,9498.5,107.44,SKY,A+,6F7ZQU69X7OUZ4OCW,WLN,6ZWC0OHLG,"compliance, reporting, monitoring, integration",2021-11-02,OMJ,GYR,3869.0,DJEP5OI6T7XPHHZ4Q,LBT,72.8,Steak,RGIJGWOTZ1OL6KGYJ,X-Ray Chest,186.9,9513.9,ISO-8859-1,MATCHES '^[A-Z]+',AKN,@susanrobinson267,false,RFA,The Scream,Escalated to management.,993.57,-26.724899,"[36.66, 77.29]",LPP
798184882,8292,FBNJNQ3YOY1J4LW1Y,RKH,BF3FDSB332FTXWY5G,847.65,TKX,Q2 2026: $41M projected,OAK,80.85,WIV,959.77,INV-655227,Rev.,EXB,DRV,CC BY 4.0,0Y2RE1XNRMMDQWP5D,HMB,6015.5,ETJKP29N594BFWPKQ,HXA,545.02,7828.7,HP0CK1XV87WCWDNF9,CLM-810667,Africa,891.27,0.617,11.47,YNQ,782.3,Z4TTO8YXNO0506K6Y,SSN0XYXBOE2OXIWAF,Y1V9TCK5VB7L8BI2I,268.4,8871.9,434.85,A943LZ8MPU0T9XYX2,StreamLine ERP,120.8,6739.2,2022-01-18T00:00:00Z,WFJ,KFP,13183.1,ZVXA5ELRQOGN1I6SM,YTJ,YYZ,Amy,BTR,ODMRMU3FAZSUT20JK,EMP-17221,767.86,4658.2,EOZ,"reporting, automation, security, cloud, data",155a7e747cf349340a3b713eace84d8890e5a7e884ec979921e052de4e321c6a,Blue,mason.johnson,public.users,dc1ad0473a59dfb8a374d8c8fe47ffe8bc21cfc8841616d7c783f8cea5b84b06,5.11.59,KCL,3AXC6H90Z9SFP5N17,6.38,12.9,age >= 18,EKM,9106.8,CFZ,917.19,U4DMIG8DTUEJLG0WD,dt=acme,FRO,AAZ,4721.8,0PETSKRSXKIALIT40,1113.1,QA9Q8XROC1VEOCZJN,/var/tmp/daily_368.yaml,7277.8,XBO,2522.6,6364.9,997.15,MDM,A-,PMZIZP2OM3UFQ7ZTC,LVQ,21DPN5234,"reporting, analytics, scalability, integration",2019-07-14,FHU,VFL,3741.5,GAHVFAQPJFT4376YJ,ZIU,2300.4,Salad,L0MHEBNF2CH2BG6GQ,Physical Exam,373.03,7897.4,UTF-16,UNIQUE,VPE,@patriciamiller660,false,RUT,Starry Night,Flagged for review.,540.48,38.049016,"[35.62, 92.61]",IJD
551236536,3140,HPNAISRB6WOCVM4RA,GOC,6TYXXI3IHSA6EKBM5,783.4,MBK,Q1 2024: $34M projected,MTA,278.9,GRX,30.57,INV-737414,Ms.,SQC,PHK,GPL-3.0,HBZ7D7DM18S7AQZGW,FUJ,7712.0,ZIWAOEAK1D9J2HKZH,VIC,61.12,9152.7,AFDAPHTDD6WYPTPUO,CLM-140540,South America,161.18,0.7346,209.54,QLX,162.7,A3LY1B3YP1FMU2PFC,90ESW7092ECAI3S7W,QKLCNOYXR7R22JBZD,1851.8,2411.5,411.41,9JRD00L8JSY1YHHFI,Widget Pro,75.6,358.6,2022-05-22T00:00:00Z,WOH,SPH,15441.8,E7WEREUCYCPZ3VJPN,JNF,JPD,James,KOQ,P8ZK7R3VA2SIRM0BQ,EMP-16046,923.69,4375.2,MUX,"cloud, reporting, data, performance",be96a599bf357d3443f377b78d5c9e88138a8737dbb3e8ada4f72abc0634f766,Yellow,jessica.rodriguez,public.users,ae19de350d2a0caaacf028bd66247d3c2253097e26adac8172d12e179e5f3d4a,3.8.56,RTU,NE615OT29IJ7P0003,9.06,19.2,NOT NULL,KBI,5913.9,EUZ,363.27,1GZIM3M98XIGED4HM,dt=us-east,TMD,JEF,8684.0,9WJBXGGS77WI2ZBA2,582.8,VUS7Y82I9T5SW9AOH,/var/uploads/batch_937.parquet,2693.9,QNR,6342.5,6249.3,331.74,JWI,B+,QHVSTICUOT8KKNEZA,ZCA,35NZOGK5U,"data, performance, reporting",2020-02-11,XLK,KIR,965.3,Z0GA1OP5KJ37PRMZW,FMF,6427.2,Pizza,S8W3141SQZEAA7KYU,X-Ray Chest,346.41,261.0,Latin-1,UNIQUE,TRC,@emilyking542,false,RWQ,Water Lilies,Flagged for review.,512.31,-89.166896,"[13.15, 61.87]",TZW
479380033,1837,8AZ24CG81C2PTNR73,BNL,O13TAI0MAJA32DYTN,277.72,IYW,Q3 2025: $83M projected,SMP,479.01,AFB,662.9,INV-624934,Mr.,PZC,XYP,BSD-3-Clause,U03SU0J3725WJ74BH,PCX,7174.1,4QKXQJTKU5EEKUNH4,QYX,165.06,9835.6,VEUPVN1IWBA5OBWIV,CLM-836879,Antarctica,51.85,-0.1825,551.62,GQJ,478.32,GR62ZCZ67IQYV2FTV,V42XSMX7QRLJ0VLPZ,5N2C43XTNSZSX6W3B,9925.5,2278.9,468.38,9IOWGI2QJL2JE0EFO,DataSync 3000,97.4,2495.3,2024-06-20T00:00:00Z,CKC,WFO,30542.0,TJZWJ8X3QRP0M5W2K,GPC,PHH,David,RTU,6XGWL33WDKGRYGLOQ,EMP-45317,28.4,9409.5,ZUR,"integration, data, scalability",dac358fdac6fbb5300879733d162d9143030eae5072d1cbff42eecbdb76d2298,Red,david.thomas,sales.orders,fb369c1614fe7d048af22cbb592400ba05445713c56dbc2c3b75accfcebcf168,1.10.96,OVE,QBDPDGSOMUH2OAWJ2,3.08,9.1,age >= 18,BRB,6567.9,KCT,361.29,YXLF4LW57L2XWB8PK,tenant=2024-01,YJJ,RGF,3842.1,34QO7M2LI00J6QNIA,104.4,V3SVT2JL5HGUL07JA,/var/config/daily_277.xml,9068.7,GYH,350.8,4605.2,469.45,KIU,B-,RCZQ7AK44P94ORGHB,PUP,EWXGGNA8F,"monitoring, reporting, scalability, performance",2023-07-13,VGI,EIK,8129.8,5P669TXTPJKIXZX0H,CNU,3894.2,Curry,2TGNFS3O2E24XEUFH,ECG,922.28,6168.2,Latin-1,UNIQUE,RBF,@robertanderson660,true,NMQ,The Persistence of Memory,Reviewed and approved.,949.99,-56.767152,"[39.59, 72.06]",RGO
709017923,4820,2J92UUGUMFA2BZJET,VQT,72ZR8R0Z2LJWK9TZ9,606.99,DZV,Q1 2024: $75M projected,FOR,130.41,OHK,416.21,INV-119733,Ms.,QIZ,UOV,Apache-2.0,OPIOJ6LFI1FBM02X1,YSU,1463.1,3TR3MATQZW102HYF1,BNC,980.17,1372.9,2I5J7BEQ5ZC0VQH7Q,CLM-843670,Africa,84.77,0.6473,26.62,QQC,271.93,488IHLFRV4E19TXNL,SWUZ1TR29I8JRRH8L,78HHBNMB5KLKMJCMN,4662.8,296.6,741.17,3IA07WYJLCSNOZPBN,AuditTrail Plus,4.4,356.5,2019-05-05T00:00:00Z,QZQ,AEV,2386.5,SKSUVZ36PWAJNZWQQ,KAQ,OQH,Susan,QVO,DR4SD7WFDHQCR8HMH,EMP-71047,43.01,9383.7,BBL,"data, integration, security, analytics",3790897514c6a90492696c1d77995607e331a2b57d53c5a37608b629d79f8fee,Green,olivia.lee,hr.employees,43b1d59735cde1fd5b9e7130443fd74de55389b2b61e0233fa6c8a9af4d0538c,1.4.78,MSD,CN120YJC2EICOXW2W,2.83,70.5,"status IN ('active','pending')",RIO,1197.6,CJI,675.56,BLBS8W8JCWWF8QR8M,region=acme,XXY,XQN,8199.2,DKBBS5RXHSR1WK1A2,1437.7,BT834TD1YKVZ7XQO2,/var/logs/batch_94.json,5186.6,MAG,4850.0,2820.9,437.67,LCZ,B-,MRL9PIFKXN4ZK0FTS,TSS,U4X1XLUXR,"compliance, monitoring, reporting, automation",2024-08-01,EVX,MPK,265.2,GBE1UA65EJ3GEVD5M,RGV,4701.2,Steak,KRVUXHJB6WGY6I7F5,Colonoscopy,320.25,2725.8,ISO-8859-1,UNIQUE,RXN,@elizabethharris49,false,HAM,The Scream,Flagged for review.,328.0,67.308942,"[14.35, 84.31]",GOZ
827107593,3988,4WTNC7LQQD64ELJW2,WJF,NXPH11BFJ1AW4OJGY,660.64,PUE,Q3 2026: $36M projected,PIG,866.6,UPF,172.18,INV-488419,Mrs.,CJX,WRH,Apache-2.0,ZXOSEJLKMNDR0V76Q,LGF,2843.3,V03YIDS9RKHV7YYD0,PCO,491.35,8091.2,JWIRMQ3VC4T17L00L,CLM-703541,Antarctica,34.07,-0.7745,797.33,QGA,245.22,YUK2Z0MRY0QB0KVQC,DC0AAN4LMXVPCLMF6,IASD80XRI3RGFW28O,7591.6,8144.5,50.15,69TJMUYFR3PF3T3QQ,CloudGuard,40.7,4308.6,2019-08-19T00:00:00Z,LCY,GZS,742.8,JW5AYOKQ176YHFI5W,OMU,MZS,Jessica,TES,1LMMVL41JHK4ZEJ3X,EMP-54197,576.3,5896.7,EUQ,"integration, performance, compliance, security",d31af01f9ee9879ece9edd21a231d14aab2f2d9a865e9395847d28ca3888c3fe,Green,oliver.walker,public.users,1083174bead0a9bdd4946eb9ac0a82f404e6bf6deae3f7b45a7196c5e8f75bf6,3.12.4,FLE,78TMXRP31JC71SMBJ,9.2,86.3,NOT NULL,JGH,1777.0,HCG,746.14,QFE7NX3IOR54FWDBY,region=acme,KUH,OTO,7521.2,XG1EKO7F57VCBZAOR,240.6,GEKVGX3FAIP5DD5NA,/var/logs/daily_166.yaml,3063.0,CNQ,3783.3,9166.3,943.35,GLB,O-,K8PKIKWWMMUX6DXOK,CTY,W1FRVS3WN,"scalability, integration, reporting, security",2023-07-13,NUQ,WUL,8379.8,4VSQHRW3B2PZBBSZI,VGP,3454.5,Pizza,XFZVVFZZZGLDQQ1PT,ECG,676.89,7063.4,Latin-1,UNIQUE,FCT,@richardlee513,false,DYD,The Scream,Reviewed and approved.,703.33,-30.564735,"[19.59, 96.22]",SDF
788249380,2030,K3L6G9OS5LGAGO9MA,FTH,1KABL2SF8YI0QZYRP,214.59,DGN,Q2 2026: $63M projected,OPY,476.58,BUA,422.36,INV-989858,Dr.,ABF,IPA,BSD-3-Clause,FVJGFBCM3HDX967IM,AGD,7698.9,7QOISAM5UDCQXJ6NQ,XMW,457.21,7876.2,P5VO6XECFXZSOD7FR,CLM-575618,Oceania,916.49,0.8138,801.59,WOY,81.57,VMFQANCLVERDBRE03,851NJ2DRVNJ2GX57F,PILAHUKKVPN49R7F7,8536.7,4346.5,395.93,7DP1LTPK4T62XVGMQ,StreamLine ERP,19.9,8621.5,2025-08-22T00:00:00Z,BFM,AFY,16220.4,EBZF39SP2CCGZUTL7,PFJ,ZZO,Sarah,CEU,PSGEX6LGLFB0YW71G,EMP-53085,953.88,5522.3,GBP,"performance, scalability",950a30b548fa5d76de6c29da48063e57c3d3c4737c7412594b19ad70c614b66d,Red,harper.king,sales.orders,370137d4cf83d4f478846e49a5f771d2776185ae4fcc14f75204effb5fceb8cc,4.13.18,CGM,KEE4MITT5X20GRK0M,0.8,25.0,age >= 18,BIK,5886.3,JES,711.88,YECOIAW2ZLCL57JLO,dt=us-east,OOI,UJL,2241.9,5RBYWIS42ZCCQ2M6J,448.6,4DKO2VO138JJOX5O0,/var/uploads/daily_231.xml,2330.2,AZR,9651.7,1185.0,213.31,UFL,A-,SICKQL6UYVRQ2M4WC,HJJ,9HVSYOYIK,"integration, performance, scalability, monitoring",2025-06-26,YTH,QYP,9473.2,954SDE1PPYP39V2FZ,TDI,5127.4,Tacos,Q9IL2P14UGKDB2I0U,ECG,634.68,6968.7,ISO-8859-1,UNIQUE,HKF,@emmathomas851,false,TCE,Starry Night,Resolved — no further action.,964.15,64.59164,"[28.03, 73.51]",ZIF
508946450,1991,OQ18WIVWLVQIBAWTM,JVX,O96JATGKQ02U4HO98,340.84,MBC,Q1 2025: $81M projected,SZH,467.62,YAV,728.43,INV-751354,Hon.,CHC,VQJ,MIT,H0JAB03LXWIXDO713,QWH,7988.2,F9GYYX6MXNL7MHBRQ,LEA,124.29,9554.4,WRDTPB0F07IDGF0TP,CLM-945309,Oceania,307.23,0.6582,890.25,VYL,367.95,5OREWLSXU6NNKBODO,G37YM09GPWCK17R6V,T26V4SM6NXXAF7HS6,9552.9,4174.3,307.29,KVK5WV2JYZ5A96LHD,Sentinel Monitor,118.7,2908.3,2020-01-16T00:00:00Z,XNA,HYK,19737.7,UYSBCUCWTTNO54HEA,OVD,DJB,Patricia,LZC,375Q0SJ4TDBRHQ0MX,EMP-70508,939.53,6779.6,FNG,"security, analytics, automation, reporting, integration",813b5d5eb8aeaeb74334b5e6119cc5a02022e29597e6dfe78acd8dda3c290d91,Red,sophia.garcia,public.users,6e960e5c15234edfda9d62650cc449c35ea18322aabdefb6af95d964f9fd33dd,2.12.65,MQK,L1B4CG98PPMDB2B8G,2.12,2.9,"status IN ('active','pending')",ABJ,48.4,MFF,852.49,3TNWJGLA8T014TO0S,tenant=us-east,AWC,TPJ,7361.8,0AAX7CNSP2HRQAOTJ,936.6,6W7GUH2G9IK012JU8,/var/tmp/export_357.parquet,6756.1,SKJ,989.5,2778.5,853.08,NET,O+,JE2IVVUBMS6CGGY0E,RXK,ST76PSTF6,"security, performance, reporting, compliance, cloud",2020-10-14,FYA,IYG,9737.9,SH4I19GL4N6BXF84X,IKI,7877.2,Pizza,9NGU8UEG3IAZN4E8R,Physical Exam,167.54,5031.1,ISO-8859-1,BETWEEN 1 AND 100,CSS,@jamesmartin347,false,EZQ,The Persistence of Memory,Automated processing complete.,422.84,-87.215217,"[27.45, 99.11]",YKM
950960370,3920,ZABK7W85DGP2MJY0G,FEM,JAPYZLKRV7IH9LW2T,613.04,AHW,Q3 2024: $8M projected,TVE,77.25,EFS,659.06,INV-284972,Dr.,YBE,XHN,GPL-3.0,VF67VFWTQJF7TJQ5K,WQZ,7039.4,YWSPCOMACWSYTH286,PKX,281.72,9038.6,JFGV2CF34A6UCB93Z,CLM-861734,Africa,78.1,0.2681,33.24,MHU,843.51,6Y5YL303D63NB53CS,2SC2MLRMVJH7Q0SWL,0GY2DZ3NYMPK3VKR1,4186.8,2238.1,919.59,2ATVAK7LAZZHNI189,DataSync 3000,86.4,7082.4,2021-11-27T00:00:00Z,TED,YMQ,38576.9,JDSL88E0ANI25RL4E,XWD,LYF,Ethan,FJC,YJUT7OTI98CKTVRL9,EMP-61752,370.58,80.2,PDG,"monitoring, analytics, compliance, security, performance",c0dee2b9e7733d11f7386ee1d90f543341ce128e5a990f33748c07f48b81f280,Purple,john.wright,public.users,d02db688a03cf324b66af9c510d527ba5a306228b1a1fd0c5cca8b83b729df96,1.12.1,PFF,M02GN0APDP2SAOIGD,4.9,91.1,amount <= 10000,KST,6935.4,NHR,659.81,AH8VCC6PPAA4A74PI,region=acme,CFX,WHG,1929.9,13ZJ1KUK8TFS574SD,1553.3,SGMRB6VODM7MYT3EQ,/var/config/export_539.json,4218.9,QTF,3297.0,1066.2,902.13,JGE,B+,T0G5GC6XC75XY9QDC,NZZ,KG867B7EO,"scalability, cloud, automation, integration, analytics",2026-02-05,HXM,ZTT,2659.4,GB72S0ZM51WSBYD8R,ALA,2281.5,Pizza,QRPM57538ZVDFQJ90,MRI Brain,760.79,3427.1,ISO-8859-1,MATCHES '^[A-Z]+',HAH,@daviddavis574,false,MBD,The Scream,Automated processing complete.,245.0,9.527053,"[31.81, 84.61]",KCS
047208843,5481,4Q2AKGX01M053DTZY,XRL,4ZHKO7BHY7C2GOXXP,98.95,FEQ,Q1 2027: $10M projected,DMP,300.96,SJT,228.82,INV-235954,Prof.,APH,LKC,BSD-3-Clause,F17NLVKOFCDM9SIIP,ZXO,3837.2,RSI5HY72DPSB9QZ35,IUD,970.81,2192.3,8WHOVXZHBQPHLG08G,CLM-811615,Africa,156.04,-0.536,195.64,JZM,546.65,7N0AD2AHPAD9DG6FB,P84HIMUIS89MLS6GB,JX4QI15U6PN2UZ25P,3203.7,6023.1,158.61,9SKVNCOH29KH79DSL,StreamLine ERP,86.2,9617.5,2023-09-07T00:00:00Z,TPH,PYJ,15932.3,8NFH75XI0TQSPF8NN,VVL,HTK,Harper,AQH,ADRY92RC5PRIFIFBT,EMP-53806,476.46,468.3,TXH,"compliance, cloud, performance",a70a70b316304ff8da025483d7a920ca0cf3d3bcd9b3af8b5c5a7db5f1446207,Yellow,sarah.moore,sales.orders,e5453270890fca7e7b4143870ad11c7963402a2cabeb9d610c2114af61c288e9,0.18.68,GHM,LQ680M1017ODVZSHT,4.22,64.4,amount <= 10000,AZX,2426.9,FSS,980.45,TPQPRRHDB959GR7QA,tenant=us-east,GWC,XDF,2793.1,XQ7G71OSD4WSTF5ES,1946.7,WOYKCNGSG9UZB2UWF,/var/logs/batch_375.log,9203.7,ASX,6377.2,399.4,355.9,TAH,A-,ZFRQE0MV39V21PGJH,XQY,TBS0LOEPB,"monitoring, scalability, analytics, reporting",2025-05-18,UQP,VLC,6336.3,EVL1TFMGQ4OL0CAF8,LMC,9203.4,Salad,ML5FS6CMO9KUNRFYF,X-Ray Chest,955.2,345.0,UTF-16,BETWEEN 1 AND 100,OKV,@lucaslee146,false,GCD,Water Lilies,Resolved — no further action.,173.14,-24.859391,"[23.52, 80.68]",IFR
