scoreIndex,year,user_checksum_hash,user_device_type,qtrval,kdjl79,dtval,dt,raw_time_of_day,date_time,command_action_raw,remark,command_action,SCORE_INDEX,measscore,dim_modi,val_zeq,checksum_hash_38,binval,policy,versionNumber,ssn,ljsm84,month_38,q3,score,month_info,fact_storage_size,partition,time_of_day_38,date_data,month,insid,DUNS_NUMBER,airport,stddev,cron_schedule_val,mar89,ethnicity_race_val,browserUserAgent,BROWSER_USER_AGENT,rank,dev_type,scientific_nm,platform,definition,periodInterval,rectype,cron_schedule,model,tkbhr17,end_date_val,fact_quarter,quarter_54,yqfr20,user_day_of_week,user_score_index,wdllkl4,iso_country_code,time_of_day_data,legal_entity_identifier_raw,date,PERIOD_INTERVAL,members,dim_ebg,col_mont,date_2,meta_577,shippingMethod,end_date,fit,area_v2,vydk33,ivehq84,encoding,device_type_field,attr_35,MONTH,v_load,score_index_62
3.05,2000,175d821b056f684bd31aacc5f0ebf59c594e82d91c34866d1e7922c5ee9b21df,Mobile,Q1 2023,-3.23%,2022-01-21T00:00:00Z,2024-04-26,15:20:39,2022-05-27T00:00:00Z,POST /api/orders,Resolved — no further action.,docker run,9.12,6.75,2024-07-19 17:08:26,2026-11-05T00:00:00Z,04cbfd03b0c3cb0cfad85448256be18163b60e0e6eb035a3b598ae8e9d0784ad,0,MFA required for admin,5.7.47,XXX-XX-3662,"-----BEGIN CERTIFICATE-----
VrhdPLwflO5P3IO9zcS6O9m0ZsxXlmFWK0jj0fFMDEoPVcea2oFnM1qr0q/Drr82
-----END CERTIFICATE-----",November,Q2 2022,9.57,November,563025,tenant=us-east,00:54:20,2021-04-04,November,INS-908089,654326619,CDG,10.9048,20 11 * * *,Cholesterol: 86.6 K/uL,Hispanic,Chrome,Chrome,43,Mobile,E. coli,Phone,A systematic definition of compliance.,Jan-Mar,delete,38 16 * * 1-5,public.users,NY,2026-09-07,Q2 2020,Q1 2024,ADV-PPE2EUXBI6,Tuesday,0.89,Mobile,AU,05:49:46,YZMHEWXM4O5O6BXN18VQ,2019-02-25,2020-2025,5019801,None,December,2026-12-21,375,Economy,2019-04-25,S,1483.6,gRPC,2006,Latin-1,Tablet,H2 2023,October,2024-08-18 00:32:51,7.56
3.31,2014,89e0d6c598ce349383270e698e3d8f148e6ae89217ed66200ccbdea3ad29a1fc,Desktop,Q2 2023,-25.26%,2025-04-02T00:00:00Z,2023-11-08,00:13:25,2025-08-30T00:00:00Z,GET /api/users,Pending verification.,GET /api/users,3.8,9.71,2019-05-24 15:48:40,2025-07-19T00:00:00Z,6538912616f23f1cca782901f5202e98c4864e190aad74d5b757c5f71969aaa5,1,Data retained for 7 years,4.10.74,808-91-4836,"-----BEGIN CERTIFICATE-----
WF4Qtwxh7MKsgYcyBRDbN2Ywc2ht10zCkX/ajJj4II90sA6a1UxsbWVdgWKoZnZu
-----END CERTIFICATE-----",May,Q3 2021,5.78,September,467641,region=us-east,04:36:25,2018-03-25,January,INS-569862,046203994,LHR,0.7745,"28 20 * * 0,6",Cholesterol: 94.4 g/dL,Other,Chrome,Safari,68,Wearable,C6H12O6,In-Store,A formal definition of compliance.,Jan-Mar,insert,38 9 * * *,analytics.events,PA,2019-02-23,Q2 2020,Q1 2020,ADV-31GTOUFKEH,Tuesday,1.83,Email,BR,11:50:45,MUKLHJYVRS21HM25LFGG,2019-06-25,Q1 2024,5451891,Mobility,August,2026-06-21,411,Overnight,2021-10-02,XS,79585.3,gRPC,2012,UTF-16,Smart TV,FY 2025,February,2018-08-04 00:11:38,4.42
2.61,1990,46cd9bab6301a9eacdcebecfbcc91e233edb1b5af80f56f392ea0e02ac6f7d9d,Wearable,Q1 2024,10.29%,2023-02-10T00:00:00Z,2022-04-23,21:34:41,2023-01-21T00:00:00Z,npm install,Escalated to management.,npm install,4.06,3.12,2021-01-17 14:32:21,2023-12-29T00:00:00Z,144973f47b55adecbaef5a1d7c5762a8688ac21ed15b9185112d75f29d87e7a1,1,PII encrypted at rest,2.15.51,499-59-8819,"-----BEGIN CERTIFICATE-----
A07bgiSThHltF/aMtHk+eLAIdWvHmyFfITvYOL5ntwggLKfyR//DAveIBq4veSPO
-----END CERTIFICATE-----",June,Q2 2023,7.44,September,874827,tenant=us-east,11:05:50,2020-01-30,September,INS-668356,240814685,JFK,14.8696,18 20 * * *,Hemoglobin: 136.5 mg/dL,Black,Edge,Safari,100,IoT,Fe2O3,Phone,A formal definition of data quality.,2020-2025,update,28 11 * * *,sales.orders,NY,2023-03-06,Q1 2026,Q3 2026,ADV-TA1FKU21SG,Monday,8.46,In-Store,FR,16:48:54,KIQYFJE118UMYNGIW7YW,2026-10-23,Jan-Mar,4987691,Hearing,September,2020-05-27,533,Express,2023-03-31,XS,1807.0,FTP,1999,UTF-8,Desktop,Q1 2024,September,2018-10-05T23:45:07Z,2.1
8.57,2007,d66358813f15366f5e2f7a7a6166eaae72f4656f56dab69cf6270e4554dbe767,Tablet,Q2 2024,-40.4%,2024-01-04T00:00:00Z,2021-03-02,08:47:37,2019-02-18T00:00:00Z,npm install,Needs follow-up next quarter.,docker run,4.85,2.69,2018-11-07T23:03:54Z,2025-08-24T00:00:00Z,cd0b763c3a01826bd4c50ab555d2ae40301225cb5013e38830328dbb5eee706c,0,PII encrypted at rest,3.16.6,XXX-XX-2886,"-----BEGIN CERTIFICATE-----
ZqlumKiAy+4lenWjx1l0IozbA7XXytiT5Gbw0d2qVCPHrCWz8RazhWp0QVmsyEqh
-----END CERTIFICATE-----",July,Q2 2022,7.56,January,244780,region=us-east,04:25:59,2021-09-25,May,INS-100167,488280882,SFO,25.7868,10 10 * * *,Cholesterol: 130.4 K/uL,Hispanic,Chrome,Brave,72,Tablet,C6H12O6,In-Store,A formal definition of data quality.,H2 2023,insert,23 4 * * 1-5,hr.employees,FL,2019-03-09,Q3 2023,Q3 2021,ADV-TH0OI4L3SA,Thursday,3.04,Phone,US,12:48:23,970IWEXMGSGTNKKP2QS1,2020-02-19,H2 2023,7696641,Cognitive,June,2020-02-16,315,Economy,2019-02-19,XS,82921.9,HTTPS,2010,UTF-16,IoT,FY 2025,September,2025-05-16T13:02:05Z,6.34
0.66,1993,e1566305d3b6774b6f59794edcf3116106d7459b7d43ca0fd0e3edaf3420df8f,Wearable,Q1 2024,37.81%,2021-02-25T00:00:00Z,2019-12-10,00:36:08,2019-10-05T00:00:00Z,GET /api/users,Flagged for review.,npm install,1.23,1.29,2021-02-05 11:05:35,2025-11-21T00:00:00Z,ee76fd320868085898a7a110d4b9bd3296d0d512b192b34a61a7f59511f78ba9,1,Data retained for 7 years,0.6.27,851-97-1817,"-----BEGIN CERTIFICATE-----
yUerEb5BFkWTkFAhskO2t/hkBe12buwKRxMTSDrs7I5E8xqWTVYcQhS22C4is2SU
-----END CERTIFICATE-----",March,Q1 2026,4.11,June,734109,dt=us-east,12:35:09,2023-11-18,December,INS-663261,653104193,CDG,47.6237,34 0 * * 1-5,WBC: 211.8 K/uL,Black,Edge,Firefox,28,Tablet,E. coli,Web,A operational definition of compliance.,Jan-Mar,update,"41 3 * * 0,6",hr.employees,NC,2025-09-17,Q3 2026,Q1 2022,ADV-IHBD6QDIDT,Friday,9.96,Phone,US,18:48:36,CW3QWKKSF637FMYCNV4Q,2020-12-22,H2 2023,3576933,Mobility,February,2023-05-18,585,Standard,2024-12-09,S,33594.0,WebSocket,2002,UTF-8,Wearable,2020-2025,November,2023-12-13T21:46:12Z,9.73
1.34,2005,709ee8b401ce6b256a7922a89fa5f122eed19a38a093c3b14503a07b6e583217,Wearable,Q2 2022,10.3%,2018-05-23T00:00:00Z,2022-10-05,03:01:13,2019-09-09T00:00:00Z,npm install,Escalated to management.,POST /api/orders,2.82,7.3,2026-05-02T17:04:08Z,2020-06-20T00:00:00Z,6df505982f0aaac49f703865d452e1a9b9dd4855240eb3bd9d77d1ee1092ca67,1,PII encrypted at rest,0.2.33,XXX-XX-4535,"-----BEGIN CERTIFICATE-----
Uqltx9nXxXT1upS/bmH6iwb5CzcfqZwID4jc/CFDY1m67F6qMNSn9wgbzsowZkQv
-----END CERTIFICATE-----",August,Q1 2020,9.23,July,126292,region=acme,17:12:12,2019-11-12,October,INS-509996,773059562,SIN,35.4574,31 14 * * 1-5,Hemoglobin: 240.7 mg/dL,White,Edge,Opera,84,Wearable,C6H12O6,Social Media,A operational definition of risk.,2020-2025,upsert,38 8 * * *,public.users,NC,2023-05-28,Q2 2020,Q3 2020,ADV-ZXRL233Q02,Thursday,6.92,In-Store,AU,00:43:03,ECPHIX46XDSFG00FMLU4,2023-12-18,H2 2023,5741423,Hearing,March,2025-09-19,835,Economy,2023-01-24,XS,95171.5,SMTP,2006,ASCII,Smart TV,2020-2025,November,2021-12-17 05:54:13,6.62
6.84,2021,34e0935e8ba3b68180d6910b7454b60eb0ede0d034020917c731c14ec0853840,IoT,Q1 2022,-15.8%,2022-03-12T00:00:00Z,2024-12-14,00:03:27,2022-07-09T00:00:00Z,kubectl apply,Flagged for review.,GET /api/users,1.42,0.82,2026-11-23T23:08:37Z,2020-03-05T00:00:00Z,97d39e5436bc71f637da689383b445bcb3b12ec11b49cd5de46e41a53f66430d,1,MFA required for admin,3.15.39,278-93-1920,"-----BEGIN CERTIFICATE-----
Q/KU6B5AYj52uXf8qojryl08aoODgrA1TylelBwAHzgl5S2KnFDCF/1FxFb5huIf
-----END CERTIFICATE-----",May,Q2 2020,8.26,January,226130,tenant=us-east,14:45:49,2022-08-05,October,INS-865455,221064539,SFO,13.4193,54 5 * * 1-5,Cholesterol: 269.5 g/dL,Mixed,Edge,Edge,81,Smart TV,Fe2O3,Mobile,A systematic definition of risk.,2020-2025,insert,3 11 * * *,public.users,FL,2024-10-08,Q1 2024,Q3 2023,ADV-88AH1IGTLT,Saturday,3.64,Email,AU,12:26:24,87OA8BE37CS0AGTOZFO5,2024-09-08,Q1 2024,1845869,Hearing,January,2025-05-22,802,Overnight,2021-12-27,M,52508.5,FTP,2001,Latin-1,Desktop,Q1 2024,July,2019-01-22T02:38:08Z,0.87
1.42,2023,84cfbf20f1c385064514cd2c5e0fc0d082f1c759af12f2fed9bb359727aecae6,Tablet,Q2 2023,15.38%,2022-08-28T00:00:00Z,2023-09-09,01:52:10,2023-11-05T00:00:00Z,POST /api/orders,Flagged for review.,npm install,7.44,8.19,2025-10-14T23:21:23Z,2025-09-17T00:00:00Z,cee11ff5a5d61422399cb92c98dfe71eb870900dd3e0cc1e42f73d85f65f02ab,1,MFA required for admin,5.8.47,XXX-XX-2852,"-----BEGIN CERTIFICATE-----
h7phrlWnUExfLhbdzL0u6uKqwVwKVwjXJcno8kiaClqIZNowHb5SnKOH8r+Rka2z
-----END CERTIFICATE-----",May,Q3 2020,2.38,May,656059,dt=us-east,11:39:10,2021-05-24,August,INS-661739,318385126,CDG,49.6237,32 4 * * 1-5,Glucose: 245.0 K/uL,Asian,Safari,Edge,78,Smart TV,Fe2O3,Web,A operational definition of risk.,H2 2023,insert,57 23 * * 1-5,sales.orders,OH,2023-01-14,Q4 2023,Q4 2024,ADV-OQSQ15QYCG,Wednesday,9.53,In-Store,DE,05:18:53,WFUEN2F93CVQGXYC9Z54,2026-08-08,FY 2025,764564,Cognitive,April,2025-11-06,383,Overnight,2026-06-24,S,199.8,HTTPS,2018,ISO-8859-1,Tablet,2020-2025,April,2019-07-11 09:06:39,0.7
4.08,2010,53cc0dea4a984f7e235b8965ffeb1f3e883f088675562bf720681bdb4d7f0e40,Desktop,Q1 2021,2.14%,2022-05-31T00:00:00Z,2025-12-20,19:16:56,2019-03-08T00:00:00Z,npm install,Needs follow-up next quarter.,npm install,3.41,2.46,2022-06-07 07:16:51,2021-08-23T00:00:00Z,f6087be606b90ea42ffa692b298acd130fc094767642515b71561cddda4edcfb,0,PII encrypted at rest,0.19.14,150-14-2401,"-----BEGIN CERTIFICATE-----
KT5y/sWfYSffek+5X8c3WUI042wu+C66+nUacaCMHJ+ToUIV5C1/Kq72zmeaEq9h
-----END CERTIFICATE-----",December,Q4 2022,2.58,July,273496,tenant=us-east,11:24:44,2018-02-24,January,INS-228528,505192381,SIN,45.2949,47 19 * * *,Glucose: 255.6 K/uL,Hispanic,Brave,Safari,89,Smart TV,E. coli,Web,A systematic definition of data quality.,2020-2025,upsert,27 19 * * 1-5,sales.orders,CA,2019-06-22,Q1 2026,Q2 2024,ADV-MALDDQLT98,Tuesday,0.61,Email,JP,22:45:50,38LA9INUHX05E01YR80C,2021-01-01,H2 2023,8599762,Visual,September,2018-06-27,756,Same Day,2026-01-07,L,95668.3,HTTPS,1997,UTF-8,Wearable,2020-2025,October,2024-06-24 21:56:34,0.97
1.7,2023,ae2e955a61df9356f2b736ec77e531b81d9dc0e3322fe42d44970dfb2422af1e,IoT,Q1 2025,-29.57%,2025-08-23T00:00:00Z,2026-03-23,16:16:54,2026-10-24T00:00:00Z,npm install,Reviewed and approved.,GET /api/users,0.77,6.22,2025-11-05 09:37:39,2019-12-21T00:00:00Z,0cf7771790500294b611b3ffb2ee271b5c1c2e8c82f05e8c98124dae2847fa51,0,Data retained for 7 years,3.19.93,214-18-3008,"-----BEGIN CERTIFICATE-----
IOnYUWIm/+HuMQcqcCET/FQGZ5gQjKpnHGXlfnjHHjc/NLnP5PXtmggereJY77h0
-----END CERTIFICATE-----",March,Q2 2024,1.96,July,517989,tenant=2024-01,22:43:52,2024-02-03,October,INS-511761,386333865,SIN,2.525,17 23 * * *,Hemoglobin: 186.6 g/dL,Asian,Firefox,Brave,86,Desktop,Homo sapiens,Web,A formal definition of data quality.,H2 2023,insert,10 11 * * *,sales.orders,WA,2026-12-17,Q1 2022,Q2 2020,ADV-BFY6EECL5C,Saturday,6.84,Chat,GB,17:36:42,H23N0EQHOSOPLQDXMGOX,2026-10-30,2020-2025,2430977,None,April,2025-07-04,386,Freight,2026-05-30,XL,46904.8,HTTP,1994,ASCII,IoT,Q1 2024,November,2018-06-21 02:21:44,6.75
