col_full,c_lati,village,mapping,continent_38,kdje27,place,dock,landmark_poi,TIME_ZONE,dateval,dim_timestamp,p_739,col_mok,dim_location_text,elevation_altitude_14,source_system_raw,nullableFlag,iso_country_code,port_harbor_46,fact_etl_batch_id,iata_cd,user_cpu_usage,var_184,ADDRESS_LINE,airport,airfield,landmarkPoi,longitude,title_22,col_oz,encoding,addrline,x_dwbg,district_borough_info,location_text_38,time_of_day,col_cusi,geographic_coordinates_v2,location_text_v2,end_date,v_537,fact_city_town
Elizabeth Anderson,89.94514,Denver,input -> output,Oceania,JP,"Toronto, Canada",Port of LA,Statue of Liberty,America/New_York,2022-07-13,2018-09-25 07:41:09,Port of LA,2186 Oak Ave,"Berlin, Norway",6464,Workday,true,US,Rotterdam,batch-20200107-65,ZIB,4.5,BR,9793 Main St,LHR,SFO,Central Park,-124.541749,Quarterly Review 2021,EST,ISO-8859-1,5119 Cedar Ln,1995,West End,"Toronto, Mexico",17:37:04,WHIIUFTKZ,"-0.051833, -30.424237","Houston, Singapore",2023-02-18,84.231603,Portland
Olivia Smith,54.035105,Denver,field_a -> output,Antarctica,IN,"Chicago, Norway",Busan,Big Ben,America/New_York,2018-10-17,2021-09-08 03:40:57,Busan,6127 Elm St,"San Francisco, Sweden",3430,PostgreSQL,NO,BR,Rotterdam,batch-20260616-75,BTJ,11.0,FR,7742 Oak Ave,CDG,JFK,Statue of Liberty,19.581853,Executive Summary 2025,Europe/London,UTF-8,242 Pine Rd,1999,North Shore,"Dallas, Australia",03:24:21,727XLFJHO,"-44.498894, 99.650853","Paris, Singapore",2019-12-25,54.340428,Los Angeles
Harper Rodriguez,-66.783585,London,source_col -> field_b,Oceania,CA,"Toronto, Israel",Busan,Eiffel Tower,EST,2022-06-27,2025-02-21T16:56:37Z,Singapore,500 Oak Ave,"Berlin, Germany",6097,Salesforce,YES,MX,Singapore,batch-20180313-44,ERW,82.0,CA,8836 Park Blvd,CDG,LAX,Golden Gate Bridge,-42.867487,Executive Report 2020,Europe/London,UTF-8,1320 Pine Rd,2017,North Shore,"Chicago, Canada",06:43:34,BMKXU0TAM,"-13.917698, -105.094986","Denver, Sweden",2024-09-25,168.065505,Boston
Patricia M. Jackson,-9.718031,Seattle,field_a -> field_b,Asia,IN,"Austin, United Kingdom",Port of LA,Golden Gate Bridge,CET,2022-01-05,2023-01-28T08:21:54Z,Hamburg,7035 Pine Rd,"Chicago, France",1700,SAP,true,FR,Hamburg,batch-20260903-15,DTG,79.3,DE,343 Pine Rd,CDG,ORD,Statue of Liberty,-70.031779,Annual Summary 2026,America/New_York,ISO-8859-1,495 Cedar Ln,2006,West End,"Toronto, Mexico",13:57:10,V6V2X1AIV,"-38.596508, 65.038618","Tokyo, Netherlands",2022-11-18,-3.991656,Sydney
Olivia Martinez,61.853405,Los Angeles,input -> output,Asia,GB,"Phoenix, Australia",Shanghai,Big Ben,UTC,2023-06-08,2023-01-10T01:20:50Z,Busan,9803 Main St,"Boston, Mexico",-10,Salesforce,true,GB,Hamburg,batch-20200925-92,VWX,61.6,GB,9621 Cedar Ln,ORD,SFO,Eiffel Tower,156.744359,Executive Summary 2022,EST,ISO-8859-1,6103 Cedar Ln,2003,North Shore,"Paris, Australia",21:00:17,JDNVHH9UJ,"-74.275119, 112.604287","Toronto, Mexico",2026-05-18,60.846133,Denver
Aiden H. Robinson,-31.523814,San Francisco,source_col -> field_b,Antarctica,IN,"Paris, Singapore",Port of LA,Eiffel Tower,JST,2021-11-02,2024-10-11T01:17:23Z,Singapore,1897 Cedar Ln,"Tokyo, Japan",1729,SAP,NO,CA,Singapore,batch-20220414-86,MLY,8.4,CA,9680 Pine Rd,NRT,JFK,Central Park,-172.020169,Executive Report 2026,JST,Latin-1,7644 Pine Rd,2007,South Bay,"San Francisco, Switzerland",05:47:07,J90N5ZG2O,"11.014711, 115.956494","Miami, Italy",2026-10-29,-79.278808,Seattle
Susan Walker,-27.990159,Phoenix,field_a -> target_col,North America,MX,"Atlanta, Canada",Shanghai,Eiffel Tower,UTC,2018-11-16,2025-12-12T17:27:50Z,Rotterdam,2807 Oak Ave,"San Francisco, South Korea",7706,Snowflake,YES,MX,Shanghai,batch-20200126-35,YQU,82.1,BR,7206 Elm St,CDG,LHR,Golden Gate Bridge,-166.146907,Executive Analysis 2025,JST,UTF-8,8338 Elm St,2006,East Side,"Denver, Norway",08:32:38,FIVK58VGX,"-25.494207, 138.362057","Chicago, Mexico",2021-03-11,54.263282,London
David I. Robinson,4.813989,Phoenix,source_col -> output,North America,JP,"Portland, Netherlands",Hamburg,Central Park,JST,2023-02-09,2022-11-28T12:35:41Z,Hamburg,9126 Cedar Ln,"Houston, France",1309,Workday,YES,AU,Port of LA,batch-20210411-47,LWS,12.4,DE,7002 Main St,ORD,SFO,Big Ben,108.880544,Executive Summary 2024,America/New_York,Latin-1,6813 Main St,1994,South Bay,"San Francisco, United Kingdom",20:58:07,9T9PA43AN,"-55.679008, 93.644977","San Francisco, Norway",2022-02-12,96.421337,Los Angeles
Noah Martinez,-67.448651,Houston,source_col -> field_b,North America,BR,"Los Angeles, Germany",Busan,Big Ben,America/New_York,2023-02-13,2025-12-12 13:18:45,Busan,5203 Pine Rd,"Tokyo, India",6514,Kafka,false,CA,Busan,batch-20221215-29,WQS,53.3,DE,963 Elm St,JFK,ORD,Eiffel Tower,-31.618144,Annual Review 2020,UTC,UTF-16,6799 Maple Dr,2006,Downtown,"Tokyo, Australia",19:25:25,V5G1MOI4T,"-55.081881, -75.636791","Los Angeles, Netherlands",2025-05-28,134.409686,Sydney
Robert Robinson,-75.268981,Miami,input -> target_col,North America,DE,"Miami, Switzerland",Singapore,Eiffel Tower,JST,2024-10-25,2020-06-27T16:46:25Z,Busan,4652 Maple Dr,"Phoenix, Australia",5769,Workday,true,MX,Singapore,batch-20260729-39,FJC,65.1,AU,1522 Oak Ave,NRT,CDG,Eiffel Tower,-24.529495,Quarterly Review 2025,Europe/London,ISO-8859-1,3273 Park Blvd,2022,South Bay,"Dallas, Australia",15:42:35,NI6R83C7M,"-16.938643, 79.044834","Seattle, Sweden",2018-11-12,-46.884971,Miami
