ph_level_6,qthzmf87,bandwidth_data_rate_14,latitude_field,latitude,SPEED_VELOCITY,UPTIME_AVAILABILITY,fact_elevation_altitude,fact_size_dimension_category,budgetAllocation,DISEASE_NAME,dim_wl,area_6,meta_79,ehge58,measprs,area_field,dim_record_identifier,removed,voltage_data,amsm97,measage,source_attribution,col_ph,HOSTNAME,market_val,POWER,memory_usage,routing_number,md5,area,payment_card_number_v2,memoryUsage,p_las,distance,watt_hours,CATEGORY,digital_certificate,legal_hold_document_raw,department_division_info,d_668,catstat,rkolm1,MEMORY_USAGE,vkl14,cpu_usage,source,months_old,density_6,qffsqq50,DISTANCE,customer_age,dim_tenan,digitalCertificate,attr_873,time_to_live_14,DRUG_MEDICATION_NAME,latitude_2,dim_oahw,area_2,LATITUDE,insurance_id_val,d_638,modified_by_14,ezgugc83,categ,comment_note,product_nm,p_iso_l,MIDDLE_NAME,v_bran,source_system_v2,humidity,soc_media_handle,latency_response_time_6,measpct,attr_ang,kmypx47,bandwidth_data_rate_raw,concentration,encoding,pension,attr_527,field_433
10.59,81.7,3703,-51.302533,-40.503747,40.7,99.705,2312,M,"$3,888,313",Tuberculosis,36741ed9226cd0c4792218a8eafb368c994dca335f33795d15456138c4b61a93,74313.3,90,50.13,155.7,5661.1,ORD-755717,true,358.5,3.391,25,Reuters,6.91,web-19.staging.example.net,"$674,136,198",28125.1,63.5,405566817,332c987108b7e2eb4c410b7dd5e1abb59f6b2326e9970d2a5d118f69a6a1db5f,98623.2,XXXX-XXXX-XXXX-2474,48.4,Wright,8532.5,25179.1,Services,"-----BEGIN CERTIFICATE-----
yu2xVDRP5XKCHOeca/bisLgXBix9sOvPzPrZhqUX+ppYgHi6QbL2YD1WUSl6shSE
-----END CERTIFICATE-----",HOLD-2020-714,Support,Apache-2.0,completed,MRN-857847,50.1,1.22,30.0,Miller et al. (2025),32,18.105,104621,9549.2,38,tenant-004,"-----BEGIN CERTIFICATE-----
L6TPp3jVitqLSq2fvZVsy/9x/JBU+LKnmXShttBz8NRoaMcTyPZ9RRkPMrzDOWfN
-----END CERTIFICATE-----",Critical,70 days,Ibuprofen,-71.284424,1913.39,88563.6,-86.482973,INS-459238,Germany,sarah.miller,29294.3,Software,Automated processing complete.,NanoCore SDK,zh,H,SmartChoice,Kafka,43.3,@amylewis773,1563,31.83%,332.36,5756.28,2968,493.35,ASCII,INV-194749,3398,95.6597
9.0,85.6,878,53.395012,-46.111033,4.8,96.0722,5102,M,"$1,553,140",Malaria,3f5161adfd6b773f051ca65adafb41d1cc6677b12542755b602cbc6de14d8476,20498.5,102,32.61,721.6,54560.8,USR-496167,false,350.1,11.029,59,WHO,5.07,app-8.dev.example.net,"$996,317,814",48169.7,50.8,730653904,fe7362e12860e8a77869c81de899a6012c3b794af2c67fb6ed5e806778d91021,73149.6,6011-2451-5197-4150,60.1,Jackson,8189.6,9176.2,Food,"-----BEGIN CERTIFICATE-----
itbX36Z9ag1roV59rqlVGAycFMjJXlZ3/iJneKsBiZCD2cr4pYK3AB7P/wIo7Ju2
-----END CERTIFICATE-----",HOLD-2026-883,Operations,GPL-3.0,cancelled,MRN-231339,63.6,5.05,92.3,Harris et al. (2002),84,17.636,199555,7600.1,60,tenant-034,"-----BEGIN CERTIFICATE-----
C/AbxLyMHzv2v3/K+4Z+Y0cU1TTt/mE9wuJOUVbQy3gaNd2tTsBXwmuLC1yi5O2a
-----END CERTIFICATE-----",High,92 days,Aspirin,-28.126937,9493.82,40628.0,-65.576158,INS-633256,Japan,james.martinez,21957.0,Software,Automated processing complete.,DataSync 3000,ja,G,SmartChoice,PostgreSQL,96.1,@jessicajohnson600,4190,59.19%,265.78,642.71,4742,804.9,ASCII,INV-944598,1969,99.2137
11.91,90.3,8567,28.160875,36.349716,43.7,99.9282,4145,XS,"$4,067,726",Tuberculosis,b38f10c764ea5ff0f0b836ecf8207ea5954a05ba55959105221d5df4956fff78,29775.1,66,296.02,287.8,3075.3,ID-751821,false,140.5,5.889,100,Reuters,8.28,api-17.dev.example.net,"$475,955,286",34052.6,43.5,813966283,470442168cd924936d565b4b7006558bbd96fe8e9daec412d4f1d947278305c4,20229.3,4195-4875-1469-6785,32.1,Walker,2007.3,90189.4,Hardware,"-----BEGIN CERTIFICATE-----
tGpquIjhykQedNRD0H7pIe9kiUsaV4BfCDjSdShRaDvsSkDKqphXh2E0Wf6bv+YZ
-----END CERTIFICATE-----",HOLD-2024-913,Engineering,BSD-3-Clause,active,MRN-213506,54.6,1.21,48.8,Walker et al. (2002),57,13.835,476070,599.0,29,tenant-032,"-----BEGIN CERTIFICATE-----
IHEl+JUNO/h3SnUk+vRDZ2Shm/zaZXRZX5wEi7hL+bVvmt9FD9zm85qOtJv2uPZ0
-----END CERTIFICATE-----",Low,260 days,Lisinopril,-54.396651,4578.67,83238.8,-62.622848,INS-889222,Mexico,michael.thompson,31431.6,Electronics,Needs follow-up next quarter.,NanoCore SDK,ko,N,ProSeries,Snowflake,29.6,@jenniferclark726,2824,46.14%,353.04,5102.5,2966,831.99,ASCII,INV-169805,2484,98.6075
13.51,5.7,1520,12.419416,-45.98727,133.6,97.1922,4066,M,"$2,577,484",Tuberculosis,3741926b759afe27cdbac6b542226b14a0464dc01ebac2537cee8d76831bc5ca,12724.9,35,184.77,1335.6,7961.9,6039730,false,176.0,0.171,6,Eurostat,0.81,api-4.prod.acme.com,"$916,682,879",12769.8,34.0,169074147,cdf06317ef9690f0a95fe1fd321372c9a0e8965405279369bb11f81e1fe8b5b0,44338.6,3703-0475-2143-5154,32.5,Moore,8356.6,35043.0,Software,"-----BEGIN CERTIFICATE-----
5RS6GPL1tk0hcXuDT52zHMMqdzDmN0c6zNx4L4PSzhMA3Y3r9PHtaFQXuewYmr3D
-----END CERTIFICATE-----",HOLD-2023-690,Legal,MIT,failed,MRN-487947,25.4,9.9,21.9,Harris et al. (2015),104,15.916,979800,8270.9,61,tenant-027,"-----BEGIN CERTIFICATE-----
6eqhG/0Oh7RZ/VKkFLCJKMeL2HPPv+GIuXGFuRnX4aeD4CNiD37snzM35JaN1hlE
-----END CERTIFICATE-----",Critical,178 days,Lisinopril,70.960429,7809.88,16406.2,-11.233886,INS-354160,Switzerland,michael.lewis,12243.6,Software,Pending verification.,StreamLine ERP,ar,J,EcoLine,Kafka,73.1,@emmajones202,1297,79.26%,125.58,9567.34,3087,262.11,ISO-8859-1,INV-490262,6377,96.7586
5.28,90.3,3968,84.964698,-46.850574,50.1,95.0963,4262,L,"$755,873",Tuberculosis,bb95d46dd3f053713b41432b228e848964db9dc816444f4f0020f9797472b005,58873.7,87,99.08,49.4,43414.4,1075294,false,478.2,8.876,83,Census Bureau,12.46,db-18.prod.acme.com,"$666,011,728",43419.0,49.0,019372930,0b1071b07061410f78343fe7405618aaff33f56c78425b04733aa056b32b356f,68446.9,3773-7462-0826-0765,95.1,Clark,8124.0,29666.3,Hardware,"-----BEGIN CERTIFICATE-----
yocuKpEzwl51zFTL5RE8BqyHYnWPRBWx0dVml69R1eSidO0epeeDPIN9MCGFa34L
-----END CERTIFICATE-----",HOLD-2026-942,Legal,BSD-3-Clause,rejected,MRN-375634,54.7,1.19,16.2,Walker et al. (2015),24,16.376,839693,5152.4,15,tenant-046,"-----BEGIN CERTIFICATE-----
JHpvQjOPW5gseGwkQHmPlCpyQGSkgFMECmc/lBYpmRvJcy2zjaIu5kVsM/A6kfnK
-----END CERTIFICATE-----",Medium,59 days,Lisinopril,-21.126135,3549.9,33055.0,-67.029093,INS-974005,India,william.taylor,20981.9,Clothing,Resolved — no further action.,SmartHub X1,fr,B,SmartChoice,SAP,20.6,@masonwilliams877,1988,87.66%,193.51,9768.97,141,289.51,UTF-16,INV-715467,1941,97.0896
8.72,17.7,4190,38.461838,-56.999292,219.4,96.4498,4485,XS,"$1,192,756",COVID-19,67f8929a18c472af0e8a06dfbd9e8930426c6e012f79654d85b00f3aeb9804b7,9168.2,110,170.32,1094.2,12373.8,3489435,false,328.4,19.581,75,Bloomberg,5.93,app-11.staging.example.net,"$93,412,755",7123.6,42.8,597589335,3300b0b6502b479264e22e3bbcec47f912467d1450b3eaa457091a59038cfd42,93851.7,5554-6584-6173-3342,42.1,Jones,5800.7,92897.7,Food,"-----BEGIN CERTIFICATE-----
BoFQBOBfH1uNaoH/3jxWBwCYEn97huElW7GffZcmCqtoPPuQUjcdM1M4zKoxdPft
-----END CERTIFICATE-----",HOLD-2020-377,Legal,CC BY 4.0,cancelled,MRN-231741,98.6,1.82,3.8,Garcia et al. (2012),77,13.242,117543,6589.0,28,tenant-026,"-----BEGIN CERTIFICATE-----
1BYcgJ0zD2q5xcq6FpTuK4M4sAd8QdSdo69H1a2bJJ1NL5ycOZ+FSAJy7jR6z7kM
-----END CERTIFICATE-----",High,222 days,Aspirin,34.675925,2323.96,36076.7,-58.899273,INS-964034,Brazil,james.miller,12150.5,Software,Automated processing complete.,Sentinel Monitor,pt,T,ValueMax,Snowflake,85.6,@ethandavis888,2238,29.96%,320.0,9262.69,1592,128.33,ISO-8859-1,INV-748282,6858,97.3021
4.95,8.3,9724,-30.648225,-80.180252,202.0,98.8306,6027,XXL,"$4,738,842",COVID-19,8dd9a896621c16f4d6748d0fc7f8bfe635bfc358d0a8d56a581689fb454ff639,5184.2,6,113.91,896.4,46678.7,ORD-928067,false,309.6,3.969,50,WHO,5.62,web-15.staging.acme.com,"$193,133,367",3715.8,54.2,777976098,f3832f41325b1a0cf57c00787a992749a0493d1dcba4f3f038909c85b199d145,53031.7,XXXX-XXXX-XXXX-9981,57.4,Rodriguez,6274.2,90881.7,Food,"-----BEGIN CERTIFICATE-----
QySUeL1SrPvl2G2UhDVRDvdsTWgQ4maspiS5nLUTG27WZkc88ieWFDz/ADyT+ELx
-----END CERTIFICATE-----",HOLD-2022-359,Operations,GPL-3.0,pending,MRN-992801,43.4,3.47,34.6,Robinson et al. (2015),99,6.176,317390,2744.9,105,tenant-001,"-----BEGIN CERTIFICATE-----
cDO4+iIwiklsa4Hg0rCM/TiAw/uXxQFSC5fcHoKylGKl0rzbQIzqut7zyfmdanoU
-----END CERTIFICATE-----",High,13 days,Lisinopril,-86.432246,2770.76,71550.2,89.850591,INS-679727,Germany,william.brown,13702.4,Software,Automated processing complete.,NanoCore SDK,es,R,SmartChoice,Snowflake,39.4,@lindagarcia880,3837,36.71%,128.08,3950.0,6567,994.06,UTF-16,INV-434331,578,96.4189
4.05,17.3,4782,23.597104,-62.98588,282.3,95.3085,7079,L,"$399,172",Tuberculosis,5e2a0c2c3d313167638902cdca2b7a7f0b3d210b640ce5f9a7d9956016586662,39130.9,83,100.92,806.1,4200.3,4054845,false,43.6,1.653,39,Bloomberg,13.31,db-14.staging.acme.com,"$257,483,962",25407.6,16.6,032257998,30206ce65cab3bbdf12607cf25a1df6dc2ae993824cf363f93c6cbd059f064a4,5099.4,XXXX-XXXX-XXXX-9550,14.1,King,6250.4,10538.3,Software,"-----BEGIN CERTIFICATE-----
fJnFO7D+/bRoeKS+5k17HuyvJocNqGqv6GEyFpdcoQGumYUxgO6B7/VL8kIWPp3R
-----END CERTIFICATE-----",HOLD-2020-897,Support,BSD-3-Clause,rejected,MRN-704156,83.0,7.83,39.0,Harris et al. (2004),63,15.479,748088,4555.0,113,tenant-010,"-----BEGIN CERTIFICATE-----
bwogUsyYmPbLune/Xuqu3daW7lgfSp+bYzn6FWxm+pR0njXZPKEJYhjlDlwQI3oY
-----END CERTIFICATE-----",Low,273 days,Metformin,-83.157889,7698.55,47110.1,60.599772,INS-847737,Israel,william.thomas,14733.2,Clothing,Updated per client request.,DataSync 3000,de,L,ProSeries,Kafka,99.7,@lucasanderson583,4113,25.59%,111.11,5745.65,6571,322.07,ISO-8859-1,INV-913795,5118,97.8448
8.74,34.1,7,11.599908,12.734701,156.8,95.2124,6154,M,"$1,194,720",Tuberculosis,3017aeb2cb0c76ffcba5744a8a8ed30484c4412043465a0e98531d307be0538a,6073.9,75,7.36,1209.8,50612.0,REC-596936,true,354.7,19.413,73,WHO,13.13,cache-9.staging.example.net,"$859,972,340",47700.7,71.8,553202669,16c15a4b81e0ef6ed6df056f1ac096480c612ba80498936a245c54699e6efd7f,66723.2,6011-3510-5893-0437,11.5,Robinson,3841.8,88540.3,Hardware,"-----BEGIN CERTIFICATE-----
rwcOM5OYGoQ4qqHpNCpVi83BT4yumy5T1WScgnwW1vmI9O0Vr9DbtGaeeusbog1S
-----END CERTIFICATE-----",HOLD-2026-232,Legal,GPL-3.0,rejected,MRN-527225,37.0,2.04,79.2,Davis et al. (2007),4,10.423,73093,607.5,15,tenant-030,"-----BEGIN CERTIFICATE-----
uAHr6rq3BAZbAWLS7sUCK33b9nTzIh9h+/8YEQsgSzgnlePeL8RxHpQePaur1pXy
-----END CERTIFICATE-----",Info,4 days,Metformin,-66.151865,4015.49,87945.9,-38.79901,INS-271767,Switzerland,robert.white,26732.8,Software,Needs follow-up next quarter.,SmartHub X1,fr,E,ValueMax,Snowflake,76.2,@emmajones109,416,20.26%,240.25,3426.01,2341,578.46,Latin-1,INV-667476,7825,97.538
11.54,75.4,9705,54.840793,-45.194846,243.8,98.6627,1981,XL,"$1,826,009",COVID-19,a48f3b174819cff928404070ba160fab73c48660fb14802daab443c6bfd4dabf,54801.1,41,270.58,1349.4,77935.7,ID-258009,false,132.7,16.119,100,WHO,10.05,app-10.staging.example.net,"$825,495,856",39479.8,3.4,681844576,ea460378ff8fa1d3e2ac43189cf7508b1670df00c854679510f73ca3a3798e65,5123.7,5713-5746-1397-3858,4.6,Garcia,7297.3,98579.4,Electronics,"-----BEGIN CERTIFICATE-----
DrM3o0gLTf+g+DFs53fov/9qtG2RSO/tF79C5qFM0DwVqMHj+5/fbQCMEL9U2dlR
-----END CERTIFICATE-----",HOLD-2022-127,HR,BSD-3-Clause,cancelled,MRN-743313,10.7,13.41,27.0,Davis et al. (2013),33,14.827,544419,5028.8,77,tenant-027,"-----BEGIN CERTIFICATE-----
zIrQBUjTSdfEigWzpuM744wEogaYiH19PkFK/UOWmaStJceurPP5fRYsvb+eE/K0
-----END CERTIFICATE-----",Info,183 days,Aspirin,39.951144,7689.29,56720.2,-32.913029,INS-988769,Mexico,aiden.martin,13950.5,Clothing,Pending verification.,SmartHub X1,ko,E,ProSeries,Workday,20.0,@masonthompson100,4413,96.36%,83.52,2190.53,1351,46.61,UTF-8,INV-542370,6959,95.6992
