fact_boolean_flag,x_role,xjxj50,DEVICE_IDENTIFIER,src_tenant_identifier,department,dateOfBirth,LATENCY_RESPONSE_TIME,load_ts,middle_name_raw,ezxnk25,user_salary_compensation,performance_review,distance_raw,f_183,RATIO,col_176,src_duration,xcq75,meta_594,middle_name,country_info,attr_stock,soft_delete_flag,vehicleIdentificationNumber,charset,day_of_week_raw,x_iut,dug46,maiden,time_zone,salary_compensation_data,mailing_address,FIRST_NAME,sourceSystem,dgff93,department_division_raw,name,mqq13,handle,department_division,tier,attr_627,EMPLOYEE_RECORD,v_330,dim_inves,val_xf,user_bonus_variable_pay,rbzbjb12,c_378,middleName,MIDDLE_NAME,nee,var_vuw,meta_562,val_pops,DEPARTMENT_DIVISION,caption,v_maide,maiden_nm,given_name,v_224,measpwr,user_performance_review,stock_rsu_grant,c_547,f_hvma,x_confi,stockRsuGrant,maiden_name,dob,dept,src_uptime_availability,user_first_name,maidenName,mname,DATA_FORMAT
false,Software Engineer,High,c65470c5-76b4-47e6-b229-60072cb18390,tenant-050,Finance,0003-03-1956,1447,2020-05-25 18:51:47,I,29 23 * * *,"$71,064",Needs improvement,7881.5,sig_46e6f5d75b8c1e3c,8.3993,Operations,9236,Sales,Taylor,A,United States,4844 shares @ $384.47,false,Y6F7N9O4GJ41TRG4X,UTF-8,Tuesday,Jones,"$116,142",Davis,EST,"$66,504","4994 Pine Rd, Portland, WA 85758",Sarah,Kafka,0012-02-1953,Marketing,Linda Martin,2024-07-13T03:42:14Z,jessica.walker458,Support,Hardware,"$9,692",EMP-68034,region=acme,INV-844739,1655 shares @ $128.93,"$12,912",104.985702,Support,Z,W,King,GRW-5133,Olivia,active,Operations,Figure 1: Distribution,Lewis,Smith,Patricia,2018-01-07T10:49:52Z,28918.6,Outstanding,3132 shares @ $490.13,Exceeds expectations,Garcia,"[23.2, 76.31]",2271 shares @ $273.75,Taylor,0005-01-1956,Marketing,98.0272,Robert,Martinez,F,XML
0,VP Engineering,High,5c3c3a13-f446-4747-bb41-2881588adc3e,tenant-015,Finance,05-12-1972,4155,2022-09-18 09:23:44,L,9 13 * * *,"$116,063",Outstanding,1495.8,sig_bbf6c0dde0fb08da,0.2363,Marketing,80805,Engineering,Wright,T,Canada,1733 shares @ $338.91,false,2C929RP7JAKB8HTJL,ASCII,Thursday,Davis,"$248,030",Thomas,Europe/London,"$104,033","2978 Oak Ave, Los Angeles, OH 76490",Logan,Workday,0005-22-1951,Legal,Michael Wright,2023-07-15 23:22:50,michael_walker820,Support,Services,"$7,252",EMP-44213,region=acme,INV-464846,1692 shares @ $226.17,"$2,322",-97.114632,Sales,Y,S,Jones,TPJ-2991,Mason,rejected,Operations,Figure 11: Distribution,Garcia,Williams,Emily,2020-01-15 13:16:48,13547.8,Meets expectations,472 shares @ $95.5,Outstanding,Davis,"[16.49, 64.02]",3579 shares @ $80.84,Martin,0004-04-1987,Marketing,97.4097,Ethan,Martin,N,Parquet
no,Data Analyst,Negligible,40ba24f1-1747-487d-b831-23341e3ac0ce,tenant-034,Operations,0004-04-1996,516,2024-12-22 10:40:55,I,2 10 * * *,"$227,368",Meets expectations,5968.9,sig_fdbdc8561f317642,0.0352,Legal,84244,Support,Martin,R,Canada,2800 shares @ $200.81,false,5Z216ZXYDKYQ1YZ0U,UTF-8,Sunday,Thomas,"$207,497",Rodriguez,CET,"$55,641","5681 Pine Rd, Berlin, MA 55058",Richard,PostgreSQL,10/22/1998,Sales,Sarah Jones,2020-09-03T06:25:12Z,david_jackson257,Support,Electronics,"$27,974",EMP-77405,tenant=us-east,INV-542665,2224 shares @ $422.28,"$34,582",-35.31607,HR,N,L,Moore,GTO-8938,Linda,approved,Legal,Figure 12: Distribution,Anderson,Lee,Sarah,2022-04-07T00:15:24Z,40542.9,Exceeds expectations,1574 shares @ $362.24,Meets expectations,Young,"[24.84, 98.79]",1573 shares @ $137.02,Martinez,0011-11-2004,Support,95.1621,Ethan,Walker,D,YAML
no,Data Analyst,Negligible,269bb9b3-978f-488b-b9fd-07e47c5975fb,tenant-011,Legal,11-19-1960,2890,2025-08-27 16:37:41,P,50 18 * * *,"$219,737",Needs improvement,3411.7,sig_9198959141af2c66,7.0086,Operations,81681,Marketing,Anderson,S,Switzerland,4581 shares @ $167.75,false,LIOHL5H7IOAL3FHP2,ASCII,Tuesday,Jones,"$188,847",Wright,CET,"$184,835","5298 Cedar Ln, Toronto, CA 14060",Emily,Salesforce,0001-28-1959,Operations,Lucas Taylor,2022-03-05 09:37:46,patricia_walker675,Sales,Clothing,"$18,293",EMP-77326,tenant=us-east,INV-531197,2716 shares @ $150.11,"$15,179",151.700519,Legal,S,A,Lee,GAT-2318,Sophia,approved,Marketing,Figure 16: Comparison,Smith,Jackson,Noah,2026-11-10 03:10:20,46396.0,Exceeds expectations,3913 shares @ $360.5,Exceeds expectations,Robinson,"[36.44, 68.42]",469 shares @ $353.5,Johnson,12-22-2004,Operations,96.2146,Sophia,Walker,E,YAML
false,CTO,High,7aad6e94-7e10-44f1-9d06-0b9d262928a0,tenant-002,Legal,06/12/2002,3936,2020-10-12 00:31:13,G,45 14 * * *,"$72,055",Meets expectations,7206.9,sig_8a95b8ea98b09bd8,0.9859,Operations,80176,Finance,Jackson,I,United Kingdom,3353 shares @ $113.75,false,ATWLUKGD5ERXQUDMW,ISO-8859-1,Thursday,Anderson,"$243,057",Robinson,CET,"$171,358","5823 Elm St, Chicago, PA 10361",Anna,PostgreSQL,07-26-1967,Legal,Michael Brown,2022-09-24 03:34:20,liam_smith308,Support,Software,"$46,441",EMP-60671,region=2024-01,INV-691181,1046 shares @ $448.51,"$32,976",-107.031699,Support,J,Q,Jackson,MPR-6523,David,active,Engineering,Figure 14: Timeline,White,Moore,Susan,2021-04-04T03:58:19Z,25895.0,Exceeds expectations,1908 shares @ $477.59,Meets expectations,Smith,"[16.82, 78.2]",4126 shares @ $96.43,Williams,0002-11-1947,Operations,95.1172,Aiden,Johnson,C,Avro
0,Designer,High,f78437ab-76e1-475c-80a2-b90081fcb410,tenant-017,Support,11/07/1992,2945,2018-06-22T16:23:58Z,N,0 14 * * *,"$118,731",Exceeds expectations,6707.0,sig_1d23149e095be755,3.6169,Marketing,30990,Operations,Garcia,W,Sweden,3520 shares @ $137.78,true,9PUGUEE9F5CZ0K4Y3,Latin-1,Tuesday,Thomas,"$243,004",Davis,JST,"$183,222","1550 Oak Ave, Atlanta, CO 46990",Amy,SAP,01/07/2000,Operations,Emma Wright,2025-11-02T18:37:18Z,robert_king954,Finance,Electronics,"$25,656",EMP-27191,dt=2024-01,INV-964697,4996 shares @ $498.49,"$25,972",-106.740764,Marketing,O,X,Thomas,XCW-6727,James,rejected,Finance,Figure 17: Overview,Harris,Jackson,Sarah,2019-06-13 21:17:32,9198.2,Exceeds expectations,4450 shares @ $87.21,Meets expectations,Walker,"[24.8, 73.9]",2046 shares @ $68.94,Robinson,06/13/1949,Sales,96.5402,Oliver,King,U,CSV
0,Sales Rep,Low,fd1717a9-c80b-4393-b7c7-1ed09628c2a2,tenant-032,Finance,11-25-1984,2248,2018-08-28 06:22:45,K,21 0 * * *,"$142,998",Needs improvement,8823.1,sig_38bbd715af8b9496,1.5659,Finance,86327,Sales,Taylor,I,Canada,3176 shares @ $465.19,false,BRE9EHWSAK9YK0ZI2,ASCII,Friday,Thompson,"$184,159",White,EST,"$95,860","3423 Maple Dr, Miami, PA 94191",Michael,Kafka,07-05-1995,Finance,Richard Rodriguez,2022-03-09 07:58:30,jessicaharris800,Sales,Hardware,"$1,811",EMP-80787,tenant=2024-01,INV-745237,2406 shares @ $305.44,"$19,741",-68.141772,HR,S,X,Martin,SKG-3657,Mary,pending,Operations,Figure 16: Distribution,Jackson,Thompson,Mary,2025-08-11 11:44:21,13219.8,Outstanding,3378 shares @ $61.89,Meets expectations,Brown,"[11.32, 82.29]",285 shares @ $66.73,Smith,10/23/2006,HR,98.7833,Anna,Lewis,I,JSON
true,Data Analyst,High,303ee5ab-05f2-4264-9c1b-09e9984e3593,tenant-020,Finance,0004-02-1965,2191,2025-12-09 08:44:52,G,32 20 * * *,"$39,384",Exceeds expectations,3636.9,sig_216c90b32d5c11bb,6.389,Finance,42944,Engineering,Anderson,F,France,2642 shares @ $437.15,true,2CKBA3TXCRCOH40OL,UTF-8,Monday,Lee,"$232,090",Taylor,Europe/London,"$164,793","8497 Main St, Portland, MA 84488",Emily,Salesforce,0006-08-1969,Finance,James Johnson,2025-01-10 00:44:58,sarahanderson477,Finance,Hardware,"$44,311",EMP-25352,tenant=us-east,INV-956536,3313 shares @ $127.46,"$7,556",-20.979002,Engineering,G,I,Lee,UPM-2855,Mary,pending,Operations,Figure 20: Comparison,Lewis,Garcia,Emma,2020-09-01 07:26:53,22535.9,Meets expectations,2632 shares @ $31.8,Needs improvement,Anderson,"[38.39, 74.58]",3075 shares @ $131.05,King,07/11/1962,Operations,95.6155,Amy,Walker,D,CSV
1,VP Engineering,Negligible,d81a0b0e-8500-42f9-9636-c0c9caf5cad5,tenant-020,Operations,02-11-1975,1341,2023-12-04 03:39:37,R,6 1 * * 1-5,"$160,950",Needs improvement,9744.0,sig_78db1370a214ada9,6.6749,Marketing,73249,Operations,Young,T,Brazil,2397 shares @ $37.2,false,SKWFTFMAJZ0SSNW8P,Latin-1,Tuesday,Jones,"$152,238",Young,UTC,"$152,582","9522 Oak Ave, Denver, WA 10898",Patricia,Workday,0006-11-1968,HR,Robert Johnson,2021-11-16 01:58:19,mary_moore918,Operations,Electronics,"$21,366",EMP-57775,dt=2024-01,INV-440920,544 shares @ $265.9,"$33,027",-90.856413,HR,B,T,Wright,EVJ-2529,Sophia,pending,Sales,Figure 9: Comparison,Lewis,Smith,Sophia,2026-05-15 01:47:27,47118.2,Meets expectations,4012 shares @ $306.57,Needs improvement,Clark,"[33.67, 76.91]",2987 shares @ $494.37,Jackson,11-20-1967,Marketing,98.9191,Aiden,Miller,O,CSV
1,CTO,Critical,2777ad71-3088-4c6b-94c3-3d144350cc47,tenant-005,HR,03/12/1997,4073,2020-05-17 05:09:41,E,"38 22 * * 0,6","$217,231",Needs improvement,2160.5,sig_826e86acc4f69494,9.9388,Support,49581,HR,Anderson,I,Germany,2872 shares @ $11.94,false,9D94XFK26JL5SKQC1,Latin-1,Thursday,Jones,"$38,933",Garcia,CET,"$101,742","5251 Park Blvd, Sydney, IL 79376",Ethan,SAP,08/22/1954,Marketing,Jennifer Smith,2019-01-06 04:11:14,robert_king445,Finance,Clothing,"$40,177",EMP-41999,dt=2024-01,INV-700604,593 shares @ $145.96,"$11,659",106.893987,Marketing,W,F,King,UJL-3029,Emily,pending,Legal,Figure 11: Timeline,Williams,Harris,Logan,2024-09-21T03:11:23Z,46775.9,Meets expectations,4820 shares @ $445.75,Exceeds expectations,Rodriguez,"[12.65, 82.13]",2207 shares @ $391.17,Clark,09-20-1968,Engineering,99.5702,Mary,Harris,R,JSON
