txnamt,p_504,meta_cvv,bank_identification_number_field,f_961,col_836,paypal_acc,src_username,customer_card_verification_value,billing_acc,HASH_IDENTIFIER,strategic_plan,crd_verification_value,billing_account_field,dim_routing_number,CRYPTOCURRENCY_ADDRESS,field_802,iso_4217,d_shyz,card_verification_value_val,billing_account,salary_compensation,raw_ph_level,binary_value_val,billingAccount,rflgsb34,cryptoaddr,decimalFloat,fraud_score_v2,timestamp_v2,expiration,x_921,var_frau,meta_pmlg,salaryCompensation,bonus_variable_pay_field,trend_growth_rate,col_addre,priceCost,checksumHash,bank_identification_number,v_jmdr,default_value_field,bankIdentificationNumber,marital,partition_key,fglbx30,bankAccountNumber,content_type_6,continent_data,insurance_id_22,field_uwtx,BANK_IDENTIFICATION_NUMBER,card_verification_value,routing_no,credit_score,payment_card_number,customer_flow_rate,bin,caption,paymentCardNumber,routing_number_v2,global_trade_item_num,BANK_ACCOUNT_NUMBER,payment,issuer
"$13,583.69","$10,124",7439,372204,GBP,6648,susan.garcia@yahoo.com,annawright217,016,BILL-648678,14bc95eb8d97f904f134bc427c1f011e5b2a335b3918e94efc511b8f56ce8ac8,Acquire competitor,4560,BILL-103317,957294671,0x27cca46250a2d2a7680540bed0c5196ff77d1aba,FEM,EUR,null,772,BILL-199654,"$81,861",11.0,1,BILL-398949,14.7,0x58cdc1aacc318574dd44f7f276f61715dcb84d3f,7150.0197,40.3,2020-08-26T04:37:42Z,11/30,"[-0.9396, 0.5224, -0.8981, -0.3205, -2.8949, 1.8081, 1.6507, -0.7225]",70.7,0xe275555b6d6e73b4c1174d11e0c74dcb957c790d,"$106,875","$28,882",16.09%,"7717 Main St, New York, MA 40509",8828.28,1677fd4c96f7ee3c1588d3b6d6990140455a8f1922d4a0ab7a6e5006cb07f1ef,540218,3102,'',590500,Single,region=2024-01,Williams et al. (2004),746459236562,Podcast,South America,INS-227504,7676,601168525,051,097171851,759,6011-3038-7113-9298,506.56,60117800,Figure 14: Comparison,5764-2782-0452-9200,559972138,8433997944140,64171634,"$36,695.43",375111
20111.78,"$4,797",3003,454481,EUR,1034,sophia.king@outlook.com,ethan.thomas69,8361,BILL-936374,5912502590515ce0b5daff518657f4f6e92a249a9dc70337026038add7517031,Acquire competitor,666,BILL-215765,110796556,0x9bad99d56ab27ff81024cd90ed0a5219e709565b,XGQ,BRL,1,316,BILL-392110,"$164,573",10.25,0,BILL-576848,48.2,0x33d5b92f833290696b6d67798da3d2731da141d7,4370.8878,59.1,2020-12-12 04:37:46,03/28,"[1.7548, -0.4578, -0.4612, -1.9691, -2.302, -0.1156, 0.552, -0.8155]",81.4,0x8ccf531ca409d30b5ceb01dee82cff26cad82007,"$153,979","$11,903",41.3%,"7642 Park Blvd, Denver, WA 93651",6116.73,3cb4f337f2f95c39dbb661f5e6b7f4e194edce6b0d000ab833784b277f498e61,60115023,2904,0,45573,Divorced,region=us-east,Taylor et al. (2011),09346632,Image,Oceania,INS-488655,4046,60110400,449,349195514,468,6011-5310-7505-5815,322.52,375253,Figure 9: Comparison,4880-5080-9899-9338,251524506,3488901761151,12745023,37886.36,564057
"$86,628.55","$33,436",2065,60110215,CAD,0490,sophia.miller@outlook.com,william_young289,685,BILL-953921,df8e8d879cad820738bae8a14082d523084dbfa18f411e57acaef7f46e486a03,Expand APAC market,6098,BILL-351267,675792794,0xc24b417af607161baa60345d9cc8013beeabcf23,RTH,EUR,null,4742,BILL-732238,"$52,085",10.51,1,BILL-425314,29.0,0x576cbba27b5de3d12d3ba55c5b929ab6160e5157,5804.2914,66.4,2022-11-10 06:09:00,04/25,"[0.9282, -0.154, -0.4633, -0.8449, -0.0358, -0.4338, 0.0388, -0.6776]",32.7,0x60915e7e5bf770ace00b392b3e5b2402dcaa8367,"$69,352","$49,510",-38.51%,"2067 Oak Ave, Denver, OH 58104",9091.81,6b7fa8b8bd500e0999c02856660a91394f493da0adaa8f8283bf0bf47b8d66b7,60112961,1798,1,371919,Widowed,tenant=2024-01,Clark et al. (2015),660069986176,Video,South America,INS-951544,7301,43887,779,174528801,458,5376-2409-5983-3544,58.43,54424,Figure 16: Distribution,XXXX-XXXX-XXXX-4472,443149432,4058944595208,2622521929,77120.82,58197
61415.33,"$24,806",321,378454,JPY,9143,richard.white@outlook.com,maryyoung597,8285,BILL-313378,9b4aed03d1ab3f29d56f80a16eec77138b5a1c88fdef6628ee508c0d492c8c2d,IPO readiness,5884,BILL-480385,896292558,0x5dcf9f4fe2e8892c256f44d7870f9ad46bd547f7,DLR,AUD,CURRENT_TIMESTAMP,3152,BILL-990508,"$86,623",10.12,0,BILL-312905,86.0,0x4d3e51a396f6baa60dda638ac1c7060b7a570295,390.9523,30.7,2020-05-26T04:46:11Z,03/28,"[-0.5849, -1.1274, -0.2284, -1.6498, -1.3695, -1.0073, 1.0144, 1.2368]",82.6,0xd403183c8c4451f833826dacbb60efb5df330cab,"$206,696","$33,786",-4.07%,"8035 Maple Dr, Seattle, FL 29811",9463.77,b035f2a534c34700399719166e82ef71978b7a6e911f2e9bc6a1dd26081f1ef5,42128,4684,1,60119163,Widowed,region=acme,White et al. (2022),61890506,Image,South America,INS-926726,5278,372809,2150,207703155,309,6011-1098-3216-2315,804.37,60111701,Figure 11: Overview,XXXX-XXXX-XXXX-3379,950996634,4003052380139,92366557,"$77,268.48",601165399
"$16,805.70","$8,929",9224,3728654,CNY,7124,jessica.martinez@gmail.com,william.anderson673,6396,BILL-595373,ac8184017675961eff85e49c7f4cb1b9c32da31730088f5f2759614cc17f98b8,Expand APAC market,546,BILL-978349,930980360,0x8f49311e0c8b7ae7882b5664b58b09e6152af3f3,IFJ,CNY,1,3964,BILL-322663,"$194,158",7.7,0,BILL-849997,59.9,0x42a632f21cdad7e76134c691aca349565fc4ca32,5685.9791,54.3,2022-01-25T20:38:00Z,11/25,"[0.4122, 0.5654, 0.0969, 0.0698, -0.4566, -0.0087, 1.0415, -1.514]",41.3,0xb5d57c827e4625a2b48d4fba4e343d3e983ef697,"$211,929","$23,119",25.38%,"7918 Cedar Ln, New York, GA 52426",817.72,44bc396a477fc7a195d5a63d909fb2be8f26f8853645bd2e8a946b8fe8db60e9,421137,1635,'',45973,Widowed,dt=2024-01,Walker et al. (2009),6472942873,Article,South America,INS-771564,5422,3773623,6621,783096233,822,XXXX-XXXX-XXXX-4055,648.14,60119351,Figure 15: Distribution,4266-3749-6987-9749,512880670,8529027483417,1926617568,9664.95,520427
80200.87,"$10,905",3098,601143747,USD,6349,logan.thomas@yahoo.com,jenniferyoung143,4931,BILL-949302,5412f9f441d74c8cbd4883c09b9d5f0715250543b9893815252af013e1c5d934,Acquire competitor,8309,BILL-701720,592330137,0x14b46e9705ebef20277ad6742fb5f6e22dbd1978,FFV,INR,false,317,BILL-308925,"$240,385",6.03,0,BILL-294499,67.8,0x80cb98fe8009e4446ec855abb088c4b7ab5cf0e5,5178.5931,33.8,2023-02-24 08:41:06,02/25,"[0.1952, 1.9053, 0.2621, 0.9256, 1.0067, -2.339, -1.8455, 0.2785]",10.9,0x20a240ebee64b77277f65d9266660198d3fbc726,"$177,461","$6,517",-40.66%,"9516 Maple Dr, London, NC 40417",3197.71,c3c84da354232b2e82cb0451fb5ad9d525c83ab89b7e5f0873e787a69151b08f,54400,4757,1,40322,Divorced,dt=us-east,Smith et al. (2007),26313209,Article,Oceania,INS-201133,7621,378387,427,320009352,480,5460-5490-1296-3845,28.02,3758933,Figure 5: Distribution,XXXX-XXXX-XXXX-5950,941794374,2054561530578,229177450249,"$49,016.99",3741563
58162.00,"$23,838",2671,576691,INR,7213,mary.white@gmail.com,robert_jones219,804,BILL-424309,12d058baa4f6faf01223affef19a21a6a54fa41111b13bb57b4f1ab8c78f8dbb,Launch SaaS tier,315,BILL-459980,468473849,0x4975f71dd9d91e66b437a825b66bbd2b3ba6fabf,CNP,CAD,0,5458,BILL-881445,"$113,070",11.24,0,BILL-497130,83.5,0xec2dc12142a674882ee8cbe64fcbf45a7042df58,4479.1165,60.3,2024-08-04 11:15:49,10/26,"[-1.5663, 1.9485, -2.0257, 1.1491, 0.7582, 1.476, 0.5702, 0.4895]",68.0,0x2674207ecdaabf0fb56c9d574fe942ed750169a0,"$157,296","$10,014",-10.66%,"9138 Cedar Ln, Boston, NY 84936",6476.13,ba68b6f36499b8c2bbcb514596007234e19d218c4176a35576dbf7ba075b3635,44253,4112,CURRENT_TIMESTAMP,601195724,Single,region=us-east,Walker et al. (2007),4788699404,Video,Antarctica,INS-309174,4358,60113427,8813,301389038,373,XXXX-XXXX-XXXX-5959,706.07,42986,Figure 5: Timeline,3789-7685-7975-3840,394951381,8218569207125,999223001465,17584.67,3714147
"$60,282.65","$13,321",685,601100021,BRL,3323,richard.white@gmail.com,masonclark760,8146,BILL-538504,203e59e8cda8e1f48c1b633260a1fc456c4aa7a72178f0b13a9e80caf8f24fbf,Acquire competitor,659,BILL-874059,678830016,0x7c4df84705ff769bd764576995da88826882f61f,BQA,BRL,0,026,BILL-575357,"$105,385",4.84,1,BILL-275300,48.0,0xe928b90c792c7997452795672d536d5ee6130abc,5641.6097,13.7,2022-07-21 12:22:12,02/29,"[0.7504, -0.5366, 0.21, 0.1384, -0.05, -0.9184, -0.5849, -1.599]",50.8,0xa6ef6557be0f0d549579d5f3c0d42e5c7f7a399b,"$137,328","$26,013",-33.74%,"6894 Cedar Ln, Miami, NY 46930",1229.65,5f1c070353097f929643b81bdf0954398502e5c13546d16750f20a006adaade4,60115974,8884,'',531252,Widowed,dt=2024-01,Jackson et al. (2001),90471918,Infographic,Oceania,INS-186847,6909,52821,905,572625942,469,3797-6900-0367-1111,858.79,407917,Figure 16: Distribution,3769-7180-0377-4499,426365386,7594788754641,021388486784,"$74,362.17",50511
"$33,239.53","$46,677",339,3720833,BRL,7149,michael.walker@gmail.com,noah_taylor713,4140,BILL-830243,421ddf524c70c1740c70bdb7454b97b73c8fc72a39426f5a0bd42bca5fd32477,Acquire competitor,1491,BILL-876730,423607160,0x41c08b5b12af515506d66eba3b7a03f21e70cff7,VWS,CNY,false,442,BILL-537428,"$69,948",0.2,0,BILL-652633,20.4,0x0c94f4d054454ad08b7cc4fe5cd8115c73cf3e74,8040.7513,64.7,2018-10-22 16:43:29,02/29,"[0.6201, -0.1928, -0.1162, -1.4144, -1.2799, -0.3057, 0.3523, 1.7793]",59.0,0x8de51330867ffab5cc3bc6218e672724c85253d4,"$57,134","$15,828",35.19%,"4767 Elm St, Berlin, TX 40114",8311.39,6d15641f64a040e5d98f64858eec52d4b1b0bd256440b9bbdff5acc2b3893f79,372651,6121,1,601198401,Married,tenant=acme,Wright et al. (2026),263303161526,Video,North America,INS-683740,2092,3710257,796,189743556,545,5264-6594-3095-7290,181.98,60111778,Figure 7: Distribution,6011-0842-2708-4821,947042560,8131347591130,277073817444,10003.68,60118790
"$13,733.35","$38,210",631,601140897,EUR,8984,james.lee@gmail.com,emilyjones655,9099,BILL-663385,6f800d401e5c7d4e8b376ccdc371676f60ff1a592c3a90ea289cfa007adb1254,Acquire competitor,263,BILL-167470,488769003,0x89dd2dbb364618fde7067d9270154912682ee39a,HHS,BRL,0,1959,BILL-589364,"$156,129",7.08,0,BILL-689903,8.0,0x46c2e9b422c8bb07a3f8038801379f3347c4103a,2580.8897,72.5,2020-03-03T23:09:38Z,03/28,"[0.0845, 1.3247, -1.8188, 0.709, 0.3273, -1.1302, 0.0995, -1.0772]",89.2,0x97ef74d6af8846e042b916cc09b8136f497a2ab1,"$162,853","$10,154",33.76%,"2811 Pine Rd, Paris, PA 26404",5510.3,08d44d4d4fb3edbaf0954303532de0c4cd810102e948d5c5917fa616640ee863,372792,7107,'',440873,Widowed,region=acme,Williams et al. (2021),335629559747,Image,Asia,INS-116174,9088,556032,9541,374632244,564,5443-8946-7781-8512,614.43,374984,Figure 16: Comparison,3777-0955-6276-6367,747073383,7209172860411,1378709118,"$64,728.21",3767536
