c_xqxp,SALARY_COMPENSATION,twoszf24,revenue,val_len,UPTIME_AVAILABILITY,concentration,attr_gkfm,humidity,PASSPORT_NUMBER,category,exchangeRate,bandwidthDataRate,database_connection_string,customer_checksum_hash,attr_gtin,signature,f_hum,measup,tbmdyk93,ENERGY,measscore,category_2,sla,AREA,LENGTH,VOLUME,MEMORY_USAGE,val_dxs,col_399,dim_715,portfolio,price_cost_info,attr_cvv,GLOBAL_TRADE_ITEM_NUMBER,meta_uqv,brandName,storage_size,CATEGORY,errmsg,price_cost,f_527,distance,marketValue,paypal,speed_velocity,dim_created_by,PRESSURE,concentration_2,measmem
15.136,"$116,947",138.44,"$5,176,317",539.88,97.2703,237.53,9.5,28.4,B53346976,Hardware,60.0171,2409,postgresql://user:****@db-prod.internal:5432/main,ae78c576b5871f779b9b4e8ba0e3346c0d12a18587c35787e38a5234a618c511,4396337658900,sig_7317372364026815,60.1,99.0248,14250,49032.7,5.58,Food,95.8042,72037.5,192.73,7578.54,4.8,https://example.com/users/data/docs,733.88,B+,INV-806704,2384.08,525,8259013957023,BDT-9588,EcoLine,998320,Software,FileNotFoundError: 9074,3959.12,Divorced,4526.4,"$554,780,867",jessica.moore@gmail.com,49.5,lucas.young,327.0,80.3,50.9
2.982,"$41,903",201.78,"$8,151,365",8.01,96.5481,916.15,8.58,91.2,A68369461,Services,103.0941,2479,postgresql://user:****@db-staging.internal:5432/analytics,c7e7840c6a06497431285c4c6bd9dc8527b35b11a114cb1084c12d5880bca7a5,3455900428583,sig_f07dc6b9e88ac6fc,5.8,96.9268,70500,79960.7,5.45,Hardware,96.7559,74254.0,503.39,6735.29,52.5,https://api.service.com/data,892.71,B+,INV-294054,7432.3,9552,3530981658383,JLX-9690,ProSeries,735397,Food,NullPointerException at line 1645,4246.6,Single,9721.2,"$571,504,075",jessica.brown@outlook.com,108.9,lucas.clark,1310.8,961.94,20.9
15.615,"$59,830",98.43,"$9,660,316",461.47,99.1346,241.65,2.03,69.0,M64170429,Clothing,50.7175,1714,postgresql://user:****@db-prod.internal:5432/main,bcf202070c7667b08b23ccef22e59de9abd4426639e3259657c3af72a8f77ccb,3046612736840,sig_a28eeb43aa382b0c,77.2,98.895,31477,8863.5,3.6,Services,95.4767,12685.4,385.6,4553.54,71.4,https://api.service.com/users/status/users,261.5,B+,INV-840839,6407.23,011,9527847955644,BUW-8452,ValueMax,824800,Software,ValueError: invalid literal for int(),338.14,Married,9300.4,"$506,307,774",sophia.walker@outlook.com,0.7,sarah.davis,549.4,528.15,76.6
0.52,"$44,294",330.21,"$397,812",279.09,99.8356,5.45,1.42,31.6,X33589797,Electronics,38.5698,4762,postgresql://user:****@db-prod.internal:5432/analytics,321915586f446256af787b3aea016bf357bde20c515fa0aea39846f70a103cc6,2146849162383,sig_f17e565dcfe47e59,87.1,95.8109,65339,73856.4,0.26,Software,98.6277,60660.4,607.38,4203.42,1.1,https://api.service.com/docs,265.79,B-,INV-865090,379.15,322,0277568474283,KKU-9596,SmartChoice,250059,Clothing,ValueError: invalid literal for int(),6738.84,Married,3936.1,"$524,983,313",elizabeth.martin@outlook.com,153.3,lucas.garcia,1641.3,102.85,46.0
8.728,"$174,604",352.98,"$1,517,758",928.37,95.8976,319.34,7.63,55.9,P77709080,Food,114.0288,8192,postgresql://user:****@db-prod.internal:5432/main,660cdd6c027df16e206f5929b69e4d63b5af8f5d4617507ee36315dd4c6cf725,5650436069621,sig_2790e251acc81a08,78.0,98.6468,60966,41016.2,2.85,Electronics,99.6271,91820.3,398.32,7771.5,41.7,https://data.io/api/v2/status,4.98,B-,INV-102732,4830.91,224,1673772772208,WEM-4160,EcoLine,688856,Hardware,NullPointerException at line 6548,8403.41,Single,9718.3,"$662,844,499",harper.jackson@gmail.com,3.7,patricia.lee,1564.5,190.1,82.1
17.697,"$38,255",233.13,"$241,490",446.9,99.17,988.0,1.2,22.7,B64800827,Electronics,116.6858,6852,postgresql://user:****@db-prod.internal:5432/main,39e2ea1f0f3675bdadd3bbb76b5b6fe96784b7f6f15e7bb1913e5d693263433e,3966444962537,sig_3be1f14212695e12,15.5,96.6052,37920,68104.0,7.0,Software,98.1675,13136.7,495.83,3208.41,13.2,https://example.com/api/data/status,509.39,B-,INV-271598,9320.36,012,9836372660915,JFX-6209,EcoLine,702715,Services,HTTP 503 Service Unavailable,8229.22,Single,4871.2,"$850,487,223",jennifer.brown@outlook.com,146.5,harper.wright,1598.1,660.41,8.2
18.772,"$229,997",282.49,"$6,233,377",591.68,98.2418,720.71,1.28,76.4,S28587150,Food,139.2599,2115,postgresql://user:****@db-prod.internal:5432/analytics,3c249c3803a25d5db5e47cc45b1b6183b43c86ad1f48df8c31abe15711380e68,1335582515835,sig_a36839583078defa,22.9,98.6619,66088,62550.6,4.44,Software,99.099,19306.9,563.82,9294.72,6.2,https://acme.org/docs,571.78,AB-,INV-435758,5307.99,792,7960978184330,AFI-7782,ProSeries,865731,Electronics,Connection timeout after 8363ms,4327.66,Divorced,134.3,"$200,454,953",sophia.jackson@gmail.com,271.1,olivia.clark,1068.0,732.77,69.1
15.315,"$65,237",202.44,"$1,100,665",957.79,98.7958,852.61,9.29,80.7,N60456566,Software,26.6106,1659,postgresql://user:****@db-staging.internal:5432/analytics,3349e09740796143dd0ee3476929fc534b2adfe5d7173a0c5ba7fc691c3827d1,1518587290908,sig_e6b55fa5d8c1213f,55.8,95.7458,30305,97741.7,9.47,Clothing,97.2073,50787.1,806.91,5395.61,35.7,https://data.io/users,702.32,AB-,INV-165809,34.65,1895,9139569794402,RJB-4660,TechBrand,36502,Software,Connection timeout after 7721ms,7677.71,Single,3268.9,"$720,375,134",emma.king@gmail.com,264.9,logan.davis,1781.6,579.17,5.6
13.868,"$230,104",2.15,"$3,134,999",216.13,98.82,475.48,7.38,20.7,Q61141752,Food,130.0381,9862,postgresql://user:****@db-prod.internal:5432/main,e5ecbff3eff3881e15365d58b5f9c34235700b1b05f91505b91d2db7bbd02fc5,7831315578616,sig_f163e6f45985483d,13.3,95.9902,9309,1667.3,9.61,Services,97.7938,14128.5,56.11,5909.14,90.2,https://example.com/api/data,489.04,O+,INV-578925,2608.11,310,6553842278144,VGV-7755,ProSeries,881705,Software,ValueError: invalid literal for int(),5829.71,Married,4136.4,"$804,800,027",sarah.martin@outlook.com,110.4,richard.miller,924.5,229.94,65.9
15.83,"$134,909",346.89,"$3,067,782",575.34,99.8386,251.48,0.41,64.9,L90892141,Electronics,32.743,3372,postgresql://user:****@db-prod.internal:5432/analytics,47213bc8436e8f485cc82b57aeb290426912b3573b3118389220a586bd4a1040,8111804149903,sig_5d07c8c2b2d21dcc,58.9,96.5271,30190,45876.2,3.15,Electronics,99.9083,23677.1,640.71,7185.96,38.3,https://example.com/users,336.27,B+,INV-961748,7581.95,950,4291473267137,ZLO-4803,ProSeries,915136,Services,NullPointerException at line 839,7532.9,Single,3850.9,"$192,414,332",jessica.robinson@gmail.com,110.7,logan.martinez,1579.5,150.08,78.4
5.153,"$202,704",18.9,"$8,160,756",364.62,95.8734,976.47,1.04,40.8,Z46864876,Software,55.2876,4903,postgresql://user:****@db-staging.internal:5432/analytics,da00f5faac9a6e722c3309334892b407684a48d42950d4e1609e5b3bc99f52e6,8040452345162,sig_2d31ee72e9d0800d,68.7,96.9202,74240,15406.0,2.61,Clothing,97.0658,96909.7,131.84,6298.82,98.3,https://acme.org/users/users,845.63,A-,INV-267828,449.48,6019,8199082667908,OYZ-1566,TechBrand,476395,Hardware,Connection timeout after 1261ms,41.4,Married,3647.3,"$538,716,366",olivia.rodriguez@yahoo.com,243.7,oliver.moore,1974.9,751.65,92.8
4.479,"$169,362",105.95,"$8,559,187",323.29,99.9455,837.57,2.86,30.4,J93233383,Clothing,35.2322,8725,postgresql://user:****@db-staging.internal:5432/analytics,dff48b794d87c75f793bea0bfd9ff5a0fde108e847b2160b112431422d49e1d6,1292022684881,sig_9c6b4fb5624e66b2,34.2,98.0797,60494,73891.8,2.87,Clothing,97.9252,23908.1,211.55,958.94,42.0,https://data.io/status,944.98,O-,INV-655681,314.69,4330,0366750231064,UWS-9603,SmartChoice,483338,Electronics,Connection timeout after 9355ms,8959.02,Married,605.8,"$311,236,274",elizabeth.johnson@outlook.com,294.4,jessica.king,547.0,416.2,55.6
1.733,"$100,421",269.57,"$1,574,801",235.2,98.6987,859.45,3.64,9.6,S75828790,Food,54.6473,6906,postgresql://user:****@db-prod.internal:5432/analytics,1e20cb9880ce2153a182de18b72bc3b293981a11ceff07cde5e496168daf3400,2307372185535,sig_28c229103b379edc,0.1,97.053,78295,9163.9,7.95,Clothing,97.4263,50933.6,300.13,4903.7,92.4,https://api.service.com/v2/users,280.19,O+,INV-995855,7054.24,096,0103163517576,JKH-6976,TechBrand,709252,Services,HTTP 503 Service Unavailable,3107.94,Divorced,1786.2,"$524,943,188",richard.clark@yahoo.com,17.6,william.wright,1721.8,20.28,26.1
11.475,"$249,000",12.63,"$6,590,116",62.74,98.7308,981.22,6.58,7.7,N58683085,Software,129.402,5921,postgresql://user:****@db-staging.internal:5432/main,247dbf1d5cf2ad17a686bc8b7c025d9f972fd737e8196afd7259b52c627b9b76,9950047572899,sig_b62dd87a8b78c2ee,51.8,97.7438,56538,79309.1,3.7,Food,97.7159,22986.2,305.59,6108.3,80.6,https://example.com/data/data,106.62,O+,INV-808288,580.07,002,7935261667784,OMY-3352,SmartChoice,327272,Hardware,Connection timeout after 2753ms,301.85,Single,2078.8,"$620,842,671",linda.martin@outlook.com,133.9,linda.anderson,1575.8,872.21,65.4
15.144,"$154,251",163.45,"$7,791,735",560.18,95.3883,111.79,8.99,25.2,P34230712,Clothing,101.2187,709,postgresql://user:****@db-prod.internal:5432/analytics,767877482a41a73b7bf343922764ca99870c8ffccd88ffe1fe7d857df59aa288,4962846755073,sig_5734b08ef61e8aca,7.0,96.5819,46304,44878.6,7.8,Services,95.2072,96114.6,230.17,1008.9,89.2,https://data.io/status/data,647.99,O-,INV-788157,2944.67,7868,3382632841805,URP-5944,TechBrand,362425,Software,NullPointerException at line 1386,9693.36,Divorced,4286.0,"$301,634,402",logan.miller@gmail.com,41.5,john.young,1623.7,553.7,80.4
18.654,"$217,574",36.53,"$7,224,032",971.77,97.422,928.05,3.02,76.9,Z66314492,Services,71.7107,491,postgresql://user:****@db-staging.internal:5432/main,2a8ca8ad4716f84db28c59cbf1786bb676b92a78e32dcfe055af25578404c7d3,8669846554026,sig_bba6db87dcd26c97,17.0,98.7999,39284,12868.5,2.94,Services,97.1508,20309.6,850.23,1288.93,19.3,https://acme.org/api/v2/data,721.66,AB+,INV-874461,9859.86,749,4259386889829,NKN-1351,ValueMax,22507,Electronics,FileNotFoundError: 5373,4790.41,Single,2541.7,"$633,686,257",patricia.lee@gmail.com,43.8,john.jackson,898.4,50.01,16.1
