raw_percentile,pressure_22,category,power,fact_duns_number,kelvin,gtin,fact_frequency,cnqtcx35,issn_v2,customer_password_hash,attr_655,ANGLE,dim_temperature,humidity,frequency_14,gbps,modifiedAt,f_spe,measlon,fact_humidity,pressure_val,v_ynmq,ormwr76,rate,ratio,data_type,title_prefix_30,humidity_14,dim_73,user_percentage,v_ejxl,c_uv,frequency_data,measmktval,age,d_21,humidity_v2,preference,duns_nbr,field_174,customer_bandwidth_data_rate,src_legal_hold_document,scoreIndex,src_unit_of_measure,fact_longitude,sound_level_field,flowRate,raw_duration,field_dw,pressure,dim_ew,retention_policy,x_mq,risk_level,cpu_usage,pypsrp88,mime_type,dev_type,measlat,speed_velocity_field,fact_weight_mass,flightnum,c_ele,v_zntu,tenantid,iyjcd53,cpuUsage,dim_qd,akr17,population,d_sk,attr_844,translation_14,cusip_number_info,soundLevel,d_creat,attr_508,luminosity_brightness_raw,iso_country_cd,fact_length,speed_velocity,POWER,label_tag,age_2,altitude,percentile_14,price_cost_data,umb99,c_918,luminosity_brightness,humidity_2,gakd76,weight_mass_94,mktintel,timeZone,field_165,postal_code,frequency,filterPredicate,measph,product,AGE
53.2,1592.7,Services,12514.7,421349555,1.8,5127815194268,2520.71,1892,4699-4579,$2b$12$sotpnsM9HUeqvwzJuN1t7LGt9lKx4QXfQBiriOGp6mci00A753azs,197.1,292.5,-0.6,11.4,2183.42,5326,2021-05-07T01:33:57Z,167.2,-91.566763,33.1,4.8,9055305,ProSeries,16.88%,8.8275,Parquet,Ms.,82.8,65.165345,63.78%,11.69,369.1,7654.38,"$271,270,905",39,16352.6,9.5,max_retries=977,802635956,type,1535,HOLD-2020-518,6.77,L,41.295833,124.9,791.13,42602,71197,1147.0,false,30 days,59.7,Critical,50.4,507.06,application/xml,Wearable,85.48495,200.2,329.27,RP4691,28,76755,tenant-033,63.34,49.3,linda.garcia,HOLD-2020-632,5834769,2020-03-10T09:12:42Z,80.3%,Konnichiwa,3FXX0HTFU,90.6,john.moore,EMP38307,35563.1,FR,882.69,206.8,10535.6,stable,80,6204,15.66,9042.22,"$754,933,176",61.94,58878.6,16.6,96.8904,42.85,Competitor Beacon Analytics launched FlexPay Platform,JST,2694,31966,150.19,type < 'prod',12.28,CloudGuard,41
51.73,231.8,Clothing,14672.9,362054238,13.3,7651278048084,3779.5,2820,8903-5322,$2b$12$YgVZbFxHaLoIryHT0b36DxqRZdjTH82kIeZMLS76YE65b9UvpSnLX,284.0,209.57,16.3,84.1,943.45,3348,2020-03-17T21:37:36Z,292.0,-160.431387,9.4,771.4,5001570,TechBrand,55.72%,3.9823,JSON,Rev.,86.1,94.231793,80.06%,12.35,262.4,3706.7,"$399,970,025",80,38801.5,14.6,pool_size=793,732308462,name,6,HOLD-2022-296,8.47,L,174.186961,51.8,459.9,86159,93917,459.9,true,7 years,18.2,Medium,30.8,518.91,application/xml,Tablet,72.439466,3.6,76.69,QP1697,2452,60889,tenant-047,7.52,99.2,amy.lewis,HOLD-2023-422,5562569,2021-08-15 00:50:24,14.07%,Hola,24A3O0JJ5,17.8,patricia.martin,EMP51789,65399.7,GB,302.21,243.4,34945.0,needs-review,67,691,44.06,9398.28,"$155,149,344",12.95,58528.7,40.6,95.4639,331.14,Competitor Beacon Analytics launched VaultKeeper,EST,6667,48648,4804.55,date > 'prod',5.21,Sentinel Monitor,92
72.46,1542.8,Services,7082.7,158949198,-8.6,5102167343135,7077.66,451,2241-3348,$2b$12$4GZZUhN6IWfB8XHUJxya4YM5iLI6aJMIQ13FMbSHs7O5f2FF1wMRQ,256.6,273.6,-2.2,28.2,4348.3,7290,2022-12-15T00:00:09Z,6.5,115.798857,42.7,1799.7,5879433,SmartChoice,63.42%,2.6427,JSON,Dr.,45.7,-78.534633,34.69%,8.02,344.3,8007.34,"$224,061,127",116,22657.9,12.5,max_retries=63,122418133,amount,8374,HOLD-2021-745,8.8,°C,76.71081,120.1,99.56,8451,73499,639.3,false,7 years,90.2,Medium,69.6,464.57,image/png,IoT,4.937624,289.7,945.11,UJ1981,1102,4866,tenant-022,75.06,3.3,william.lewis,HOLD-2022-280,2794461,2018-11-14 19:31:15,77.87%,Hola,262CJ3C3D,44.2,amy.lewis,EMP97835,39510.4,AU,654.35,250.1,49482.6,experimental,95,1512,96.63,7707.81,"$502,014,634",40.59,21078.0,4.8,97.7057,679.28,Competitor Acme Corp launched StreamLine ERP,Europe/London,1217,GK3 1OS,6527.28,date != '2024',9.77,Widget Pro,115
88.57,1710.0,Software,40708.0,348228810,-2.7,6582185998730,960.08,2343,8648-5044,$2b$12$3PqxNrJPxl2UNfRMx8KejlFYjK9dH0Cs2TorA3oxX2X5I8aEgs6rB,415.2,116.84,45.6,14.6,4597.29,4895,2019-10-10 08:36:37,178.4,128.538833,22.5,1808.7,4596104,SmartChoice,84.46%,0.9302,Avro,Prof.,54.4,168.857903,59.56%,1.11,93.5,4097.41,"$402,612,646",115,60482.3,6.3,batch_size=839,393243787,status,9549,HOLD-2026-235,6.98,L,72.170956,39.2,403.79,49501,4769,937.8,false,7 days,129.2,High,83.9,500.16,application/xml,Desktop,-75.358721,134.6,151.29,OO4769,1843,51817,tenant-012,33.41,57.2,lucas.young,HOLD-2026-429,4389823,2025-12-18 11:44:33,90.43%,Bonjour,BKL31VGW8,39.7,aiden.young,EMP48769,6097.8,GB,213.17,49.2,41329.9,high-priority,14,5620,24.24,3587.79,"$583,938,428",2.68,81414.5,34.7,95.4562,764.61,Competitor Alpine Systems launched FlexPay Platform,CET,98752,49071,5171.23,status < 'active',2.88,Widget Pro,84
3.68,1372.0,Software,42743.1,558945191,-18.4,9052697762990,3444.65,1261,1953-4937,$2b$12$Nzrnyp4YuhUSiFQjckslavamo6f2C4B1qTkmWxrC3lLVAlQP0TNUv,218.1,326.02,-20.8,78.3,3346.89,5839,2020-03-25 17:24:52,70.6,-91.523651,27.5,1090.3,7898459,ValueMax,94.08%,6.6088,XML,Hon.,26.7,81.718294,27.39%,4.09,397.0,5415.66,"$946,714,906",74,2334.3,19.7,max_retries=267,176219625,amount,1367,HOLD-2023-762,4.39,L,-95.773609,21.7,324.44,6212,4909,1842.5,true,1 year,65.9,Medium,42.2,194.52,application/json,IoT,58.75407,145.0,47.44,TH8534,3905,2407,tenant-017,18.15,58.1,ethan.anderson,HOLD-2025-273,4039762,2020-07-04T02:06:59Z,34.12%,Namaste,L895U5S63,74.9,lucas.jackson,EMP39178,88439.4,AU,274.07,187.8,30428.0,high-priority,66,5525,96.59,5387.87,"$106,047,191",37.76,45647.1,30.1,95.0687,32.75,Competitor Alpine Systems launched FlexPay Platform,America/New_York,43413,VJ2 5ZH,2475.29,status > 'active',4.79,CloudGuard,65
15.32,1869.5,Hardware,4615.0,007743477,32.7,4706296103067,2502.81,1419,1413-6609,$2b$12$FYom1gdK1hGzZ8tyBYqvlfE7tgfvImoVJhL3jOzO7EpXmtwhtndnX,230.1,208.74,-34.9,72.6,4981.99,3957,2024-11-06T14:36:53Z,291.4,-83.427357,71.3,1307.3,7486474,TechBrand,92.23%,2.3864,JSON,Ms.,99.5,-161.804374,79.2%,1.27,362.7,2315.64,"$229,274,082",116,3968.3,17.6,timeout_ms=464,366993137,status,8517,HOLD-2024-343,7.6,°F,170.269314,58.3,257.11,62012,78833,538.1,true,30 days,68.5,Critical,97.4,918.93,application/json,Desktop,88.660658,254.0,380.78,GH2560,8601,40431,tenant-041,44.35,48.3,emily.miller,HOLD-2022-584,2245942,2018-03-24T22:20:57Z,31.25%,Hola,CQV8B5FOL,117.1,noah.moore,EMP22649,98965.1,AU,680.69,210.8,15618.4,approved,61,6700,42.39,8854.47,"$841,174,299",88.02,31784.7,53.0,95.2973,804.71,Competitor DataCraft Inc launched StreamLine ERP,PST,41531,HK4 3JW,4702.73,date = '2024',6.01,VaultKeeper,62
25.62,485.7,Electronics,27715.3,187933511,-5.6,3247786069227,4392.96,4805,8001-9809,$2b$12$JRxRmclvvev3dQHmTZsGgG5xTHICwVYRtr8oyidykCWwMHuNF15li,15.8,232.22,-35.5,19.7,5450.78,9015,2019-04-21 19:34:12,297.1,-24.345955,70.1,1079.2,8710797,TechBrand,30.68%,7.567,Parquet,Ms.,10.1,96.368061,30.73%,11.13,8.4,546.37,"$519,556,554",57,35527.1,76.7,max_retries=557,961426159,email,5096,HOLD-2024-631,6.97,°C,92.723264,70.8,963.13,65544,72860,470.4,false,1 year,59.2,Low,38.7,156.41,text/html,Smart TV,-66.578134,270.5,342.87,NF9215,4920,58838,tenant-013,11.73,37.6,mary.johnson,HOLD-2023-936,9838145,2026-11-14T16:27:41Z,22.96%,Namaste,44CDCFP7P,28.1,lucas.johnson,EMP77701,15129.8,JP,392.2,53.2,29536.7,experimental,13,8717,41.37,6476.48,"$743,342,658",9.37,78356.4,55.7,97.3635,946.6,Competitor Vertex Technologies launched FlexPay Platform,EST,96290,33803,3754.71,status IN '2024',3.29,Sentinel Monitor,68
9.7,64.1,Hardware,24005.0,545252902,-10.4,1280972867753,1484.37,1781,4973-8475,$2b$12$ldrXtQdJfF8ofjNfxWUqf0JD5JisI1Sy2PC4beB2eQj2D70NKEEEM,236.7,338.35,-12.9,66.1,3802.38,9445,2022-09-01T22:35:25Z,115.6,-65.87816,59.0,1716.1,2764291,EcoLine,48.05%,2.6104,CSV,Rev.,45.5,131.89451,59.29%,3.54,248.9,1505.13,"$118,282,352",58,89743.2,91.1,pool_size=704,515359746,email,5302,HOLD-2026-257,5.8,kg,-120.213491,55.0,943.69,42828,3230,1619.1,false,indefinite,121.2,High,63.4,335.52,image/png,Mobile,36.303686,187.7,621.9,AP7943,5825,41280,tenant-049,90.27,71.2,noah.young,HOLD-2020-681,610670,2022-02-14T10:45:10Z,47.8%,Hola,LJ13X8UTO,124.6,amy.brown,EMP89762,69779.7,AU,163.45,278.9,32830.5,high-priority,108,5555,34.91,9658.04,"$101,639,325",39.99,95085.6,28.1,98.5905,720.79,Competitor Vertex Technologies launched SmartHub X1,America/New_York,41054,QT5 5MG,4686.26,status = 'active',11.98,CloudGuard,71
70.94,313.9,Hardware,40345.0,119037166,35.3,1109317187996,6904.54,3283,1007-2777,$2b$12$2PnpN1Moagg3dvUeLEVXo48hbJdV9A6RIMUICGVTOjqHA5DUPViUG,230.0,298.02,-19.7,51.3,2412.51,5383,2021-08-06T09:00:28Z,102.5,57.78356,80.2,1926.2,8066453,ProSeries,47.65%,1.7805,Avro,Mr.,86.6,-10.766023,44.62%,12.79,80.9,3390.27,"$630,164,252",36,26426.6,32.3,max_retries=228,097293875,type,69,HOLD-2026-862,6.43,ft,-142.203627,78.0,411.29,13872,77344,1905.0,false,7 years,48.4,Critical,95.8,963.02,text/csv,Tablet,-53.526654,272.6,258.84,US4024,3945,80073,tenant-043,16.34,84.0,david.thomas,HOLD-2021-649,2338547,2022-01-07T09:39:35Z,35.13%,Namaste,CU0G33N8N,10.7,michael.robinson,EMP96347,1945.9,BR,738.19,15.8,26047.8,needs-review,74,1053,89.26,3652.23,"$375,803,473",94.79,10599.6,7.0,97.6648,529.33,Competitor Pacific Research Group launched FlexPay Platform,UTC,54212,32447,7140.71,status < 'prod',7.28,CloudGuard,69
69.27,1991.7,Services,18799.1,265772210,-22.0,5489740266739,3960.61,130,3789-8516,$2b$12$gSOvA58pxx4R7EAbNOZYbrfKO8Q6drn5QdP4kSuaDW4yMsgQEhHgp,227.7,151.71,18.3,31.3,3435.15,4886,2018-01-17T09:23:40Z,265.2,-22.037609,89.3,783.9,5218464,ValueMax,94.47%,2.9031,YAML,Ms.,89.0,148.115506,81.65%,6.18,144.5,88.4,"$759,315,584",107,91340.0,43.5,batch_size=43,519602749,amount,572,HOLD-2021-918,6.63,°C,39.750898,90.2,706.02,39421,54074,1528.1,false,30 days,31.2,Low,15.2,478.26,application/pdf,Tablet,-33.789497,168.4,146.3,OW3064,4410,26274,tenant-046,92.1,29.6,olivia.thomas,HOLD-2023-574,2702488,2025-05-10 14:52:36,6.33%,Bonjour,TC12J9Y2T,16.7,elizabeth.clark,EMP59970,73169.7,BR,76.11,197.5,7988.2,needs-review,36,5776,7.88,7477.06,"$450,480,814",96.31,97921.6,68.9,97.0148,597.04,Competitor TechCo Industries launched CloudGuard,CET,77779,MS7 6JU,761.93,status = '2024',1.57,SmartHub X1,74
