x_ban,stock_rsu_grant_field,cvv,v_joni,measdist,insuranceId,d_726,bnk_identification_number,investment_acc,photograph,attr_credi,salary_compensation_30,medicalRecordNumber,wjqaz75,MAGNETIC_STRIPE_DATA,feed,oqsigr33,investment_account_data,credit_rating,TIMESTAMP,magstripe,var_iz,stock_rsu_grant,paypal_acct,fact_credit_score,meta_881,BANK_ACCOUNT_NUMBER,attr_eu,locationText,investment_account,swipe_data,CARD_EXPIRY_DATE,image_embedding_22,investmentAccount,paypal_account_raw,zsvx56,modifiedBy,VERSION_NUMBER,stockRsuGrant,dim_iso_currency_code,CONFIGURATION,iata,exp_date,attr_per,voltage,PAYMENT_CARD_NUMBER,jzn7,dim_price_cost,perfrev,permission_level_raw,meta_830,wkeqg68,income,ban,cvv_2,date_time
44473464,4262 shares @ $406.72,733,Sydney,4578.3,INS-816686,INS-806902,557283,INV-953014,photo_bca68b5b.jpg,444,"$233,656",MRN-638117,anna.garcia@gmail.com,%B0639044861043893^LEE/LINDA^2401,PostgreSQL,insert,INV-299537,306,2023-01-03 15:17:48,%B2843543326681383^KING/WILLIAM^2707,"$9,642,144",475 shares @ $219.03,richard.thomas@yahoo.com,390,8.2,6913881424,5456.5,"Miami, Canada",INV-614612,%B8415467857029100^LEE/ANNA^2504,12/30,"[0.558, -0.0282, 0.4615, 0.244, -0.5749, 0.1543, 0.2275, 0.7085]",INV-861987,james.taylor@gmail.com,04/24,liam.williams,0.5.38,1302 shares @ $353.52,EUR,timeout_ms=932,ZGL,03/30,Michael Smith,357.1,3717-1013-1850-1278,-45.0375,8505.6,Exceeds expectations,Owner,L3IXON6Z2IPLXIUYL9JU,12/24,"$1,414,720",3859864164,4672,2022-04-03T00:00:00Z
16269934,3120 shares @ $477.54,507,Miami,7586.5,INS-122339,INS-929744,511758,INV-237065,photo_75e3d328.jpg,623,"$64,815",MRN-520905,richard.williams@outlook.com,%B2245002044330963^WILLIAMS/ROBERT^2510,Salesforce,update,INV-558113,358,2026-03-08 12:15:30,%B4271230261717874^JONES/SOPHIA^3002,"$1,910,560",3741 shares @ $62.25,oliver.garcia@outlook.com,515,99.9,5096446659,7423.95,"Chicago, Netherlands",INV-674089,%B5436060170462294^KING/OLIVER^2401,06/24,"[-0.0952, 0.0954, -0.1138, -0.3926, -0.0467, -0.0825, -0.6287, -0.4842]",INV-591902,james.king@outlook.com,03/27,jessica.williams,5.0.29,2917 shares @ $310.19,INR,pool_size=438,LFO,07/27,Olivia Wright,339.7,4663-9673-1130-6913,15.5055,2727.45,Meets expectations,Viewer,M77OHXPPPNTXMBQVUXRE,01/29,"$2,207,317",46151822,8545,2020-12-18T00:00:00Z
9575368633,3255 shares @ $470.63,7801,Austin,9463.3,INS-631796,INS-974484,576840,INV-533135,photo_5ec57c9a.jpg,510,"$102,593",MRN-348147,liam.anderson@outlook.com,%B9395772868179564^MARTIN/LIAM^3008,Snowflake,delete,INV-188412,571,2020-04-01 09:09:48,%B9060572949918863^JONES/WILLIAM^2604,"$5,335,973",3606 shares @ $497.61,linda.garcia@gmail.com,356,84.9,18847791,2712.11,"London, Israel",INV-933024,%B2595432761102519^LEWIS/JESSICA^2708,09/28,"[-0.0435, 0.6112, -0.2489, 0.1499, -0.0, 0.8742, -0.3544, 0.0566]",INV-443198,elizabeth.thompson@gmail.com,03/28,lucas.brown,0.12.83,3133 shares @ $25.15,BRL,batch_size=155,KSI,01/29,Ethan Davis,164.0,5687-7320-9559-7394,15.1873,5680.68,Meets expectations,Admin,0ZV3P5KDI4QU1HW6AHF4,06/29,"$3,179,895",9414852839,117,2026-11-21T00:00:00Z
1978873897,4942 shares @ $379.15,454,Los Angeles,3342.7,INS-768248,INS-775640,3798364,INV-616002,photo_70d46b65.jpg,496,"$85,428",MRN-906037,mason.martin@outlook.com,%B7933288335351674^JACKSON/LUCAS^2412,Snowflake,delete,INV-424368,540,2026-04-28T13:46:38Z,%B6885641592978786^MILLER/OLIVIA^2706,"$3,632,544",3344 shares @ $128.03,anna.walker@gmail.com,544,53.8,376813205389,9490.16,"New York, France",INV-506807,%B9952515646282278^WILLIAMS/LUCAS^2406,01/28,"[0.7897, 0.3324, -1.1111, -0.5058, -0.4078, -0.8361, 0.0149, 0.8928]",INV-619344,amy.martinez@gmail.com,09/28,emma.white,5.10.80,1009 shares @ $68.63,GBP,pool_size=348,MOJ,01/29,Oliver White,78.5,XXXX-XXXX-XXXX-1407,29.097,9591.35,Exceeds expectations,Admin,NZ8I3XA6ZALW0BP4HGB1,09/29,"$7,188,862",0523786890,650,2019-11-15T00:00:00Z
8047896010,4103 shares @ $406.21,7050,Paris,8505.9,INS-302305,INS-398897,544233,INV-136378,photo_94668ec2.jpg,650,"$184,414",MRN-436202,aiden.martin@gmail.com,%B6026518983028132^WHITE/SOPHIA^2802,Workday,snapshot,INV-881874,447,2025-06-04 10:05:39,%B3380352964671168^TAYLOR/EMMA^2809,"$4,378,215",4923 shares @ $458.1,harper.king@yahoo.com,433,52.9,4020218452,8175.82,"Miami, Israel",INV-594376,%B0732848977914991^WALKER/NOAH^3006,02/25,"[0.5927, -0.1256, -0.4922, -0.2346, -0.0789, -0.0337, 0.156, -0.512]",INV-583336,william.taylor@outlook.com,08/25,jennifer.martinez,3.3.66,3868 shares @ $356.38,GBP,max_retries=982,AQE,12/28,Emily Jones,479.1,XXXX-XXXX-XXXX-5061,21.0952,5322.64,Exceeds expectations,Viewer,AQK1O321YUAKE6NOGZQ6,03/24,"$2,806,695",87517590,933,2019-01-11T00:00:00Z
106861585618,289 shares @ $117.41,9837,San Francisco,3228.5,INS-787899,INS-318442,44040,INV-241804,photo_e65b42ae.jpg,687,"$203,495",MRN-264001,emma.williams@gmail.com,%B9663578203734933^SMITH/MASON^3006,Workday,update,INV-549155,509,2025-01-04 12:02:38,%B3513106356322228^MARTINEZ/JAMES^2804,"$8,166,874",581 shares @ $188.45,anna.moore@outlook.com,833,60.5,28071448,7385.37,"Toronto, France",INV-505261,%B5569411254985295^ROBINSON/HARPER^2812,04/28,"[0.8852, -0.6961, 0.2448, 0.1425, 0.2778, -0.2922, -0.6552, -0.5766]",INV-363154,patricia.lee@outlook.com,07/29,logan.king,0.17.87,471 shares @ $321.59,INR,max_retries=201,MJA,06/25,Robert Taylor,304.4,XXXX-XXXX-XXXX-6175,13.7678,6368.06,Exceeds expectations,Viewer,YVMA4BIQRERNX52G98VA,07/24,"$5,650,427",24076055,915,2023-07-04T00:00:00Z
6406539986,3363 shares @ $407.73,027,Portland,4391.2,INS-892354,INS-899085,3770851,INV-173709,photo_41f61a15.jpg,795,"$186,839",MRN-840038,patricia.martinez@outlook.com,%B2509705822774504^SMITH/MASON^2901,Snowflake,delete,INV-470547,793,2026-10-24 09:20:15,%B4061821999079399^WILLIAMS/MARY^2509,"$9,888,308",2169 shares @ $211.81,mary.miller@outlook.com,423,63.0,96178059,5353.06,"Sydney, South Korea",INV-989210,%B5142227978159938^LEWIS/PATRICIA^2408,03/28,"[0.7115, 0.261, -0.1961, -0.5164, -0.813, 0.1213, -0.1251, 0.022]",INV-649887,robert.brown@gmail.com,03/29,aiden.harris,5.5.28,2570 shares @ $350.37,EUR,max_retries=745,YHV,09/27,Sophia Wright,302.5,XXXX-XXXX-XXXX-3656,19.7191,1844.05,Needs improvement,Viewer,6P8A3XXMQOGH55GZ98HP,01/25,"$5,582,014",1033126730,1580,2020-12-24T00:00:00Z
75739425,4611 shares @ $18.79,808,San Francisco,3717.7,INS-853559,INS-296920,3715042,INV-501498,photo_29e51ffc.jpg,323,"$235,481",MRN-250574,anna.rodriguez@outlook.com,%B9063447400024712^MARTINEZ/LIAM^2811,PostgreSQL,delete,INV-659388,643,2022-09-06 07:17:28,%B4676051554163854^WALKER/MARY^2811,"$4,074,974",1318 shares @ $382.07,patricia.taylor@gmail.com,607,83.9,35751151,3754.57,"Berlin, Spain",INV-730809,%B5424826407525417^WRIGHT/ELIZABETH^3009,09/25,"[0.2728, 0.1092, -0.2381, 0.5611, -0.2142, 0.3671, -0.1208, -0.6111]",INV-646474,john.taylor@yahoo.com,01/29,william.miller,2.4.0,3498 shares @ $314.77,BRL,pool_size=287,LFM,10/29,Mary Young,317.4,3705-1565-1423-6932,-53.1797,5324.57,Outstanding,Admin,I76JXKLK3YQOC48L9S38,12/27,"$9,617,089",26181638,213,2024-12-01T00:00:00Z
754570554797,4400 shares @ $15.57,3726,San Francisco,147.2,INS-677752,INS-144344,479239,INV-126210,photo_602f1d7d.jpg,656,"$121,928",MRN-818948,william.brown@gmail.com,%B6424040466709071^DAVIS/JOHN^2911,Workday,snapshot,INV-916871,825,2024-07-11T08:01:18Z,%B2998854363045335^JONES/LINDA^2411,"$3,085,493",3208 shares @ $355.44,robert.moore@outlook.com,705,10.5,65187896,4135.82,"Atlanta, Norway",INV-826777,%B8107046168295682^MILLER/DAVID^2402,09/24,"[0.4369, -0.8541, -0.1261, -1.227, 0.2238, -0.6691, 0.1739, -0.6726]",INV-869190,michael.lee@outlook.com,08/29,william.rodriguez,5.0.49,741 shares @ $132.4,AUD,pool_size=631,OIO,12/30,Amy Z. Thomas,80.7,5348-1268-3938-2765,9.8928,4461.24,Meets expectations,Guest,ACDPYUV4C6T5XSTD8FT5,02/28,"$1,882,209",5636520273,201,2025-01-04T00:00:00Z
40724183,700 shares @ $142.65,279,Seattle,2121.3,INS-888950,INS-931266,442823,INV-209687,photo_a6fff829.jpg,740,"$70,484",MRN-711587,oliver.harris@yahoo.com,%B9000836462906470^SMITH/LIAM^2810,Kafka,upsert,INV-246801,395,2023-06-13T05:31:38Z,%B0613783738585243^DAVIS/JAMES^2809,"$8,161,326",2811 shares @ $359.04,mason.jones@gmail.com,469,68.6,599463411872,9399.05,"Los Angeles, France",INV-903481,%B6761480559214897^WHITE/ROBERT^3005,10/29,"[0.0751, -0.0126, 0.0364, -0.1932, -0.5152, -0.7565, -0.0127, 0.742]",INV-708425,michael.rodriguez@yahoo.com,08/30,lucas.miller,1.18.42,3098 shares @ $277.32,EUR,max_retries=731,JIK,11/27,Mary Moore,48.9,6011-5400-6189-3489,20.7237,616.71,Needs improvement,Viewer,EV3XH41KNYL2QZD2V08W,07/27,"$7,841,820",800049077535,6562,2021-12-06T00:00:00Z
2375634286,537 shares @ $20.56,743,Toronto,4220.0,INS-448074,INS-370342,3735584,INV-517456,photo_2e466f67.jpg,702,"$246,157",MRN-872971,emily.martinez@outlook.com,%B1730526190663001^MARTINEZ/OLIVIA^3001,Salesforce,snapshot,INV-331410,754,2021-06-09 07:22:04,%B6323504743483146^SMITH/LINDA^2705,"$4,551,706",2172 shares @ $431.15,robert.white@gmail.com,638,56.1,829658734310,4390.57,"Berlin, France",INV-671276,%B5507163310687811^WILLIAMS/ROBERT^2710,07/25,"[0.415, 0.0228, -0.1545, -0.2905, -0.8321, -0.1565, 0.3081, 0.4473]",INV-550885,aiden.king@gmail.com,01/24,elizabeth.martin,4.15.46,4643 shares @ $206.8,USD,max_retries=48,VZS,08/26,Amy M. Lewis,247.9,4801-6185-3067-0658,67.7692,815.25,Needs improvement,Guest,2M20A2XNB26MMJHICBTI,10/24,"$7,623,611",56664759,285,2018-01-30T00:00:00Z
0457076155,834 shares @ $10.51,501,London,9552.1,INS-355306,INS-119805,601106968,INV-950310,photo_3f6eacf4.jpg,316,"$108,199",MRN-166669,jessica.jones@gmail.com,%B3403672102499437^RODRIGUEZ/ETHAN^2610,Kafka,update,INV-716010,624,2024-10-11 10:58:21,%B1837501182573113^SMITH/LUCAS^2709,"$6,728,675",4941 shares @ $210.6,emily.anderson@yahoo.com,603,84.3,71805602,2258.68,"Atlanta, Norway",INV-656357,%B4996045603867180^ANDERSON/AIDEN^2909,05/30,"[0.1473, -0.1325, 0.2534, -0.1069, 0.3235, -0.3863, 0.7975, -0.0527]",INV-597719,emma.young@gmail.com,08/28,oliver.garcia,4.17.13,4760 shares @ $331.51,BRL,timeout_ms=29,LWU,03/29,Olivia Brown,290.4,XXXX-XXXX-XXXX-7918,-67.9357,4420.18,Outstanding,Owner,SNKWS7AMULUY1C16M81M,07/28,"$3,846,303",4074284639,6973,2023-12-06T00:00:00Z
0561502761,4944 shares @ $151.5,650,Houston,2714.9,INS-846669,INS-370773,370032,INV-487999,photo_8dd0712c.jpg,430,"$51,856",MRN-133089,david.garcia@yahoo.com,%B1889085527567070^MARTINEZ/EMMA^2801,Kafka,insert,INV-945524,660,2023-08-01 16:27:18,%B3949258010836618^WHITE/OLIVIA^2401,"$8,773,763",2620 shares @ $183.04,noah.smith@yahoo.com,805,48.2,9269113220,4238.95,"Dallas, Netherlands",INV-968849,%B8129514920988758^THOMPSON/MARY^2701,09/27,"[-0.1626, 0.641, 0.0627, 0.2737, -0.3824, -0.3133, -0.1551, 1.3456]",INV-941953,emma.brown@gmail.com,08/30,liam.clark,2.0.27,1863 shares @ $455.28,GBP,timeout_ms=38,KCU,02/28,Liam Wright,374.9,XXXX-XXXX-XXXX-6273,6.7457,2168.1,Meets expectations,Admin,KZ8JMY4MHXX6ILX4CKTG,07/29,"$151,722",973158330752,943,2024-10-21T00:00:00Z
1702114836,3835 shares @ $266.12,088,Tokyo,7259.2,INS-352949,INS-961730,601154479,INV-884894,photo_61d79e87.jpg,307,"$60,447",MRN-155016,sophia.young@outlook.com,%B0399620762289401^LEE/RICHARD^3009,Workday,update,INV-506859,625,2024-01-25T10:21:28Z,%B7751735471727451^DAVIS/JENNIFER^2611,"$6,343,650",4378 shares @ $470.43,john.anderson@gmail.com,331,97.3,0365688789,3735.5,"San Francisco, United States",INV-500276,%B1324819468657165^MARTIN/AIDEN^2606,02/25,"[0.8959, 0.171, 0.5659, -0.673, 0.0863, -0.2648, -0.1024, -0.2962]",INV-356275,jessica.martinez@yahoo.com,07/24,amy.martin,0.10.5,1331 shares @ $400.91,EUR,batch_size=581,EEU,10/30,Mason Lewis,324.4,5957-3772-5591-6877,-84.6348,7304.46,Needs improvement,Guest,13JOW4HEQPSOAA2MJEWJ,09/28,"$1,220,136",1624249059,902,2026-05-14T00:00:00Z
494391742001,1600 shares @ $163.2,6819,Tokyo,6214.7,INS-427751,INS-735682,409965,INV-347795,photo_d357c89e.jpg,313,"$193,444",MRN-589382,elizabeth.lewis@outlook.com,%B5616223002056143^THOMAS/LINDA^2511,Salesforce,snapshot,INV-827614,654,2022-02-13T22:58:51Z,%B0989272043535850^MILLER/JENNIFER^2705,"$211,406",1433 shares @ $264.8,olivia.clark@outlook.com,766,96.5,9412601967,4982.46,"Sydney, Israel",INV-911482,%B8793317527930417^WILLIAMS/PATRICIA^2808,06/27,"[-0.2566, 0.7884, 0.494, 0.6212, -0.5521, 0.1057, 0.4947, -0.1891]",INV-638862,linda.walker@outlook.com,06/24,noah.smith,2.19.28,1010 shares @ $158.11,AUD,batch_size=968,MYW,03/28,William B. Lewis,26.0,XXXX-XXXX-XXXX-4972,50.4231,40.18,Needs improvement,Owner,U6J1RIVPFJ42WLPDBRPM,06/27,"$9,731,127",36681306,2444,2024-04-21T00:00:00Z
3400534386,2224 shares @ $277.38,340,Tokyo,7217.6,INS-834433,INS-579507,40596,INV-307523,photo_8d28931a.jpg,322,"$89,119",MRN-750234,aiden.davis@outlook.com,%B5297097743207734^TAYLOR/JENNIFER^2410,Salesforce,update,INV-799277,654,2021-01-10T20:13:36Z,%B4408214330887936^KING/EMMA^2610,"$1,695,072",2693 shares @ $87.63,david.smith@outlook.com,404,68.5,665068570061,9870.53,"Phoenix, Israel",INV-317119,%B9530662643145055^WRIGHT/SUSAN^2701,10/28,"[0.4286, -0.2424, -1.0958, 0.0431, -0.4559, -0.5817, -0.3584, 0.9824]",INV-642396,robert.martin@gmail.com,04/27,mason.garcia,5.8.5,244 shares @ $450.33,BRL,max_retries=692,LJS,06/26,John Williams,167.8,5995-5584-2123-3171,82.9988,679.38,Needs improvement,Editor,NRMVSCC082FTHTQIGHZ6,12/24,"$3,692,385",263554302316,4368,2026-10-25T00:00:00Z
