c_953,soundLevel,numeric_range,featureVector,dehwe69,numericRange,NUMERIC_RANGE,FEATURE_VECTOR,ordinal_position,v_tl,raw_integer,trendGrowthRate,landmark_poi,MEDIAN,meta_102,CREATED_AT,median,author,histogram_bin,CONFIDENCE_INTERVAL,decimalFloat,jps19,DECIMAL_FLOAT,integer_6,address_text_data,data_format,iso_country_cd,histogramBin,lwerzd49,word_embedding,var_ao,meta_zh,puymg50,probval,field_ran,customer_load_timestamp,likelihood,standardDeviation,x_land,TREND_GROWTH_RATE,dim_152,integer_info,v_445,trend,unitOfMeasure,dim_integ,50th_percentile,size_dimension_category,ordval,STANDARD_DEVIATION,area,HISTOGRAM_BIN,var_decim,stddev,position,time_of_day_raw,percentile,wordEmbedding,correlation,c_293,SCHEDULE_PLAN,change,src_probability_confidence,WORD_EMBEDDING,attr_rang,integer,ci,src_median,dim_phwd,INTEGER,percentage,featvec,src_ordinal_position,meta_113,rank_rating,imgemb,p_qqbh,p_sxtn,intval,double,var_273,user_decimal_float,dim_bank_identification_number,first_name,meanAverage,median_6,user_standard_deviation,visual_features,src_confidence_interval,startdt,confidence_interval_6,c_ima,binval,x_83,content_type,fgavi11,ordinal_position_6,0_1,wordemb,voiceprint,confidence_interval_field,feature_vector,d_79,histbin,attr_uecr,bin_edge,SCIENTIFIC_NAME,median_val,CORRELATION,cryptocurrency_adr,food_ingredient_name
application/xml,52.5,47-80,"[0.9991, 0.7019, 0.1978, 0.9078, 0.8819, 0.1699, 0.7996, 0.9344]",F2YFKW9ZJ,16-90,47-98,"[0.6126, 0.3797, 0.5305, 0.7279, 0.2617, 0.9375, 0.7566, 0.4219]",53,-22.26%,8085,-29.94%,Eiffel Tower,87.371,"$1,522,762",2018-11-26 14:44:25,-69.3784,mason.thompson,78.55,"[26.0, 65.59]",-346.7612,BILL-913533,650.1557,7774,"3012 Maple Dr, Sydney",XML,US,79.89,NO,"[-0.1682, -1.1539, 2.0647, 1.6012, 1.3234, 0.7007, 0.2864, 0.3249]",658,589,Weekly on Monday,0.9078,6-73,2021-07-06T02:36:14Z,0.8635,13.8116,Big Ben,11.14%,"[-0.2056, 0.0655, -0.4189, -0.7998, 0.5119, 0.2221, -0.5706, -0.2814]",4447,Pollen,10.58%,°F,5705,-51.486,S,197,36.3611,94176.0,26.05,5437.0535,48.6746,582,10:59:06,24.64,"[0.6544, 0.358, -0.3921, 0.3056, 0.0941, 1.4539, 1.2761, 0.3652]",-0.0925,4.4275,Daily at 2am,-2.93%,0.0839,"[0.1749, 0.3919, -0.4724, 0.7434, -0.3675, -0.002, -0.9344, 0.0103]",28-95,8504,"[6.66, 83.58]",59.8499,"[14.86, 68.03]",3523,62.78%,"[0.8462, 0.3828, 0.0061, 0.1481, 0.93, 0.4993, 0.1278, 0.4125]",429,CLM-823949,93,"[0.1917, 0.4141, -0.637, -0.1765, 0.2244, -0.1865, 0.876, -0.0401]",18b7a584f3cdabf23e92da45ea0edbf5d695552d176222097f5e9c8a2c721ce4,-17.61%,8493,8398.5998,7347,6127.195,60114840,Ethan,-9.5822,-94.9089,41.9585,"[0.8236, 0.2328, 0.0186, 0.4944, 0.1199, 0.1138, 0.6382, 0.7339]","[3.33, 65.88]",2022-08-13,"[36.33, 96.39]","[1.0443, 0.4054, -0.1382, 0.2441, 0.4684, 0.2002, 0.5385, 1.0068]",0,31.17,Article,0.5399,685,1,"[-0.2828, -0.4566, -0.9746, -1.7434, -1.0793, -1.5458, 0.0422, 1.5461]",voice_4168921b6159bfe3.wav,"[19.38, 62.69]","[0.6326, 0.6287, 0.1392, 0.5529, 0.4946, 0.9926, 0.4072, 0.7746]","[0.1775, -0.3915, 0.0638, -0.3594, -0.793, -0.5725, -0.4538, 0.8092]",97.56,05/25,86.53,C6H12O6,47.3539,0.8158,0xb4c39f05bc4f0d27a2e35ce84489313c352b6efb,Steak
application/json,10.0,27-71,"[0.3925, 0.1653, 0.4982, 0.2447, 0.0377, 0.0211, 0.5187, 0.6727]",9X90XONGU,44-62,30-78,"[0.0651, 0.1389, 0.1361, 0.2874, 0.4423, 0.8657, 0.6552, 0.8842]",44,-4.24%,5596,12.97%,Big Ben,-35.2924,"$8,950,519",2022-08-20T03:49:12Z,-61.865,aiden.lewis,32.16,"[9.58, 94.73]",2602.4039,BILL-416296,5865.1828,8413,"2094 Cedar Ln, Dallas",YAML,FR,11.24,YES,"[0.9138, -1.4198, -1.1229, -0.0658, -0.8089, -1.1583, -0.2643, -0.7843]",661,584,Every 15 minutes,0.2589,14-60,2019-11-21T07:32:38Z,0.2638,6.8259,Eiffel Tower,9.35%,"[0.5661, -0.575, 0.1879, -0.4514, -0.1575, -0.2114, 0.0932, -0.6887]",434,Latex,-24.71%,°C,7938,66.4605,L,672,42.0901,38692.3,5.38,3165.882,20.7953,789,00:10:52,93.89,"[1.2177, 0.0198, -1.0607, 1.1042, -0.1429, 1.4035, 0.7868, -1.9965]",-0.0828,7.6608,Monthly on 1st,2.8%,0.4792,"[-1.0443, 0.7207, -0.811, -1.7343, 1.1627, 0.6153, -0.9978, -0.8902]",35-79,8845,"[4.7, 86.83]",-37.4043,"[34.62, 87.12]",9818,14.04%,"[0.7733, 0.4981, 0.7635, 0.3212, 0.4444, 0.572, 0.026, 0.0034]",969,CLM-448446,1,"[0.2413, -0.2157, 0.0681, -0.5324, -0.7383, -0.4055, 0.0586, 0.3478]",334d8e60aade139bf17390ab70aae634d6706849723c42e008aed68c53b53ac9,-17.1%,1075,2834.2744,5345,955.9605,60110770,William,-38.2404,-21.6775,2.938,"[-0.1164, -1.2506, -0.0455, -0.2583, -0.0621, -0.9235, 0.4066, -0.0092]","[33.85, 91.62]",2021-10-11,"[29.26, 88.53]","[0.4049, -0.0265, 0.4247, -0.0909, 1.671, -0.0285, 0.2065, 0.1832]",1,93.23,Podcast,0.555,840,0,"[-1.2067, -0.3994, 1.2385, 0.3815, -0.397, 0.6862, 0.0696, -1.9225]",voice_85c05303d7f2bf2c.wav,"[15.91, 75.53]","[0.5947, 0.7158, 0.7183, 0.5796, 0.7744, 0.7762, 0.3787, 0.8052]","[-0.435, -0.5807, 0.2188, 0.0445, 0.0088, 0.1104, -0.0968, 0.1717]",71.17,11/28,95.27,H2O,22.7751,-0.8426,0x74c834788b1460e6a9a3fd18542893e28fcd4958,Steak
text/csv,29.8,0-66,"[0.8882, 0.1386, 0.8139, 0.7453, 0.5335, 0.3386, 0.8372, 0.9314]",OME4SER0V,9-61,49-62,"[0.9438, 0.5393, 0.8866, 0.9683, 0.523, 0.2397, 0.8632, 0.1944]",83,-47.92%,9687,2.68%,Eiffel Tower,86.1478,"$183,327",2019-01-14 21:58:50,4.9383,anna.smith,80.75,"[22.13, 90.79]",3658.4141,BILL-446503,7917.9414,1080,"8288 Maple Dr, Sydney",YAML,BR,11.31,YES,"[0.9347, 1.4559, 0.0727, 0.7904, 1.5661, 0.5316, 0.2504, 1.4442]",436,663,Daily at 2am,0.2314,18-89,2021-01-27 21:12:40,0.2188,17.6124,Central Park,-9.97%,"[0.4246, 0.9162, 0.944, -0.0004, 0.4705, 0.0909, -0.2447, 0.0073]",9134,Shellfish,13.43%,lb,8478,-30.9159,XL,276,4.4887,41625.0,20.37,861.5833,25.4774,110,06:57:43,91.34,"[-0.6261, 0.3065, -1.1415, -0.5106, 1.2132, 0.9357, -0.3033, 0.2267]",0.37,31.305,Daily at 2am,19.3%,0.0628,"[-0.4645, -0.0526, -1.0671, 1.6096, -0.9046, -0.5404, 0.492, -0.2304]",16-69,6520,"[15.27, 67.22]",-79.301,"[23.55, 80.26]",7044,18.95%,"[0.6064, 0.7785, 0.6934, 0.7088, 0.2758, 0.2847, 0.2111, 0.885]",464,CLM-377251,10,"[-0.3831, -0.0054, -0.0449, -0.3317, -0.1958, 0.644, -0.4736, 0.3807]",e4efa7b6849b41888a9d6c9516feda47249fed8e1b2fde1965c3bdff7cd9d9e1,-7.64%,8755,8527.5325,9289,685.2746,601128588,Aiden,39.0628,-0.6103,30.1694,"[0.3327, 0.7536, -0.9128, 0.3671, -0.2152, 0.6755, 0.4727, -0.7785]","[0.56, 96.31]",2021-01-06,"[3.71, 81.8]","[0.3912, 0.0309, 0.0535, 0.5079, 0.1633, 0.2363, -0.4496, -0.6049]",1,24.1,Video,0.9148,684,1,"[-1.1035, -0.0529, 0.9095, -0.3022, -0.1312, -1.1439, 0.6049, 0.396]",voice_e3936cade7b9026e.wav,"[6.24, 91.19]","[0.0845, 0.3003, 0.9211, 0.6042, 0.5278, 0.9466, 0.4624, 0.2726]","[0.0413, 0.6427, 0.258, 0.688, 0.5228, -0.652, -0.343, 0.1538]",28.48,09/26,25.03,Homo sapiens,29.6453,-0.8552,0x7007b121b3b38924b06dba9a0566599e161000b6,Pasta
text/html,37.9,10-81,"[0.6673, 0.3417, 0.1062, 0.8705, 0.9692, 0.1706, 0.6947, 0.769]",X77SBG2OT,4-65,35-57,"[0.2196, 0.966, 0.1079, 0.7724, 0.1577, 0.0111, 0.7266, 0.8036]",865,-7.31%,4033,43.25%,Big Ben,65.7532,"$720,222",2023-07-03T03:57:13Z,-34.7637,noah.king,41.14,"[28.62, 64.95]",385.6581,BILL-135016,2547.2338,2800,"2126 Cedar Ln, Toronto",CSV,MX,4.78,false,"[1.1817, -0.156, 0.8917, 1.4269, -1.4429, 1.8282, 0.9314, 1.2948]",511,811,Weekly on Monday,0.1304,15-68,2026-06-23 21:43:32,0.5622,14.1097,Eiffel Tower,37.61%,"[0.615, -0.2251, 0.621, -0.0593, 0.178, 0.428, 0.0082, 0.4904]",2346,Penicillin,-21.03%,°F,363,-36.3414,XS,182,1.0702,88321.7,29.55,1414.9187,49.9534,247,22:44:00,96.02,"[-0.424, 0.0552, 0.9787, 1.098, 1.799, 0.6952, 1.1115, 1.6913]",0.375,33.7168,Weekly on Monday,-48.31%,0.9315,"[-1.0912, -0.2915, 1.4474, -1.0555, -0.4516, 0.5019, -0.2465, -0.7387]",34-75,4459,"[16.24, 69.05]",-97.8413,"[0.22, 92.91]",6395,83.22%,"[0.2801, 0.5272, 0.3362, 0.8137, 0.759, 0.2834, 0.8475, 0.3587]",219,CLM-120600,30,"[-0.0942, -0.2752, 0.0821, -0.0778, -0.1362, -0.5973, 0.1435, 0.7426]",418a57dffde49cb3d4c176c3080edd5f17aa7f82ffc49de3882f9f1ee11f181e,-13.74%,9271,-668.7382,8273,4321.0332,373178,Richard,29.1024,33.1426,48.7208,"[0.358, 0.2019, 0.0404, 0.6607, 0.5684, 0.0114, -0.271, 0.1352]","[17.08, 90.61]",2025-08-26,"[14.01, 79.22]","[0.9535, 0.043, 0.5471, 0.4168, 0.3974, -1.2167, 1.0248, -0.3316]",1,9.67,Infographic,0.6847,878,0,"[-0.9359, 0.094, -0.0813, 0.5484, 1.9461, -0.647, -0.2409, -0.4697]",voice_c083677e93acecf8.wav,"[33.53, 66.72]","[0.2957, 0.43, 0.6407, 0.1461, 0.1188, 0.8797, 0.8589, 0.0947]","[-0.1887, 0.169, 0.3932, -0.4104, -0.0599, -0.3423, 0.7396, -0.9996]",1.46,09/27,5.51,E. coli,52.6273,-0.8576,0xf69d2268845f5fe3ffe6e166e8ae3be400b8c841,Salad
text/csv,54.8,1-94,"[0.7841, 0.2107, 0.3628, 0.1314, 0.7257, 0.1557, 0.4547, 0.7847]",MZBU74ZPF,11-98,36-59,"[0.7102, 0.1743, 0.6783, 0.2951, 0.9972, 0.5634, 0.1286, 0.7208]",871,49.98%,9755,-26.76%,Central Park,58.7677,"$526,566",2018-09-25T23:49:16Z,-43.1344,david.taylor,81.67,"[14.07, 97.46]",9247.8317,BILL-980101,196.6482,8974,"5568 Oak Ave, Atlanta",CSV,DE,59.51,NO,"[-0.5641, 0.2481, 0.2725, 0.3113, 2.8762, 1.5816, -1.1746, -0.2056]",265,16,Every 15 minutes,0.9219,39-59,2021-01-23 13:24:22,0.1351,22.5681,Big Ben,7.11%,"[0.3337, -0.485, -0.9549, -0.12, 0.7023, -0.0412, -0.384, -0.2029]",830,Latex,-22.79%,gal,9345,2.6833,L,126,10.0652,95989.0,61.57,6921.5241,18.0954,610,14:06:00,5.08,"[1.137, -0.152, 1.1508, 0.5088, -1.1132, 0.6661, 0.4673, 0.0131]",0.4436,48.9191,Weekly on Monday,26.41%,0.0824,"[-0.2992, -0.021, -0.4372, -1.1305, -1.4966, -0.4898, 0.1648, -1.7949]",5-66,5169,"[16.87, 96.2]",-14.2943,"[6.84, 83.33]",7952,56.94%,"[0.6856, 0.4826, 0.0067, 0.3006, 0.9142, 0.2629, 0.9985, 0.0816]",751,CLM-320064,81,"[0.4371, -0.0501, 0.1711, 0.2056, -0.2115, -0.48, -0.3611, -0.3987]",d8e4d3f3c749dc5faad6570403ab4321d68370214da6919c2e5f477805a0c94f,-46.61%,3394,990.0608,2677,8353.5157,565619,Sophia,60.4273,-26.9874,11.8748,"[0.0115, 0.833, -0.3335, -0.0165, 0.1626, 0.2539, 0.493, -0.8467]","[17.55, 91.46]",2026-10-18,"[30.68, 75.79]","[-0.5267, -0.1667, 0.32, 0.2124, -0.0603, -0.3102, 0.6281, -0.7462]",0,60.73,Infographic,0.2401,920,1,"[1.4765, 0.0682, -0.3716, 0.449, -0.3043, -1.0108, 0.5426, 1.3727]",voice_91a8b1ef8a5be140.wav,"[7.6, 62.72]","[0.4695, 0.0743, 0.3639, 0.7268, 0.2442, 0.7425, 0.3625, 0.8187]","[0.6973, 0.4475, -0.9125, 0.2654, 0.641, 0.2698, -0.3551, -0.5441]",95.42,03/26,32.39,H2O,-73.5018,0.3432,0x9d0fd3fe4e59819019b6de31b6c6e57a1da2bbef,Sushi
application/pdf,58.5,30-59,"[0.1507, 0.5665, 0.6998, 0.7874, 0.7789, 0.8578, 0.3561, 0.5179]",AFBLLM6XZ,18-76,22-87,"[0.7843, 0.4045, 0.251, 0.9032, 0.5695, 0.1132, 0.4312, 0.3709]",331,-42.82%,3889,-0.06%,Golden Gate Bridge,-95.5809,"$6,972,973",2025-07-16T05:57:43Z,20.9695,oliver.davis,49.38,"[12.9, 73.01]",6313.5866,BILL-543452,5277.0464,4250,"807 Elm St, Toronto",Avro,JP,71.81,false,"[-0.786, -1.1228, 1.152, -1.5028, 0.1515, -0.479, 0.5314, 0.6021]",311,465,Daily at 2am,0.002,34-59,2024-11-24T19:59:42Z,0.3918,49.3161,Statue of Liberty,-22.7%,"[-0.7162, 0.5531, -0.2651, -0.5711, -0.4176, -0.0715, -0.7917, 0.6835]",3524,Latex,31.23%,m,8881,-7.3717,XS,18,20.4955,44306.4,46.87,6769.2616,0.469,643,04:12:45,36.92,"[-1.1734, -0.6835, -1.3292, -0.4618, -0.1202, 0.3826, 1.3234, -0.1005]",0.3143,9.6219,Weekly on Monday,-7.67%,0.7775,"[-0.6247, -1.2033, -1.1144, 0.2151, -0.4724, -0.872, 1.8654, 1.2666]",37-51,9280,"[6.12, 65.82]",49.8311,"[4.27, 62.96]",701,55.91%,"[0.4624, 0.242, 0.3186, 0.5337, 0.431, 0.5316, 0.6432, 0.6412]",69,CLM-404586,87,"[-0.2058, -0.5653, 0.4614, -0.0155, -0.4016, -0.3649, 0.4833, -0.1265]",9659931caafd25e339e7cdedc12fc17c77d85c19afca9850890e9f1df6448650,2.2%,7041,8369.3855,6872,7362.5051,53266,Robert,13.3173,4.899,9.0558,"[-0.125, 1.0611, 0.0214, 0.1038, -0.0831, 0.0084, -0.1936, -0.039]","[35.56, 92.27]",2024-05-15,"[1.22, 75.23]","[0.398, -0.4193, -0.0878, 0.4993, 0.4832, -0.9415, 0.0643, -0.0095]",0,66.75,Image,0.4501,471,0,"[1.2036, -0.391, 0.8487, -0.2234, 0.9253, -0.9409, 0.193, -0.2515]",voice_c79a571bec7cf01b.wav,"[29.03, 68.99]","[0.9212, 0.0337, 0.2169, 0.2909, 0.1524, 0.6032, 0.1625, 0.7134]","[0.8138, -0.4182, 0.156, -0.4424, -1.08, -0.3447, 0.0145, -0.6804]",72.73,05/30,62.42,E. coli,-12.9459,-0.4255,0x3c177ca4f37009bdcdb6f9ef01d9f41cc4e67a7f,Steak
application/pdf,42.7,25-76,"[0.954, 0.3291, 0.066, 0.1334, 0.1659, 0.108, 0.3772, 0.2507]",8S9K1BSLF,37-81,3-56,"[0.5734, 0.1991, 0.1208, 0.205, 0.6731, 0.0523, 0.7665, 0.9279]",259,-17.75%,4460,-5.0%,Statue of Liberty,15.6657,"$757,563",2024-06-07T16:09:32Z,-34.2602,logan.moore,76.23,"[5.85, 76.73]",3550.2195,BILL-303689,2636.8166,9176,"3372 Maple Dr, Los Angeles",Parquet,CA,2.87,YES,"[1.2542, 0.3735, -0.1791, 2.3607, 1.4234, 0.4162, 1.1574, -0.0326]",746,516,Daily at 2am,0.1529,29-72,2023-03-05 06:13:06,0.3032,1.5271,Statue of Liberty,-47.01%,"[-0.5906, -0.5825, 0.1595, 0.6424, 0.2475, -0.8554, -0.3173, -0.0046]",4168,Latex,-39.21%,L,3961,39.1343,S,501,7.7629,35225.9,21.65,3108.4966,7.0791,638,09:32:17,29.5,"[-1.1639, -0.2904, 0.356, 0.7287, -2.5205, -0.4475, 0.9052, -0.3209]",0.4263,43.0187,Every 15 minutes,-17.84%,0.3096,"[-0.9688, 0.4053, -0.6113, 0.8145, 0.8991, -1.8368, -1.0586, -1.819]",20-73,2639,"[5.27, 82.15]",-58.8204,"[11.49, 99.07]",5269,95.49%,"[0.2565, 0.2369, 0.1216, 0.473, 0.4539, 0.9767, 0.6475, 0.4863]",866,CLM-821999,51,"[-0.9567, 0.6633, 0.3365, -0.5799, -0.718, 0.5892, 0.4934, 0.6481]",1d7c6329c5b3c83bb3706cc15748f36b6167bc1b0d38f4fd5f6bf69aa50d8898,19.14%,2536,7312.897,8805,7531.1205,546813,Noah,68.0468,-27.5891,3.8296,"[0.3039, -0.2881, 0.6361, 0.2066, -0.0555, 0.5456, 0.1731, -0.2467]","[4.08, 94.64]",2024-04-27,"[9.83, 66.97]","[-0.2367, 0.0689, -0.2824, 0.354, -0.3984, -0.2984, 0.3449, 0.3865]",1,29.11,Article,0.6229,485,1,"[0.6507, 1.0754, -2.5321, -0.5108, -0.5319, -1.1929, -0.6402, 1.04]",voice_1632e02df0aa44b7.wav,"[25.54, 64.35]","[0.749, 0.5138, 0.2372, 0.7502, 0.6718, 0.14, 0.9646, 0.851]","[-0.3921, -0.5266, -0.4631, -0.4449, -0.2635, -0.9659, 0.4362, -0.1298]",74.45,09/25,5.99,Fe2O3,-19.5042,-0.0789,0x91e525981522f3544c3a43d53dadc111b5ccfc79,Curry
image/png,88.8,2-78,"[0.4277, 0.3441, 0.3132, 0.2473, 0.6431, 0.9226, 0.4924, 0.8041]",LDFKWGLCZ,38-56,17-83,"[0.9706, 0.2649, 0.2649, 0.5982, 0.7657, 0.2761, 0.564, 0.6381]",255,49.17%,713,-15.34%,Statue of Liberty,50.0118,"$9,036,069",2019-12-25 21:21:29,66.3742,liam.smith,23.6,"[3.0, 85.4]",1810.8194,BILL-756743,2119.5783,8690,"7812 Park Blvd, Austin",Parquet,IN,85.21,true,"[1.0472, 0.9028, -0.4365, 0.7212, 0.1962, -0.316, -1.6792, -0.9432]",914,539,Monthly on 1st,0.4256,9-77,2018-09-02T02:38:13Z,0.9057,4.7884,Statue of Liberty,30.02%,"[-0.4014, -0.5895, 0.6195, 0.0344, -0.4232, 0.3341, 0.0052, 0.5088]",7386,Pollen,47.89%,lb,3292,39.7191,XL,490,6.5632,28424.3,96.3,666.3583,10.5936,632,03:43:02,60.54,"[0.6875, -0.5207, 0.8623, 0.5258, -0.3081, 2.0178, 0.0352, -0.6889]",0.3326,18.4869,Every 15 minutes,-23.72%,0.6686,"[-0.9412, 0.6471, -0.1747, 1.8271, 1.2653, -0.255, -1.7594, -0.4856]",12-77,1927,"[9.95, 73.54]",-48.8975,"[16.16, 95.1]",4906,19.44%,"[0.9288, 0.2306, 0.0243, 0.2821, 0.3813, 0.5885, 0.3034, 0.4879]",762,CLM-554459,35,"[0.1946, -0.7056, -0.1675, -0.6288, 0.3507, 0.3035, -0.0438, 0.5723]",a6988fc6f52617dbf98ffc8dd3d07b2c035b457e0731e5d20e62e5347370a0e7,23.93%,1690,1892.5856,9157,8139.2903,53124,Emily,57.1748,10.8601,47.7289,"[-0.1891, 0.2849, 0.1001, -0.0083, -0.2352, 0.1846, -0.3263, 0.6792]","[10.18, 97.67]",2018-04-24,"[37.44, 89.52]","[0.488, 0.4066, 0.0136, 0.9687, 0.519, -0.5529, 1.6165, -0.1691]",0,6.07,Article,0.9037,838,0,"[0.9184, 1.9224, -0.1758, -1.522, -0.1441, 0.9419, 1.084, -0.9307]",voice_9cfa4bd686a95c62.wav,"[12.39, 63.49]","[0.0479, 0.4957, 0.7805, 0.7943, 0.164, 0.3868, 0.8888, 0.9276]","[-0.8612, -0.0643, -0.2197, -0.7607, 0.1739, 0.0884, -0.0703, -0.3456]",68.2,11/24,40.38,H2O,83.1207,0.5278,0xe8e18549278ac5c3f7461ac074751805813a2e0f,Tacos
application/xml,17.0,37-72,"[0.6799, 0.0192, 0.2659, 0.1486, 0.1266, 0.6798, 0.6095, 0.419]",4D53JBTD3,4-92,11-79,"[0.9654, 0.2679, 0.855, 0.0135, 0.9015, 0.9433, 0.9064, 0.3988]",543,26.62%,7269,-41.19%,Central Park,16.0052,"$2,925,944",2022-05-15T22:00:50Z,45.2699,james.jackson,66.73,"[32.48, 98.37]",7095.6825,BILL-499603,1114.5624,5248,"299 Pine Rd, Berlin",JSON,AU,3.01,NO,"[-0.3227, -0.4383, -2.3363, -1.4642, 0.1751, 1.6242, 0.9921, 1.5345]",88,698,Daily at 2am,0.1918,20-69,2022-09-26T01:26:50Z,0.4087,26.7874,Big Ben,-0.88%,"[0.1832, -0.6083, 0.212, 0.5638, 0.7529, 0.3932, -0.7035, -0.0105]",547,None,-11.21%,lb,2379,99.8542,S,368,38.7373,91040.4,45.06,4094.3401,8.9418,53,01:14:03,10.55,"[0.5817, -0.1021, 1.6824, 1.4678, -0.0315, -1.2098, 1.7833, -0.2155]",0.6835,26.6801,Monthly on 1st,-7.53%,0.9448,"[0.1243, -0.805, -0.5408, -0.4398, 0.2152, 0.4868, 0.3981, -0.1989]",38-95,4924,"[7.88, 92.86]",-32.7265,"[23.12, 88.11]",2749,70.16%,"[0.9806, 0.1246, 0.0088, 0.4959, 0.9979, 0.6841, 0.8038, 0.7424]",821,CLM-790671,18,"[2.1184, -0.508, 0.1433, 1.0148, -0.2713, -0.0961, 0.2311, -0.0047]",ac669bb407877e3e12a160c27ce296a67e0947eb922128b6920e84b80f8a3563,-10.81%,9731,609.0137,5060,4925.0697,512189,Elizabeth,89.5637,46.3565,11.6743,"[0.2636, 0.7486, 0.3415, -0.0945, 0.1272, 0.4132, -0.1768, -1.3318]","[1.16, 94.8]",2022-04-18,"[15.95, 85.2]","[0.4465, 0.3951, 0.3807, -0.0667, -0.5045, 0.5167, -0.4575, -0.4222]",0,12.99,Image,0.5462,896,0,"[0.3508, -0.254, -0.0629, 0.0678, -0.1919, 1.1128, -0.3584, 0.1514]",voice_a8e459d664cac070.wav,"[2.99, 69.15]","[0.6089, 0.3415, 0.7648, 0.6708, 0.5781, 0.1621, 0.6439, 0.7179]","[-0.1617, -0.0292, 0.0687, -0.1626, -0.0651, -0.0272, 0.8882, -0.899]",25.07,03/29,8.53,H2O,13.8412,-0.454,0xa23a0df7e479855411923b3aa65f141dde9e9e8c,Salad
application/json,58.8,42-67,"[0.0933, 0.5803, 0.4928, 0.7131, 0.549, 0.5407, 0.7388, 0.8926]",M47KYXX3A,4-53,5-58,"[0.4801, 0.221, 0.7, 0.2575, 0.5576, 0.0559, 0.5597, 0.7508]",705,-2.03%,8475,35.69%,Golden Gate Bridge,3.9757,"$9,519,710",2024-08-18T11:38:02Z,-83.4965,sophia.moore,37.72,"[37.34, 61.91]",3410.2715,BILL-946561,1013.6534,4394,"9766 Elm St, Berlin",YAML,GB,59.78,NO,"[0.1361, -0.5437, 0.1256, -0.4609, -0.4841, 0.4857, -2.4169, -1.1147]",136,290,Daily at 2am,0.7911,50-64,2018-10-21 07:54:35,0.9654,15.5531,Big Ben,-42.8%,"[-0.2722, 0.1906, 0.4962, -0.031, 0.1854, 0.0989, 0.3214, -0.6865]",3035,Penicillin,-47.96%,kg,1514,-48.0683,XXL,993,11.0565,34172.1,63.44,3186.2446,46.0144,546,10:21:28,13.3,"[0.2663, -0.2846, 0.0843, -0.566, 0.3913, -2.7771, 0.736, 1.0721]",-0.9148,44.8592,Weekly on Monday,10.43%,0.2744,"[-0.3307, -0.3259, 1.7447, 0.3558, 1.5246, -1.0201, -0.7529, -0.5478]",6-61,8728,"[22.48, 99.6]",-14.7969,"[3.0, 75.24]",9675,98.81%,"[0.6181, 0.176, 0.9032, 0.8395, 0.2623, 0.5415, 0.9451, 0.5365]",295,CLM-483581,21,"[0.0306, -0.5426, 0.2032, 0.6645, 0.1478, -0.6217, 0.3258, 0.2678]",d886d6632be7d5c67cd08b13ff3485e63dc7a29292ae30afed6da0aacd619526,12.88%,7031,3475.7914,7379,7909.1409,378715,Richard,2.0741,62.4133,30.2053,"[-0.3937, -0.3336, -0.3149, -0.2838, 0.1348, 0.1844, 0.4277, 0.0389]","[7.74, 60.26]",2020-07-22,"[18.94, 97.15]","[0.4165, -0.56, 0.1888, -1.702, -0.2811, 0.2417, -0.3668, -0.6703]",1,25.21,Video,0.9816,320,0,"[-0.4344, 0.0964, 0.0797, -1.2946, -1.7516, 0.4891, 0.4495, 0.7576]",voice_a3d5be451b6866fe.wav,"[27.83, 79.75]","[0.3198, 0.4677, 0.7637, 0.5399, 0.6602, 0.7157, 0.2048, 0.3125]","[0.5869, 0.6517, -0.0809, 1.0759, 0.3998, 0.1175, 0.3576, 0.979]",63.72,01/29,57.34,Homo sapiens,10.3089,-0.2265,0xc4141ff68f722892ac3dfce3684504388e8fa903,Tacos
