QUARTER,recipe,integer_14,device_identifier,load_timestamp,iro53,address_text,val_hcpg,deviceIdentifier,x_url_,sshkey,phone_country_code,f_nkf,kdp29,sessionToken,district,recordIdentifier,attr_sour,mapping,BROWSER_COOKIE,DEVICE_IDENTIFIER,definition_6,DATE_TIME,dim_cook,sha256,DATABASE_CONNECTION_STRING,authorized_key,dbconn,dim_431,standard_deviation_raw,browser_cookie,disease_name_v2,apikey,access_key,RECORD_IDENTIFIER,throughput,customer_ssh_key,ssh_key_6,field_968,x_nty,CPU_USAGE,web_address,dim_954,SESSION_TOKEN,password_hash_data,meascpu,schema_table_name
Q4 2025,Mix 1 cups flour with 2 tbsp water.,2684,1e59d36a-e34c-4cf6-aace-a8cb6996e63a,2025-04-20T03:37:50Z,null,"3239 Pine Rd, Los Angeles",sk_2wbJ7X6aHlX9C0FbV24rNzq9jWiv9Hng,18436f05-09da-4261-84e4-57a6fea48ff8,https://example.com/users/d5ca7736/profile,ssh-rsa pbZa10cw+DRaBAkX+UgBkeTgsxy/cEtxtELhWAElYpwy=,+86,ASCII,7111,sess_Y4ecdt0JBcLR8Cfr1Tl6cQTWaDEuVTzhe08Y48HN,South Bay,TXN-956561,Reuters,source_col -> output,_ga=0789192429.2093096,12c74e16-3a90-454a-b44d-770e56ec2289,A formal definition of risk.,2022-12-17T00:00:00Z,_ga=6568216950.3566310,$2b$12$8BfMmgjFDkvvrvdV5ERvRlf1JEh6f4ud9SImBVQYlmhcdOCY2zaDl,postgresql://user:****@db-prod.internal:5432/analytics,ssh-rsa XbmNGU4/EdzJQAUmIInywFjXE78+Vzt0PXF5oAQBVC6x=,postgresql://user:****@db-prod.internal:5432/analytics,$2b$12$qNDucwlUun1LqGNpN36xVsuYex9smAptl5pGb6zEFpTQJoIDlTbnT,42.8068,_ga=5318098080.8625702,Tuberculosis,sk_V7hkf3yPcwrGemx2MHX3CuhfbPtJTRc8,sk_0e2UPdow990MPDKjY9QLhWURr4kq9w0V,4278682,2946,ssh-rsa drMxicqRPxOjKfFZ/NFGKR5wmOYt2XBkfv3yuf7aaRPV=,ssh-rsa GxR2zmeA6JG8vSaJ62bhjO0SGn3ZAxR4oL1EHcB67rEx=,2018-04-02 21:58:32,_ga=2497836556.9326860,52.1,https://example.com/users/8cf4bda7/profile,$2b$12$BnEjEjpr7HUYbCUFn79Z6ZubCeLjOMZjdWQxoxis7IEbuLYXtM5ll,sess_ABlMhRffUHfhzfSkrbCyfjAmi0phMsJNFH73o6TA,$2b$12$X6oN0mF7fgq3Jd7zHJpDN1U3oPeU1yiqwGyGVijnVyuwRaJAgiWD6,59.9,public.users
Q2 2026,Mix 1 cups rice with 1 tbsp water.,2081,517ed961-64b3-4f0c-bc8a-57cc9a181967,2022-07-08 09:28:47,0,"4547 Oak Ave, Austin",sk_yH9l5THB5xv4dct56gbB4rtFF4ioQAXv,a29e83ed-2218-4b68-96d1-b30eecd82fbb,https://example.com/users/0d899584/profile,ssh-rsa X3T7rOlDomlEKSijr0uxNkvHh2zozpQIv6+xlPx7MI33=,+81,UTF-16,3233,sess_5CSKsDCn9uue2KnPYj4VYD5T70rML3twd6wsTmuI,Downtown,358654,Reuters,source_col -> target_col,_ga=3979457836.3811215,718bda57-6471-4cb2-b1c8-21ca6a20dd0f,A formal definition of compliance.,2026-12-12T00:00:00Z,_ga=4369631427.1263071,$2b$12$tZxvkgfu1uHKNmgvZJyuOx8fc5fYOQtPLcU1qR4GUcm8JRk7TUte3,postgresql://user:****@db-staging.internal:5432/main,ssh-rsa uHa/urJO9HSVI+nG1Hyt1oWroQQt4WzHz+qjd4jLPCXY=,postgresql://user:****@db-staging.internal:5432/analytics,$2b$12$oRGD3xVottcoUitcWsNBDxrQ2zBKp9zwdwaKEDOSKgJzRGULRR4lY,39.5072,_ga=4454602481.7002678,Tuberculosis,sk_TJnDaySLvAhAo2gJXtNwU3Pa2vnYwczn,sk_dlR1Pwu5yQNx6k5XrdiFOFTPOhQ12F0y,7424894,1543,ssh-rsa Qq5hq9gZAnGXNXIkO7Lm3Nk9iqjAzK3bgfX2oXe7WB44=,ssh-rsa 2+PuUBZQevdLgfgA+Eq91Xz8k9nj/OrEv7d8cpYTyWIl=,2019-07-01T22:53:08Z,_ga=0606149362.8708863,94.8,https://example.com/users/1cd6bd88/profile,$2b$12$fitxKyLAgfLsdtEA8V2xH2E6eJqwayjy1h1MEycsypZaoR66Q3cgv,sess_L5AIVtRBDp7GshyEsPRPA43KFpcP69SCyQJVRMIz,$2b$12$y9leypKEsm0uWSMEqGz0nIe8832eJYn242yxAABhW7n1HboH7oQQA,23.0,sales.orders
Q1 2026,Mix 2 cups sugar with 2 tbsp oil.,1783,de851366-7994-4ddf-911f-c7d73053b0b8,2019-10-01T02:40:14Z,false,"5810 Cedar Ln, Denver",sk_z2kTtc8qXb6jQ4eE2ylAIMQduJp3mTvs,b77d29ff-0e7f-4d3e-b743-c090aaa9e6c2,https://example.com/users/8a2f257c/profile,ssh-rsa GTCbS6LIOoYsNwF0v2kALkfHPCWm4eojJ0pKhX3p/WI9=,+91,ASCII,9905,sess_pM0p9HPrbJz8QJ6oZ1pZPDVOdk1mgbISbTP9tWvA,Downtown,USR-531190,WHO,source_col -> field_b,_ga=6698745629.9761418,d38bf0df-a97b-4c61-813a-3910c2bf4cce,A systematic definition of compliance.,2025-12-09T00:00:00Z,_ga=5803163798.5045569,$2b$12$WkG2NwXi0TajC5AQ3PpTrsNk5AvSkbs1xBpR6u4XsDnwIy2TrVx8v,postgresql://user:****@db-staging.internal:5432/main,ssh-rsa iQUfg+eibjvDxK1WjiuLJ+LO8nD6OMLrUKAK3RtEX7Oi=,postgresql://user:****@db-staging.internal:5432/analytics,$2b$12$dD5XZ5gpjnmuBECrUPNnZeyLo0edUtvO5WIiOItCYF0ipaI3E4QyF,47.0451,_ga=5705374239.2731286,Influenza,sk_grvagHcWFtrtXJ107kr3jEK6TvrSQVLx,sk_g1aP6yaCSv5uc4TJ0UpLTl8QcUQVclFu,ID-472388,2434,ssh-rsa UV2fbvLg6D3VWnQTVZ+t+yKJ2fwoUGmiz+vWKdm5K2uO=,ssh-rsa L1vKHXnTOnfeUNIdixIs9c+BkNAyB0ysMr3yA2VGuCSJ=,,_ga=2748060201.6605627,62.7,https://example.com/users/6b9cd1d4/profile,$2b$12$Yra1ob1hVxzA2aDIv3Dtd4nRAyRooAUzgMTw54C3PfQalOMYxCZEQ,sess_GucVIGb82hoqjZcyxTRlOMR4EubZRBgjjkuigLyv,$2b$12$nPKmtVJFN9N55aw8K6nfP99kzMBx9igviU5fEDQo0QJ5k5IXnvxAy,37.6,hr.employees
Q1 2023,Mix 2 cups rice with 2 tbsp oil.,6375,e5bd4135-abfb-4c1a-8e58-be8c3c5ea018,2025-04-12 17:43:45,0,"4862 Cedar Ln, Denver",sk_8ICITyqibDZLhoLEY5O9Dmzb5CXvaka8,25eaed81-d192-47ae-aec7-79a8c057af40,https://example.com/users/2c51a502/profile,ssh-rsa JbLQV/uRasY0+aV+t7IGkVnuOrzRKpl+yP/+NkEDIE9G=,+55,UTF-16,8512,sess_z4jc2g6prndFha7o45Vtf0dC7rIsRodaPUXYKFJP,West End,REC-979829,Reuters,field_a -> field_b,_ga=6660460796.1343968,2c109a26-998b-46f6-ad83-8a28e8eab22f,A systematic definition of risk.,2020-06-08T00:00:00Z,_ga=4656530203.7458857,$2b$12$gPujQr6qk6R3VAMrkpcQwjKPpgqDPR3ogr0frYBsWO1gvDFhj4zJs,postgresql://user:****@db-staging.internal:5432/main,ssh-rsa TdJzjIjczRi7eglzQzdmliAW5kw51OYNQ068r0yuArag=,postgresql://user:****@db-staging.internal:5432/analytics,$2b$12$IlJmeGgdCqvLsJ5CBJuvOxVNHam6iTXwS3VdasAtqcpsLkjScF3I7,34.8097,_ga=2694864614.9551960,COVID-19,sk_FgvM5xnLsqUshoXX63alhYwYdOWfcM6A,sk_K8Vx5dOuzEIg94NgOsA7Q2bAhtlYlIoj,ORD-841730,7402,ssh-rsa xNT7pTxZKyyCXJa5jxaCE0nOLBsd4EoVehd5ICjdvexS=,ssh-rsa xjARa1k3AbpWVs5S4kskhFQzv/Es/nkoZPfcza5ygBtm=,,_ga=0215756210.9806190,80.2,https://example.com/users/fbbb1689/profile,$2b$12$khFOQkn6bmG0G9SWAUn50O3Thd2ZDc4q8RgcX5TTA4pRDU74CIqFP,sess_Khn2tOoxBcZkmJJlJiPyiQwE4wAYZBstYs1Fsx78,$2b$12$f39REDbj4Tvp4b9gBzjOlOtp1jn0heoOawfbmAcXiVBTKNUGouXQA,33.6,sales.orders
Q2 2020,Mix 2 cups flour with 1 tbsp water.,6012,a1e63668-c86b-4ef6-a9ed-abd2ab78aacd,2024-05-16 11:00:59,CURRENT_TIMESTAMP,"2866 Pine Rd, Portland",sk_tnuwimlxpHDO9LOOgKsj8CpDB9fWSJS5,cb4e6c93-46d6-4d0c-8947-35573a152ac5,https://example.com/users/edc1a9cb/profile,ssh-rsa u5vHLbQn+e2DLOhAFWZU8RG7SkBrtiuJpFGzm3w3/gXz=,+1,Latin-1,5077,sess_wbg6gxi66OTaUsaq9zskgIdYFWuE6LXb5iak7oqu,South Bay,ID-790667,Census Bureau,source_col -> field_b,_ga=9377455180.4202256,0dcabfee-fd6e-4207-9dbb-a7fa8123e438,A formal definition of risk.,2019-03-17T00:00:00Z,_ga=1963152653.3419582,$2b$12$vw9OVCtmxbtNwtMh7GJiBBOpv5H5duTnL0PlROORcsbCPTGAnAFWn,postgresql://user:****@db-staging.internal:5432/main,ssh-rsa cHSXjph6Duhdysg4M09ZZ+jCoTagN+NezebASuAdf8pz=,postgresql://user:****@db-prod.internal:5432/main,$2b$12$z2zNlnnzVGj8UBlm6BA1oxpqboqrzbTD7aAsi0DSYXR4eOzDJuZXR,28.8921,_ga=2447282849.5617633,Malaria,sk_72SVKp7VHoTgs6soY1XbGrGPwS2byViS,sk_4oXiZ1sCrWnM2Jvf4U1AOe6yUiR4Mes7,TXN-669895,5024,ssh-rsa nAG5ScpzgkEumqMaqj7CuPZWUBdgloXYoot465Oioc6X=,ssh-rsa 8Bivq7bXqY2Kp2kxYc70rQs7hWaYlSoaVzmgtoRNvcxO=,,_ga=3980968040.6021203,79.7,https://example.com/users/61e5c159/profile,$2b$12$68QQmQazjjQubW5Ese89KiQfhT2Q2kZOyxmLRkcDBSky7eoJIePDV,sess_RT15dG6EfjRWdthTmI6rQSnqejixrpcXDGkTFx0C,$2b$12$Qeg7g8gl1stfFjbOAgUEeJ7biRwNRUe5z9NndB4gfeydQ6rC4yGQB,62.5,public.users
Q3 2024,Mix 1 cups sugar with 2 tbsp butter.,4693,0b2313c5-22eb-4da1-a52d-b1a4d988b6f4,2025-01-19 08:12:15,CURRENT_TIMESTAMP,"3344 Main St, Chicago",sk_IEYJf1IP2LALPx5uehUcYLMGOQ1giAOU,86ca129d-555d-423d-a61c-b54c10253959,https://example.com/users/d27b7b70/profile,ssh-rsa REK4oE8z6SC72NbHk8LAeMJIziPiD9n7oFUWt4nNx6IB=,+61,Latin-1,9945,sess_oGIYdWjordCaG4lILfIq0cuQLeCXkCdR3y7inJjP,North Shore,9513904,CDC,input -> output,_ga=1435917041.6496105,3a643521-f664-4197-bfde-52672a52deea,A formal definition of data quality.,2023-08-07T00:00:00Z,_ga=0646864439.3252084,$2b$12$Ok358kVjhbag051DN7Egh9J2oqfhQJSVLa4suW42z7g0oMpQCq4CL,postgresql://user:****@db-staging.internal:5432/analytics,ssh-rsa lATU7qm6GF9jSIvegIrZBiKXw3Uq1k6eWxocb6n5LWDc=,postgresql://user:****@db-staging.internal:5432/main,$2b$12$XuHlldCWIXvNDRDxUReg34iWVBFfHEeEXYFXWCtAtExUvNHHf4qAi,20.0856,_ga=8314417697.4078978,Tuberculosis,sk_61OhbKdnjFE9IgNFSlhN4in1OIX8kgvP,sk_KP90pl9qlqhNpMIe2axKofKMxe6YX9mK,USR-359238,9835,ssh-rsa iZ5Z33Jme7nFFZ2ICGK07eZAZrSzwek62AhQOBfCDGTX=,ssh-rsa z3kqsea47R9harjGllx8I9LjfPAu+Do5/PZ7bZVkGWry=,,_ga=7263595731.2555612,65.9,https://example.com/users/1644b21b/profile,$2b$12$pvWbkffcRkKrwmJzyQZMMymnAEeCGWDztakmR5rESOXj3i5KnWHeS,sess_iqSvuM40hIDMH7FDBSWzl2xjZY6OmOm73YPWojrg,$2b$12$NAzI1tc6G789hO0frHHXbZAAda81CPLSC6x1FyjrEM6c5FjP8JQSP,48.0,analytics.events
Q1 2021,Mix 1 cups rice with 2 tbsp oil.,9828,fdd2a8d5-6527-46f2-a429-0e5cde96a733,2019-04-19T23:03:06Z,CURRENT_TIMESTAMP,"8193 Oak Ave, Miami",sk_ShnJpReyQKMpVzOQJ2a1yY43J3HjmAe8,2e7ea3cc-aae4-4313-9b58-118f25ce184b,https://example.com/users/13332ce8/profile,ssh-rsa 7wmaumhHWzC/4zHbE40ckniY3mQgQCn7SXFCb6RMw9y/=,+86,UTF-16,9410,sess_WRMjES5WxMvVFX1QB0zWN2QIxInOGgICiUAolnU7,East Side,6674310,Bloomberg,input -> target_col,_ga=6642920550.3938700,05d8d957-71dc-49dd-8684-4e09b38efe66,A systematic definition of data quality.,2019-05-26T00:00:00Z,_ga=2612117644.1011948,$2b$12$4KvNtnoc9V81TvfeHYaGiyHmalB0C91OVUjMBZ3u8zOWKEPG5bs5g,postgresql://user:****@db-prod.internal:5432/analytics,ssh-rsa bD0BlXKsnxJ4igmc7TzMM4vgBarXkF8fZHgm3+7jhgQm=,postgresql://user:****@db-prod.internal:5432/analytics,$2b$12$7Fy5BNgFSwoJ9k39EVAhzpxyOAFoVYdeCtbLCy5323vQsbcAuy4nJ,16.4994,_ga=6457487080.9511988,Diabetes Mellitus,sk_9CMTIbi56C56gjVQp7FeB2sNGe4qx1wQ,sk_ahMPnJ9O6omw3BNS3VzuKIhqrpteRS3c,9000200,1230,ssh-rsa ggsIrRQ0bdmxGjNeF8R93kdrSBmg0aHp6v7vbpYlQ/GT=,ssh-rsa GEawAmtcWpHKeMbKQcJ78IYAyfDrzFcinITZkKWZp/rP=,,_ga=1255300915.9120130,32.6,https://example.com/users/a0061f61/profile,$2b$12$XgsUdWDr8U7RdGOqdyXaKm88zfZ0XR6ImfkXTT4vLz8RI0O0wam7S,sess_rxvxo3cx3mGYAujEjuNgmJNQ0DLn0zrhKs3kXo74,$2b$12$rHkYh4LSEY7wNBvaZK36IDzdgFiAiZJXEOsSaPpRqz7OKJX7ZsuSX,75.8,analytics.events
Q3 2020,Mix 1 cups sugar with 1 tbsp water.,2565,15702c7f-d825-43b5-aaca-bfa388ea82d8,2019-07-08 21:28:41,null,"6882 Main St, Portland",sk_awa0dzyEbKOGBl1fnHNs52JBnnvnKixb,ef74e3bc-5dc8-4f3d-aa2d-8f43bb55ac29,https://example.com/users/17930eda/profile,ssh-rsa jilKmBI4BStuI8wTTrbTFISznsC/5H8qHwLP9cvWMJ4H=,+33,UTF-8,8210,sess_XmBpPboTF07ekr3IDkuL2Q8YXHuELQBSQtNR3FUD,North Shore,USR-426033,CDC,input -> target_col,_ga=8211775159.8184610,a2a8002e-4f68-4667-964c-5244402f2eb2,A operational definition of data quality.,2024-05-01T00:00:00Z,_ga=0194366180.2033774,$2b$12$zgMRSmKpY9BYCDAyegqjoE0p2tqtJKCA10xgJVfCR3n6RX90xkDvw,postgresql://user:****@db-staging.internal:5432/analytics,ssh-rsa Iv5Q2uZ8qZ68qbrHjRyAlGBmfqOjy0uw/nnht5SoIltC=,postgresql://user:****@db-staging.internal:5432/analytics,$2b$12$eU1wnOsno3fSa6gVRXXFchsqtxjD1Xp5536m3WRXiFvSrUSLNx1tb,15.1964,_ga=9818951564.8990716,COVID-19,sk_HjYg8RaHA4TCsI7kj41CUwHpasOQTFFc,sk_bgX6RD3ewzhUFLFVlpxhmmODO6RcGYO8,ORD-625325,9073,ssh-rsa Pec2Ym8+x8rNDj/F5s6hD5Ll/tSBQgoJ+kvI6PpiG7bT=,ssh-rsa 3qNFQrvB7X9J2sfiqpGL8AAH2ui6JlEf11+mtWD23Rc/=,,_ga=2931893515.7555955,48.5,https://example.com/users/d46c66ed/profile,$2b$12$447XuGo0YQzns4tJCi5HuTdVjVJ5fjklYpI4sjYmbrsv4DVMTaXZG,sess_TiIUXUAIWdGa2pcTXRhn1P34iQy1r6Zw3p9nDVWS,$2b$12$QhYIZTCj279Ra9ZkFosI7PewuWjJB2rP4quKEMElKnTjVuOX3J3hk,1.0,analytics.events
Q2 2020,Mix 3 cups rice with 2 tbsp oil.,7685,b9886f05-55ef-438c-a0c8-41f175be713a,2020-06-22T14:10:01Z,null,"5808 Cedar Ln, New York",sk_NBSsTdSwIbuYMHXvOI8S3g75BXf1psbo,9e68667b-17d9-4015-8be6-ac0c7ac0d8e6,https://example.com/users/7f5fa274/profile,ssh-rsa a7lL6nKnv30KxKQB9GgnBhM1PswQXGJCUbPv3+j1y7VA=,+44,UTF-16,9747,sess_VS3CAD8Mh7cWvLn5DwHbeTd2eLfOXfMyxRUPUbNn,East Side,ORD-859371,Eurostat,input -> target_col,_ga=4010160253.7590612,b7b0ef4d-4f9b-4a2f-9044-4b7a18380f04,A systematic definition of data quality.,2023-06-09T00:00:00Z,_ga=7729619260.5372787,$2b$12$S91SODb2Z1GQfXYgU7xj8YDzHLb1bsvRwn0h6D0hgl27U9ywBcfZz,postgresql://user:****@db-staging.internal:5432/analytics,ssh-rsa F+4Om0xvRv/mLub6o6qZEvO7Lf1pYHx/d2CyoNe3qcIg=,postgresql://user:****@db-prod.internal:5432/main,$2b$12$Bqsts2RChBdnj4hdVliSdtGoUQ7xKoeYXmjKVg9kP6zC6HBJY07Z6,1.8705,_ga=9842839527.7029569,Tuberculosis,sk_NHnjpDKn4qPTyGChvO5CntMzDPsrqFsP,sk_AAXmmGy1F44I1NCXnwGV6AKHEhrI9wVV,7416798,5864,ssh-rsa NxQPQL2s9lrluMntL+NkUgEd78wnErPdeSsTnSj/fL1M=,ssh-rsa 8lByH6zc4UIGmFUPKkdB5qWl8BkI3k/CIs4RlwQ/grma=,,_ga=3675149631.3165378,50.2,https://example.com/users/5c0594a4/profile,$2b$12$hJz5HucafmmlPAZe4XUtjtpBBNnxkBjDLrKQQmbZFd7hQs1wwkQle,sess_rDZiqfWx24UwvWO19T3v0NSKuICBl0zeBRxJIj4s,$2b$12$9Opof0HIap3Q0Tv0DrJyTCsFhxW59FCQvXbG9bLAxKTyj7H2ryMak,0.3,analytics.events
Q4 2026,Mix 2 cups sugar with 2 tbsp butter.,2798,1a54d69a-65e4-4150-8d41-2c8e9589ae49,2025-01-13 17:16:27,false,"7609 Park Blvd, Denver",sk_iGQxgSrfb728g7e4jupGRtm3EUkNtTH3,0845f73e-42b8-43f4-b54e-7a681d768a54,https://example.com/users/0f56779a/profile,ssh-rsa KhWztClwASkbjODh6MlafskeFfm3J+mYLLb+iblZK35z=,+91,ASCII,396,sess_xBxpPW2akL5cNC60j1s1PIAhNpBHAq4OS2TQiQRR,Midtown,6706960,Census Bureau,input -> output,_ga=1682611929.5762087,59b1c279-09aa-447a-a4ca-dd9fa802beb3,A operational definition of data quality.,2021-05-16T00:00:00Z,_ga=4018237576.2206911,$2b$12$KE7fR7HrPgCKsFv8t29kG44IUyIskpCcTDL2fL82xFHGwMgQ39zYk,postgresql://user:****@db-prod.internal:5432/analytics,ssh-rsa +WKXOaexdtyHT50cCpMtmtbXaOy/D9eDidLYsJsmRC9U=,postgresql://user:****@db-staging.internal:5432/main,$2b$12$YfGEKe9uLpa5ThtDkBjGcsv3qXte0Fxz0Nn1UUfSLyfqEjnIdfRbP,8.026,_ga=6354956963.8626832,Diabetes Mellitus,sk_Q3n2OJ0aQwrPq0mNkfCMzhq4PcGQsuLH,sk_Ri945V578KjiHfkqD20dmgIh5MUIRfqU,2735572,1541,ssh-rsa CLw7GEgIWogoBB+p4NvHa7W2TEx4J7i93d87HxzOyIga=,ssh-rsa Q7Y2OBdb8+kJnfB4+NoU6ydpRKszN4wzFn4EvHbXTpK2=,2018-04-17T09:01:45Z,_ga=0468766563.3038767,78.0,https://example.com/users/e870a236/profile,$2b$12$A5jubkd6I5cgBOGUXWHL8veQXEPh26LeUYBRLIkuUN3ejWI6Ir06W,sess_dwsFIKKpGgFtD31FBHESH6SB0fpI9UPX95mgpzgM,$2b$12$Vh0Phe9miwDc1jzvNRWllrcAlUkNXOeQc3clNMdQooojH5TunIHaR,79.6,analytics.events
