iata_code,wnkogq85,f_466,attr_dis,weight_mass,x_yh,RECORD_TYPE_DISCRIMINATOR,DISTANCE,book_title,customer_iso_country_code,iata,integer,var_vin,vehicleIdentificationNumber,measdist,digital_certificate,VEHICLE_IDENTIFICATION_NUMBER,weightMass,x_fjij,WEIGHT_MASS,f_wdv,email_address,license_plate_number,proximity,raw_iata_code,tenantIdentifier,grams,vitalSign,attr_iat,v_170,scoreIndex,iata_code_2,user_weight_mass,integer_2,weight_mass_6,currency_name,INTEGER,user_distance,d_iata,col_678,d_vin,weight_mass_raw,distance_6,v_798,weight_mass_2,deleted_at,createdBy,distance,weightMass_2,WEIGHT_MASS_2,f_il,email_domain,rowCount,c_kiy,bodyText,DISTANCE_2,measwt,source_system,language,modifiedBy,raw_vehicle_identification_number,airline_code,p_ng,timestamp,measdist_2,distance_2,elevation_altitude,weight,data_type,user_iata_code,fact_weight_mass,cryptocurrency_address
CWN,TWQ,NTB,4728.5,618.19,UDL,insert,496.8,1984,AU,QVP,723,8A8JK01JQ6A0SXJTO,7IHOBDD6XQ8L5YKMW,1742.3,"-----BEGIN CERTIFICATE-----
lWs94AWMUWlwBqhRg7foH9hjXuwQy5lwMaXlELo3YSXo9dXS2v6Vw6wQ4inqcvf+
-----END CERTIFICATE-----",ESOJACF4TFE0UPLYW,273.47,I5MA8VXGDO0H2MZTT,818.26,750.82,robert.brown@company.com,VTQ-8416,20.2,VHR,tenant-005,808.59,BP 97/101 HR 113,FKC,PRS,5.01,USI,509.88,482,268.09,British Pound,1925,561.6,LSP,XNL,SQEOPLCMBPWAXBG2W,452.8,9909.3,8157.9,630.79,,emily.lee,6818.3,188.62,339.61,4862.4,company.com,97965,QYQ,The system includes compliance records.  The system tracks operational metrics.  The system represents transaction histories.  The customer account includes operational metrics.,615.7,692.08,Snowflake,Arabic,richard.jones,CSYIOSKOJ1CLFUMZF,LTL,Census Bureau,2024-09-05 02:41:16,8364.6,7360.3,2460,622.12,INTEGER,LQV,262.44,0xfad9cbd8b9fd20cb2a95b364c8573440720e74ec
LXG,ZVT,RZM,3082.3,449.63,RHS,snapshot,4297.8,To Kill a Mockingbird,GB,UPU,1465,QTV5JY7UVHC53TFWY,LD27ZU7VCEWZGIC0E,1409.0,"-----BEGIN CERTIFICATE-----
920MMlGnjl5zJF6I4AkH47w10cZM/P4pmnzR08KyBVK4kQr3STkkQNqx+LETuRiN
-----END CERTIFICATE-----",Q109D7T8ZUB10Y9YG,853.63,Q8EK5ACA8G7RF2EA6,341.91,227.07,oliver_lee@example.com,OCM-7993,1083.8,TKY,tenant-028,338.7,BP 164/110 HR 65,MUJ,OLU,2.25,HIZ,92.57,2485,468.51,Swiss Franc,5033,4634.7,RCA,ANL,KC0823QEJZMJ8KXNH,580.46,4376.5,6453.4,8.67,2025-03-11T01:43:10Z,linda.rodriguez,396.4,296.85,298.35,6177.0,yahoo.com,72328,HEN,This record tracks data processing activities.  The system includes transaction histories.  The product tracks data processing activities.,9052.5,68.94,Snowflake,Arabic,jessica.wright,K0FOFIN565NI8YKY0,WFP,Bloomberg,2026-09-10T10:44:21Z,3129.5,9323.2,1304,928.25,FLOAT,CYK,167.63,0x580cc7114681f6a23f13038be7ce127b7d6922b2
WRL,CPJ,PYC,777.1,165.78,AKK,snapshot,8578.1,The Great Gatsby,GB,DUT,2508,PRIYGG7LC9YDXKBPC,QT1AX9L8BNQAJL4BF,2995.3,"-----BEGIN CERTIFICATE-----
opCxOZKi3YSPdDf7J7Ed1MBPnLhjt1MdzgUO4MLbLy0acnQO69kzNPSF9qwiqkaH
-----END CERTIFICATE-----",TJJ50N5ZXETTVTKDW,836.69,RZDVKERGVVTBM9ZEY,276.33,544.11,patricia_jones@example.com,NVE-7201,4081.4,ZXO,tenant-011,560.35,BP 136/101 HR 89,TSF,OHZ,4.85,WIU,22.92,512,306.08,British Pound,1412,7512.7,ANN,UWS,O67D2JV5B4ZTADBV5,776.96,9131.1,8032.1,972.88,,mason.young,8766.1,780.94,100.4,9323.4,outlook.com,92371,LNO,The customer account manages transaction histories.  This record monitors operational metrics.,4187.0,164.85,SAP,Arabic,aiden.lewis,K0MVC4VDZPOGR52VZ,DZV,Eurostat,2020-01-24T02:55:09Z,946.1,9590.8,3953,593.75,INTEGER,VAE,521.55,0xbe47e8b508e8532b00950be06263b967e8d672bc
KNN,YXQ,NNK,6950.6,756.91,IJB,snapshot,1350.4,To Kill a Mockingbird,IN,SWP,6464,KYVW2RVN5BGQGCWQP,YVLB2E7OM58DUKT8O,5989.7,"-----BEGIN CERTIFICATE-----
y8l8LxIWGX6EoUtAIEpRTCiCkdcyxRU7DZg2s1ij/phqL8ulnaqNN1yVPmdYerHQ
-----END CERTIFICATE-----",87CPJXVPAJQRDTLHM,734.97,81MDE8VNJL8CC0NZA,472.31,753.06,oliver_brown@yahoo.com,ANX-2061,9953.8,CJJ,tenant-020,241.5,BP 134/110 HR 99,BSU,CVW,3.21,LCL,703.03,4022,492.98,US Dollar,4070,7335.7,RHR,ITL,9KDGS353QF06VVWMQ,106.65,4941.1,4999.4,199.23,,linda.jackson,257.0,316.16,212.86,2606.3,outlook.com,2068,KLS,The service manages transaction histories.  This record represents operational metrics.  The system represents customer interactions.,7389.7,709.84,Workday,Arabic,jennifer.walker,N6Y0KBPT7J9ORR7MR,SFY,Eurostat,2019-11-05 04:51:06,3985.5,2141.1,1875,611.69,JSON,AQM,496.46,0x8381d274656d3a45e10a263f695ef696162d59ca
HMP,OGZ,CBF,4918.6,672.99,OJJ,delete,201.2,Dune,FR,YVS,6846,V2W6Q20BONO4VOBE5,A81P77VL6WO06QXTT,6876.1,"-----BEGIN CERTIFICATE-----
zgRUIVUJzxKIEEaN9utgyLCJb0WyVw+YcAmGMEXpGzCJIwfBSpFmvlkdfrDf2+UC
-----END CERTIFICATE-----",UEOL8EKENESV1ZPF4,34.34,W0V9A4G6MJ9GUZCFN,594.65,992.29,emily_rodriguez@example.com,KKJ-8217,9207.4,OUN,tenant-001,292.61,BP 144/95 HR 117,RDF,QJD,5.09,KTT,697.75,3649,787.43,Japanese Yen,7057,4687.1,MWC,GVS,5GCR4D1ZV72V0QPRC,13.9,1563.3,426.7,153.63,,john.king,8980.9,774.45,611.13,1384.4,acme.org,86022,UKH,The product manages customer interactions.  The customer account includes operational metrics.  The service includes operational metrics.,6070.9,823.61,Workday,Chinese,michael.thompson,ZYVJ598WR03RRJTZI,BUB,WHO,2021-03-02T06:15:14Z,3168.0,2438.3,7883,840.74,TIMESTAMP,MLD,36.65,0x6bcd2b9506e25eb5e1f3b1dc936223869730c65c
MAM,UDR,ZQN,4549.2,685.26,SKV,update,1049.7,1984,GB,MAB,2158,8ZDNQHMCU46GHW0TZ,7TO3M16YY96VNRKSY,3483.0,"-----BEGIN CERTIFICATE-----
IqJ0mbvDA6agSoPWlDdcX2vRQnvi+H4xTPVrsW+DIAfjf701OzPTGNt+hz0aCYvg
-----END CERTIFICATE-----",3EIB14AYKYRDEKXIT,325.36,XNSPXFF3H4LQ7TUZH,405.99,817.58,amy.lewis@acme.org,PQY-5172,7524.1,AAV,tenant-049,921.07,BP 136/106 HR 112,ULF,TLY,3.91,SBB,394.34,7650,354.16,US Dollar,1300,4555.9,ZLQ,RCW,07NOV5F0OUDHKWKL5,298.6,4104.9,2232.6,711.57,,patricia.martin,8631.5,716.79,563.92,7219.8,yahoo.com,83233,CGS,The service monitors compliance records.  This record manages compliance records.,4070.3,579.99,Kafka,Chinese,elizabeth.anderson,1Y5QR12E9KDGS7F1F,EGO,Census Bureau,2023-01-05T00:35:24Z,5856.6,3277.3,3996,626.64,BOOLEAN,VAF,534.7,0xb1d76b721e8bbec5c6daf8ebc436cd5b3cf34463
SQV,IUW,FVJ,9201.6,34.98,CTA,insert,7568.9,Brave New World,BR,JEC,3195,H6JJME0DXJJCRNLK9,JVK1ZBP2EKMNT3B9X,8602.9,"-----BEGIN CERTIFICATE-----
cPtSiJb7BnRHi3R9lmC5bHDBFtUPrvMukpvZ8ctXmHAVpfPp8aBqEptwjjqeGsLb
-----END CERTIFICATE-----",01R261OLMEV4JX0MJ,913.08,UWBJNO9TZRY8D2H2P,145.5,403.68,david_lee@outlook.com,VRL-8325,7688.6,RNK,tenant-033,279.83,BP 177/67 HR 113,HQS,DLQ,5.02,NJB,32.7,500,291.55,US Dollar,4365,7427.1,UFX,RRS,SCLU6X1PCVKOHBE6N,878.9,3332.4,1342.7,753.41,2018-05-11T20:15:46Z,susan.miller,2441.7,420.08,16.0,2201.9,example.com,36324,ATM,This record manages data processing activities.  The product manages transaction histories.  The service manages data processing activities.  The service includes operational metrics.,7728.4,837.29,Kafka,German,michael.clark,XX6EP4PJPWH6YLQBG,KGV,Reuters,2022-06-07T20:41:55Z,3659.3,5998.2,8102,724.59,INTEGER,MLM,799.07,0x06af8c1aaf41a304494cafadf0d5292b6f2718ea
UTW,TNL,HLC,7878.4,356.0,JNL,delete,232.6,Dune,FR,PCB,31,SNPMUXWVY36F68H7J,7LW1R7IHJZ21VDJY9,168.6,"-----BEGIN CERTIFICATE-----
4InMCDtkMVCRrhXcjrj6NV3AtFAtClzDOE1wSiGKPXpNTWXAb5ITvODaqSH2m/+8
-----END CERTIFICATE-----",WQOOQ7JJX15UM5LC8,244.57,XV5O9K93F55NPZO6Q,390.87,295.69,lindawalker58@yahoo.com,LRW-3956,2280.6,YFK,tenant-027,162.18,BP 115/85 HR 120,CEO,DGK,8.71,CTQ,782.19,5652,35.92,British Pound,7897,613.4,EGK,CLY,8NE33VA3P8QHJX74B,612.91,4123.9,1525.2,745.96,,richard.thomas,7776.5,557.22,682.64,4489.7,company.com,92167,XJE,The system monitors operational metrics.  The customer account represents compliance records.,5361.7,587.29,Workday,Japanese,mary.martinez,EQGWH3M0F0TPTTF6V,FXW,Reuters,2019-02-16 11:28:58,3641.1,7253.8,3615,645.15,TEXT,UBT,348.13,0xfd287d30eda80a225db786f80e573526dde73e08
TDP,XKX,BCM,9898.4,955.59,HUP,delete,2149.6,To Kill a Mockingbird,JP,XSH,2134,61C1PWBWUZRPRY1JQ,A1NIUSIGZ4EZ9DNOD,2608.8,"-----BEGIN CERTIFICATE-----
M6rcARycuyW8pqxCpr0Ieqq2/kdNX1G+HLL215fMC4g+GyAxhGOHHtLWdwlDyQ2q
-----END CERTIFICATE-----",1M8VRJS09BKVHQRYX,379.85,IBPVB927X9OAIE2TP,714.18,849.92,patricia_rodriguez@gmail.com,ZZX-6479,6263.6,TVL,tenant-025,638.25,BP 138/69 HR 60,MTF,DAT,1.4,SQL,364.63,8602,55.29,Japanese Yen,7823,6157.1,RBE,HCI,1OD3G7JH8FQAQHQRY,155.13,6965.0,2013.5,274.89,,sarah.walker,1855.2,163.12,160.56,1598.3,gmail.com,72536,XUA,This record manages operational metrics.  The system represents operational metrics.  The service manages customer interactions.,9908.0,513.58,Workday,Hindi,emma.jones,O9S1EBCTBEMVP9X3R,SAH,WHO,2025-12-06 06:54:50,7216.7,2221.2,1836,930.44,VARCHAR,EZE,169.58,0x7bd22531d5662525732e37aa9409772b11b96338
XZY,PLS,IZN,6573.5,528.21,FER,snapshot,7419.0,1984,IN,WVK,9736,Z3ESFMS72LHLVDG3A,03KCMGPLVXI7CXZHZ,4539.6,"-----BEGIN CERTIFICATE-----
x3ThcopBIXDw26ufXpGT4S8WaHUs2o+801dSdHyaG97LjkTJ4EipiIXGIJR+NZk5
-----END CERTIFICATE-----",3Q1DPPSH36H5C3O7N,780.75,LYF80V7YBDERCYAGI,247.37,895.93,liam_clark@yahoo.com,GKD-3422,9316.5,ZWL,tenant-020,215.23,BP 104/94 HR 94,CVY,FIZ,9.04,QZN,582.19,1628,333.68,US Dollar,2741,4124.4,QEN,DFZ,UFMHZG84N2TA713N7,488.68,7833.7,6034.2,642.16,,harper.young,2052.0,334.83,252.89,4349.7,company.com,2458,SMO,The service includes compliance records.  This record includes operational metrics.,6083.8,277.96,Snowflake,Hindi,ethan.williams,2KITR7WPIEA30XOL7,TUK,Census Bureau,2022-03-01T21:51:35Z,3244.8,3640.9,7262,499.62,BOOLEAN,NQV,917.28,0xd10d80c40cd9f684d00d595a37f7081d6c507af4
