meta_mbwy,field_add,user_airport,measlon,passhash,district_borough_raw,transactionAmount,meta_tf,col_99,ram,city_town,CONTINENT,latitude,portHarbor,continent,cas_registry_num,val_973,customer_photograph,build,district_borough,TRADE_SECRET,rec_identifier,address_text_field,src_version_identifier,f_alx,lon,addressLine,PORT_HARBOR,airport_data,mean_average,RELATIONSHIP_TYPE,val_bvcp,birthPlace,attr_kt,attr_iso,raw_contract_value,songTrackTitle,cityTown,modified_by_v2,user_location_text,data_format_v2,LATITUDE,fax_number,dim_airpo,ADDRESS_LINE,addrline,raw_landmark_poi,ip_address_info,measlat,x_134,customer_time_zone,advertiser_id,f_dist,val_aw,time_zone_22,v_idn,src_continent,country_22,tenantIdentifier,kby80,airport,yicii63,c_701,landmark_poi_38,CITY_TOWN,attr_600,time_zone_field,time_zone,port,middle_name_info,data_format,country,val_163,lat,district,longitude_30,location_text_30,AIRPORT,url_pii_context,building,airport_2,raw_latitude,continent_30,continent_data,longitude_info,meta_fraud,terminal,longitude,titlePrefix,pipeline_run,city,municipality,airfield,ctatmo43,domname,customer_address_line,raw_port_harbor,nationality,f_landm,landmark_poi,col_coord,source_system_22,dim_iuhe,c_jx,country_2,var_lati,longitude_2
field_a -> field_b,9455 Elm St,LAX,-167.742732,$2b$12$9XpGkmoFW7sgzWnS0f60kR1XcBI9aTFEs1AkBKeBhHuk1ujYUv6O6,North Shore,"$56,232.11",Hamburg,LHR,22.8,Tokyo,Asia,-75.917704,Busan,Africa,16159-82-3,South America,photo_79b9ac94.jpg,1.11.4,North Shore,[CONFIDENTIAL] Formula #672,USR-569335,"6942 Main St, Tokyo",3.20.88,Hardware,30.413681,4539 Elm St,Rotterdam,LAX,39.6645,Child,amount,Dallas,FL,FR,"$1,309,157",Stairway to Heaven,San Francisco,liam.taylor,"Tokyo, Israel",XML,78.888399,+1-631-320-8671,SIN,2968 Pine Rd,7826 Elm St,Eiffel Tower,29.201.223.63,74.271974,-126.271839,JST,ADV-BHH3VSV6RV,Downtown,"-70.15787, 112.942938",UTC,BR,Asia,United States,tenant-024,Japan,LAX,-19.0142,CMFU,Statue of Liberty,Miami,Mr.,JST,EST,Busan,F,Parquet,Netherlands,Midtown,-16.357791,East Side,-109.741054,"Tokyo, Norway",SFO,https://example.com/users/57178161/profile,6232 Pine Rd,NRT,-29.546035,Asia,Oceania,-69.617867,77.2,Busan,81.539161,Mrs.,batch-20231119-50,Miami,Atlanta,LAX,"5.908859, 13.109642",data.io,6321 Main St,Hamburg,Norway,Statue of Liberty,Big Ben,"-56.520255, -77.595297",SAP,JP,Chat,Switzerland,-82.56611,-125.585119
field_a -> output,6374 Main St,ORD,131.591124,$2b$12$M9AmZxjAwapyahWIdBWX67touZUVY8mFZbZqJZICIVwBFiBxrvB6h,East Side,"$97,734.62",Busan,CDG,80.4,Austin,Asia,-64.989616,Port of LA,Oceania,96026-86-2,Europe,photo_3d093527.jpg,3.5.43,East Side,[CONFIDENTIAL] Formula #851,TXN-231176,"6812 Elm St, Houston",3.5.59,Software,-80.831761,7130 Park Blvd,Port of LA,LAX,36.3883,Sibling,id,Denver,WA,DE,"$1,370,777",Bohemian Rhapsody,Denver,emma.harris,"San Francisco, India",Parquet,-31.722505,+1-497-718-9723,ORD,6508 Maple Dr,9336 Pine Rd,Statue of Liberty,45.107.251.64,-51.394501,56.321417,UTC,ADV-FCIFEI7OYQ,South Bay,"-44.606277, -28.698724",UTC,CA,South America,Switzerland,tenant-027,Japan,LHR,-47.4568,CPH,Central Park,Los Angeles,Rev.,EST,Europe/London,Singapore,O,CSV,Singapore,South Bay,-24.302165,West End,-64.24884,"Houston, France",ORD,https://example.com/users/1da8607b/profile,7420 Cedar Ln,NRT,-33.413998,Antarctica,South America,-88.47853,65.5,Busan,19.724683,Rev.,batch-20211211-83,Denver,Sydney,SIN,"-41.548604, 86.687262",service.cloud,579 Pine Rd,Singapore,Sweden,Eiffel Tower,Eiffel Tower,"-30.492012, -119.90526",PostgreSQL,GB,Mobile,Israel,-67.133119,122.630442
input -> target_col,6147 Main St,SIN,-117.291553,$2b$12$aGE8YaPmngHnHV4Ubjdg0YmR7xeX1tTBe2cKZMAcLhBG4MgdlTE0V,Midtown,47927.68,Singapore,NRT,15.7,Miami,North America,-29.560011,Singapore,Africa,68311-13-5,Antarctica,photo_143a249d.jpg,1.0.90,West End,[CONFIDENTIAL] Formula #684,5545907,"6488 Maple Dr, Chicago",0.15.62,Clothing,4.609268,1240 Elm St,Busan,NRT,70.5974,Spouse,created_at,Boston,FL,CA,"$8,663,240",Yesterday,Atlanta,elizabeth.miller,"Austin, Brazil",YAML,37.177679,+1-888-957-2199,CDG,2984 Main St,2942 Pine Rd,Central Park,134.137.25.77,65.506488,-5.956907,Europe/London,ADV-Y1OBYRB57J,West End,"79.073523, -79.136621",Europe/London,DE,Antarctica,Switzerland,tenant-010,Norway,SFO,-31.7303,RNTR,Central Park,Austin,Rev.,Europe/London,America/New_York,Shanghai,Q,XML,Israel,South Bay,-13.886571,South Bay,-107.920312,"Atlanta, Brazil",SIN,https://example.com/users/e1360abc/profile,5401 Pine Rd,JFK,-78.44393,North America,Africa,-55.905279,72.0,Shanghai,-177.877152,Prof.,batch-20230824-01,Austin,Paris,NRT,"31.866549, -26.034638",service.cloud,2766 Cedar Ln,Busan,Canada,Central Park,Big Ben,"-78.338199, -57.487324",SAP,DE,Phone,South Korea,54.793877,176.878623
input -> field_b,2719 Main St,NRT,-78.959902,$2b$12$buGIcvGB7EoBAdTuff7izbyFvKE0AAMBK1ph9v8bVWb9SQGiAvrKN,Downtown,61983.61,Shanghai,NRT,62.4,Houston,Antarctica,79.586802,Singapore,South America,54720-45-2,Africa,photo_896a8842.jpg,0.15.54,South Bay,[CONFIDENTIAL] Formula #447,5078556,"1268 Oak Ave, Portland",3.3.25,Clothing,-16.686817,4464 Main St,Shanghai,SFO,46.8747,Parent,name,San Francisco,TX,JP,"$2,559,625",Hotel California,Los Angeles,william.jackson,"Tokyo, Japan",YAML,-15.687319,+1-914-995-1766,LAX,9092 Elm St,3090 Pine Rd,Central Park,146.131.136.109,-49.18748,-95.061448,CET,ADV-V20DZG7U31,North Shore,"35.900085, 97.666054",PST,DE,Africa,Singapore,tenant-016,Germany,LAX,-53.4669,SBQ,Statue of Liberty,Houston,Dr.,Europe/London,America/New_York,Busan,Q,Avro,Singapore,Midtown,-56.930784,West End,-55.2572,"Austin, South Korea",SFO,https://example.com/users/6cf4c60f/profile,9047 Cedar Ln,ORD,34.384708,Antarctica,Oceania,168.127646,30.0,Hamburg,79.456276,Rev.,batch-20201003-74,Los Angeles,Sydney,JFK,"4.384949, -31.58006",acme.org,9043 Elm St,Shanghai,Spain,Big Ben,Central Park,"-34.635898, 18.575875",Salesforce,AU,Web,Spain,7.440681,-8.95427
field_a -> target_col,8535 Cedar Ln,SFO,61.187537,$2b$12$UsfU8UXYqUFpmg1jNZbkAPhHpvLSkMmFUDRSIFPE3VeinpoDygYHj,Midtown,95438.42,Singapore,ORD,25.0,Phoenix,North America,89.030577,Port of LA,Asia,6739-33-5,Antarctica,photo_99a7c65f.jpg,5.13.40,Downtown,[CONFIDENTIAL] Formula #564,5423143,"6107 Maple Dr, Seattle",1.20.84,Electronics,-94.098876,2558 Main St,Singapore,JFK,-80.2938,Sibling,email,Phoenix,PA,US,"$1,007,608",Stairway to Heaven,Paris,patricia.davis,"Houston, France",CSV,-84.181732,+1-333-968-7506,LHR,4721 Oak Ave,7107 Pine Rd,Central Park,79.57.198.34,10.729595,21.970477,CET,ADV-HU830U8VT7,Midtown,"40.202686, -89.149846",CET,DE,Antarctica,Mexico,tenant-042,United Kingdom,JFK,-89.5177,CEEV,Eiffel Tower,Austin,Mr.,CET,UTC,Shanghai,U,Parquet,United Kingdom,East Side,-16.973679,Downtown,-114.594594,"New York, South Korea",ORD,https://example.com/users/23a74ba6/profile,9317 Main St,CDG,41.392071,South America,Asia,-13.419737,18.7,Singapore,-102.743921,Ms.,batch-20191115-14,Paris,Portland,ORD,"62.586873, 67.881109",example.com,1230 Pine Rd,Singapore,Brazil,Central Park,Central Park,"-66.979949, 88.415427",Snowflake,CA,Chat,South Korea,-41.649635,-55.682225
field_a -> field_b,5077 Oak Ave,LAX,62.742353,$2b$12$UaVyIDzqNn8GvMGgiwKHjB06JSKicNJySl2mRncQ50bmyLk8Q3wV4,Downtown,"$78,958.88",Singapore,LAX,93.9,Dallas,Africa,-41.726858,Singapore,Oceania,34414-99-8,Antarctica,photo_5a5555ed.jpg,5.2.80,Midtown,[CONFIDENTIAL] Formula #959,REC-311532,"6211 Main St, Seattle",3.11.67,Software,-124.960319,8040 Pine Rd,Rotterdam,SFO,52.8138,Spouse,email,San Francisco,TX,CA,"$752,948",Bohemian Rhapsody,San Francisco,emma.smith,"Berlin, India",YAML,32.47254,+1-524-522-6595,JFK,4611 Elm St,1617 Pine Rd,Eiffel Tower,55.7.148.133,-0.337756,-56.090006,EST,ADV-1A4ABWJG7J,Midtown,"32.481013, 117.143879",America/New_York,CA,Oceania,Mexico,tenant-045,Japan,LAX,-26.3037,PK,Eiffel Tower,Tokyo,Rev.,UTC,Europe/London,Hamburg,J,Parquet,Norway,South Bay,52.391118,West End,-106.480275,"Seattle, Spain",SIN,https://example.com/users/e98c4697/profile,5646 Maple Dr,SFO,21.225903,Europe,South America,90.645709,84.9,Port of LA,-16.493128,Prof.,batch-20230417-66,Berlin,Tokyo,ORD,"45.447222, 7.517648",service.cloud,7842 Elm St,Rotterdam,Switzerland,Golden Gate Bridge,Eiffel Tower,"3.850354, 11.721409",PostgreSQL,AU,Web,Singapore,16.120172,105.002767
source_col -> field_b,752 Pine Rd,ORD,-103.612243,$2b$12$cx6A4EwG9Kw8knAGkjVuwGw0zPC5M41CW4vgeiOMQ7b6AB5z9AT8Q,North Shore,"$15,449.03",Port of LA,ORD,29.3,Paris,Antarctica,49.503712,Singapore,Asia,43162-53-1,Europe,photo_f3aba837.jpg,0.7.22,Downtown,[CONFIDENTIAL] Formula #664,5168772,"4830 Main St, Denver",0.2.94,Services,-85.053935,2367 Oak Ave,Port of LA,JFK,-39.7237,Manager,name,Phoenix,MA,US,"$5,353,330",Hotel California,Seattle,michael.jackson,"San Francisco, Spain",YAML,-68.205264,+1-647-530-1083,CDG,5344 Park Blvd,8995 Cedar Ln,Statue of Liberty,238.124.56.244,-27.970249,86.127501,Europe/London,ADV-D2UMJAETSS,Downtown,"-75.910789, -52.287244",Europe/London,AU,North America,Japan,tenant-009,Japan,CDG,-15.617,MS,Big Ben,Chicago,Hon.,Europe/London,PST,Port of LA,C,YAML,South Korea,West End,58.00084,Downtown,7.124814,"Sydney, Singapore",JFK,https://example.com/users/ce8ad1ec/profile,418 Oak Ave,ORD,13.961879,South America,Africa,35.975111,92.7,Rotterdam,1.691061,Mr.,batch-20200318-78,San Francisco,Portland,LAX,"58.57655, 2.797673",example.com,5966 Cedar Ln,Singapore,United Kingdom,Eiffel Tower,Golden Gate Bridge,"-20.718524, 128.870227",SAP,MX,Mobile,Spain,53.411138,-129.539217
input -> target_col,5144 Pine Rd,CDG,22.046434,$2b$12$JkT5bnQAcODXANqKyTkh8yMQnUJ50ERW5Un6CgYpXkKwdTy8Kw2St,North Shore,"$1,604.37",Singapore,ORD,53.4,Denver,North America,-41.075658,Port of LA,South America,16224-80-9,South America,photo_8af00b0f.jpg,0.15.12,Downtown,[CONFIDENTIAL] Formula #409,USR-610525,"3363 Maple Dr, Toronto",3.18.47,Services,-51.078911,7712 Main St,Rotterdam,SIN,-32.6328,Spouse,status,Chicago,TX,DE,"$2,511,252",Yesterday,Houston,susan.clark,"Paris, Netherlands",Parquet,-64.331713,+1-430-586-6122,LAX,9096 Pine Rd,4387 Maple Dr,Statue of Liberty,11.75.54.59,-35.06982,-80.963032,UTC,ADV-JI7BN1HSGA,West End,"-58.341545, 61.69983",CET,AU,Antarctica,Israel,tenant-050,India,LHR,-17.7241,XZIE,Eiffel Tower,Austin,Rev.,UTC,Europe/London,Shanghai,Y,Avro,Sweden,West End,-81.784704,East Side,125.417057,"Miami, Sweden",SIN,https://example.com/users/fb711b1f/profile,1512 Oak Ave,JFK,24.886315,North America,Africa,-89.237985,29.5,Busan,106.657071,Mr.,batch-20220725-21,Boston,Austin,JFK,"-28.0921, -92.263483",example.com,2269 Elm St,Rotterdam,Italy,Golden Gate Bridge,Eiffel Tower,"63.093666, -151.070972",PostgreSQL,BR,Mobile,Israel,40.131903,122.73004
source_col -> field_b,9624 Park Blvd,NRT,-42.907305,$2b$12$KiIeItzJzCsQPIhU43DHBLMqEmSjNDJbfqLvLLIYDezMWVYm6fnca,South Bay,76923.60,Port of LA,ORD,67.4,Miami,Africa,-83.107386,Hamburg,Oceania,83191-86-8,South America,photo_92a74cf4.jpg,1.18.79,North Shore,[CONFIDENTIAL] Formula #683,REC-100141,"9549 Oak Ave, Sydney",0.14.22,Software,63.343171,3738 Park Blvd,Port of LA,ORD,83.0093,Child,created_at,Los Angeles,MA,AU,"$366,488",Hotel California,London,elizabeth.martinez,"Portland, Canada",Parquet,35.311942,+1-497-456-5138,SIN,5959 Pine Rd,3477 Maple Dr,Golden Gate Bridge,176.208.221.10,-88.803896,-167.62538,EST,ADV-H8QWJ5VZHQ,South Bay,"-49.741637, -177.363715",Europe/London,JP,Oceania,France,tenant-047,Italy,JFK,69.9636,JSIM,Eiffel Tower,London,Dr.,America/New_York,America/New_York,Hamburg,O,Avro,Australia,North Shore,10.548955,South Bay,115.871417,"Dallas, Singapore",LAX,https://example.com/users/84eaca32/profile,9449 Park Blvd,CDG,-76.006601,Oceania,Asia,-82.445804,40.8,Rotterdam,82.082341,Prof.,batch-20220612-65,Boston,San Francisco,LHR,"-36.590627, -123.624911",company.net,7003 Park Blvd,Singapore,South Korea,Statue of Liberty,Golden Gate Bridge,"16.894836, 136.811839",Kafka,AU,Email,India,-13.921617,166.225654
field_a -> field_b,7101 Cedar Ln,LAX,26.286897,$2b$12$X5q6CRpDlFUYiErAcp7fyNM9KukoRKSqK9kleZyBueBxENCuHMGjv,East Side,53142.73,Rotterdam,ORD,3.6,Phoenix,North America,15.289346,Rotterdam,Asia,38304-14-3,Asia,photo_a0476e84.jpg,2.3.76,North Shore,[CONFIDENTIAL] Formula #723,REC-510808,"4328 Pine Rd, Toronto",0.2.75,Hardware,-133.975069,9018 Maple Dr,Busan,NRT,72.0751,Spouse,type,Seattle,IL,AU,"$9,700,087",Yesterday,Phoenix,mary.williams,"Los Angeles, Netherlands",YAML,-65.476346,+1-848-446-2378,ORD,7809 Pine Rd,1998 Elm St,Golden Gate Bridge,142.180.136.135,16.753797,80.515591,PST,ADV-ODM6O5LZSJ,Midtown,"-14.05864, -2.935727",Europe/London,IN,Oceania,Brazil,tenant-020,India,SIN,28.7523,QA,Big Ben,Austin,Prof.,CET,Europe/London,Busan,A,XML,United States,Downtown,26.291401,Downtown,-20.044564,"Toronto, Italy",CDG,https://example.com/users/ef3a33d1/profile,7751 Pine Rd,NRT,53.703413,South America,Antarctica,-44.706306,53.6,Busan,-132.515961,Prof.,batch-20250519-09,Seattle,Boston,NRT,"-82.645739, 81.57682",acme.org,2742 Oak Ave,Shanghai,France,Golden Gate Bridge,Eiffel Tower,"-54.082605, -53.324469",PostgreSQL,MX,In-Store,Norway,23.86028,159.907235
