var_45,ordinal_position_data,int,artname,stat_code,raw_integer,stddev,correlation_14,word2vec,event,likelihood,v_633,semver,c_cor,swift,ksmpsa64,integer_22,iso_currency_code_v2,val_zs,NUMERIC_RANGE,val_corre,TRANSLATION,fchd84,val_atlj,c_gzl,bucket,jqa15,given_name,fact_standard_deviation,raw_schema_table_name,c_236,integer,partitionKey,binval,addressLine,src_decimal_float,col_vari,yyv37,binary,median_14,integer_2,image_embedding_14,fact_word_embedding,PARTITION_KEY,f_280,meta_586,fact_probability_confidence,INTEGER,probability_confidence_14,meanAverage,zip,raw_market_value,min_max,MAIDEN_NAME,standard_deviation_14,user_trend_growth_rate,correlation,f_role,probability_confidence_v2,duration,decimal_float_14,trend_growth_rate_14,standard_deviation_val,confidence_interval,MODIFIED_AT,customer_numeric_range,MEAN_AVERAGE,numeric_range_14,intval,col_wab,percentile_field,c_hds,mean,vital_sign_22,ordinal_position,image_embedding_val,standard_deviation
-41.93%,502,6375,Water Lilies,cancelled,320,7.5653,0.9761,"[0.65, -0.3653, -0.7086, 1.1002, 0.7683, 2.4495, -0.2288, -1.0655]",Annual Forum 2022,0.5325,C6H12O6,0.7.86,-0.1178,300418724,"[-0.3082, 0.0381, -0.0488, -0.1447, 0.0039, 0.3374, -0.4169, -0.523]",7386,CNY,7604,46-71,-0.0795,Konnichiwa,7619-2352,42.3071,1,55.06,87.6,Linda,47.6414,analytics.events,Major finding: data retention,7150,region=acme,1,5192 Oak Ave,8642.496,"[31.86, 86.65]",C6H12O6,1,-0.4194,8682,"[0.0808, 0.8642, -0.036, 1.3032, -0.1243, -0.8024, -0.7122, 0.081]","[1.1833, 0.6629, -0.1921, 1.3006, -0.2556, 0.4468, 0.8927, 0.5418]",dt=2024-01,Polyethylene,13-76,0.4267,9412,0.2065,-65.2915,26009,"$348,623,215",40-55,Clark,32.8135,-36.03%,-0.6347,CTO,0.9046,38373,7128.5833,19.77%,9.176,"[30.47, 74.44]",2022-01-20 19:49:41,46-81,-90.266,37-85,1357,2.0275,62.7,"$1,112,906",-87.1389,BP 149/101 HR 72,91,"[0.5668, 0.4209, 1.0979, 0.0338, 0.6472, -0.1453, 0.6948, -0.2489]",2.8871
20.93%,182,6623,The Persistence of Memory,rejected,3908,33.3647,-0.7934,"[1.3509, 0.6967, 0.3612, 0.4116, 0.5714, 0.3495, 0.4653, -0.9339]",Tech Conference 2026,0.4346,C6H12O6,3.20.0,0.3234,891783637,"[0.6317, 0.493, 0.9477, -0.1844, 0.0915, 0.0753, 0.1147, 0.5951]",5056,INR,4606,47-75,0.7009,Bonjour,3872-7573,35.5877,1,70.76,74.07,Jennifer,10.5333,sales.orders,Observation: backup schedule,5138,tenant=us-east,0,6902 Park Blvd,8232.3311,"[5.28, 82.93]",H2O,1,-11.5686,7275,"[-0.6927, 0.7265, 0.212, 0.3513, 0.6308, 0.661, -0.9798, -0.7204]","[0.1564, 0.9239, 0.2427, -0.6983, -1.6308, -1.632, 1.4058, 1.8331]",dt=us-east,Steel,6-63,0.5615,4822,0.557,-90.7394,JJ2 3ZL,"$645,606,478",50-55,Thompson,19.1337,-0.29%,0.9953,CTO,0.7492,66693,3711.0158,-27.26%,20.4869,"[34.58, 93.59]",2025-06-27 14:24:45,43-54,50.0516,24-73,9536,3.4484,73.39,"$1,979,354",-21.9108,BP 101/98 HR 116,971,"[0.2271, -0.1213, 0.2658, -0.4095, 0.4617, 0.3765, -0.1014, 0.1317]",46.9169
10.68%,664,1655,Water Lilies,completed,1790,48.7521,-0.1863,"[-1.2308, 0.6656, 0.2381, 0.5152, -0.3016, 0.5339, -0.8906, -1.9056]",Annual Summit 2023,0.1729,C6H12O6,0.12.77,-0.186,587149153,"[-0.0317, 0.8553, -0.0918, 0.6453, -0.556, 0.0435, -0.0107, 0.5754]",5,GBP,9038,45-51,-0.0443,Bonjour,3998-6392,15.7417,1,47.83,96.85,John,28.7083,public.users,Non-conformance: access control,5661,tenant=acme,1,8230 Main St,9288.1828,"[22.13, 93.54]",Homo sapiens,0,1.2075,6677,"[0.5727, 0.2721, 1.1039, -0.3196, -0.1427, 0.1691, -0.0712, 0.2343]","[0.1036, 0.6459, -1.7474, -0.2593, 1.8338, 0.6892, 0.7829, -0.099]",tenant=acme,Titanium,18-83,0.7605,4166,0.3095,61.9143,HP9 2BV,"$942,868,650",21-79,Davis,13.408,-26.79%,-0.9785,Product Manager,0.4088,69739,3959.7816,-28.12%,21.1248,"[31.85, 98.79]",2018-04-09 09:30:38,29-66,-64.2534,42-95,5455,2.0848,52.45,"$2,866,467",-49.1566,BP 175/84 HR 56,842,"[-0.0096, 1.1169, 0.3384, -0.8125, 0.6468, -0.0765, -0.3217, -0.0901]",28.2512
-21.52%,552,4676,Water Lilies,pending,3123,37.7297,-0.2976,"[-1.2034, -0.6593, 0.6843, 0.5467, -0.6234, 0.3874, 0.4599, 0.0307]",Data Forum 2022,0.7149,C6H12O6,5.13.83,-0.5707,470450014,"[-0.6338, 0.1224, -0.0613, -0.086, -1.0989, 0.2935, -0.2689, 0.6285]",865,JPY,7281,38-51,0.021,Bonjour,9033-5257,10.3618,0,20.72,50.8,Patricia,4.8904,sales.orders,Non-conformance: access control,2855,dt=acme,0,5351 Elm St,4370.9149,"[30.61, 87.64]",C6H12O6,1,14.1118,3419,"[0.1925, -0.7508, -0.083, 0.2087, -0.8701, 1.0282, 0.3042, 0.4888]","[-1.2348, -0.0947, -0.7101, 0.3947, -1.0955, 0.3706, -1.0507, 1.7377]",tenant=2024-01,Polyethylene,29-81,0.0084,4283,0.4508,35.4972,94842,"$77,210,020",15-100,Jones,23.6415,23.85%,0.1228,Software Engineer,0.4677,62380,602.0697,-49.44%,21.3361,"[12.51, 89.91]",2019-02-23 16:08:41,33-65,-11.4655,2-53,8622,5.8884,11.05,"$2,386,727",-78.1118,BP 164/105 HR 110,428,"[0.886, -0.1627, -0.0558, 0.1147, -1.1116, -0.8202, -0.7981, -0.2478]",11.93
-17.74%,717,5159,The Persistence of Memory,pending,7128,19.0786,0.8632,"[-0.0102, 1.1296, -1.1645, -1.0087, 0.9733, -0.0472, -0.4267, -1.2351]",Tech Expo 2024,0.6337,NaCl,5.4.5,0.9046,418282051,"[-0.8764, -0.0094, 0.2554, -0.1095, -0.2529, 0.1348, -1.2891, -0.2633]",6584,EUR,6056,15-79,-0.6534,Guten Tag,2300-2095,39.8765,1,43.34,88.22,Amy,5.138,analytics.events,Major finding: data retention,6717,tenant=acme,1,9680 Oak Ave,3583.4118,"[32.37, 96.87]",Fe2O3,0,8.7125,2065,"[0.5809, 0.1064, -0.1797, 0.579, 0.0203, 0.3101, 0.4912, 0.2587]","[-0.352, -0.1054, -0.1946, 0.4055, -0.0268, -0.8049, -1.5388, -1.1762]",tenant=acme,Glass,11-70,0.3066,143,0.2608,47.2717,CS3 3KY,"$402,802,158",17-64,Harris,18.6047,-25.6%,0.0538,Data Analyst,0.3105,42208,-676.029,30.95%,16.4036,"[13.48, 71.33]",2018-12-14T08:23:23Z,50-98,-84.0931,3-86,5897,9.084,32.3,"$1,718,933",65.034,BP 152/107 HR 65,708,"[0.1043, 0.1414, -0.4925, -0.9505, 0.4815, 0.3576, 0.1125, -0.2772]",37.4628
45.7%,661,9320,Water Lilies,cancelled,5776,23.5747,-0.0908,"[-0.117, 1.5377, -0.3067, -0.3762, 1.0786, -0.2523, -1.2584, 1.6859]",Annual Summit 2025,0.4421,H2O,1.3.76,-0.2744,470156031,"[-0.811, 0.0655, 0.0523, -0.208, -0.1348, 0.0148, -0.0132, -0.1609]",2258,CAD,3376,46-51,0.8005,Guten Tag,9795-1603,16.555,1,65.24,64.3,Harper,19.2597,sales.orders,Observation: backup schedule,5545,region=2024-01,1,197 Park Blvd,4843.8464,"[25.52, 94.21]",Homo sapiens,0,-96.2975,1868,"[0.0561, -0.4578, 0.1273, -0.2077, 0.595, 0.6459, 0.2832, 0.0523]","[0.8035, 0.3165, 1.3738, -0.8318, -0.075, 0.5707, 0.0874, 1.245]",tenant=2024-01,Steel,2-94,0.614,8388,0.0519,-61.4614,91115,"$375,288,812",39-85,Lee,29.9369,-34.94%,0.0182,Software Engineer,0.843,66780,7515.1529,-11.32%,38.043,"[12.86, 95.47]",2019-05-09T01:07:42Z,50-61,9.3202,0-55,9839,0.5147,69.76,"$4,719,187",-30.0532,BP 94/102 HR 80,369,"[0.3546, -0.7458, 0.706, -0.0929, 0.1224, 0.4962, 0.5781, 0.5384]",38.6738
40.42%,605,5798,Starry Night,rejected,2813,49.4162,-0.7065,"[0.1342, 0.2139, 0.57, 0.2209, 0.436, 0.4518, -0.9038, -0.595]",Annual Forum 2024,0.848,C6H12O6,4.3.1,0.9884,508272282,"[-0.6014, 1.5439, -0.8735, -0.0637, -0.0123, 0.1698, 0.1245, 0.1775]",1736,CHF,2854,38-95,0.48,Bonjour,4714-5978,43.6274,0,57.86,10.62,Robert,30.3001,hr.employees,Non-conformance: access control,3782,region=2024-01,0,4656 Elm St,1688.0235,"[3.5, 82.07]",NaCl,0,81.3016,7607,"[0.6388, -0.0208, -0.5819, -0.7857, 1.2112, 0.8153, -0.3932, -0.255]","[-0.1051, -1.4281, -1.1598, 0.7531, 0.6572, 0.302, -0.3079, 1.159]",dt=2024-01,Polyethylene,26-59,0.3168,3439,0.7346,37.8295,28696,"$578,941,913",46-96,Rodriguez,21.7802,-42.01%,-0.9178,VP Engineering,0.9283,80294,391.7805,-19.27%,32.2356,"[12.46, 98.29]",2018-09-12T13:12:54Z,39-69,-47.7002,15-65,3134,5.3568,25.49,"$621,092",63.5193,BP 169/94 HR 63,996,"[0.138, -0.6876, -0.2726, -0.4191, 0.3193, -0.4676, 0.3555, 0.3493]",29.9418
40.17%,263,5715,The Scream,active,9299,4.8538,-0.5042,"[-0.1115, 0.0104, -0.1113, -2.0452, 1.6148, 0.25, 1.5566, 0.1198]",Annual Forum 2024,0.6585,H2O,5.8.63,0.3764,835581683,"[-0.1247, 0.8543, 0.7085, -0.1669, -0.1279, 0.8607, 0.5448, -0.0536]",2386,GBP,5457,40-70,-0.9496,Bonjour,2522-1079,14.5052,0,72.11,9.78,John,41.973,analytics.events,Non-conformance: access control,3349,region=us-east,1,1336 Park Blvd,8647.6233,"[34.27, 96.42]",Fe2O3,0,-81.0024,6662,"[-0.1347, -0.6021, -0.4666, -1.1454, 0.047, 0.8147, -0.5923, -0.0071]","[0.4618, -1.3542, -2.4047, 1.7388, -0.0099, -0.5234, 0.4552, -0.5741]",region=2024-01,Glass,9-89,0.072,1183,0.1663,46.5928,64214,"$395,728,790",31-84,Williams,44.3425,19.27%,0.0195,Sales Rep,0.7382,4599,989.1361,-46.01%,17.4954,"[27.95, 80.44]",2025-05-03T17:06:51Z,28-100,-6.6012,18-55,2671,1.8385,61.7,"$1,898,600",10.8511,BP 155/105 HR 67,830,"[-0.89, 0.1781, 0.1372, 0.6711, 0.1064, -0.0165, 0.2966, 0.4107]",5.8181
26.36%,279,7161,Water Lilies,completed,5950,30.525,0.4125,"[0.3236, 0.9424, 0.7261, 0.8657, -0.7666, 1.7162, 0.5609, 0.3666]",Annual Summit 2020,0.4018,NaCl,2.18.47,0.1834,651053571,"[-0.5537, 0.2096, 0.6321, 0.9631, 0.002, -0.4675, -0.1919, 0.4214]",7288,EUR,5396,38-57,-0.2774,Namaste,9310-9058,22.0937,0,4.27,65.02,John,33.4354,hr.employees,Non-conformance: access control,4117,region=us-east,0,5094 Park Blvd,-955.5688,"[4.91, 83.77]",E. coli,0,32.1355,2095,"[0.2784, 0.4995, -0.4937, 0.579, -0.5089, -0.3857, -0.7123, -0.2349]","[1.4075, 2.7016, 1.9899, -2.0798, -0.686, 1.8116, -0.2047, 0.9751]",tenant=us-east,Steel,11-79,0.9757,6395,0.0476,72.8886,VJ9 2RQ,"$225,508,912",27-58,Davis,45.3737,2.73%,-0.4059,Sales Rep,0.9665,3907,7561.6494,6.17%,2.7013,"[17.8, 74.19]",2021-10-25T19:07:10Z,40-88,-77.8385,8-76,6755,1.9474,76.13,"$4,340,191",32.2887,BP 135/92 HR 103,254,"[-0.3322, 0.4047, 0.1514, -0.0635, 0.2127, -0.3864, 0.2705, 0.3646]",18.9477
-15.08%,578,1929,Starry Night,cancelled,0,28.0195,0.6382,"[0.5453, 1.5354, 0.8971, -1.3824, 0.4835, 0.3675, -0.2579, -1.8688]",Data Expo 2024,0.9987,E. coli,5.5.17,-0.6773,532433856,"[-0.5207, -0.6821, 0.7307, 0.2618, -0.3643, -0.1365, 0.3945, -0.4863]",8035,USD,8481,48-85,-0.1811,Guten Tag,5709-2963,21.0279,1,56.02,18.53,Jennifer,49.3104,public.users,Non-conformance: access control,6785,region=2024-01,0,8208 Maple Dr,8764.9961,"[21.36, 64.68]",H2O,0,-37.3534,9465,"[0.037, -0.2203, 0.5938, 0.0078, -0.098, -0.4466, 0.1263, -0.006]","[-0.1061, 0.0286, -0.2462, -0.2108, -1.0136, -0.4091, 1.1972, -0.0386]",dt=2024-01,Aluminum,32-58,0.4787,3063,0.0541,-85.0806,PY4 9QM,"$834,368,554",32-97,Jackson,38.2817,-48.42%,0.1479,Sales Rep,0.1903,47416,6497.8249,-36.93%,17.9918,"[39.46, 92.07]",2020-12-03 03:10:16,5-100,-8.6514,25-56,1798,6.2263,87.75,"$414,678",13.4011,BP 141/106 HR 68,763,"[0.0688, 0.1803, 0.8971, -0.6306, 0.0937, -0.2349, 0.2318, 0.3545]",31.1579
