checksum_hash_info,p_296,dim_ix,tz,continent,female,filter,permissionAccessControl,user_region_state_province,card_verification_value_v2,raw_district_borough,d_83,continent_2,brokerage,c_loca,CONTINENT,score_index_info,longitude_info,d_tim,p_835,longitude,dim_airport,paypal_account_val,COUNTRY,location_text_54,val_jnt,isoCountryCode,src_time_zone,location_text_val,district_borough_30,fingerprint_raw,user_port_harbor,continent_3,user_city_town,var_con,e_mail,field_718,BANDWIDTH_DATA_RATE,dataLineage,SESSION_TOKEN,d_oe,humidity,compliance,port_harbor_54,city_town_46
4f9b2118054d6d0d0a09f3a1a44c0673d17e571d1399df0172c2914c69d6bd9f,failed,Switzerland,America/New_York,Antarctica,Non-binary,type = '2024',execute,CO,281,North Shore,Berlin,Antarctica,INV-237197,"Sydney, France",South America,0.04,-151.638235,PST,14.402958,-68.797654,LAX,ethan.jones@outlook.com,Italy,"Tokyo, Germany",40468,CA,America/New_York,"Dallas, Italy",North Shore,fp_3980a27a5b331c78,Port of LA,North America,Tokyo,Oceania,ethan_davis@gmail.com,Europe,5512,staging.orders -> reports,sess_8lXRdy6N6GBPTGHJMPBdt4rx6GrsAyehfh98WihN,7464 Maple Dr,52.5,MFA required for admin,Shanghai,Seattle
c7e16284998b098af17c1a628051598e56f7684cb9f911bd76d753da0678ea75,active,South Korea,CET,Asia,Female,status = 'prod',read,OH,5354,North Shore,Houston,Asia,INV-133448,"Atlanta, Canada",Europe,0.45,83.836645,JST,39.921183,-154.587545,SFO,michael.robinson@yahoo.com,Sweden,"Tokyo, Germany",75126,MX,EST,"Dallas, Sweden",North Shore,fp_84ac263429343d4d,Singapore,Oceania,Austin,Africa,noahwilliams@acme.org,Europe,8236,staging.orders -> exports,sess_gNYYBxa1nMy7iYMbOILJaDAHE3AL3N0q8XlczAbY,3155 Park Blvd,1.7,MFA required for admin,Rotterdam,Chicago
2170158c24f5f1d5552be77c8ec6b585981a4c5b3bb0b202686e680003b4a682,completed,Germany,Europe/London,Antarctica,Non-binary,date < 'prod',r-x,WA,095,West End,Denver,South America,INV-257806,"Berlin, Italy",Oceania,6.4,-153.160723,CET,68.764254,128.135617,ORD,amy.moore@yahoo.com,France,"Berlin, United Kingdom",83341,FR,Europe/London,"Houston, Switzerland",West End,fp_ac46a42b2ff2a218,Busan,Antarctica,Toronto,Europe,john.garcia@acme.org,North America,7963,staging.events -> exports,sess_gXgrFTuFTTvXpQBeb3IherIm2idFnGUjwkramogE,9765 Elm St,41.2,PII encrypted at rest,Rotterdam,Berlin
881745ef615c34a1381e33623a50e0420950a2065f1724d10e7f57542d250109,active,Norway,CET,North America,Other,status IN '2024',write,CA,2360,Downtown,Toronto,South America,INV-599944,"Berlin, Sweden",Asia,8.5,-59.612054,PST,-84.803035,13.358131,JFK,logan.jackson@gmail.com,Norway,"Toronto, South Korea",73176,US,JST,"Sydney, France",East Side,fp_ab4c92e0ebc684b6,Port of LA,Oceania,Tokyo,Asia,lucas.martinez81@example.com,Africa,7621,raw.events -> reports,sess_qfXGn4tw4NCI5n2kFRwIUZoPDc051bpPwMlW5E40,9742 Pine Rd,63.7,MFA required for admin,Rotterdam,Denver
ece530f94a20618bfad2ec4d88b3880e85e6f3fa6faeb8f30bfaa3569f553ebb,inactive,Netherlands,UTC,Oceania,Other,date != 'prod',rwx,NC,7072,South Bay,Toronto,South America,INV-644832,"Austin, United States",South America,9.18,-124.166999,CET,87.529857,-120.800847,JFK,logan.taylor@gmail.com,Netherlands,"Berlin, Sweden",6591,DE,EST,"New York, Sweden",East Side,fp_7beb9ca46bebf7ff,Singapore,Europe,Paris,Oceania,patriciamoore@yahoo.com,Asia,7469,raw.events -> reports,sess_XNw0a5VBNbAxFyjAs84ovu0obSrEgS3IsNXa4txE,3814 Elm St,74.4,MFA required for admin,Singapore,Sydney
966440f337167893c32a91a7ec08688bf98a2df93791d932b36430ea486d3ba0,active,Japan,Europe/London,South America,Non-binary,type < 'active',rwx,MA,201,South Bay,Tokyo,Oceania,INV-472817,"Tokyo, Netherlands",North America,3.38,-167.761794,PST,60.063772,21.430974,LHR,john.lewis@yahoo.com,Israel,"Miami, Norway",29413,BR,CET,"Atlanta, India",East Side,fp_0bcf077e83e5f785,Hamburg,Asia,Los Angeles,Antarctica,aidengarcia@example.com,South America,8469,staging.events -> exports,sess_bK0p8HEljd6xdBLHOFW4NQjhNwhHNvgnpANYBLCt,8828 Park Blvd,97.0,MFA required for admin,Shanghai,Phoenix
5063b0c8e9d8d322a0491c6790180c402ba5820285b067c488efff4121c58c0b,cancelled,Singapore,EST,Africa,Male,type = 'active',rw,NC,324,West End,Tokyo,Oceania,INV-797291,"Seattle, South Korea",Europe,3.79,71.562384,EST,-81.205052,-72.237485,JFK,jessica.williams@gmail.com,Germany,"Dallas, Brazil",36870,AU,CET,"New York, United States",Midtown,fp_dafc241e9c36ec38,Rotterdam,Asia,Toronto,South America,logan.williams77@outlook.com,Europe,2449,curated.events -> analytics,sess_sKKRLyjLWGloD3f5nkR9BxRoVP4Q4jv4f8EASFWy,1385 Cedar Ln,11.1,PII encrypted at rest,Busan,Boston
584dd7cf27f1cde680c73cf655f3ddf229497273bc68cfdd48351eeba45a779f,inactive,Spain,JST,North America,Other,date IN 'active',admin,FL,1354,West End,Boston,North America,INV-832897,"Boston, France",Oceania,4.19,-133.550263,Europe/London,31.031454,120.841691,JFK,sarah.johnson@outlook.com,Japan,"London, India",78298,BR,JST,"Seattle, Norway",West End,fp_205c821e2ed4d9b1,Shanghai,Asia,Sydney,Asia,john_wright@yahoo.com,South America,4388,staging.users -> reports,sess_JYVqeDAtEfcPOU8j879cLY3Ra0DJVENlamCZw2Wv,3322 Oak Ave,97.0,Data retained for 7 years,Shanghai,Denver
0b62a1d087ef48400e70914a52b846eb5e415392008f284e9a1854169c568a2f,rejected,Spain,UTC,Antarctica,Non-binary,status != 'active',execute,MA,755,West End,San Francisco,North America,INV-369446,"Seattle, Switzerland",South America,9.95,-146.938626,Europe/London,32.524433,164.129608,SFO,harper.davis@gmail.com,United Kingdom,"Tokyo, Italy",22440,BR,America/New_York,"Seattle, France",South Bay,fp_14f7195182fe48c4,Port of LA,Africa,Portland,Asia,olivia_taylor@company.com,Antarctica,8907,curated.events -> reports,sess_m2jJogcVgiFKorA6FbYn0AHz5wdiMn2wro9qTndx,616 Maple Dr,26.2,PII encrypted at rest,Singapore,New York
63a8ad94ce420bc233198c4f5ae5450927ad06aa323c60ad92c33e6e8d2d00c3,completed,Spain,JST,South America,Male,date != 'active',rwx,IL,9217,Midtown,Tokyo,North America,INV-550644,"Seattle, India",North America,3.62,-24.97593,JST,-70.260963,-108.265533,LAX,noah.williams@outlook.com,India,"Chicago, Spain",9589,JP,EST,"Houston, Netherlands",South Bay,fp_ed397e87b74e12c1,Hamburg,Africa,Miami,Antarctica,jennifer_clark@gmail.com,Antarctica,2470,curated.events -> exports,sess_vmdlExuZy4uS0dcaWucRKdM2dL1Z2Iptwbu9yhRU,7273 Park Blvd,60.0,MFA required for admin,Busan,Houston
